ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
3,1514.37,1825.51,9.9783,0.0003,0.388,0.277,0.019,0.018,0.647,1
96,1543.58,2581.63,10.2645,0.0004,1.478,1.59,0.029,0.006,0.864,1
47,2056.77,1783.09,10.9303,0.0003,1.262,1.103,0.01,0.007,0.358,0
65,1402.33,1986.55,11.0332,0.0003,nan,1.315,nan,0.008,0.86,-1
51,2268.88,2102.44,11.4566,0.0005,0.394,0.328,0.009,0.017,0.83,1
25,1510.66,2029.86,11.5742,0.0003,0.401,0.323,0.006,0.007,0.804,1
33,2134.83,2176.62,11.6855,0.0003,0.515,0.42,0.008,0.007,0.859,1
29,1668.52,2378.06,11.7461,0.0002,0.367,0.303,0.006,0.009,0.822,1
40,2020.76,1709.97,11.9918,0.0002,0.475,0.378,0.008,0.006,0.66,0
63,1964.24,2335.34,11.9994,0.0002,0.398,0.329,0.005,0.005,0.86,1
283,1480.26,2329.78,12.107,0.0002,1.676,1.716,0.006,0.003,0.395,1
52,2169.05,1998.13,12.1363,0.0002,0.396,0.357,0.007,0.005,0.82,1
215,2257.83,2162.32,12.1978,0.0001,1.235,1.268,0.006,0.004,0.364,1
100,1892.99,1870.44,12.2259,0.0001,0.797,0.709,0.005,0.004,0.27,0
394,1856.62,2261.89,12.3019,0.0007,3.077,2.287,0.004,0.004,0.389,1
59,2241.76,1784.57,12.3262,0.0002,0.396,0.321,0.009,0.005,0.427,1
78,2094.5,1900.4,12.3981,0.0002,0.441,0.374,0.006,0.004,0.852,1
109,2413.92,1900.91,12.4662,0.0002,0.556,0.531,0.008,0.004,0.331,0
87,1810.86,2637.2,12.5379,0.0002,0.339,0.316,0.004,0.003,0.463,1
93,2289.04,2071.59,12.5576,0.0002,0.453,0.369,0.007,0.004,0.765,1
139,1774.26,2621.03,12.6079,0.0002,0.408,0.379,0.005,0.004,0.75,1
82,2164.39,2138.08,12.6201,0.0004,0.357,0.292,0.006,0.003,0.754,1
94,2219.44,1983.14,12.6604,0.0002,0.408,0.351,0.007,0.004,0.764,1
102,2197.56,2062.73,12.6728,0.0003,0.408,0.341,0.007,0.003,0.709,1
116,1891.73,2087.59,12.6794,0.0004,0.404,0.347,0.005,0.003,0.219,0
134,1546.44,2079.97,12.731,0.0002,0.452,0.412,0.004,0.003,0.655,1
152,2090.14,2299.01,12.7711,0.0002,0.599,0.545,0.004,0.003,0.331,0
156,2054.61,2538.76,12.8323,0.0002,0.43,0.383,0.004,0.003,0.425,0
144,1466.46,2068.84,12.854,0.0002,0.372,0.329,0.004,0.003,0.791,1
289,2111.86,2656.83,12.8974,0.0003,1.33,1.3,0.004,0.004,0.407,1
147,2433.14,2140.37,12.913,0.0002,0.503,0.429,0.008,0.004,0.196,0
160,1472.99,2111.14,12.9365,0.0003,0.408,0.363,0.004,0.003,0.859,1
137,2011.49,1838.91,12.9688,0.0011,0.435,0.349,0.007,0.004,0.476,1
201,1933.95,2395.1,12.9881,0.0003,0.687,0.599,0.004,0.003,0.377,0
193,1999.35,2766.83,13.01,0.0004,0.581,0.481,0.006,0.004,0.454,1
403,1779.84,2157.7,13.0552,0.0004,1.902,1.811,0.004,0.003,0.418,0
549,2394.65,2111.94,13.0853,0.0003,1.574,1.452,0.007,0.004,0.447,0
