ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
8,654.906,1176.15,12.7848,0.0002,0.615,0.527,0.004,0.004,0.872,1
20,691.822,1184.94,13.4171,0.0002,0.745,0.686,0.005,0.005,0.869,1
44,1161.77,1050.38,14.2814,0.0002,0.831,0.714,0.005,0.004,0.864,1
13,849.321,1142.23,12.9482,0.0003,1.203,1.134,0.005,0.005,0.86,1
6,1160.02,955.636,12.1958,0.0001,1.067,1.04,0.006,0.004,0.858,1
55,664.909,994.988,14.567,0.0002,0.903,0.808,0.005,0.004,0.857,1
16,918.396,905.256,13.1477,0.0096,0.698,0.718,0.008,0.006,0.849,1
22,846.959,922.477,13.2651,0.0002,1.265,1.237,0.007,0.007,0.838,1
5,699.954,1032.71,11.0609,0.0009,2.399,1.717,0.006,0.003,0.819,1
144,929.715,1021.37,15.8201,0.0004,0.831,0.719,0.008,0.007,0.781,1
131,934.304,922.745,15.3422,0.0004,1.561,1.278,0.012,0.012,0.7,1
1181,735.078,1163.45,18.8619,0.002,1.031,0.897,0.079,0.08,0.7,1
1128,983.896,1311.07,18.8497,0.0022,0.899,0.756,0.067,0.066,0.66,1
964,916.746,797.876,18.4958,0.0017,1.117,0.998,0.059,0.056,0.64,1
997,764.101,1058.7,18.4952,0.0016,1.274,1.031,0.06,0.07,0.6,1
577,1143.42,1169.58,17.7922,0.001,0.936,0.777,0.028,0.028,0.59,1
1016,897.311,889.779,18.4864,0.0015,1.165,0.934,0.064,0.068,0.59,1
1147,987.66,1020.65,18.8679,0.002,1.009,0.66,0.065,0.068,0.58,1
1040,644.524,1199.38,18.8513,0.0025,0.678,0.508,0.077,0.058,0.57,1
431,765.97,1236.19,17.1567,0.0007,1.285,1.071,0.018,0.024,0.56,1
706,852.363,1092.59,18.1348,0.0013,0.999,0.952,0.035,0.038,0.56,1
1174,1209.88,1054.92,18.8691,0.0021,1.109,0.921,0.064,0.076,0.56,1
700,951.579,1183.98,18.1379,0.002,1.11,0.909,0.044,0.053,0.55,1
803,1106.96,867.97,18.2909,0.0014,0.963,0.898,0.043,0.043,0.55,1
886,931.306,985.711,18.2945,0.0014,1.056,0.966,0.058,0.059,0.55,1
880,1053.29,1167.45,18.5348,0.0019,0.904,0.841,0.046,0.045,0.55,1
932,1021.34,1238.62,18.5454,0.0019,0.96,0.851,0.049,0.055,0.54,1
977,1226.04,1148.76,18.5917,0.0018,0.91,0.798,0.056,0.056,0.54,1
952,802.768,1243.96,18.5993,0.0018,0.81,0.665,0.053,0.051,0.54,1
1158,701.42,1215.92,18.7787,0.0022,1.229,0.796,0.056,0.071,0.54,1
1157,1059.53,1016.23,18.9512,0.0021,0.912,0.619,0.063,0.066,0.54,1
570,735.394,872.804,17.7884,0.0032,1.029,0.856,0.03,0.037,0.53,1
1215,1301.79,761.223,18.9514,0.002,0.946,0.563,0.083,0.079,0.53,1
1171,1096.04,1239.45,19.0542,0.0023,0.688,0.55,0.085,0.067,0.52,1
576,904.616,967.987,17.6982,0.001,0.996,0.895,0.032,0.028,0.49,1
509,1121.66,1000.89,17.7012,0.0009,0.783,0.608,0.03,0.022,0.49,1
594,664.278,885.902,17.759,0.001,0.974,0.322,0.032,0.066,0.47,1
695,1117.52,1130.02,17.8395,0.0012,1.413,1.3,0.031,0.043,0.47,1
665,757.435,899.402,17.7342,0.0009,1.45,1.15,0.044,0.046,0.46,1
540,894.415,824.157,17.7623,0.0013,0.811,0.652,0.042,0.035,0.46,1
862,910.354,673.565,18.0763,0.0012,1.521,1.293,0.047,0.061,0.44,1
928,1095.01,807.612,18.1947,0.0014,1.436,1.233,0.042,0.076,0.44,1
851,977.513,694.182,18.363,0.0013,0.811,0.595,0.05,0.043,0.43,1
1175,793.297,950.115,18.8879,0.0021,0.758,0.511,0.071,0.065,0.4,1
23,989.604,1054.37,13.5453,0.0009,0.532,0.437,0.005,0.005,0.865,0
10,1046.76,1316.73,13.0532,0.0003,0.36,0.304,0.006,0.006,0.862,0
49,1162.02,1111.23,14.2227,0.0002,1.195,1.101,0.006,0.006,0.837,0
43,1024.38,1026.39,14.0349,0.0002,1.325,1.253,0.005,0.005,0.833,0
50,766.717,969.007,14.365,0.0002,0.839,0.747,0.01,0.009,0.819,0
68,1110.71,1135.51,14.6007,0.0003,1.374,1.359,0.005,0.006,0.819,0
31,765.688,937.617,13.922,0.0002,0.825,0.695,0.013,0.011,0.812,0
54,596.979,958.846,14.428,0.0003,1.137,1.017,0.01,0.01,0.797,0
72,988.098,963.881,14.8844,0.0003,0.801,0.704,0.01,0.009,0.797,0
117,869.294,1285.56,15.56,0.0004,0.82,0.684,0.008,0.008,0.796,0
92,840.996,1231.92,15.0218,0.0003,1.25,1.124,0.007,0.007,0.794,0
74,752.738,669.198,14.8978,0.0003,0.794,0.676,0.013,0.011,0.781,0
151,1023.57,1247.63,15.8616,0.0004,0.764,0.618,0.008,0.008,0.778,0
64,729.779,951.422,14.2543,0.0006,1.867,1.39,0.013,0.009,0.771,0
133,1190.12,1011.71,15.7082,0.0004,0.929,0.851,0.009,0.009,0.767,0
