ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
46,925.486,1477.33,13.7519,0.0003,0.805,0.605,0.005,0.004,0.966,1
21,961.483,1219.37,12.9137,0.0003,0.603,0.413,0.004,0.003,0.965,1
40,1016.65,1283.99,13.6963,0.0002,0.649,0.452,0.005,0.003,0.965,1
44,1144.68,1256.33,13.7768,0.0004,0.706,0.51,0.004,0.003,0.965,1
11,876.463,1292.74,12.1376,0.0002,0.758,0.608,0.004,0.003,0.964,1
14,1010.47,1353.04,12.6337,0.001,0.565,0.343,0.004,0.003,0.964,1
17,1183.51,1263.14,12.9038,0.001,0.684,0.493,0.004,0.003,0.964,1
62,934.587,1227.5,14.275,0.0003,0.695,0.518,0.005,0.004,0.962,1
47,1171.71,1345.61,13.8024,0.0003,0.685,0.489,0.005,0.004,0.961,1
24,823.927,1582.19,13.1405,0.0004,0.531,0.375,0.007,0.005,0.959,1
29,1107.21,1042.4,13.4239,0.0003,0.5,0.368,0.005,0.005,0.959,1
39,1046.87,1295.96,13.6666,0.0002,0.724,0.579,0.017,0.004,0.959,1
57,1157.14,1404.28,14.1211,0.0021,0.594,0.43,0.005,0.004,0.958,1
64,734.894,1378.63,14.166,0.0003,0.996,0.885,0.005,0.004,0.958,1
63,746.077,1599.43,14.2662,0.0003,0.676,0.528,0.006,0.006,0.956,1
86,896.187,1635.43,14.9184,0.0004,0.77,0.621,0.007,0.006,0.954,1
107,780.08,1300.39,15.095,0.0004,1.018,0.78,0.006,0.005,0.954,1
103,935.064,1124.59,15.1532,0.0005,0.678,0.547,0.006,0.006,0.952,1
18,673.437,1151.02,12.8931,0.0004,0.684,0.483,0.008,0.007,0.949,1
132,1249.54,1378.77,15.439,0.0005,0.859,0.669,0.008,0.006,0.94,1
31,1154.92,1262.67,13.0391,0.0004,1.476,1.237,0.005,0.004,0.939,1
123,853.751,1233.74,15.3967,0.0006,0.786,0.619,0.007,0.006,0.938,1
130,1079.78,1178.89,15.4,0.0005,0.988,0.792,0.006,0.006,0.938,1
142,845.496,1645.4,15.5873,0.0006,0.984,0.783,0.008,0.008,0.93,1
170,1065.66,1096.58,15.8687,0.0007,1.14,0.872,0.008,0.008,0.922,1
160,1046.02,1467.75,15.8145,0.0006,0.991,0.767,0.009,0.009,0.92,1
163,624.906,1197.88,15.8393,0.0007,0.977,0.757,0.008,0.008,0.92,1
186,839.069,1359.68,16.0074,0.0007,1.126,0.898,0.009,0.009,0.916,1
183,988.012,1304.54,16.0291,0.0008,1.006,0.784,0.01,0.01,0.916,1
195,978.774,1286.66,16.0473,0.0007,1.164,0.899,0.01,0.011,0.916,1
187,1106.2,1526.09,16.0712,0.0007,1.006,0.811,0.01,0.009,0.915,1
185,634.451,1215.97,16.0509,0.0007,1.005,0.788,0.009,0.01,0.911,1
665,1186.28,1174.64,18.1552,0.0016,1.475,1.211,0.04,0.062,0.91,1
702,840.052,1635.02,18.2726,0.0019,1.592,1.083,0.049,0.068,0.91,1
215,738.548,1404.08,16.3154,0.0007,1.083,0.832,0.009,0.009,0.908,1
