ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
499,734.962,1607.76,17.343,0.0019,1.296,1.15,0.024,0.032,0.81,0
538,875.05,1598.84,17.4607,0.001,1.793,1.455,0.03,0.061,0.81,0
554,1346.93,1639.4,17.5021,0.0014,1.625,1.427,0.029,0.048,0.81,0
669,818.01,1009.53,17.8072,0.0015,1.57,1.278,0.034,0.056,0.81,0
702,861.833,1210.6,17.8827,0.0014,1.668,1.457,0.038,0.072,0.81,0
713,1467.49,1042.69,17.999,0.0016,1.657,1.504,0.043,0.095,0.81,0
804,815.942,1814.12,18.1093,0.0019,1.477,1.357,0.043,0.07,0.81,0
209,1770.83,1139.13,16.035,0.0007,1.28,1.043,0.009,0.011,0.8,0
429,1657.46,1206.5,17.0445,0.0011,1.538,1.303,0.032,0.034,0.8,0
396,1667.92,1661.72,17.075,0.0028,2.015,1.478,0.02,0.04,0.8,0
518,436.104,1338.99,17.362,0.0012,1.441,1.246,0.023,0.039,0.8,0
528,1747.55,1329.05,17.3684,0.001,1.454,1.184,0.023,0.031,0.8,0
537,755.444,1302.45,17.4416,0.0013,1.911,1.467,0.023,0.056,0.8,0
573,1166.47,623.541,17.55,0.0013,1.882,1.635,0.034,0.08,0.8,0
645,1086.11,1288.78,17.7336,0.0014,1.427,1.197,0.033,0.051,0.8,0
650,1649.92,1641.68,17.7702,0.0022,1.562,1.419,0.034,0.062,0.8,0
685,1055.79,756.546,17.8034,0.0014,1.557,1.136,0.043,0.058,0.8,0
742,680.29,823.693,17.9111,0.0017,1.547,1.274,0.042,0.072,0.8,0
731,864.577,1533.71,17.9888,0.0017,1.482,1.262,0.04,0.064,0.8,0
747,1471.83,1487.28,17.9938,0.0019,1.573,1.334,0.043,0.069,0.8,0
221,1220.19,1284.59,16.1668,0.0026,1.367,1.136,0.009,0.013,0.79,0
272,577.542,1311.31,16.5912,0.004,1.29,1.059,0.026,0.023,0.79,0
609,1368.94,1490.34,17.6012,0.002,1.837,1.533,0.039,0.051,0.79,0
618,915.416,1811.4,17.7316,0.0025,1.979,1.595,0.035,0.083,0.79,0
692,1471.43,1473.14,18.0272,0.0036,1.865,1.534,0.043,0.094,0.79,0
204,754.042,907.586,15.9683,0.002,1.285,1.078,0.01,0.013,0.78,0
481,805.905,1293.83,17.4719,0.0038,1.696,1.166,0.042,0.048,0.77,0
662,632.121,1760.34,17.7993,0.0014,1.644,1.202,0.036,0.057,0.77,0
194,1351.64,1392.9,15.8274,0.0018,1.316,1.107,0.01,0.015,0.01,0
403,571.117,1030.31,16.9852,0.001,2.021,1.844,0.02,0.055,0.84,0
770,531.026,1170.72,17.9872,0.0016,nan,1.214,nan,0.072,0.83,-1
