ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
3550,1320.01,2150.44,16.8515,0.0009,0.958,0.382,0.007,0.009,0.933,1
4230,1447.15,2114.69,17.1033,0.001,0.973,0.414,0.008,0.012,0.929,1
5673,1804.9,2296.87,17.5413,0.0014,1.045,0.527,0.01,0.015,0.928,1
4986,1713.06,1932.14,17.3358,0.0011,1.003,0.541,0.009,0.015,0.925,1
3796,2119.23,2448.58,16.9649,0.0008,0.933,0.383,0.007,0.01,0.919,1
1889,1494.49,1872.49,16.0309,0.0006,0.782,0.236,0.005,0.006,0.918,1
2477,1623.25,2063.29,16.3534,0.0006,0.84,0.284,0.006,0.008,0.911,1
1732,1632.8,2663.87,15.9205,0.0005,0.768,0.206,0.005,0.007,0.904,1
2325,1628.95,2070.97,16.242,0.0007,0.834,0.268,0.006,0.007,0.899,1
3314,1969.58,2009.18,16.7007,0.0007,0.896,0.303,0.007,0.009,0.897,1
4725,1838.95,2077.18,17.2699,0.0011,1.003,0.561,0.009,0.057,0.896,1
5356,2015.82,1733.09,17.5623,0.0016,0.984,0.428,0.029,0.042,0.895,1
1903,1623.12,2017.7,16.0068,0.0006,0.778,0.228,0.005,0.007,0.894,1
2310,2234.1,1705.41,16.2739,0.0006,0.795,0.258,0.006,0.007,0.891,1
5038,1458.33,2182.39,17.3711,0.0012,0.979,0.529,0.009,0.014,0.891,1
5395,1816.14,2086.06,17.4315,0.0012,1.049,0.524,0.009,0.016,0.89,1
1215,2412.65,2190.8,15.4491,0.0004,0.707,0.227,0.005,0.005,0.889,1
3356,1619.92,2048.98,16.7442,0.0008,0.899,0.337,0.007,0.01,0.887,1
2468,1800.71,1827.56,16.3191,0.0007,0.84,0.272,0.007,0.009,0.885,1
4390,2021.49,1663.47,17.1512,0.001,0.961,0.436,0.009,0.015,0.884,1
4335,2420.83,2235.59,17.1233,0.001,0.964,0.399,0.007,0.01,0.882,1
7358,2300.46,2187.6,17.9657,0.0014,1.173,0.846,0.012,0.031,0.882,1
4601,1691.8,2749.79,17.2313,0.0011,0.986,0.412,0.008,0.013,0.88,1
4801,1962.21,2020.61,17.2802,0.0012,1.003,0.499,0.009,0.015,0.88,1
8428,1424.94,2123.76,18.3288,0.0018,1.237,0.946,0.014,0.049,0.879,1
2725,2407.98,2207.62,16.4765,0.0007,0.853,0.259,0.006,0.009,0.878,1
1319,2179.87,1746.52,15.5128,0.0007,0.723,0.245,0.006,0.007,0.876,1
636,2002.87,2063.33,14.5462,0.0003,0.52,0.328,0.004,0.004,0.874,1
4639,2088.98,2409.88,17.1796,0.001,1.081,0.71,0.009,0.014,0.874,1
1137,1885.24,2149.89,15.3013,0.0004,0.685,0.22,0.004,0.005,0.873,1
4506,2162.06,2399.24,17.1875,0.0012,0.964,0.424,0.008,0.012,0.867,1
96,1543.58,2581.63,10.2645,0.0004,1.59,1.51,0.006,0.003,0.864,1
1022,1428.23,2537.54,15.2307,0.0004,0.669,0.209,0.004,0.005,0.864,1
6102,1508.99,2373.59,17.613,0.0012,1.176,0.874,0.012,0.023,0.863,1
63,1964.24,2335.34,11.9994,0.0002,0.329,0.207,0.005,0.004,0.86,1
6361,1550.22,1966.57,17.737,0.0014,1.087,0.62,0.011,0.024,0.86,1
33,2134.83,2176.62,11.6855,0.0003,0.42,0.299,0.007,0.006,0.859,1
160,1472.99,2111.14,12.9365,0.0003,0.363,0.193,0.003,0.003,0.859,1
2611,2376.01,1894.86,16.4181,0.0007,0.874,0.347,0.007,0.008,0.859,1
78,2094.5,1900.4,12.3981,0.0002,0.374,0.231,0.004,0.003,0.852,1
1380,2028.36,2248.17,15.5942,0.0005,0.719,0.216,0.005,0.006,0.852,1
511,2339.0,2529.64,14.2708,0.0003,0.482,0.306,0.003,0.004,0.846,1
4895,2189.81,2445.32,17.2477,0.0013,1.032,0.497,0.008,0.012,0.846,1
4856,1569.33,1805.61,17.3464,0.0013,1.029,0.36,0.012,0.021,0.846,1
1478,1809.43,2407.98,15.6791,0.0005,0.748,0.208,0.004,0.006,0.844,1
2004,2214.71,2730.78,16.1091,0.0006,0.798,0.195,0.006,0.013,0.844,1
7780,1588.85,1881.09,18.1378,0.0015,1.21,0.912,0.014,0.046,0.844,1
293,1984.85,2417.76,13.5565,0.0002,0.382,0.233,0.003,0.004,0.842,1
2568,1835.24,2736.59,16.4452,0.0007,0.834,0.247,0.006,0.007,0.842,1
4874,1539.39,2002.64,17.476,0.0014,1.029,0.545,0.022,0.031,0.842,1
272,2182.96,1908.45,13.5305,0.0002,0.482,0.311,0.004,0.003,0.841,1
242,2408.73,2455.49,13.3758,0.0002,0.4,0.209,0.004,0.004,0.84,1
333,1895.89,2012.86,13.8172,0.0002,0.438,0.294,0.003,0.003,0.84,1
3250,1386.39,2416.28,16.7402,0.0009,0.895,0.339,0.007,0.01,0.839,1
3080,1652.35,2228.83,16.5808,0.0007,0.981,0.486,0.006,0.009,0.838,1
5321,2362.61,2058.07,17.4049,0.0012,1.006,0.448,0.008,0.015,0.838,1
407,2241.87,1735.46,14.1316,0.0003,0.469,0.313,0.005,0.004,0.835,1
424,2167.87,1864.15,14.1784,0.0003,0.445,0.304,0.005,0.004,0.833,1
171,1606.27,2696.6,13.141,0.0003,0.403,0.213,0.004,0.003,0.832,1
370,1939.07,1753.35,13.8521,0.0002,0.536,0.327,0.005,0.004,0.828,1
1684,1533.91,2142.11,15.8942,0.0005,0.779,0.229,0.005,0.006,0.827,1
3406,2455.22,2246.03,16.6927,0.001,0.977,0.359,0.007,0.008,0.825,1
4299,1934.38,1698.37,17.1322,0.0015,0.954,0.412,0.012,0.019,0.823,1
29,1668.52,2378.06,11.7461,0.0002,0.303,0.204,0.009,0.009,0.822,1
703,2486.56,2266.2,14.6789,0.0003,0.567,0.284,0.004,0.004,0.822,1
52,2169.05,1998.13,12.1363,0.0002,0.357,0.196,0.005,0.003,0.82,1
319,1612.36,2627.22,13.6777,0.0003,0.533,0.245,0.011,0.012,0.82,1
3362,2256.75,2390.63,16.7769,0.0012,0.919,0.349,0.007,0.01,0.819,1
606,1646.63,2041.97,14.4517,0.0003,0.524,0.329,0.003,0.004,0.815,1
657,1942.31,1947.37,14.5479,0.0003,0.543,0.285,0.004,0.005,0.815,1
598,2356.52,2286.74,14.4917,0.0003,0.514,0.303,0.004,0.004,0.813,1
513,1906.29,1728.31,14.3233,0.0003,0.493,0.329,0.004,0.004,0.803,1
406,2074.38,1935.19,14.0983,0.0002,0.436,0.302,0.005,0.004,0.802,1
718,1503.58,2162.63,14.6179,0.0003,0.551,0.307,0.003,0.004,0.8,1
1787,1889.58,2168.92,15.9435,0.0006,0.758,0.216,0.005,0.007,0.8,1
687,1554.98,2087.33,14.5596,0.0003,0.547,0.294,0.004,0.005,0.796,1
371,1661.35,2697.41,13.9413,0.0003,0.457,0.289,0.004,0.004,0.792,1
144,1466.46,2068.84,12.854,0.0002,0.329,0.132,0.003,0.004,0.791,1
2187,1904.13,2438.04,16.204,0.0006,0.796,0.248,0.005,0.007,0.79,1
1062,2012.52,2217.36,15.2624,0.0004,0.652,0.22,0.004,0.005,0.788,1
705,1922.06,2245.49,14.5421,0.0003,0.679,0.242,0.003,0.004,0.779,1
238,1933.41,1686.31,13.4379,0.0002,0.418,0.279,0.004,0.003,0.776,1
239,1893.86,2761.43,13.4015,0.0002,0.366,0.219,0.003,0.004,0.773,1
2605,2459.38,1968.51,16.4086,0.0007,0.847,0.277,0.005,0.006,0.773,1
2380,2117.63,2130.78,16.37,0.0008,0.827,-0.161,0.01,0.021,0.772,1
1760,2264.03,2012.71,15.9211,0.0017,0.831,0.241,0.005,0.006,0.769,1
392,2285.74,2220.43,14.0102,0.0002,0.452,0.285,0.003,0.003,0.768,1
93,2289.04,2071.59,12.5576,0.0002,0.369,0.214,0.004,0.003,0.765,1
1253,2040.97,2020.89,15.4824,0.0005,0.704,0.22,0.004,0.006,0.765,1
