ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
305,817.447,1173.16,16.1115,0.0007,1.127,nan,0.013,nan,0.8,-1
306,835.236,1502.75,16.142,0.0007,1.039,nan,0.013,nan,0.97,-1
310,1036.9,1359.36,16.1379,0.0007,1.076,nan,0.012,nan,1.0,-1
317,1357.94,1373.86,16.1866,0.0007,1.108,nan,0.014,nan,0.86,-1
326,1227.58,1219.04,16.2907,0.0008,1.02,nan,0.015,nan,0.9,-1
338,917.747,1170.33,16.3511,0.0006,1.268,nan,0.033,nan,1.0,-1
340,1269.36,1189.25,15.3395,0.0005,2.459,nan,0.027,nan,0.98,-1
361,1340.29,1205.13,16.4895,0.0007,0.92,nan,0.014,nan,1.0,-1
375,956.175,1388.2,16.449,0.0007,1.066,nan,0.015,nan,1.0,-1
380,1133.62,1367.46,16.4946,0.001,1.02,nan,0.016,nan,0.99,-1
384,892.047,1206.61,16.5532,0.0009,0.963,nan,0.014,nan,0.95,-1
388,1234.07,1415.17,16.5483,0.0006,1.017,nan,0.015,nan,1.0,-1
1037,1246.63,1348.41,18.0561,0.0039,1.006,nan,0.06,nan,0.92,-1
394,1096.82,1479.03,16.4777,0.0007,1.097,nan,0.016,nan,1.0,-1
397,1173.25,1429.66,16.4875,0.0007,1.122,nan,0.016,nan,1.0,-1
400,1346.25,1600.07,16.6118,0.0007,0.887,nan,0.015,nan,1.0,-1
404,991.057,1542.63,16.5223,0.0007,1.022,nan,0.014,nan,1.0,-1
413,1201.2,1282.77,16.6982,0.0007,0.854,nan,0.014,nan,0.99,-1
415,1185.98,1708.06,15.8586,0.0009,2.1,nan,0.026,nan,0.8,-1
416,897.135,1406.07,16.6315,0.0007,1.026,nan,0.016,nan,1.0,-1
419,1235.99,1134.08,16.7154,0.0007,0.88,nan,0.015,nan,1.0,-1
421,1192.83,1228.09,16.5652,0.0008,1.133,nan,0.019,nan,0.76,-1
422,898.761,1142.61,16.7442,0.0008,1.057,nan,0.019,nan,0.91,-1
424,1266.42,1346.74,16.7512,0.0008,0.94,nan,0.019,nan,0.85,-1
438,955.834,991.962,16.7665,0.0008,0.938,nan,0.017,nan,0.9,-1
439,735.556,1209.15,17.1907,0.0015,1.156,nan,0.031,nan,0.97,-1
445,1357.55,1184.42,16.7828,0.0007,1.012,nan,0.018,nan,0.98,-1
447,1292.07,1423.72,16.7487,0.0008,1.04,nan,0.018,nan,0.84,-1
450,1037.49,1271.81,16.7378,0.0008,1.095,nan,0.016,nan,1.0,-1
463,953.619,1341.49,16.8407,0.0008,0.952,nan,0.021,nan,0.99,-1
471,1265.62,920.338,16.8582,0.0008,0.914,nan,0.019,nan,0.97,-1
475,1282.62,1164.72,16.8633,0.0008,0.959,nan,0.017,nan,0.9,-1
478,1335.91,1494.08,16.8164,0.0008,0.949,nan,0.018,nan,1.0,-1
479,865.925,961.793,16.7822,0.0007,1.136,nan,0.022,nan,0.86,-1
480,978.712,1440.53,16.664,0.0008,1.194,nan,0.021,nan,0.99,-1
485,1082.87,1344.6,16.79,0.0007,1.107,nan,0.021,nan,0.98,-1
492,1372.3,1028.19,16.8142,0.0009,1.039,nan,0.02,nan,0.87,-1
495,686.794,1375.61,16.1738,0.0008,2.046,nan,0.035,nan,0.62,-1
499,1280.44,1714.66,17.9792,0.0018,1.117,nan,0.035,nan,0.91,-1
500,1061.4,938.203,16.8117,0.0009,1.092,nan,0.026,nan,0.96,-1
504,1309.48,1492.86,17.0725,0.0017,1.005,nan,0.043,nan,0.95,-1
505,904.004,1463.13,16.8881,0.0009,1.058,nan,0.024,nan,0.99,-1
507,1107.79,1403.74,16.8331,0.0009,1.191,nan,0.023,nan,0.82,-1
508,897.669,1375.31,16.8707,0.0008,1.098,nan,0.022,nan,0.99,-1
512,1399.85,1417.24,16.9687,0.0009,1.086,nan,0.019,nan,0.97,-1
516,914.689,1500.65,16.8813,0.0008,1.047,nan,0.022,nan,1.0,-1
518,1057.03,1374.18,17.0765,0.0014,0.961,nan,0.075,nan,0.99,-1
525,1003.0,988.83,16.9177,0.0008,0.95,nan,0.021,nan,1.0,-1
527,1035.88,1422.03,16.9377,0.0007,1.049,nan,0.02,nan,0.99,-1
530,1462.74,1447.62,17.002,0.0007,0.947,nan,0.02,nan,0.85,-1
538,1049.67,1184.87,16.9885,0.0008,1.044,nan,0.019,nan,1.0,-1
540,995.771,1250.03,16.9636,0.0008,1.043,nan,0.022,nan,0.98,-1
543,1102.03,1207.67,17.0622,0.003,1.019,nan,0.022,nan,0.57,-1
555,1089.14,1098.36,17.0902,0.0008,0.969,nan,0.021,nan,0.95,-1
561,1293.9,1619.08,17.112,0.0007,1.008,nan,0.022,nan,0.99,-1
566,1276.14,1539.19,17.109,0.0008,0.941,nan,0.023,nan,0.99,-1
574,1476.88,1146.95,16.6799,0.0009,1.572,nan,0.033,nan,0.95,-1
575,1357.9,1279.12,17.1567,0.0007,0.997,nan,0.02,nan,0.88,-1
576,1496.63,1406.4,17.9975,0.0014,1.075,nan,0.041,nan,0.98,-1
577,1067.98,1543.96,17.0888,0.0011,0.987,nan,0.021,nan,0.86,-1
581,1096.85,1749.47,17.0243,0.0008,1.09,nan,0.025,nan,0.99,-1
598,1148.07,1675.54,17.2028,0.0051,1.036,nan,0.024,nan,0.22,-1
600,1059.56,1465.68,17.0961,0.0008,1.073,nan,0.026,nan,0.87,-1
604,1229.88,1145.5,17.2643,0.0009,1.011,nan,0.024,nan,0.95,-1
605,1007.04,907.053,17.0291,0.0008,1.138,nan,0.029,nan,0.87,-1
617,1228.33,1451.96,17.2287,0.0008,1.015,nan,0.023,nan,0.95,-1
622,1261.53,975.448,17.1725,0.0042,1.105,nan,0.028,nan,0.56,-1
625,1108.83,1264.64,17.1158,0.0009,1.227,nan,0.028,nan,0.82,-1
629,1207.74,898.222,16.619,0.0008,1.956,nan,0.049,nan,0.87,-1
630,1481.12,1423.64,17.1988,0.0009,1.107,nan,0.024,nan,0.67,-1
645,1496.31,1282.22,17.1039,0.0008,1.262,nan,0.029,nan,0.8,-1
649,1084.26,1404.03,17.25,0.0009,1.05,nan,0.025,nan,0.98,-1
