ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_variable_flag,Vmag,B-V,U-B,V-R,R-I
237.45809754683884,44.522096112142634,8.557377785967214,0.6923429784621904,7.870378,7.7397704,7.6081147,0.008165536,0.0035356209,0.005273232,NOT_AVAILABLE,7.686,0.111,0.101,0.055,0.046
146.22101823750856,44.41872956101884,3.476125263760888,0.0610299308961354,8.136111,8.461212,7.683386,2.2056451E-4,7.337079E-4,6.2205934E-4,NOT_AVAILABLE,8.292,0.602,0.174,0.344,0.329
282.2796776591093,45.32124991416847,2.105185689769291,0.027389529629411963,8.1877165,8.858361,7.4489956,4.2297013E-4,0.0020799446,0.0022995435,NOT_AVAILABLE,8.575,1.266,1.441,0.658,0.577
145.39207960171007,44.20691711792496,2.612417160487083,0.04203138478028799,8.481573,9.052748,7.804112,2.2210402E-4,5.822033E-4,8.3928957E-4,NOT_AVAILABLE,8.79,1.111,1.089,0.57,0.505
340.7923888066526,0.3542950548002456,1.811195385182403,0.03567058369154568,8.705417,9.532356,7.8508005,3.8781666E-4,0.0022198772,0.003341527,NOT_AVAILABLE,9.239,1.485,1.853,0.8,0.717
11.087978367940789,45.92033982230317,24.308172852972827,0.05532680477697255,8.719598,9.181728,8.13895,4.1328624E-4,0.0010734554,0.0012174789,NOT_AVAILABLE,8.951,0.866,0.575,0.476,0.421
190.26511986911942,-0.6206477871019785,0.3924425835516954,0.045313950716984394,8.725561,9.594562,7.858547,0.0011187121,0.0032601426,0.00230666,NOT_AVAILABLE,9.37,1.592,1.666,0.832,0.762
238.7527780638225,44.988950667376315,1.9131566460784013,0.02232324507366376,8.731089,9.401531,7.9848447,3.6163896E-4,0.0014344179,0.0015862848,NOT_AVAILABLE,9.12,1.251,1.413,0.66,0.581
238.58255813453724,44.91843858743496,2.2560356852901338,0.02228515118820789,8.737432,9.293419,8.074612,3.625642E-4,0.0013306785,0.0012716166,NOT_AVAILABLE,9.024,1.055,1.002,0.541,0.496
249.30807533532345,-0.04505671647263721,3.914402142077047,0.04579755476992577,8.770796,9.299993,8.118633,2.043747E-4,5.908132E-4,8.4233534E-4,NOT_AVAILABLE,9.059,0.964,0.616,0.522,0.498
133.31002699039928,-0.7251532868363181,2.4753862254095544,0.03742767521215029,8.780486,9.433914,8.045361,2.0530524E-4,6.5914635E-4,6.3029834E-4,NOT_AVAILABLE,9.15,1.276,1.495,0.649,0.552
100.7446363649043,44.64790675210446,1.528727915078681,0.056629789248603526,8.794663,9.383252,8.106126,5.487908E-4,0.0024824513,0.003712969,NOT_AVAILABLE,9.117,1.11,0.918,0.583,0.53
266.3331898787115,-0.43106893353122056,2.270754826669335,0.04455271296343556,8.802988,9.621026,7.949039,8.3516754E-4,0.0019406221,0.0011638368,NOT_AVAILABLE,9.333,1.465,1.591,0.787,0.705
11.465913260616304,45.89576556776598,1.2558420611533712,0.09530465099638122,8.873482,8.853055,8.920291,6.890144E-4,0.0013714165,0.0017150741,NOT_AVAILABLE,8.907,-0.054,-0.417,-0.015,-0.02
248.59719559663867,-4.014477712395235,13.016429858338606,0.07958252692888547,8.889972,8.742109,9.169525,3.100045E-4,8.2164875E-4,0.0013502929,NOT_AVAILABLE,8.943,-0.282,-1.143,-0.127,-0.135
294.3159860054301,0.18286022406523683,2.096045232155058,0.03968665546982788,8.916362,9.038019,8.722041,4.1077085E-4,0.001486684,0.001924962,NOT_AVAILABLE,8.965,0.209,-0.209,0.121,0.145
