#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
20      16.6311 1.2816  1.0065  0.0008  0.0168  0.0203  2.3969  
21      13.3086 0.6551  0.4851  0.0003  0.0073  0.0063  6.9771  
12      15.0393 0.7264  0.5580  0.0004  0.0094  0.0091  2.4030  
13      12.4984 0.5930  0.4159  0.0003  0.0069  0.0060  6.3123  
24      16.0328 1.1167  0.8903  0.0006  0.0129  0.0142  2.7608  
15      17.5456 1.3878  1.1220  0.0012  0.0277  0.0389  1.1252  
16      14.0273 0.6572  0.4871  0.0003  0.0078  0.0070  3.5582  
27      14.8687 0.7884  0.6247  0.0004  0.0091  0.0086  3.8454  
18      16.7623 1.1202  0.8764  0.0008  0.0179  0.0221  1.4071  
19      16.2528 0.9515  0.7820  0.0007  0.0141  0.0161  1.5872  
110     15.3126 0.7414  0.5786  0.0005  0.0101  0.0101  2.1641  
111     18.1581 1.4859  1.2010  0.0016  0.0411  0.0633  1.0258  
112     10.9703 0.5753  0.3790  0.0002  0.0067  0.0057  9.5195  
213     15.3202 0.8826  0.7133  0.0005  0.0102  0.0101  3.3293  
114     17.6472 1.4082  1.1372  0.0012  0.0295  0.0421  1.0927  
115     16.6743 1.0877  0.8565  0.0008  0.0171  0.0209  1.4340  
116     14.8477 0.7065  0.5375  0.0004  0.0090  0.0086  2.5917  
117     16.2731 0.9647  0.7946  0.0007  0.0142  0.0163  1.5790  
118     15.5942 0.7782  0.6234  0.0005  0.0110  0.0114  1.9495  
219     7.5701  2.4841  1.8072  0.0002  0.0066  0.0056  22.0208 
120     14.5319 0.6957  0.5247  0.0004  0.0085  0.0078  2.9276  
121     14.8470 0.6927  0.5244  0.0004  0.0090  0.0086  2.5917  
122     16.5911 1.0881  0.8773  0.0008  0.0165  0.0198  1.4613  
123     16.3455 0.9975  0.8226  0.0007  0.0147  0.0170  1.5498  
224     15.7066 0.9716  0.7753  0.0006  0.0115  0.0120  2.9675  
225     11.9217 0.5842  0.4132  0.0002  0.0068  0.0058  11.8161 
226     16.9983 1.3958  1.1140  0.0009  0.0202  0.0260  2.1998  
227     17.0970 1.4223  1.1394  0.0010  0.0214  0.0279  2.1493  
128     15.2319 0.7480  0.5828  0.0005  0.0099  0.0098  2.2318  
129     17.0458 1.1875  0.9169  0.0009  0.0208  0.0269  1.3333  
230     16.8145 1.3662  1.0932  0.0008  0.0184  0.0229  2.3371  
131     12.0007 0.5871  0.3929  0.0002  0.0068  0.0058  7.3609  
132     17.2243 1.2434  0.9687  0.0010  0.0230  0.0306  1.2903  
133     14.7199 0.6996  0.5297  0.0004  0.0088  0.0082  2.7232  
134     13.4503 0.6137  0.4472  0.0003  0.0074  0.0064  4.4424  
235     16.8123 1.3185  1.0337  0.0008  0.0184  0.0229  2.3371  
136     13.4026 0.6234  0.4557  0.0003  0.0073  0.0064  4.5248  
237     15.9584 1.0897  0.8743  0.0006  0.0125  0.0136  2.8046  
138     17.9807 1.5002  1.2428  0.0014  0.0365  0.0548  1.0467  
239     18.0531 1.6118  1.2932  0.0015  0.0384  0.0582  1.8487  
140     17.5103 1.3577  1.0866  0.0011  0.0271  0.0379  1.1453  
141     15.1788 0.7321  0.5660  0.0005  0.0098  0.0096  2.2770  
242     14.2097 0.7077  0.5404  0.0004  0.0080  0.0073  4.9359  
143     16.8651 1.1823  0.9346  0.0009  0.0189  0.0237  1.3787  
244     13.8037 0.6780  0.5090  0.0003  0.0076  0.0068  5.7957  
245     13.5323 0.6705  0.5002  0.0003  0.0074  0.0065  6.4261  
146     15.2313 0.7353  0.5702  0.0005  0.0099  0.0098  2.2318  
147     14.4765 0.6778  0.5078  0.0004  0.0084  0.0077  2.9910  
148     15.6238 0.7341  0.5782  0.0005  0.0111  0.0116  1.9269  
149     15.7258 0.7787  0.6250  0.0006  0.0115  0.0121  1.8593  
150     17.6590 1.4373  1.1775  0.0012  0.0297  0.0424  1.0904  
151     16.6978 1.1246  0.8963  0.0008  0.0173  0.0212  1.4270  
152     11.1717 0.5679  0.3739  0.0002  0.0067  0.0057  9.1130  
153     14.8820 0.7076  0.5389  0.0004  0.0091  0.0087  2.5570  
154     17.5768 1.3806  1.1066  0.0012  0.0283  0.0399  1.1122  
255     15.0468 0.8155  0.6377  0.0004  0.0095  0.0092  3.6261  
156     11.8185 0.5937  0.3984  0.0002  0.0068  0.0058  7.7267  
257     15.6781 1.0087  0.8109  0.0005  0.0113  0.0119  3.0264  
258     16.5541 1.2811  1.0093  0.0008  0.0162  0.0193  2.4908  
159     17.5653 1.4037  1.1409  0.0012  0.0281  0.0395  1.1166  
260     14.8555 0.7911  0.6296  0.0004  0.0090  0.0086  3.8670  
161     13.6835 0.6363  0.4675  0.0003  0.0075  0.0066  4.0619  
262     17.3132 1.4223  1.1150  0.0011  0.0242  0.0327  2.0239  
163     17.4660 1.3453  1.0845  0.0011  0.0264  0.0366  1.2042  
164     17.6952 1.4710  1.2222  0.0012  0.0304  0.0436  1.0844  
