ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
70,943.67,1451.12,13.788,0.0008,0.434,0.271,0.012,0.01,0.966,1
104,1221.55,1313.17,14.1988,0.0003,0.292,0.206,0.006,0.008,0.964,1
431,808.639,1423.38,15.8627,0.0006,0.492,0.057,0.009,0.021,0.964,1
34,1317.7,1310.69,12.8432,0.0002,1.198,0.784,0.007,0.009,0.962,1
40,920.123,1369.09,13.1845,0.0006,0.396,0.332,0.007,0.007,0.961,1
59,707.673,1241.41,13.3882,0.0003,1.088,0.577,0.006,0.009,0.959,1
95,731.453,1390.4,14.0894,0.0003,0.265,0.194,0.008,0.009,0.957,1
158,1062.96,1228.34,14.7633,0.0004,0.364,0.225,0.006,0.01,0.957,1
647,1124.94,1240.0,16.492,0.0008,0.62,0.031,0.012,0.026,0.957,1
125,1251.77,1105.07,14.3656,0.0003,0.328,0.248,0.006,0.007,0.956,1
164,1089.78,1373.95,14.8031,0.0004,0.44,0.223,0.009,0.01,0.956,1
508,1227.02,1132.53,16.1375,0.0009,0.533,0.073,0.009,0.022,0.956,1
515,1383.88,1232.16,16.1055,0.0007,0.646,-0.058,0.009,0.023,0.955,1
281,924.299,1386.91,15.306,0.0013,0.523,0.09,0.008,0.011,0.954,1
655,937.973,1494.65,16.4708,0.0007,0.611,-0.023,0.011,0.029,0.954,1
21,945.582,1390.82,12.5611,0.0002,0.645,0.291,0.005,0.006,0.953,1
112,999.283,1538.14,14.2172,0.0003,0.352,0.276,0.01,0.009,0.953,1
96,937.03,1340.77,14.0841,0.0003,0.359,0.205,0.007,0.007,0.95,1
81,1190.25,965.65,13.8954,0.0003,0.286,0.263,0.009,0.011,0.948,1
259,920.917,1408.41,15.2457,0.0005,0.557,0.124,0.008,0.014,0.947,1
303,830.572,1149.72,15.4603,0.0006,0.429,0.115,0.006,0.016,0.941,1
365,1300.31,1276.58,15.6687,0.0007,0.481,0.155,0.008,0.018,0.941,1
616,1009.55,1542.3,16.3199,0.001,0.669,0.01,0.014,0.03,0.929,1
35,836.016,1332.38,13.1788,0.0003,0.237,0.132,0.007,0.006,0.926,1
83,1193.45,1422.17,13.8731,0.0004,0.371,0.291,0.008,0.009,0.926,1
200,970.851,1103.05,15.0255,0.0005,0.409,0.159,0.006,0.009,0.926,1
442,1164.78,1455.22,15.9099,0.0009,0.559,0.159,0.01,0.019,0.925,1
91,1017.44,1540.12,13.7302,0.0003,1.143,0.598,0.009,0.015,0.916,1
413,1315.61,1264.47,15.8177,0.0007,0.529,0.165,0.009,0.02,0.915,1
65,693.967,893.797,13.7448,0.0003,0.274,0.25,0.007,0.009,0.914,1
325,871.174,1487.75,15.4993,0.0006,0.5,0.153,0.009,0.016,0.911,1
375,1197.38,868.353,15.6886,0.0007,0.467,0.212,0.013,0.022,0.911,1
243,1070.14,1520.68,15.1775,0.0005,0.493,0.249,0.01,0.016,0.902,1
211,947.823,1115.72,15.1071,0.0004,0.364,0.177,0.006,0.011,0.894,1
264,944.806,1136.53,15.3082,0.0004,0.335,0.197,0.022,0.023,0.894,1
305,826.17,823.731,15.4489,0.0005,0.449,0.21,0.012,0.016,0.889,1
66,1036.4,1324.76,13.7336,0.0003,0.347,0.257,0.007,0.007,0.885,1
195,1371.91,1267.64,15.0175,0.0005,0.38,0.231,0.006,0.012,0.868,1
541,1316.09,1218.73,16.2408,0.0008,0.576,0.049,0.01,0.035,0.863,1
370,1034.5,1265.18,15.6917,0.0011,0.487,0.084,0.008,0.024,0.862,1
729,1166.67,1298.42,16.6027,0.0008,0.701,0.032,0.013,0.041,0.855,1
155,1138.26,1380.87,14.7067,0.0004,0.419,0.288,0.009,0.01,0.828,1
411,1060.64,1269.01,15.7921,0.0009,0.56,0.083,0.009,0.019,0.796,1
549,763.662,1280.68,16.2522,0.0007,0.57,-0.011,0.01,0.026,0.772,1
5,886.554,1278.26,11.5287,0.0003,0.017,-0.155,0.01,0.006,0.616,1
145,1072.58,1148.5,14.3559,0.0003,1.247,0.592,0.006,0.016,0.616,1
188,1064.95,1530.74,14.5845,0.0003,1.215,0.651,0.009,0.026,0.615,1
45,1092.62,1382.36,12.86,0.0003,1.615,1.665,0.008,0.02,0.472,1
51,955.553,1149.7,13.2592,0.0003,1.141,0.867,0.006,0.012,0.439,1
787,700.408,1392.22,16.7404,0.0009,0.682,0.008,0.013,0.041,0.873,0
97,833.168,1371.33,13.8324,0.0003,1.007,0.337,0.007,0.011,0.87,0
74,884.986,1358.12,13.7856,0.0004,0.434,0.247,0.007,0.006,0.86,0
855,948.576,1273.68,16.8886,0.001,0.652,-0.072,0.013,0.033,0.848,0
750,1071.92,1504.65,16.6203,0.0011,0.775,0.047,0.014,0.046,0.781,0
1099,683.388,1043.51,17.3538,0.0018,0.701,-0.002,0.026,0.066,0.723,0
863,984.888,1507.36,16.8297,0.0009,0.675,0.067,0.015,0.047,0.705,0
324,837.524,1081.75,15.5065,0.0005,0.452,0.112,0.006,0.013,0.691,0
202,1358.48,987.969,14.9346,0.001,0.541,0.275,0.013,0.018,0.683,0
33,1113.96,997.768,13.1882,0.0003,0.249,0.082,0.006,0.005,0.658,0
600,967.209,1130.68,16.3335,0.0008,0.705,-0.025,0.009,0.027,0.65,0
730,763.649,1300.57,16.6327,0.0008,0.67,-0.126,0.013,0.03,0.639,0
576,677.17,1189.93,16.3095,0.0012,0.517,0.008,0.019,0.029,0.637,0
113,782.676,1436.57,14.2396,0.0003,0.248,0.101,0.009,0.009,0.632,0
789,1050.73,1281.3,16.7432,0.0008,0.684,-0.016,0.013,0.035,0.632,0
196,1382.41,1064.58,14.9211,0.0004,0.632,-0.061,0.006,0.012,0.619,0
407,921.763,877.693,15.7416,0.0006,0.606,0.187,0.012,0.025,0.611,0
680,1218.94,895.9,16.4247,0.001,0.862,0.195,0.015,0.051,0.609,0
437,892.626,1347.28,15.8926,0.0008,0.504,0.102,0.008,0.018,0.602,0
209,1004.67,1101.98,14.7503,0.0006,1.255,0.895,0.006,0.033,0.585,0
261,734.486,955.003,14.9079,0.0003,1.29,1.344,0.019,0.074,0.582,0
170,1117.05,1346.76,14.4705,0.0003,1.33,0.988,0.007,0.036,0.57,0
668,856.691,1494.26,16.4568,0.0008,0.733,0.083,0.015,0.033,0.545,0
268,1178.88,853.25,15.2167,0.0004,0.729,0.085,0.012,0.017,0.538,0
611,1018.94,1087.58,16.3982,0.0008,0.613,-0.011,0.01,0.029,0.518,0
1476,721.888,1075.24,17.7255,0.0013,0.717,-0.092,0.023,0.083,0.51,0
627,746.295,931.442,16.3303,0.0009,0.838,0.149,0.016,0.044,0.509,0
1401,749.669,1017.66,17.6506,0.0014,0.748,-0.006,0.02,0.087,0.493,0
434,1017.91,860.226,15.8874,0.0006,0.49,0.207,0.012,0.021,0.491,0
279,828.906,1249.97,15.3407,0.0005,0.5,0.196,0.007,0.014,0.485,0
93,1173.38,1186.43,13.5351,0.0004,1.524,1.534,0.006,0.025,0.478,0
415,822.304,964.21,15.7078,0.0005,0.718,-0.05,0.014,0.023,0.477,0
657,662.572,1196.16,16.4648,0.0009,0.647,-0.089,0.01,0.031,0.477,0
252,1006.3,1005.3,15.2324,0.0005,0.568,-0.154,0.006,0.011,0.467,0
634,1340.23,1066.14,16.4682,0.0008,0.637,-0.026,0.01,0.024,0.463,0
405,684.621,1293.25,15.7888,0.0014,0.286,0.373,0.033,0.037,0.46,0
696,1079.45,931.596,16.5696,0.0008,0.622,0.014,0.018,0.041,0.457,0
162,1122.36,1308.98,14.7051,0.0003,0.647,-0.022,0.008,0.01,0.456,0
127,1278.18,1235.25,14.2736,0.0003,0.733,0.004,0.007,0.01,0.452,0
144,628.801,1263.19,14.5349,0.0003,0.654,0.026,0.006,0.01,0.451,0
1033,820.634,1332.93,17.1527,0.001,0.714,-0.064,0.015,0.051,0.446,0
1203,1159.54,1392.3,17.3728,0.0014,0.856,-0.056,0.022,0.069,0.445,0
839,1078.86,1264.04,16.8409,0.0011,0.739,-0.031,0.013,0.047,0.44,0
1378,727.324,1055.83,17.7758,0.0013,0.334,0.058,0.019,0.066,0.438,0
157,640.7,1096.17,14.7692,0.0004,0.347,0.186,0.005,0.01,0.435,0
747,960.167,1394.55,16.6122,0.0009,0.766,0.047,0.013,0.038,0.431,0
183,845.01,1001.87,14.938,0.0005,0.461,0.2,0.005,0.01,0.425,0
253,1084.22,1409.31,15.1772,0.0005,0.714,0.024,0.008,0.013,0.422,0
867,802.097,1412.05,16.9897,0.001,0.447,0.292,0.015,0.046,0.421,0
722,637.944,1033.14,16.4379,0.001,1.111,0.496,0.013,0.07,0.418,0
426,1148.45,1089.06,15.9301,0.0008,0.442,0.249,0.007,0.02,0.408,0
459,922.422,905.37,15.9237,0.0007,0.616,-0.032,0.014,0.024,0.4,0
421,1119.93,1117.24,15.7987,0.0011,0.712,0.052,0.009,0.022,0.399,0
181,660.965,1238.74,14.5957,0.0003,1.221,0.831,0.006,0.026,0.391,0
87,1134.5,1283.45,13.9839,0.0003,0.196,-0.123,0.007,0.007,0.39,0
553,1104.36,1129.09,16.2477,0.0007,0.682,-0.14,0.009,0.026,0.381,0
958,1156.42,794.68,17.0048,0.001,0.72,0.057,0.019,0.066,0.371,0
597,838.168,1361.21,16.8307,0.0074,0.726,0.011,0.034,0.042,0.368,0
49,1214.46,913.379,13.5832,0.0003,0.114,-0.256,0.006,0.007,0.347,0
714,948.991,1194.05,16.6281,0.0012,0.649,-0.06,0.01,0.032,0.337,0
234,1091.11,1297.11,15.1847,0.003,0.571,-0.069,0.013,0.013,0.331,0
242,824.44,1066.53,15.1269,0.0004,0.685,-0.116,0.006,0.012,0.299,0
998,735.602,1027.89,17.077,0.0012,0.862,0.006,0.016,0.069,0.297,0
581,852.404,1016.72,16.213,0.0006,0.956,0.423,0.01,0.048,0.295,0
806,785.125,1412.6,16.7638,0.0009,0.684,0.011,0.015,0.05,0.292,0
72,1328.48,1253.63,13.6898,0.0007,0.713,-0.061,0.007,0.007,0.286,0
578,914.08,1216.58,16.5679,0.0017,0.869,0.187,0.028,0.049,0.284,0
575,1160.83,1340.23,16.1858,0.0007,0.88,0.17,0.011,0.035,0.282,0
1001,964.739,1267.25,17.0892,0.0012,0.737,-0.057,0.013,0.054,0.275,0
632,1164.21,1273.63,16.4106,0.0009,0.778,0.2,0.011,0.041,0.273,0
888,860.326,1118.3,16.9301,0.001,0.741,-0.024,0.015,0.054,0.259,0
1015,763.138,999.921,17.1174,0.0009,0.746,0.156,0.017,0.082,0.23,0
664,851.527,1209.4,16.4405,0.0008,0.807,0.181,0.012,0.047,0.211,0
17,771.589,1148.83,12.4331,0.0002,0.609,-0.068,0.004,0.004,0.205,0
9,975.042,1322.58,12.1443,0.0001,0.49,-0.169,0.006,0.006,0.183,0
350,741.276,1208.05,15.6707,0.0025,0.794,0.204,0.062,0.069,0.174,0
559,1037.86,1533.01,16.222,0.0008,0.787,0.008,0.015,0.031,0.165,0
