#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      13.7893 0.5654  0.2508  0.0004  0.0058  0.0145  2.7254  
21      11.6918 0.5284  0.0856  0.0003  0.0015  -0.0173 7.1944  
12      15.3645 0.7719  0.5167  0.0005  0.0094  0.0407  1.7413  
23      14.0725 0.6612  0.4473  0.0004  0.0064  0.0190  4.0163  
24      13.7482 0.6263  0.4106  0.0004  0.0057  0.0138  4.4273  
15      14.3908 0.6038  0.3693  0.0004  0.0071  0.0242  2.2962  
26      15.0935 0.8478  0.4829  0.0005  0.0087  0.0360  3.0712  
17      15.7688 0.8952  0.5904  0.0005  0.0103  0.0478  1.5844  
18      12.3737 0.5272  0.1025  0.0003  0.0028  -0.0073 3.6413  
19      13.1367 0.5277  0.1204  0.0003  0.0044  0.0042  3.1911  
110     16.0285 0.9078  0.3437  0.0005  0.0110  0.0524  1.4967  
111     13.7363 0.5539  0.2169  0.0004  0.0057  0.0136  2.7636  
112     14.9987 0.6998  0.5236  0.0005  0.0085  0.0344  1.9203  
113     14.8721 0.6655  0.4553  0.0005  0.0082  0.0323  1.9905  
114     13.5546 0.5495  0.1920  0.0004  0.0053  0.0108  2.8968  
115     13.5547 0.5511  0.1951  0.0004  0.0053  0.0108  2.8968  
116     15.7908 0.8813  0.4994  0.0005  0.0104  0.0482  1.5764  
217     14.8488 0.7950  0.5453  0.0004  0.0082  0.0319  3.2362  
218     14.0446 0.6659  0.4573  0.0004  0.0064  0.0186  4.0289  
119     14.6043 0.6292  0.4146  0.0004  0.0076  0.0278  2.1545  
120     15.1831 0.7449  0.5802  0.0005  0.0090  0.0376  1.8252  
121     14.1214 0.5915  0.3412  0.0004  0.0065  0.0198  2.4856  
222     14.4506 0.7166  0.4563  0.0004  0.0073  0.0252  3.5994  
