_r _x _y _p Source RA_ICRS DE_ICRS rest b_rest B_rest rlen ResFlag ModFlag
0.070900 -0.008865 -0.070343 187.2 5406938009730272896 150.45768283930 -49.66672020883 1627.868216753380011 869.312091463350953 3591.186405826790178 1179.756651476360 1 1
0.065855 -0.013371 -0.064483 191.7 5406938009730275328 150.45072262137 -49.66085908243 3320.675546748409943 2079.455350438830010 5415.435785734630372 1179.771369150250 1 1
0.062871 -0.012347 -0.061646 191.3 5406938009732408192 150.45230641578 -49.65802246644 2059.869750200769886 780.532302887030028 4219.602418216990372 1179.826947322700 1 1
0.061493 -0.010783 -0.060540 190.1 5406938009732410112 150.45472244930 -49.65691629278 2601.597879736440063 1265.956909150740103 4806.168015923620260 1179.866281127800 1 1
0.065299 -0.008659 -0.064722 187.6 5406938009732411904 150.45800251836 -49.66109876378 1997.122830115340093 707.376490474209049 4162.975055293029982 1179.839368558220 1 1
0.065232 -0.006961 -0.064859 186.1 5406938009732414080 150.46062574800 -49.66123631328 2316.160102196070056 1039.339384642830055 4499.531559315079903 1179.863115710360 1 1
0.066080 -0.015497 -0.064237 193.6 5406938009739128064 150.44743863977 -49.66061179471 2026.493340940769940 1912.102738972799898 2155.098410124489874 1179.742615391620 1 1
0.064127 -0.007822 -0.063648 187.0 5406938009739129600 150.45929528905 -49.66002485577 2870.234942419840081 2134.746088440129824 4153.957313247899947 1179.867224386630 1 1
0.083869 0.036954 -0.075289 153.9 5406938074149428352 150.52848104602 -49.67165262504 3686.056036149600004 2862.826472001090224 4995.168326933449862 1180.372259935740 1 1
0.082775 0.028469 -0.077725 159.9 5406938074151670784 150.51537195057 -49.67409420472 5062.757077139560351 3544.676679646419871 7330.121346219760198 1180.210933820100 1 1
0.087128 0.033671 -0.080359 157.3 5406938078451267968 150.52341344915 -49.67672519371 2123.115813287240144 997.552045477464048 4232.369111698880261 1180.250241943910 1 1
0.090677 0.039797 -0.081477 154.0 5406938078451316224 150.53288156848 -49.67783875526 1128.097222564030062 472.681035859807992 3384.854309136700067 1180.324893794830 1 1
0.085627 0.031933 -0.079450 158.1 5406938078458821632 150.52072563985 -49.67581725921 3107.125262779180048 2376.603951806219811 4320.248810048429732 1180.237552464060 1 1
0.081362 0.031413 -0.075053 157.3 5406938078458823296 150.51991775885 -49.67142065413 1720.209856500169963 1639.414585535359947 1809.204187642990064 1180.293255145230 1 1
0.082393 0.011213 -0.081626 172.2 5406938108511395840 150.48870796301 -49.67800274832 2260.541104696800176 1306.610250378819956 4233.077504397920166 1179.897453347160 1 1
0.083059 0.022337 -0.079999 164.4 5406938108511400320 150.50589804346 -49.67637184948 3155.743732861819808 1848.040128233029918 5340.845779973689787 1180.086850462440 1 1
0.080859 0.016314 -0.079196 168.4 5406938108511401728 150.49659014119 -49.67557081954 3265.666641037360023 2014.046969782509905 5379.583018562239886 1180.008545084140 1 1
0.078790 0.018771 -0.076521 166.2 5406938108511409408 150.50038494195 -49.67289533487 2878.046618933040008 1771.608122461070025 4883.580555322490000 1180.083635158150 1 1
0.076444 0.017458 -0.074424 166.8 5406938108511415808 150.49835436846 -49.67079887063 2761.231257328549873 1773.747287856160028 4633.575575044270408 1180.094088610160 1 1
0.081064 0.010478 -0.080384 172.6 5406938112811004416 150.48757207448 -49.67676001235 2876.532519316259823 1554.865865105899957 5062.373526697590023 1179.904285943250 1 1
0.075379 0.016666 -0.073514 167.2 5406938112818346880 150.49713050106 -49.66988856779 878.246630756764034 627.256486451984983 1444.126038826570039 1180.095295430070 1 1
0.080149 0.021880 -0.077104 164.2 5406938112818729472 150.50518984829 -49.67347689974 2869.298989676889960 1526.324845733530083 5071.058907582470056 1180.121679196110 1 1
0.082652 0.026555 -0.078270 161.3 5406938142871147648 150.51241484896 -49.67464005497 2853.807446085019819 1686.503450694540106 4921.206241889970443 1180.174589719740 1 1
0.080549 0.025938 -0.076259 161.2 5406938142871149440 150.51145961262 -49.67262970723 4618.147869402680044 3403.867857193420150 6523.505996530069751 1180.194347547870 1 1
0.077856 0.025370 -0.073606 161.0 5406938142871154048 150.51057942026 -49.66997745125 2546.617750254689781 1596.421549477290000 4412.542808512979718 1180.224025520130 1 1
0.078100 0.027975 -0.072918 159.0 5406938142871160576 150.51460405803 -49.66928728236 2102.712265093819951 1241.097008804109919 3981.741289563729879 1180.272789063170 1 1
0.076441 0.026932 -0.071539 159.4 5406938142871160704 150.51299201603 -49.66790904094 3289.951877990470166 2111.067965523190196 5327.922493233600107 1180.277060891990 1 1
0.073631 0.020883 -0.070607 163.5 5406938142871163136 150.50364497604 -49.66698014670 2607.493839100479818 1689.897178775220027 4401.831510301570233 1180.200051651680 1 1
0.069740 0.022562 -0.065990 161.1 5406938142871173120 150.50623622333 -49.66236216883 2852.045370323070074 1771.283592434650018 4845.404120964300091 1180.291336407880 1 1
0.067548 0.018112 -0.065074 164.4 5406938142871177344 150.49936071448 -49.66144857391 3014.260306602479886 1892.818113315490109 5015.813552808450368 1180.237733348640 1 1
0.068791 0.024659 -0.064220 159.0 5406938142871177728 150.50947412519 -49.66059100146 3134.714523197049857 1782.944859750260093 5332.637859343650234 1180.348082202950 1 1
0.067327 0.020959 -0.063981 161.9 5406938142871178752 150.50375829413 -49.66035450034 4361.532203907910116 3134.864815700369945 6319.745658087270385 1180.296054957020 1 1
0.064233 0.021766 -0.060433 160.2 5406938142871205120 150.50500174065 -49.65680550458 2731.393177172999913 1976.348048284819924 4103.094279885100150 1180.358871487110 1 1
0.070208 0.017450 -0.068005 165.6 5406938147169250560 150.49833871214 -49.66437973216 1480.709162900720003 806.353818488412003 3411.122265497670014 1180.185894254210 1 1
0.070454 0.019110 -0.067813 164.3 5406938147169252096 150.50090358680 -49.66418713930 2942.583394084880183 1801.201650410879893 4985.740032290769705 1180.213520277020 1 1
0.067195 0.018949 -0.064468 163.6 5406938147169258496 150.50065279634 -49.66084176777 3150.775328772880130 1725.296276946309945 5402.854915125270054 1180.258950750250 1 1
0.076920 0.023356 -0.073289 162.3 5406938147169974016 150.50746704364 -49.66966083725 2887.767999907020112 1602.064375201299981 5044.653743670870426 1180.198524121420 1 1
0.076152 0.023425 -0.072460 162.1 5406938147169974784 150.50757351132 -49.66883167083 2654.517650310960107 1445.422960835989898 4793.748386823789588 1180.211465732780 1 1
0.075506 0.023237 -0.071841 162.1 5406938147169974912 150.50728261177 -49.66821352453 3272.866681349869850 2143.583507632889905 5257.402801550159893 1180.217533052110 1 1
0.074731 0.022822 -0.071161 162.2 5406938147169975936 150.50664015574 -49.66753344869 3025.921868213819835 1982.469202065670061 4916.665745952110228 1180.221086771620 1 1
0.078168 0.027748 -0.073078 159.2 5406938147169977600 150.51425307565 -49.66944757839 2542.555961313260013 1237.467742527860082 4732.056141177079553 1180.267096372110 1 1
0.071755 0.022502 -0.068135 161.7 5406938147170183168 150.50614374815 -49.66450766775 592.296848872032001 353.056109009169006 1777.918800413030112 1180.259692290620 1 1
0.081390 0.028182 -0.076355 159.7 5406938147170792320 150.51492761704 -49.67272452963 2809.387792432959941 1516.864657770410076 4976.943329785710375 1180.226401653850 1 1
0.068252 0.022434 -0.064460 160.8 5406938147171393792 150.50603706329 -49.66083236956 2371.948668324139817 1142.739769128429998 4524.646641320389790 1180.311315334020 1 1
0.075451 0.022165 -0.072122 162.9 5406938147171394944 150.50562679731 -49.66849475548 2464.532870382230158 1144.600518270070097 4664.586848387600185 1180.197488506680 1 1
0.078832 0.026985 -0.074069 160.0 5406938147171399296 150.51307490365 -49.67043957062 3036.321383386460184 1640.877865758380040 5269.765316079689910 1180.241454266390 1 1
0.072797 0.028425 -0.067018 157.0 5406938147171399680 150.51529463872 -49.66338765302 2335.845219346590056 1038.729740975410095 4528.999537822270213 1180.364285207890 1 1
0.070720 0.017229 -0.068589 165.9 5406938147178087424 150.49799754419 -49.66496390069 2339.612401051520010 2166.548115440759830 2541.835960902819807 1180.174226538280 1 1
0.062594 0.019734 -0.059402 161.6 5406938147178091136 150.50186200115 -49.65577598076 3003.714320884550034 2482.335521463609894 3768.447503201110067 1180.343069046130 1 1
0.074620 0.023135 -0.070942 161.9 5406938147178298752 150.50712502393 -49.66731461565 3399.278632066690079 2859.689641215500160 4160.849117959909563 1180.228916507000 1 1
0.070569 0.024667 -0.066117 159.5 5406938147178301184 150.50948710347 -49.66248857654 1118.126179137070039 682.342866503007031 2540.689835058679819 1180.321009554140 1 1
0.074200 0.028573 -0.068478 157.4 5406938147178301568 150.51552445935 -49.66484692004 1586.694751572930045 1485.888069765539967 1701.833586851839982 1180.345538756530 1 1
0.071097 0.026743 -0.065876 157.9 5406938147178302592 150.51269490177 -49.66224604199 2812.678295010539841 2166.024489298829849 3889.157657426009791 1180.355534114000 1 1
0.089158 0.043065 -0.078068 151.1 5406938177226960256 150.53792777804 -49.67442638902 2490.748916445049872 1868.765145634150031 3589.472663713970178 1180.422713346430 1 1
0.087702 0.042576 -0.076674 151.0 5406938177226960384 150.53716976882 -49.67303343046 2767.491546600449965 1610.173969624380106 4836.415944476239929 1180.435647586320 1 1
0.087257 0.046271 -0.073978 148.0 5406938177226976000 150.54287511004 -49.67033381633 4564.521958353169794 3230.172258809800041 6648.942193686330029 1180.529454339500 1 1
0.083070 0.042397 -0.071436 149.3 5406938177226992128 150.53688637652 -49.66779526068 2709.231987999320154 1502.435264167819923 4839.993770596869581 1180.508772952540 1 1
0.077739 0.033907 -0.069955 154.1 5406938177226998656 150.52376588507 -49.66632069715 2419.694418094130015 1760.254687731930062 3642.576110846709980 1180.403844297790 1 1
0.081909 0.046244 -0.067606 145.6 5406938177227009024 150.54282354236 -49.66396165376 5432.190784491190243 4009.403352598640140 7564.842180122649552 1180.621240122330 1 1
0.080505 0.043413 -0.067797 147.4 5406938177227009152 150.53845127055 -49.66415479362 3470.875534173419965 2115.408139736080102 5654.073244179179710 1180.576438956820 1 1
0.078050 0.041676 -0.065992 147.7 5406938177227015424 150.53576430265 -49.66235210902 4524.118093861179659 3260.713344648239854 6521.137967917159585 1180.576625560950 1 1
0.076335 0.037221 -0.066645 150.8 5406938177227015552 150.52888316884 -49.66300837530 4705.099974352739991 3266.083705183740221 6899.169683742699817 1180.500890036300 1 1
0.075826 0.039674 -0.064619 148.5 5406938177227024768 150.53266991555 -49.66098023368 3459.687030993120061 2086.285063773770162 5660.648018439440420 1180.566609776020 1 1
0.070128 0.038008 -0.058935 147.2 5406938177227054336 150.53008896355 -49.65529747479 1979.504274946790019 1003.102993773749972 4066.353350485159808 1180.623492946790 1 1
0.075127 0.036426 -0.065705 151.0 5406938177228651520 150.52765377446 -49.66206897151 1796.331082905589938 1060.791282265269956 3597.612433451689867 1180.502570699770 1 1
0.082166 0.036440 -0.073644 153.7 5406938181529726208 150.52768387768 -49.67000825890 3236.043963507890112 1847.838939136119961 5459.315592503369771 1180.388358570210 1 1
0.086136 0.040651 -0.075940 151.8 5406938181529727232 150.53419364923 -49.67230093430 1230.460195884169934 679.092726040717025 3099.575210368660009 1180.417722741890 1 1
0.082308 0.037683 -0.073176 152.8 5406938181529728128 150.52960402902 -49.66953883478 1293.538280274329964 787.030266346704025 2809.702132240789979 1180.413599872620 1 1
0.083098 0.040733 -0.072430 150.6 5406938181529731200 150.53431552864 -49.66879054624 738.085972352160979 507.320915439551982 1337.227452174119890 1180.469688012720 1 1
0.078676 0.038054 -0.068861 151.1 5406938181529731968 150.53017249635 -49.66522410115 2699.639417055349895 1441.939917587829996 4847.458377736819784 1180.481361732050 1 1
0.083474 0.043782 -0.071071 148.4 5406938181529735552 150.53902488271 -49.66742922464 3018.872836193550029 1811.756383112239973 5110.824380185679729 1180.534601026120 1 1
0.079035 0.040827 -0.067674 148.9 5406938181529736704 150.53445529608 -49.66403420641 1129.610585293369923 564.092861596340981 3208.144517332269970 1180.539751238170 1 1
0.075553 0.039353 -0.064495 148.6 5406938181529738368 150.53217359456 -49.66085640725 3625.228836285240050 2549.899125321459906 5449.779383216099632 1180.563611225080 1 1
0.071082 0.038597 -0.059690 147.1 5406938181529741824 150.53100019071 -49.65605265499 4169.886937509770178 2943.254707038359811 6153.191284830179939 1180.621438725040 1 1
0.091224 0.043763 -0.080041 151.3 5406938181529922176 150.53900859412 -49.67639891553 2600.351935376500023 1339.761561650780095 4757.606240603659899 1180.404435699540 1 1
0.073743 0.036390 -0.064139 150.4 5406938181530418560 150.52759581428 -49.66050304944 684.367420868234944 377.813358952540000 2530.604045944290192 1180.524554889270 1 1
0.074583 0.035072 -0.065822 152.0 5406938181530615808 150.52556142924 -49.66218737004 3298.633660582619996 1895.146678653029994 5532.078658012230335 1180.480684691600 1 1
