ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
201,1182.47,1277.82,15.9154,0.0005,1.037,0.819,0.009,0.01,0.18,0
609,1628.18,1326.38,17.4089,0.0011,1.244,1.036,0.022,0.024,0.18,0
778,1390.25,1042.55,17.7579,0.0011,1.277,0.992,0.028,0.032,0.18,0
44,1709.22,926.013,13.7143,0.0002,1.254,1.152,0.011,0.012,0.179,0
301,1395.24,1095.4,16.263,0.0007,1.584,1.317,0.011,0.014,0.17,0
437,1315.01,1130.22,16.9941,0.0022,1.254,1.02,0.016,0.018,0.17,0
573,1327.72,880.337,17.1391,0.0012,1.562,1.324,0.02,0.026,0.17,0
806,1351.51,1369.08,17.7818,0.0014,1.336,1.042,0.031,0.034,0.17,0
1145,1736.43,959.983,18.4139,0.002,1.334,1.15,0.057,0.086,0.17,0
1159,1044.18,1289.25,18.4923,0.0019,1.396,1.251,0.044,0.058,0.17,0
272,1726.19,1229.95,16.3094,0.0006,1.163,0.918,0.011,0.012,0.161,0
1057,1525.0,1437.96,18.1681,0.0017,1.594,1.316,0.036,0.063,0.16,0
949,1296.17,835.701,18.0557,0.0016,1.341,1.224,0.042,0.059,0.15,0
1116,1023.54,1109.15,18.321,0.0015,1.637,1.318,0.046,0.062,0.15,0
1218,1747.57,1220.83,18.6387,0.0026,1.374,1.08,0.055,0.075,0.15,0
735,1040.44,1222.84,17.6116,0.0011,1.44,1.13,0.023,0.031,0.13,0
1249,1309.07,1116.6,18.7327,0.0023,1.494,1.205,0.063,0.087,0.07,0
23,1300.31,1234.14,13.0575,0.0004,0.519,0.417,0.006,0.006,0.0,0
1267,1721.81,1216.34,18.9937,0.0031,nan,1.075,nan,0.098,0.21,-1
