ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
670,1165.39,1260.89,16.5132,0.0009,0.547,0.36,0.01,0.037,0.2578,-6.807,4.188,0.0477,0.091,0.087,0.85,1
695,1267.57,1760.88,16.5161,0.0007,0.522,0.348,0.013,0.053,0.2391,-6.783,4.247,0.0559,0.099,0.092,0.844,1
649,1441.75,993.044,16.5119,0.0009,0.523,0.342,0.011,0.044,0.2486,-6.428,4.197,0.0504,0.098,0.091,0.793,1
713,1175.55,989.195,16.5187,0.0009,0.497,0.281,0.02,0.045,0.1102,-6.825,4.05,0.0562,0.106,0.101,0.781,1
350,1133.39,1245.22,15.6082,0.0006,0.413,0.166,0.007,0.015,0.1825,-6.668,4.16,0.0332,0.064,0.061,0.727,1
353,1221.78,1121.82,15.6115,0.001,0.416,0.122,0.007,0.015,0.0382,-6.555,4.362,0.0493,0.092,0.085,0.724,1
21,1235.03,1180.77,12.5384,0.0002,0.378,0.084,0.004,0.004,0.6277,-10.76,4.633,0.0319,0.055,0.055,0.711,1
28,1205.71,1075.56,12.6853,0.001,0.298,-0.66,0.004,0.003,0.1629,-6.774,3.969,0.0275,0.05,0.048,0.704,1
578,1122.11,1373.28,16.2975,0.0007,0.508,0.323,0.01,0.032,0.2816,-6.798,4.126,0.0441,0.084,0.083,0.686,1
69,970.824,1120.83,13.6852,0.0003,0.276,-0.21,0.005,0.005,0.1814,-6.809,4.126,0.0167,0.035,0.032,0.682,1
90,1169.4,1212.46,13.935,0.0003,0.336,-0.138,0.005,0.005,0.1855,-6.67,4.016,0.0245,0.047,0.047,0.68,1
57,1298.87,1142.9,13.4511,0.0002,0.581,-0.005,0.005,0.005,0.9462,-8.301,7.384,0.0175,0.035,0.031,0.674,1
187,980.218,1194.48,14.7744,0.0004,0.602,-0.147,0.005,0.008,1.0274,-3.909,1.526,0.0226,0.045,0.046,0.673,1
121,1151.48,1251.84,14.3521,0.0004,0.335,-0.084,0.005,0.006,0.1425,-6.75,4.027,0.0235,0.044,0.043,0.671,1
159,1194.08,1274.37,14.6992,0.0006,0.363,0.248,0.005,0.01,0.4468,-6.854,2.481,0.0824,0.157,0.147,0.671,1
200,976.346,1101.32,14.8509,0.0005,0.398,-0.322,0.005,0.007,0.2309,-5.532,4.078,0.0224,0.045,0.044,0.671,1
589,1012.31,984.665,16.3021,0.0007,0.49,0.412,0.013,0.036,0.1813,-6.817,4.227,0.0438,0.096,0.081,0.671,1
157,942.757,1030.98,14.6591,0.0003,0.355,-0.085,0.005,0.008,0.206,-6.787,4.062,0.0214,0.044,0.043,0.67,1
51,1197.46,1063.97,13.3515,0.0003,0.381,-0.088,0.005,0.005,0.1779,-6.76,4.109,0.0174,0.031,0.03,0.669,1
168,931.36,1003.13,14.7158,0.0004,0.385,-0.228,0.006,0.006,0.1541,-6.688,4.263,0.0224,0.045,0.047,0.668,1
183,1287.17,1275.0,14.7817,0.0003,0.377,-0.013,0.006,0.007,0.2083,-6.783,4.187,0.0258,0.046,0.044,0.667,1
15,1330.94,1142.37,11.8161,0.0003,1.587,1.301,0.005,0.009,0.2482,-6.771,4.106,0.0265,0.052,0.049,0.666,1
172,1337.26,1191.52,14.7395,0.0003,0.379,-0.075,0.005,0.008,0.1467,-6.664,4.197,0.0219,0.042,0.041,0.666,1
162,1438.78,1013.22,14.7068,0.0005,0.399,0.239,0.006,0.01,0.5512,-6.098,3.67,0.1119,0.209,0.203,0.662,1
518,1069.14,1184.56,16.1284,0.0081,0.739,0.016,0.011,0.031,nan,nan,nan,nan,nan,nan,0.661,1
176,1273.68,1175.9,14.7417,0.0003,0.415,-0.009,0.005,0.008,0.2008,-6.754,4.173,0.0229,0.043,0.044,0.66,1
249,969.449,1085.59,15.1368,0.0006,0.419,0.088,0.006,0.009,0.8994,-7.992,3.381,0.154,0.295,0.3,0.658,1
707,1352.0,1080.04,16.5805,0.0008,0.575,0.406,0.011,0.049,0.1861,-6.765,4.148,0.0551,0.098,0.092,0.656,1
170,1577.33,1279.95,14.6861,0.0003,0.595,-0.109,0.006,0.009,0.8583,-11.308,9.623,0.0227,0.048,0.05,0.654,1
62,1270.04,1452.65,13.5577,0.0002,0.395,-0.037,0.008,0.006,0.1935,-6.736,4.209,0.0179,0.034,0.033,0.653,1
109,1121.88,1323.95,14.1496,0.0003,0.391,0.127,0.006,0.007,0.1666,-6.79,4.096,0.018,0.035,0.034,0.653,1
120,1308.32,1344.85,14.3103,0.0003,0.404,-0.074,0.006,0.007,0.2065,-6.662,4.279,0.0214,0.039,0.037,0.653,1
257,919.514,1142.09,15.2007,0.0004,0.338,0.077,0.006,0.011,0.2021,-6.717,4.157,0.0262,0.054,0.051,0.653,1
300,1024.93,1179.19,15.3709,0.0004,0.351,-0.001,0.006,0.01,0.2025,-6.834,3.949,0.0282,0.056,0.058,0.652,1
78,1257.99,1464.52,13.7519,0.0003,0.386,-0.112,0.008,0.006,0.2424,-6.77,4.137,0.0188,0.034,0.033,0.65,1
229,1320.18,1034.61,15.0364,0.0016,0.41,0.012,0.006,0.009,0.0906,-5.544,5.752,0.1592,0.294,0.278,0.65,1
119,1181.5,1405.91,14.303,0.0003,0.378,0.058,0.007,0.007,0.2135,-6.734,4.06,0.0202,0.037,0.037,0.648,1
295,1133.39,1201.45,15.3232,0.0004,0.366,0.104,0.006,0.011,0.1471,-6.749,4.148,0.0271,0.052,0.05,0.647,1
108,1382.9,1434.36,14.1277,0.0005,0.332,-0.201,0.008,0.006,0.1767,-6.751,4.147,0.0205,0.039,0.038,0.646,1
143,1340.84,1373.74,14.5386,0.0003,0.367,-0.023,0.007,0.008,0.1598,-6.755,4.182,0.0233,0.044,0.04,0.646,1
236,1436.52,1036.57,15.1016,0.0003,0.377,0.055,0.006,0.01,0.2086,-6.285,4.525,0.0251,0.048,0.046,0.646,1
52,1041.94,1221.41,13.3769,0.0006,0.306,-0.273,0.006,0.006,0.1604,-6.722,4.137,0.0181,0.035,0.036,0.645,1
730,1071.49,905.579,16.5766,0.0008,0.571,0.399,0.015,0.051,0.1675,-6.688,4.143,0.0501,0.102,0.099,0.645,1
250,1096.64,1416.59,15.1265,0.0004,0.389,-0.18,0.008,0.009,0.233,-6.671,4.256,0.0266,0.052,0.051,0.639,1
167,833.268,1357.79,14.6394,0.0003,0.647,-0.061,0.008,0.009,1.1314,0.37,-1.888,0.0203,0.041,0.039,0.637,1
245,843.999,1222.58,15.1211,0.0004,0.474,0.156,0.006,0.012,0.3551,-5.325,2.498,0.0257,0.052,0.049,0.637,1
205,842.388,1274.07,14.9097,0.0004,0.38,0.108,0.007,0.01,0.132,-6.793,4.217,0.0231,0.047,0.045,0.636,1
266,1283.5,1024.87,15.2165,0.0004,0.403,0.103,0.006,0.013,0.1836,-6.632,4.057,0.0273,0.053,0.049,0.636,1
64,1131.41,921.234,13.596,0.0003,0.379,-0.173,0.009,0.007,0.196,-6.791,4.019,0.0185,0.035,0.032,0.634,1
1021,1297.31,989.12,17.0015,0.0009,0.625,0.355,0.023,0.08,0.3176,-6.741,4.031,0.0633,0.12,0.114,0.633,1
115,759.844,1463.52,14.2185,0.0004,0.664,-0.032,0.009,0.008,1.3911,-7.904,1.688,0.0212,0.043,0.042,0.631,1
198,1568.3,1477.57,14.8374,0.0003,0.362,-0.011,0.008,0.01,0.1787,-6.836,4.086,0.0238,0.044,0.044,0.631,1
93,1367.22,1547.49,14.008,0.0006,0.366,-0.064,0.009,0.007,0.6659,-6.036,4.439,0.0201,0.039,0.036,0.63,1
174,1274.9,1511.47,14.6644,0.0003,0.758,0.115,0.009,0.01,0.8878,-15.006,7.425,0.0455,0.087,0.078,0.63,1
203,1532.53,1492.08,14.7942,0.0003,0.652,-0.072,0.008,0.011,0.5997,-9.998,4.201,0.0253,0.048,0.049,0.63,1
235,921.912,1291.01,15.0255,0.0004,0.645,0.01,0.007,0.012,0.7785,-3.676,3.392,0.0248,0.052,0.052,0.63,1
302,1067.4,1268.43,15.3591,0.0004,0.415,0.167,0.006,0.014,0.1524,-6.68,4.129,0.0281,0.054,0.051,0.63,1
325,1215.83,1329.05,15.4667,0.0005,0.459,0.205,0.006,0.014,0.1808,-6.575,4.242,0.0301,0.057,0.055,0.63,1
68,1051.36,1494.97,13.6456,0.0002,0.38,-0.149,0.009,0.007,0.1932,-6.779,3.812,0.0193,0.036,0.033,0.627,1
215,1215.01,1407.98,14.937,0.0004,0.419,0.113,0.008,0.011,0.2059,-6.881,3.93,0.0243,0.048,0.045,0.627,1
384,1240.96,1288.3,15.689,0.0005,0.419,0.231,0.006,0.017,0.2162,-6.593,4.132,0.034,0.064,0.063,0.626,1
290,1364.84,1408.21,15.2353,0.0004,0.629,-0.057,0.007,0.013,0.6738,-10.099,7.333,0.0342,0.061,0.064,0.625,1
320,1170.68,1275.31,15.4986,0.0004,0.337,0.191,0.007,0.013,0.1685,-6.504,3.8,0.029,0.056,0.054,0.625,1
114,1299.33,1702.74,14.2728,0.0004,0.352,0.231,0.011,0.009,0.304,-5.344,2.579,0.0208,0.041,0.04,0.624,1
299,1324.82,1303.97,15.3259,0.0004,0.385,0.019,0.007,0.012,0.147,-6.76,4.083,0.0281,0.053,0.051,0.624,1
123,1080.86,1551.58,14.3332,0.0003,0.38,-0.177,0.01,0.007,0.1834,-6.706,4.108,0.0215,0.04,0.037,0.623,1
94,1181.49,1540.97,13.9702,0.0002,0.391,-0.104,0.01,0.008,0.1754,-6.644,4.331,0.0199,0.037,0.036,0.622,1
104,781.829,1449.29,14.0908,0.0003,0.354,-0.081,0.009,0.008,0.195,-6.843,4.114,0.0197,0.041,0.038,0.621,1
59,858.592,1664.69,13.5291,0.0003,0.332,-0.27,0.01,0.008,0.2058,-6.705,4.126,0.0192,0.037,0.035,0.618,1
385,922.976,998.266,15.679,0.0005,0.456,0.206,0.007,0.017,0.0917,-6.83,3.911,0.0323,0.065,0.065,0.615,1
107,881.022,962.203,14.1038,0.0003,0.581,-0.072,0.011,0.01,0.8429,-2.169,0.686,0.0182,0.039,0.035,0.61,1
348,834.365,1284.71,15.5667,0.0004,0.393,0.18,0.009,0.016,0.2203,-6.783,4.139,0.0301,0.062,0.06,0.61,1
414,1256.91,1296.44,15.8122,0.0006,0.394,0.17,0.007,0.018,0.2007,-6.725,4.038,0.0349,0.065,0.065,0.61,1
343,1287.42,1266.74,15.546,0.0007,0.413,0.099,0.008,0.016,0.1956,-6.914,4.042,0.0347,0.063,0.059,0.609,1
181,1033.32,1423.44,14.8079,0.0004,0.382,-0.003,0.012,0.01,0.1456,-6.909,4.08,0.0242,0.048,0.047,0.607,1
405,1372.98,1205.53,15.7768,0.0005,0.414,0.21,0.007,0.02,0.1834,-6.826,4.124,0.033,0.063,0.062,0.607,1
116,1075.05,885.133,14.2655,0.0003,0.372,-0.247,0.012,0.009,0.1885,-6.784,4.161,0.0197,0.041,0.037,0.605,1
438,848.474,1176.06,15.8903,0.0006,0.378,0.191,0.009,0.017,0.1444,-6.868,4.074,0.0343,0.069,0.066,0.602,1
448,1228.87,1208.58,15.9463,0.0008,0.45,0.191,0.007,0.02,0.2673,-6.696,4.342,0.0423,0.075,0.076,0.601,1
153,1180.41,1645.38,14.6063,0.0004,0.361,-0.153,0.012,0.01,0.1904,-6.903,3.946,0.0251,0.049,0.045,0.6,1
280,1110.55,1445.44,15.2274,0.0004,0.435,0.051,0.009,0.014,0.1748,-6.882,4.087,0.0299,0.053,0.054,0.598,1
278,1303.25,1570.2,15.2333,0.0005,0.345,0.018,0.012,0.011,0.1614,-6.761,4.026,0.0288,0.054,0.05,0.595,1
436,1028.77,1295.2,15.8739,0.0007,0.415,0.197,0.007,0.021,0.1831,-6.812,4.15,0.0392,0.072,0.068,0.595,1
95,1119.19,1775.31,13.9802,0.0003,0.355,-0.152,0.013,0.009,0.1444,-6.671,4.039,0.021,0.038,0.035,0.594,1
161,1012.09,1718.71,14.6512,0.0005,0.347,0.212,0.013,0.011,0.3123,-8.453,3.997,0.0241,0.044,0.042,0.592,1
158,1209.59,865.322,14.6212,0.0003,0.441,0.04,0.013,0.012,0.1176,-6.816,3.98,0.0209,0.042,0.041,0.591,1
239,1161.58,978.007,15.0416,0.0004,0.431,0.062,0.012,0.014,0.1592,-6.777,4.146,0.0325,0.061,0.055,0.591,1
486,1015.13,1076.63,16.0619,0.0007,0.465,0.303,0.008,0.027,0.095,-6.742,4.234,0.037,0.074,0.071,0.591,1
355,1479.82,1523.38,15.5581,0.0004,0.433,0.178,0.011,0.017,0.2454,-6.725,3.984,0.0316,0.064,0.06,0.59,1
395,1197.41,1313.66,15.7373,0.0005,0.429,0.269,0.007,0.024,0.1943,-6.691,4.207,0.0331,0.063,0.061,0.587,1
178,1447.76,972.249,14.7466,0.0004,0.5,0.059,0.012,0.013,0.3874,-6.941,2.57,0.0235,0.048,0.045,0.586,1
398,1256.82,983.833,15.6784,0.0006,0.641,-0.02,0.011,0.016,0.4573,-1.184,-0.661,0.0345,0.069,0.063,0.585,1
112,1115.76,796.246,14.2081,0.0003,0.551,-0.112,0.013,0.01,0.7041,-3.954,0.21,0.0199,0.042,0.039,0.584,1
196,1269.57,1718.81,14.7987,0.0003,0.537,-0.053,0.013,0.013,0.5192,-7.465,4.748,0.0232,0.045,0.042,0.583,1
392,1057.58,1371.66,15.723,0.0007,0.451,0.176,0.009,0.018,0.0892,-6.808,4.187,0.0416,0.082,0.076,0.583,1
475,1094.48,1401.73,16.0026,0.0007,0.487,0.323,0.008,0.028,0.1528,-6.656,4.28,0.0382,0.075,0.073,0.583,1
296,1537.77,1595.53,15.2738,0.0008,0.524,0.311,0.011,0.016,-1.3545,-4.308,6.047,0.29,0.553,0.516,0.581,1
447,1187.08,1299.03,15.9051,0.0006,0.45,0.318,0.008,0.022,0.1861,-6.776,4.048,0.0358,0.072,0.065,0.581,1
304,1247.23,1580.65,15.3031,0.0005,0.607,0.071,0.012,0.016,0.3682,-4.614,3.159,0.0338,0.063,0.062,0.58,1
321,1236.23,1371.92,15.477,0.0008,0.421,0.136,0.013,0.016,0.2125,-6.625,4.314,0.0306,0.057,0.055,0.578,1
440,1165.0,1326.15,15.8419,0.0005,0.536,0.311,0.009,0.026,0.1758,-6.746,4.132,0.0347,0.067,0.064,0.578,1
494,975.728,1002.05,16.0742,0.0007,0.489,0.254,0.008,0.027,0.184,-6.758,4.097,0.0397,0.079,0.082,0.578,1
429,1490.37,1407.21,15.8094,0.0005,0.533,0.25,0.01,0.024,0.2643,-4.477,1.927,0.0339,0.064,0.062,0.577,1
303,855.806,1433.27,15.3546,0.0011,0.535,0.344,0.01,0.019,-1.0825,-5.983,5.214,0.4142,0.812,0.735,0.576,1
364,1096.97,1472.28,15.5831,0.0005,0.493,0.287,0.009,0.021,0.257,-6.643,4.217,0.0314,0.061,0.057,0.576,1
508,1574.05,1084.3,16.0534,0.0007,0.662,0.062,0.009,0.03,0.2854,-6.099,3.736,0.0418,0.078,0.075,0.575,1
488,812.648,1118.57,16.0713,0.0006,0.462,0.286,0.009,0.026,0.1586,-6.82,3.965,0.041,0.078,0.078,0.575,1
515,1215.78,1353.06,16.1129,0.0008,0.517,0.337,0.009,0.028,0.2151,-6.598,4.338,0.0615,0.115,0.112,0.572,1
506,1370.3,998.053,16.0586,0.0007,0.582,0.315,0.009,0.025,0.1441,-6.083,3.36,0.0478,0.082,0.077,0.57,1
824,1290.65,1520.31,16.7874,0.0012,0.593,0.389,0.013,0.057,0.025,-6.585,4.297,0.0896,0.198,0.214,0.51,1
55,1114.3,1116.72,12.9106,0.0051,0.382,-0.901,0.017,0.026,0.2231,-4.601,6.933,0.3435,0.714,0.683,0.5,1
10,1089.73,1086.18,12.078,0.0003,0.304,-0.008,0.003,0.003,1.3764,-9.377,1.825,0.028,0.053,0.053,0.719,0
217,965.119,1251.93,14.9867,0.0005,0.319,-0.035,0.006,0.009,0.1039,-6.738,4.083,0.0253,0.049,0.048,0.662,0
