ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,Vrerr,VI,VIerr,ra,dec
1,1566.37,1433.03,8.537,0.028,0.625,0.028,0.515,0.013,99,99,0.838,0.07,186.14462116581598,-61.91214032050583
5,3667.64,3785.73,9.51,0.029,1.875,0.029,99.0,99.0,99,99,1.532,0.057,185.7882133871096,-61.72356797402821
3,1514.37,1825.51,10.129,0.018,0.277,0.018,-0.132,0.01,99,99,0.388,0.019,186.1532741112747,-61.880671646097746
2,3411.85,3735.26,10.14,0.025,0.122,0.025,99.0,99.0,99,99,99.0,99.0,185.8314383599476,-61.727666166152325
18,1844.79,934.996,10.717,0.007,1.026,0.014,0.709,0.013,99,99,1.111,0.018,186.09739386955775,-61.95212333107646
28,1548.49,1085.14,10.777,0.006,1.189,0.014,0.806,0.013,99,99,1.353,0.027,186.14784155069842,-61.94001860262163
31,1342.12,872.894,10.778,0.007,1.11,0.028,0.912,0.028,99,99,1.427,0.038,186.1831474096595,-61.95697019628628
96,1543.58,2581.63,10.869,0.006,1.59,0.006,1.51,0.003,99,99,1.478,0.029,186.1479396929076,-61.820082863231555
81,1029.97,1965.67,11.075,0.006,1.47,0.006,1.376,0.003,99,99,1.462,0.017,186.23555995318372,-61.86929290113219
101,304.74,1658.61,11.321,0.013,1.454,0.011,1.151,0.003,99,99,1.368,0.031,186.35920950542243,-61.89358519869364
43,2756.33,1461.26,11.351,0.009,1.173,0.008,1.064,0.006,99,99,1.177,0.013,185.94201626306318,-61.910034215063526
47,2056.77,1783.09,11.404,0.008,1.103,0.007,0.726,0.004,99,99,1.262,0.01,186.06103416637498,-61.88418021764276
8,3190.77,2616.5,11.418,0.009,0.348,0.037,-0.162,0.037,99,99,0.212,0.012,185.8684322062338,-61.81739221088032
77,1944.08,854.556,11.49,0.007,1.406,0.007,1.164,0.004,99,99,1.477,0.01,186.08048920818212,-61.95859109352715
332,1087.29,679.134,11.551,0.01,2.455,0.016,2.499,0.016,99,99,2.773,0.068,186.22675489099797,-61.97241229220588
99,2810.23,3565.68,11.554,0.012,1.904,0.011,99.0,99.0,99,99,2.008,0.02,185.93315012071005,-61.741328300346765
65,1402.33,1986.55,11.557,0.009,1.315,0.008,99.0,99.0,99,99,99.0,99.0,186.17223989165907,-61.86773603579623
84,2770.36,1948.7,11.59,0.009,1.295,0.008,1.059,0.003,99,99,1.405,0.012,185.93968018240363,-61.87095481824627
14,2934.14,2805.73,11.597,0.008,0.307,0.051,-0.349,0.051,99,99,0.142,0.009,185.91201355387906,-61.80224209944955
16,2346.2,1508.05,11.598,0.007,0.329,0.018,0.169,0.017,99,99,0.387,0.011,186.01183304729844,-61.90626199422332
71,1998.95,1192.43,11.605,0.007,1.281,0.007,0.91,0.004,99,99,1.365,0.009,186.0710331794423,-61.931516997854885
51,2268.88,2102.44,11.611,0.006,0.328,0.017,99.0,99.0,99,99,0.394,0.009,186.02491332684912,-61.85860750565952
