ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,1232.48,1370.79,8.771,0.004,1.687,0.006,1.981,0.006,0.999,0.006,2.183,0.009,151.58927669571895,-60.30425160174744
2,1563.33,1382.78,11.106,0.006,1.463,0.008,1.712,0.007,0.837,0.014,1.598,0.021,151.53418895824936,-60.303473016770724
3,544.516,649.427,11.125,0.012,1.546,0.014,1.873,0.009,0.896,0.016,1.772,0.028,151.70536379616127,-60.36340051292899
4,1207.04,458.824,11.369,0.01,1.055,0.011,0.859,0.006,99.0,99.0,1.25,0.041,151.5950622157945,-60.379762338871984
5,886.554,1278.26,11.558,0.007,0.017,0.01,-0.155,0.006,99.0,99.0,0.088,0.009,151.64700368908652,-60.31172448395283
6,1977.2,1492.12,11.649,0.007,1.708,0.009,1.927,0.01,1.001,0.013,2.139,0.026,151.46505196707304,-60.29467193869843
7,730.374,1890.86,11.865,0.01,0.133,0.015,0.018,0.013,0.113,0.017,0.182,0.016,151.6711603470925,-60.26093265533305
8,325.624,321.878,12.037,0.006,0.44,0.008,-0.132,0.009,0.258,0.012,0.493,0.013,151.74254655870988,-60.39013416607596
9,975.042,1322.58,12.251,0.004,0.49,0.006,-0.169,0.006,0.319,0.006,0.573,0.006,151.63218995906848,-60.3081023356376
10,62.094,843.473,12.285,0.005,0.557,0.008,-0.131,0.011,0.32,0.014,0.613,0.015,151.7851448327737,-60.34713847813408
11,1275.21,345.91,12.326,0.004,0.422,0.005,0.092,0.007,0.274,0.006,0.487,0.007,151.583779326447,-60.38917502932447
12,648.855,1582.51,12.359,0.006,1.527,0.009,1.724,0.012,0.87,0.012,1.661,0.011,151.68562262411456,-60.28645418339191
13,1195.94,209.248,12.374,0.004,0.071,0.005,-0.272,0.005,0.06,0.006,0.053,0.009,151.5971944889459,-60.40036170237267
14,27.761,100.116,12.479,0.007,0.898,0.011,-0.067,0.013,0.371,0.009,0.832,0.02,151.79271175338542,-60.40802697718609
15,1481.44,221.01,12.54,0.005,0.276,0.006,0.077,0.007,0.154,0.009,0.263,0.009,151.54932241130794,-60.39977271246341
16,411.117,940.547,12.573,0.01,1.239,0.013,1.125,0.019,0.592,0.016,1.203,0.027,151.72687936077605,-60.3393425229431
17,771.589,1148.83,12.577,0.003,0.609,0.004,-0.068,0.004,0.387,0.006,0.703,0.006,151.66642830649388,-60.32236516594762
18,1107.14,1486.96,12.624,0.006,1.984,0.008,1.546,0.014,1.799,0.008,4.227,0.013,151.60984546141083,-60.29454240910046
19,1487.47,812.218,12.63,0.004,1.146,0.007,0.825,0.01,0.636,0.007,1.187,0.008,151.54773049126015,-60.35080858661259
20,1527.22,467.302,12.637,0.004,1.375,0.007,1.123,0.013,0.782,0.008,1.477,0.007,151.54145646967856,-60.379445456088696
21,945.582,1390.82,12.778,0.004,0.645,0.005,0.291,0.006,0.447,0.006,0.87,0.006,151.63691880287612,-60.30243454271186
266,1875.13,1515.94,15.393,0.007,1.208,0.011,0.872,0.041,0.705,0.01,1.352,0.011,151.48202461237642,-60.29260461247585
23,1264.3,430.147,12.879,0.009,0.535,0.012,-0.066,0.013,0.349,0.015,0.638,0.014,151.58551475191692,-60.382199318496546
24,1628.37,1828.19,12.946,0.008,1.17,0.012,0.721,0.012,0.681,0.01,1.443,0.024,151.5224744199299,-60.26640181777503
25,616.505,431.754,12.98,0.005,0.731,0.007,0.139,0.009,0.419,0.007,0.774,0.009,151.69378885166415,-60.38137627885589
26,736.214,503.043,12.992,0.011,0.56,0.015,-0.093,0.013,0.346,0.018,0.634,0.026,151.67367709748987,-60.37562096104729
27,428.78,789.355,13.021,0.003,0.546,0.005,-0.11,0.01,0.34,0.009,0.635,0.009,151.72431941724616,-60.351799581698245
28,1051.21,351.92,13.065,0.006,1.126,0.009,99.0,99.0,0.664,0.007,1.259,0.008,151.62126618725688,-60.38841075603042
29,1899.33,950.748,13.1,0.006,0.51,0.008,-0.124,0.008,0.337,0.01,0.615,0.012,151.47872441081043,-60.339735925789356
30,1122.63,434.617,13.114,0.007,1.599,0.011,99.0,99.0,0.904,0.007,1.721,0.009,151.60921260975564,-60.38166610068303
31,1320.41,1454.67,13.123,0.006,0.505,0.008,-0.146,0.007,0.34,0.007,0.612,0.008,151.57447209810354,-60.297337600084724
32,526.974,1207.74,13.152,0.004,0.269,0.006,0.172,0.008,0.162,0.008,0.265,0.008,151.7069181398986,-60.317376301827345
33,1113.96,997.768,13.199,0.004,0.249,0.006,0.082,0.005,0.148,0.006,0.244,0.006,151.60976451069607,-60.33509250194887
34,1317.7,1310.69,13.207,0.004,1.198,0.007,0.784,0.009,0.675,0.006,1.28,0.007,151.57522209876947,-60.30929531612134
35,836.016,1332.38,13.211,0.005,0.237,0.007,0.132,0.006,0.163,0.007,0.279,0.007,151.65526592383677,-60.307220087016184
36,1504.85,1029.56,13.213,0.004,1.214,0.006,0.919,0.008,0.676,0.007,1.271,0.007,151.54452411684764,-60.33278733549973
37,1878.44,482.068,13.243,0.006,0.847,0.009,0.291,0.012,0.498,0.011,0.9,0.012,151.48257914667929,-60.37868278552919
38,962.414,1614.28,13.248,0.007,0.388,0.009,0.12,0.008,0.25,0.009,0.437,0.008,151.63354424089664,-60.28391959428509
39,1759.1,582.155,13.258,0.006,0.385,0.008,0.202,0.009,0.258,0.009,0.457,0.013,151.50251901374793,-60.37021352703993
40,920.123,1369.09,13.261,0.004,0.396,0.007,0.332,0.007,0.271,0.006,0.495,0.006,151.6412021407456,-60.30422196841253
41,431.855,14.962,13.356,0.008,0.48,0.011,0.018,0.011,0.28,0.013,0.551,0.016,151.7253553822553,-60.41541893915141
42,1338.6,349.972,13.419,0.006,0.549,0.008,-0.079,0.01,0.352,0.008,0.638,0.011,151.5731587271092,-60.388918443231894
43,1936.8,1399.42,13.423,0.006,0.643,0.008,-0.045,0.008,0.398,0.009,0.726,0.01,151.47192288536607,-60.30237684744885
44,419.6,761.011,13.469,0.005,1.735,0.009,2.075,0.044,0.976,0.01,1.93,0.01,151.72591530129367,-60.35412582577823
45,1092.62,1382.36,13.5,0.005,1.615,0.008,1.665,0.02,0.922,0.006,1.93,0.032,151.61250602180834,-60.30321149660803
46,579.525,1071.18,13.541,0.003,0.939,0.005,0.44,0.01,0.557,0.007,1.056,0.007,151.69854946630971,-60.32866940667441
47,436.703,1227.87,13.559,0.004,1.104,0.006,0.602,0.011,0.624,0.009,1.2,0.009,151.72184599748914,-60.315677558498066
48,1066.79,1716.43,13.566,0.007,0.675,0.011,-0.031,0.009,0.427,0.009,0.784,0.011,151.6159556542397,-60.27547851691894
49,1214.46,913.379,13.592,0.005,0.114,0.006,-0.256,0.007,0.104,0.008,0.13,0.013,151.5931595116353,-60.34216376237534
50,1777.96,1797.43,13.594,0.009,0.603,0.013,0.027,0.01,0.386,0.011,0.714,0.015,151.49768291867463,-60.269044585055816
51,955.553,1149.7,13.596,0.004,1.141,0.006,0.867,0.012,0.653,0.006,1.211,0.006,151.635829219607,-60.322404099306524
52,1679.21,315.331,13.608,0.007,1.169,0.011,0.778,0.018,0.653,0.011,1.253,0.012,151.5160884793013,-60.392239505123065
53,1825.05,1338.15,13.632,0.006,0.536,0.008,-0.036,0.008,0.357,0.009,0.644,0.011,151.4906478389341,-60.30739295148377
54,1841.92,434.983,13.641,0.007,0.609,0.011,-0.066,0.012,0.392,0.012,0.702,0.014,151.4887290469985,-60.382542151309465
55,642.839,1581.95,13.657,0.008,0.313,0.011,0.256,0.01,0.207,0.015,0.373,0.014,151.6866212191867,-60.286498940362904
56,1738.93,657.195,13.658,0.007,0.469,0.01,0.001,0.01,0.313,0.011,0.559,0.014,151.5058364226068,-60.36395766260646
57,1419.14,1217.42,13.682,0.005,1.11,0.007,0.638,0.009,0.637,0.007,1.202,0.009,151.55850607320454,-60.3171138243278
58,111.197,120.44,13.705,0.011,0.275,0.017,0.083,0.019,0.12,0.018,0.277,0.023,151.77874301738905,-60.40644287047227
59,707.673,1241.41,13.709,0.004,1.088,0.006,0.577,0.009,0.624,0.007,1.176,0.006,151.67681862054476,-60.31468045288654
60,1537.43,317.141,13.745,0.018,0.357,0.023,0.265,0.021,0.18,0.019,0.372,0.023,151.53986591480088,-60.39189426011487
61,1124.23,1732.1,13.755,0.01,0.328,0.014,0.223,0.011,0.233,0.011,0.42,0.016,151.6063869163402,-60.27419643384595
62,1900.58,1856.22,13.768,0.008,0.456,0.011,-0.189,0.01,0.333,0.01,0.612,0.012,151.477181739063,-60.26419974168096
63,1526.05,1975.15,13.769,0.008,1.069,0.012,0.521,0.012,0.619,0.009,1.177,0.013,151.5391131029244,-60.25410129626629
64,1788.28,1211.75,13.775,0.006,1.671,0.008,1.911,0.029,0.952,0.009,1.848,0.01,151.4969633910019,-60.31789234221979
65,693.967,893.797,13.779,0.005,0.274,0.007,0.25,0.009,0.172,0.009,0.3,0.011,151.6799361063417,-60.34337407034041
66,1036.4,1324.76,13.805,0.005,0.347,0.007,0.257,0.007,0.243,0.006,0.44,0.007,151.62198543127874,-60.30795538021785
67,1237.64,1741.46,13.827,0.01,0.465,0.013,0.27,0.011,0.317,0.01,0.584,0.013,151.5875479488937,-60.27345950521285
69,1518.42,1519.64,13.833,0.007,0.711,0.009,0.053,0.009,0.436,0.008,0.79,0.01,151.54140255652615,-60.292053155609665
68,273.094,903.372,13.833,0.005,0.363,0.007,0.263,0.012,0.226,0.012,0.412,0.013,151.74991963676254,-60.342325734668606
70,943.67,1451.12,13.851,0.009,0.434,0.012,0.271,0.01,0.284,0.012,0.534,0.013,151.63708430526185,-60.29743775194207
71,1265.06,1998.98,13.852,0.009,0.299,0.012,0.225,0.01,0.198,0.011,0.351,0.013,151.58231530642053,-60.25204018150764
72,1328.48,1253.63,13.853,0.005,0.713,0.007,-0.061,0.007,0.444,0.007,0.832,0.009,151.57353964728344,-60.31404026835674
73,671.555,1428.13,13.866,0.006,1.202,0.008,1.078,0.014,0.685,0.009,1.259,0.009,151.68230925769186,-60.299230139881494
74,884.986,1358.12,13.881,0.005,0.434,0.007,0.247,0.006,0.294,0.007,0.539,0.007,151.64706645019288,-60.305113210514406
75,1088.06,1764.53,13.898,0.01,0.341,0.013,0.256,0.011,0.234,0.011,0.427,0.014,151.61229790537408,-60.27149051112785
76,1865.07,1123.3,13.901,0.005,0.808,0.007,0.26,0.01,0.483,0.009,0.888,0.01,151.484259142539,-60.32533146555372
77,115.932,1140.88,13.91,0.006,1.148,0.008,0.636,0.013,0.635,0.013,1.252,0.015,151.77531959214488,-60.32272343859157
78,1610.27,1321.47,13.92,0.006,0.724,0.009,0.057,0.008,0.446,0.008,0.82,0.01,151.52647721087376,-60.30860967419144
79,1268.13,333.507,13.93,0.009,1.305,0.014,1.034,0.022,0.736,0.01,1.416,0.013,151.58497772610292,-60.39019117946338
80,154.343,1685.59,13.933,0.011,0.479,0.015,0.423,0.015,0.288,0.02,0.593,0.021,151.76711638935822,-60.27786954547146
81,1190.25,965.65,13.939,0.007,0.286,0.009,0.263,0.011,0.196,0.01,0.331,0.014,151.59710635958575,-60.33781386706271
82,1017.12,1772.46,13.944,0.009,1.115,0.012,0.56,0.012,0.659,0.01,1.241,0.012,151.62403632405457,-60.27081093924013
83,1193.45,1422.17,13.946,0.006,0.371,0.008,0.291,0.009,0.249,0.007,0.461,0.009,151.59565351891672,-60.29996423603645
84,185.355,630.119,13.958,0.008,1.079,0.012,0.514,0.018,0.611,0.016,1.206,0.017,151.7652225250416,-60.364725205236276
85,1672.02,419.074,13.996,0.008,0.812,0.012,0.18,0.014,0.489,0.012,0.92,0.015,151.51722981207396,-60.383630215317986
86,505.851,1822.7,14.016,0.011,0.56,0.015,-0.072,0.013,0.375,0.014,0.685,0.017,151.70852253457562,-60.26655853589667
87,1134.5,1283.45,14.017,0.005,0.196,0.007,-0.123,0.007,0.147,0.006,0.252,0.007,151.60576401510826,-60.31143743967606
88,1893.54,1037.92,14.029,0.005,0.164,0.007,-0.048,0.006,0.114,0.009,0.189,0.01,151.47960122733232,-60.33247136610059
89,127.99,1201.23,14.08,0.008,0.288,0.01,0.215,0.012,0.162,0.016,0.292,0.016,151.77313057964705,-60.31776311016309
90,1341.58,1866.55,14.084,0.01,0.346,0.014,0.175,0.012,0.237,0.011,0.434,0.015,151.5699849018041,-60.26308873330641
91,1017.44,1540.12,14.098,0.007,1.143,0.009,0.598,0.015,0.668,0.008,1.27,0.009,151.62460861385847,-60.290091673676145
92,1435.26,894.404,14.107,0.008,1.356,0.013,1.248,0.027,0.78,0.011,1.468,0.013,151.55633933118702,-60.34393933078492
