ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1064,1226.07,1730.24,19.021,0.039,0.701,0.067,99.0,99.0,0.511,0.045,0.954,0.062,184.30590025805145,-55.06527137678211
1065,1508.18,931.17,19.023,0.039,1.209,0.102,99.0,99.0,0.546,0.043,1.132,0.057,184.2658509546344,-55.13133001624646
1066,314.332,1021.43,19.023,0.048,0.853,0.069,99.0,99.0,0.555,0.052,1.09,0.067,184.4383122700472,-55.122845782055506
1067,916.28,1262.37,19.026,0.035,0.728,0.056,99.0,99.0,0.455,0.042,0.81,0.056,184.35090067132282,-55.10344249049156
1068,1876.72,1727.1,19.028,0.043,0.887,0.07,99.0,99.0,0.684,0.046,1.345,0.055,184.21254307670895,-55.06634429718052
1069,1159.1,295.889,19.028,0.039,1.059,0.082,99.0,99.0,0.477,0.043,1.067,0.051,184.31717917433343,-55.18352247038781
1070,921.995,178.436,19.031,0.038,0.891,0.069,99.0,99.0,0.492,0.053,1.046,0.066,184.35181988478632,-55.19309271491132
1071,1741.67,617.954,19.032,0.044,0.788,0.099,99.0,99.0,0.482,0.051,0.89,0.073,184.23244513208715,-55.157407395628105
1072,1590.18,1063.75,19.033,0.038,0.833,0.068,99.0,99.0,0.376,0.052,0.795,0.063,184.25392296156377,-55.12049224853927
1073,695.404,657.919,19.034,0.043,0.896,0.072,99.0,99.0,0.459,0.052,0.915,0.058,184.38376768624454,-55.153196148984065
1075,1642.88,677.657,19.037,0.044,0.992,0.073,99.0,99.0,0.55,0.047,1.049,0.061,184.24665123934935,-55.15237960403235
1076,548.943,1576.78,19.038,0.037,1.041,0.068,99.0,99.0,0.683,0.042,1.213,0.054,184.40351537999535,-55.07719348418645
1077,84.027,1386.83,19.038,0.037,0.795,0.064,99.0,99.0,0.438,0.045,1.037,0.058,184.47097436223956,-55.0924816124011
1078,1406.76,821.703,19.041,0.04,1.032,0.07,99.0,99.0,0.649,0.047,1.219,0.063,184.2805965584259,-55.140257862560446
1080,561.336,1654.89,19.043,0.042,0.8,0.07,99.0,99.0,0.474,0.049,1.052,0.066,184.40163346669527,-55.07077224554101
1081,1299.35,1212.35,19.045,0.039,0.841,0.066,99.0,99.0,0.545,0.046,0.984,0.065,184.29571074543318,-55.10794358909056
1082,1373.54,1624.04,19.047,0.038,0.777,0.069,99.0,99.0,0.458,0.047,0.946,0.056,184.2847623344812,-55.07416507951196
1083,1612.54,1264.59,19.049,0.04,0.874,0.069,99.0,99.0,0.545,0.046,1.059,0.064,184.25057789890445,-55.1039871942443
