ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,1677.45,1806.21,10.503,0.009,1.587,0.012,1.389,0.008,0.893,0.011,1.667,0.014,182.0052742318909,-60.617515823643764
2,776.072,736.189,10.958,0.009,0.168,0.01,-0.199,0.004,0.161,0.012,0.306,0.009,182.15837337087473,-60.70522957393039
3,980.709,1320.05,11.359,0.006,1.153,0.008,0.692,0.004,0.668,0.008,1.234,0.009,182.122956725258,-60.65712639703623
4,1645.62,163.641,11.424,0.013,0.322,0.015,-0.152,0.008,0.269,0.014,0.521,0.014,182.01260087501598,-60.75310059703933
5,2006.3,1521.5,11.443,0.011,0.134,0.012,-0.567,0.006,0.146,0.012,0.279,0.012,181.95037471877214,-60.64132872500161
6,126.966,741.611,11.763,0.004,1.188,0.007,0.832,0.008,0.665,0.013,1.267,0.009,182.26784381975554,-60.7041770783783
7,1127.1,1091.13,11.79,0.003,1.663,0.005,1.397,0.007,0.943,0.005,1.741,0.006,182.09867163617218,-60.67619242079049
8,1112.42,1401.71,11.801,0.005,0.727,0.007,0.019,0.005,0.498,0.008,0.897,0.007,182.10068443211702,-60.650489336133326
9,1969.23,475.273,11.861,0.005,1.277,0.008,1.005,0.008,0.725,0.011,1.337,0.023,181.95766914600358,-60.72762473072749
10,215.193,1393.05,12.231,0.007,0.279,0.01,0.018,0.008,0.208,0.011,0.409,0.011,182.25165032182394,-60.65030940637859
11,1958.83,680.844,12.475,0.004,0.712,0.006,0.154,0.007,0.458,0.007,0.873,0.006,181.95919732890556,-60.71067854975852
12,1482.67,190.52,12.522,0.007,1.68,0.01,1.877,0.017,0.927,0.012,1.737,0.009,182.04005696182858,-60.750786172510225
13,159.644,730.295,12.568,0.004,0.737,0.007,0.072,0.008,0.454,0.01,0.881,0.008,182.26235347125922,-60.7051458811725
14,1288.24,1207.39,12.803,0.004,1.234,0.006,0.642,0.007,0.746,0.006,1.404,0.006,182.07139247015675,-60.66671749045558
15,1878.43,1523.54,12.917,0.006,1.351,0.008,1.18,0.009,0.788,0.008,1.45,0.007,181.9718382562881,-60.64106180517579
16,246.646,548.707,12.98,0.005,0.549,0.008,0.37,0.008,0.348,0.009,0.693,0.01,182.24804570725178,-60.720250107853985
17,551.302,344.857,13.025,0.006,1.625,0.01,1.315,0.015,0.92,0.008,1.752,0.008,182.19701244421412,-60.73736693890705
18,781.311,872.633,13.026,0.003,1.321,0.007,1.057,0.01,0.745,0.005,1.391,0.004,182.15725506924733,-60.693955453426234
19,361.391,52.735,13.063,0.007,0.364,0.009,0.124,0.009,0.208,0.011,0.458,0.012,182.22968275839307,-60.761326027095805
20,662.855,1153.58,13.078,0.006,0.751,0.009,0.171,0.007,0.491,0.01,0.915,0.011,182.1767231105227,-60.67060486084138
21,1187.61,686.567,13.094,0.004,0.705,0.006,0.14,0.007,0.455,0.006,0.864,0.007,182.08908723366625,-60.709666567055855
22,1181.43,1423.26,13.102,0.006,1.456,0.009,1.354,0.015,0.83,0.007,1.523,0.008,182.08905164892383,-60.648768594406725
23,1300.31,1234.14,13.148,0.004,0.417,0.006,0.274,0.005,0.27,0.006,0.519,0.006,182.06932559092857,-60.66451599510131
24,1411.44,74.974,13.151,0.007,0.344,0.01,-0.039,0.008,0.225,0.009,0.448,0.011,182.05224491102504,-60.76025965285233
25,1293.33,1667.12,13.162,0.007,0.311,0.009,0.225,0.007,0.211,0.008,0.401,0.01,182.06991758490662,-60.62868571290683
26,1314.24,1631.18,13.242,0.006,2.113,0.01,1.916,0.033,1.756,0.008,3.712,0.011,182.06645288297,-60.631680264176126
27,1749.73,293.373,13.297,0.007,0.659,0.01,0.428,0.01,0.414,0.009,0.81,0.01,181.9948751607712,-60.742478145536886
28,1589.38,367.777,13.354,0.008,0.642,0.011,0.082,0.01,0.39,0.011,0.764,0.014,182.0218157247337,-60.73624829947681
29,107.061,1120.53,13.391,0.004,1.468,0.008,1.221,0.016,0.855,0.01,1.611,0.009,182.27041203484532,-60.67277988377395
30,1543.03,1609.47,13.41,0.006,0.629,0.01,0.365,0.008,0.451,0.009,0.854,0.009,182.0280579128173,-60.633679857434515
31,1204.94,1588.19,13.467,0.006,0.589,0.009,0.033,0.007,0.41,0.008,0.766,0.009,182.08487090625135,-60.635138824179094
32,1911.18,1421.66,13.488,0.005,0.725,0.008,0.019,0.006,0.484,0.007,0.91,0.007,181.96644121162393,-60.64950668933314
33,1358.97,649.728,13.494,0.006,0.924,0.009,0.215,0.009,0.578,0.008,1.097,0.009,182.060265207862,-60.7128370361353
34,2021.77,611.705,13.69,0.009,0.288,0.013,0.326,0.011,0.456,0.013,1.079,0.013,181.94867451731153,-60.71641525660749
35,1560.9,171.139,13.75,0.007,0.382,0.01,0.123,0.009,0.248,0.01,0.5,0.013,182.026884374234,-60.75243164591031
36,999.678,1764.81,13.818,0.008,0.709,0.011,0.081,0.009,0.494,0.01,0.932,0.011,182.11910002776574,-60.620312423692795
37,1379.19,1114.29,13.93,0.004,1.696,0.006,1.647,0.03,0.966,0.007,1.812,0.006,182.05621980806666,-60.674488304898816
38,122.551,798.203,13.956,0.006,1.455,0.01,1.163,0.023,0.833,0.011,1.592,0.01,182.2684699647926,-60.6994889041976
39,374.264,1917.64,14.005,0.012,0.907,0.016,0.359,0.014,0.575,0.016,1.074,0.019,182.22391096308476,-60.60696710833508
40,2026.53,1357.39,14.017,0.004,0.438,0.007,-0.066,0.007,0.386,0.007,0.87,0.008,181.94713186203194,-60.65490149312985
41,466.592,1440.03,14.058,0.007,0.854,0.01,0.261,0.009,0.537,0.009,1.0,0.011,182.2092494323324,-60.646683409366226
42,166.161,1795.7,14.082,0.011,0.543,0.017,0.32,0.014,0.351,0.016,0.716,0.018,182.25911543026888,-60.61684954936058
43,1779.39,671.375,14.093,0.009,1.451,0.013,1.122,0.025,0.844,0.011,1.588,0.012,181.98941949182503,-60.711344320746754
44,1709.22,926.013,14.094,0.008,1.152,0.012,0.881,0.015,0.69,0.011,1.254,0.011,182.0009306150759,-60.690289271012034
45,1457.73,1648.72,14.17,0.007,0.668,0.011,0.465,0.01,0.45,0.009,0.864,0.011,182.04233376117216,-60.63035738034682
46,1300.83,504.057,14.256,0.009,0.479,0.013,0.358,0.012,0.314,0.013,0.633,0.013,182.07027500034005,-60.724814045959434
47,1991.3,1109.47,14.27,0.004,1.989,0.008,99.0,99.0,1.16,0.007,2.205,0.007,181.95329149641518,-60.67534560433274
48,743.722,906.418,14.272,0.007,0.727,0.011,0.03,0.01,0.483,0.01,0.91,0.011,182.16353086097106,-60.69112826691759
49,1257.07,218.376,14.29,0.01,1.46,0.015,1.225,0.032,0.847,0.013,1.581,0.014,182.07808587025372,-60.748341869359855
50,874.246,1963.33,14.325,0.009,0.558,0.013,0.284,0.01,0.371,0.011,0.698,0.013,182.13986631719706,-60.603725690265776
