ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
47,1491.55,921.605,13.453,0.006,0.2,0.008,0.109,0.007,0.162,0.007,0.276,0.011,155.90509737081075,-60.17033460836969
48,189.871,1029.74,13.486,0.003,0.306,0.004,0.196,0.005,0.229,0.007,0.426,0.007,156.12073937857411,-60.16024313806684
49,1498.8,982.562,13.513,0.006,1.729,0.011,1.9,0.03,1.013,0.008,1.87,0.009,155.9038161579743,-60.16532340871822
50,903.212,89.64,13.521,0.011,0.216,0.015,-0.015,0.01,0.216,0.014,0.387,0.018,156.00407215437474,-60.23824587310463
51,1197.46,1063.97,13.523,0.003,0.381,0.005,-0.088,0.005,0.336,0.006,0.627,0.007,155.95373037336773,-60.15830356909706
52,1041.94,1221.41,13.543,0.004,0.306,0.006,-0.273,0.006,0.295,0.013,0.522,0.017,155.97929191182033,-60.14516151394353
53,1282.53,748.445,13.55,0.007,1.245,0.012,0.939,0.014,0.729,0.009,1.32,0.011,155.94004850711178,-60.1843789176856
54,1928.08,1261.97,13.575,0.006,0.783,0.009,0.267,0.008,0.5,0.008,0.874,0.009,155.83218664889813,-60.14281014658569
56,798.641,1354.97,13.623,0.006,1.19,0.007,0.787,0.01,0.716,0.007,1.323,0.009,156.01939088190593,-60.13389288921272
57,1298.87,1142.9,13.629,0.003,0.581,0.005,-0.005,0.005,0.405,0.006,0.712,0.006,155.93679528120038,-60.15190118221467
58,1555.61,891.62,13.648,0.007,1.909,0.011,2.185,0.056,1.275,0.009,2.691,0.009,155.89449165653076,-60.172870410635205
59,858.592,1664.69,13.687,0.008,0.332,0.01,-0.27,0.008,0.285,0.011,0.534,0.014,156.00897211103864,-60.10835142056723
60,283.617,1830.78,13.699,0.011,0.262,0.015,0.113,0.011,0.206,0.015,0.383,0.02,156.1037096044711,-60.09402350564092
61,1608.21,1987.38,13.711,0.008,0.332,0.01,0.168,0.008,0.278,0.01,0.538,0.014,155.8844442197886,-60.0825604677945
62,1270.04,1452.65,13.755,0.006,0.395,0.008,-0.037,0.006,0.35,0.008,0.659,0.011,155.94115296185308,-60.12631760645627
63,1105.9,725.971,13.758,0.008,1.273,0.013,0.913,0.015,0.767,0.01,1.422,0.012,155.96941591565758,-60.18606383486658
