ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,939.398,1533.51,11.668,0.003,1.331,0.005,1.368,0.006,0.692,0.005,1.305,0.005,154.7439167436813,-63.104881340369495
2,1401.96,889.2,12.016,0.001,0.518,0.003,0.172,0.004,0.303,0.004,0.6,0.004,154.66055034499777,-63.15841606450342
5,717.758,754.593,12.137,0.002,0.168,0.003,0.222,0.004,0.102,0.002,0.199,0.004,154.78573118200592,-63.16901040562215
3,1308.78,1253.23,12.158,0.003,0.355,0.004,0.236,0.003,0.21,0.004,0.412,0.005,154.67704274604532,-63.12829657247555
6,1524.09,716.169,12.226,0.002,0.531,0.004,0.164,0.004,0.3,0.004,0.562,0.004,154.63848922197593,-63.172772989927076
8,819.923,1388.23,12.294,0.003,0.163,0.005,0.16,0.005,0.096,0.004,0.173,0.005,154.76596955255934,-63.116784119315525
4,878.975,842.796,12.309,0.002,1.389,0.005,1.397,0.009,0.729,0.003,1.433,0.003,154.75609894798876,-63.16186975767623
10,1701.47,1990.69,12.402,0.004,1.816,0.007,2.056,0.019,1.091,0.008,2.426,0.009,154.60461421987125,-63.06757531275468
7,123.31,672.502,12.406,0.003,1.776,0.006,2.225,0.023,0.971,0.006,2.039,0.007,154.89485076729224,-63.17517426854143
9,896.538,1180.22,12.493,0.012,0.559,0.018,0.053,0.016,0.334,0.017,0.661,0.023,154.75234231103232,-63.13402599014848
12,367.5,789.138,12.558,0.002,0.347,0.003,0.374,0.004,0.175,0.004,0.354,0.005,154.84982563146244,-63.16581805372202
13,1130.05,1414.35,12.572,0.003,0.457,0.005,0.342,0.005,0.28,0.005,0.557,0.005,154.7093642402344,-63.11486755054553
16,662.387,473.255,12.618,0.003,0.59,0.005,0.065,0.005,0.325,0.003,0.655,0.005,154.79632821701787,-63.19217618006595
14,522.457,1026.07,12.673,0.005,0.362,0.007,0.293,0.007,0.217,0.007,0.408,0.01,154.82099909015403,-63.1464182502647
17,985.64,1188.0,12.825,0.003,0.56,0.004,0.009,0.004,0.335,0.004,0.654,0.004,154.73606405893437,-63.133454511690495
20,1914.81,90.56,12.843,0.004,0.56,0.008,0.026,0.008,0.302,0.006,0.625,0.008,154.5678062575301,-63.224596403450285
19,931.614,380.335,12.853,0.003,0.353,0.005,0.204,0.006,0.179,0.004,0.371,0.007,154.747156030517,-63.20007889938242
18,189.425,1193.53,12.857,0.004,1.702,0.006,2.06,0.022,0.94,0.006,1.88,0.006,154.88164974040032,-63.132245744743265
23,1287.11,404.975,12.949,0.003,1.112,0.006,0.794,0.008,0.581,0.004,1.152,0.005,154.68210365109874,-63.19831119031392
11,1329.58,69.757,12.962,0.004,1.765,0.009,2.125,0.035,0.957,0.005,1.97,0.006,154.67471173108837,-63.225996783581394
21,566.469,1540.59,12.967,0.004,1.501,0.006,1.75,0.016,0.785,0.005,1.502,0.005,154.8119602374683,-63.10397344140445
22,1277.87,1122.71,13.001,0.003,0.411,0.004,0.273,0.005,0.253,0.004,0.502,0.005,154.68286107974276,-63.13905582171689
25,1141.43,1521.3,13.051,0.004,1.344,0.006,1.337,0.01,0.714,0.005,1.374,0.006,154.70711865002468,-63.106040726005894
24,437.122,1407.25,13.059,0.004,0.619,0.006,0.024,0.006,0.374,0.005,0.75,0.006,154.83586794873727,-63.11486031381491
26,891.117,337.474,13.117,0.004,1.181,0.008,1.007,0.009,0.613,0.004,1.211,0.006,154.7546310989544,-63.20358153279756
31,989.415,993.39,13.123,0.005,0.791,0.007,0.246,0.006,0.458,0.006,0.883,0.008,154.73568333972335,-63.1495265895714
34,899.36,1757.2,13.156,0.007,1.181,0.009,1.017,0.01,0.638,0.009,1.23,0.01,154.75081118134617,-63.086368896839254
27,1560.86,645.834,13.181,0.003,0.496,0.005,0.074,0.004,0.289,0.005,0.577,0.007,154.6318624715963,-63.17859963454823
28,1245.94,686.823,13.201,0.003,0.388,0.005,0.241,0.004,0.214,0.005,0.427,0.007,154.6892756872277,-63.17502214245623
29,1571.97,875.416,13.209,0.003,0.393,0.004,0.314,0.004,0.232,0.005,0.465,0.007,154.6295820563121,-63.15965200056867
30,1607.44,978.645,13.238,0.003,1.425,0.006,1.483,0.013,0.755,0.004,1.471,0.005,154.62300300339038,-63.15114697463693
32,1352.67,938.339,13.256,0.003,1.269,0.006,1.147,0.012,0.663,0.004,1.291,0.005,154.6694744702067,-63.15432827104075
15,559.445,603.818,13.285,0.004,1.889,0.007,2.272,0.044,1.057,0.004,2.199,0.005,154.81497733080434,-63.181305017513175
38,1235.82,1003.41,13.336,0.003,1.03,0.004,0.593,0.007,0.57,0.005,1.124,0.005,154.69069628218585,-63.14887902702729
37,528.474,1612.01,13.34,0.005,0.378,0.008,0.226,0.008,0.22,0.007,0.416,0.008,154.81875592447253,-63.098037883206295
36,745.415,1313.01,13.385,0.003,0.594,0.005,0.054,0.005,0.367,0.004,0.715,0.005,154.77970875576707,-63.122932423736074
35,900.235,807.799,13.429,0.004,1.295,0.007,1.194,0.013,0.673,0.005,1.309,0.006,154.7522668495564,-63.16477619160036
40,548.698,32.554,13.473,0.006,0.258,0.009,0.296,0.008,0.095,0.008,0.256,0.009,154.817871980458,-63.228419551968294
39,636.523,771.352,13.51,0.004,1.127,0.007,0.771,0.011,0.601,0.005,1.19,0.006,154.80057327417893,-63.167552618123295
41,516.576,744.557,13.536,0.004,0.652,0.006,0.073,0.006,0.362,0.005,0.716,0.007,154.82258760364874,-63.16964883222677
42,973.385,913.286,13.586,0.004,0.572,0.006,0.039,0.006,0.342,0.005,0.669,0.007,154.73873517076765,-63.15612729196392
33,1546.38,449.768,13.624,0.005,1.742,0.007,99.0,99.0,0.984,0.006,2.088,0.007,154.63471031609987,-63.194774593082315
43,1467.69,1015.45,13.655,0.003,1.688,0.005,2.044,0.043,0.935,0.005,1.894,0.005,154.64841199180725,-63.14803067304705
44,506.238,299.335,13.702,0.006,1.224,0.009,0.953,0.014,0.654,0.007,1.31,0.009,154.82524335774826,-63.20637347541039
45,583.371,1259.06,13.828,0.003,1.195,0.005,0.956,0.013,0.663,0.004,1.309,0.005,154.80941914881643,-63.12724013440106
48,1251.57,1230.0,13.889,0.003,0.742,0.004,0.098,0.006,0.43,0.005,0.855,0.005,154.68750056478078,-63.1301778248722
47,1471.06,839.488,13.902,0.004,1.377,0.007,1.381,0.027,0.723,0.006,1.385,0.007,154.6480138120207,-63.16256170143729
49,1826.91,1981.81,13.952,0.003,1.143,0.006,0.931,0.017,0.682,0.005,1.361,0.005,154.58188360371477,-63.06836341985841
50,808.796,1549.96,13.978,0.005,0.678,0.007,0.127,0.008,0.398,0.005,0.793,0.007,154.76770651529128,-63.10341596485235
52,1039.55,1040.29,14.039,0.002,0.745,0.003,0.135,0.006,0.426,0.004,0.843,0.004,154.72645677425373,-63.14569289120883
53,1215.32,1330.76,14.049,0.004,0.445,0.005,0.294,0.006,0.258,0.005,0.502,0.006,154.69395626145547,-63.12183132983302
133,424.065,28.515,15.295,0.006,0.596,0.009,0.022,0.012,0.306,0.009,0.698,0.012,154.8407718339082,-63.22862584281132
51,1062.75,1483.41,14.072,0.004,1.306,0.006,1.272,0.019,0.708,0.005,1.375,0.005,154.7215166085972,-63.10911409482581
