ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
307,1442.46,997.504,16.5243,0.0018,0.885,0.195,0.013,0.054,0.745,1
81,1541.56,1226.38,14.3668,0.0003,1.588,1.357,0.006,0.062,0.686,1
54,1267.24,1277.63,13.8118,0.0002,1.498,1.218,0.006,0.03,0.681,1
224,1279.23,882.598,16.0219,0.0006,0.887,0.283,0.016,0.048,0.681,1
373,1336.36,1305.97,16.8089,0.0008,0.911,0.251,0.015,0.069,0.672,1
125,1500.24,1431.56,15.3083,0.0004,0.588,0.325,0.009,0.018,0.671,1
7,1127.1,1091.13,11.1284,0.0011,1.663,1.397,0.005,0.007,0.663,1
150,1315.15,795.998,15.5529,0.0005,0.805,0.452,0.016,0.033,0.663,1
194,1322.69,1371.74,15.8538,0.0006,0.806,0.14,0.01,0.027,0.662,1
62,1677.71,1299.07,14.0287,0.0003,1.44,1.134,0.007,0.026,0.659,1
131,1751.04,1166.88,15.3411,0.0003,0.642,0.277,0.008,0.018,0.652,1
37,1379.19,1114.29,13.2501,0.0003,1.696,1.647,0.006,0.03,0.639,1
252,1365.92,878.703,16.1378,0.0006,1.025,0.467,0.015,0.059,0.638,1
345,1450.83,914.121,16.6381,0.0007,0.935,0.222,0.019,0.069,0.636,1
168,1409.29,1146.15,15.6442,0.0005,0.913,0.211,0.007,0.024,0.634,1
119,1761.53,1292.3,15.1922,0.0012,0.657,0.198,0.007,0.014,0.633,1
179,1340.44,1474.74,15.8179,0.0005,0.648,0.338,0.01,0.024,0.619,1
279,1498.45,1295.77,16.374,0.0006,0.821,0.184,0.01,0.042,0.577,1
267,1604.49,1162.9,16.3307,0.0007,0.804,0.126,0.009,0.036,0.557,1
98,1711.84,1387.68,14.9734,0.0003,0.707,0.149,0.008,0.013,0.532,1
329,1558.71,1370.15,16.6802,0.0044,0.88,0.266,0.014,0.06,0.529,1
104,1659.05,1106.22,14.7011,0.0003,1.518,1.42,0.008,0.077,0.526,1
206,1714.42,1380.54,15.932,0.0011,0.852,0.26,0.012,0.03,0.522,1
148,1639.2,1059.37,15.5463,0.0007,0.819,0.106,0.008,0.018,0.435,1
14,1288.24,1207.39,12.3551,0.0002,1.234,0.642,0.006,0.007,0.329,1
230,1251.08,1363.11,16.0381,0.0005,1.077,0.611,0.01,0.061,0.296,1
8,1112.42,1401.71,11.5698,0.0003,0.727,0.019,0.007,0.005,0.291,1
22,1181.43,1423.26,12.5937,0.0008,1.456,1.354,0.009,0.015,0.156,1
249,1044.77,1156.72,16.0653,0.0006,1.081,0.599,0.01,0.067,0.673,0
65,1430.7,892.85,14.492,0.0003,0.484,0.362,0.011,0.012,0.666,0
69,1315.71,1517.61,14.5237,0.0002,0.729,0.159,0.01,0.011,0.648,0
67,1483.61,1319.53,14.4584,0.0003,0.711,0.333,0.007,0.012,0.638,0
90,1374.09,1219.89,14.7904,0.0007,0.918,0.667,0.006,0.022,0.618,0
185,1433.74,1426.66,15.8029,0.0005,0.796,0.06,0.012,0.022,0.517,0
260,1233.99,902.433,16.3593,0.003,1.052,0.349,0.029,0.058,0.49,0
314,1538.54,1456.15,16.4988,0.0006,0.939,0.355,0.012,0.051,0.479,0
302,1138.84,1256.05,16.4878,0.0007,0.871,0.239,0.012,0.047,0.445,0
103,1056.19,1279.82,15.0362,0.0004,0.738,0.123,0.007,0.014,0.398,0
264,1375.24,1143.34,16.2976,0.0007,0.902,0.29,0.013,0.051,0.398,0
353,1452.98,1007.22,16.6801,0.0007,0.981,0.181,0.014,0.063,0.381,0
217,1151.87,963.182,15.9718,0.0006,0.953,0.269,0.016,0.048,0.33,0
96,1569.99,1501.82,14.9205,0.0003,0.762,0.07,0.009,0.013,0.328,0
207,1420.68,1440.31,15.9446,0.0017,0.853,0.177,0.011,0.024,0.309,0
60,1238.43,975.935,13.7767,0.0003,1.701,1.777,0.013,0.055,0.282,0
244,1679.5,1197.89,16.1776,0.0005,0.891,0.346,0.011,0.041,0.279,0
130,1186.79,1036.97,15.2675,0.0004,0.887,0.175,0.008,0.016,0.278,0
146,1449.43,984.729,15.4491,0.0004,1.007,0.482,0.014,0.032,0.26,0
136,1117.68,1005.9,15.4235,0.0025,0.89,0.153,0.017,0.02,0.249,0
157,1470.58,1388.96,15.5512,0.0005,0.936,0.364,0.01,0.028,0.213,0
92,1033.55,1116.65,14.7723,0.0003,0.975,0.35,0.006,0.015,0.205,0
201,1182.47,1277.82,15.9154,0.0005,0.819,0.059,0.01,0.027,0.18,0
44,1709.22,926.013,13.7143,0.0002,1.152,0.881,0.012,0.015,0.179,0
272,1726.19,1229.95,16.3094,0.0006,0.918,0.249,0.012,0.04,0.161,0
23,1300.31,1234.14,13.0575,0.0004,0.417,0.274,0.006,0.005,0.0,0
139,1425.51,1050.58,15.1005,0.0004,1.442,nan,0.009,nan,0.62,-1
141,1420.22,855.778,14.9487,0.0004,1.5,nan,0.015,nan,0.25,-1
359,1314.7,790.318,16.7418,0.001,0.821,nan,0.018,nan,0.7,-1
166,1306.07,1046.25,15.1711,0.0004,1.78,nan,0.011,nan,0.54,-1
237,1390.46,1105.19,15.6677,0.0006,1.703,nan,0.014,nan,0.66,-1
248,1535.55,861.542,15.315,0.0005,2.189,nan,0.023,nan,0.52,-1
281,1249.02,1272.94,15.7133,0.0005,1.909,nan,0.019,nan,0.62,-1
291,1287.08,867.622,15.8385,0.0007,1.92,nan,0.023,nan,0.46,-1
301,1395.24,1095.4,16.263,0.0007,1.317,nan,0.014,nan,0.17,-1
315,1542.79,1103.85,15.5092,0.0005,2.408,nan,0.03,nan,0.65,-1
330,1369.8,1265.9,16.4089,0.0007,1.209,nan,0.015,nan,0.69,-1
