ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
21,1061.43,1345.58,13.3285,0.0003,0.692,0.611,-0.032,0.006,0.006,0.005,1.6468,-15.667,7.488,0.0196,0.034,0.027,0.812,1
23,1072.83,1216.46,13.6066,0.0003,0.378,0.34,0.122,0.006,0.005,0.005,0.5836,-6.389,3.872,0.0206,0.033,0.03,0.811,1
60,934.576,1454.4,14.6776,0.0003,0.81,0.705,-0.004,0.008,0.006,0.01,1.1791,-14.565,-0.227,0.0266,0.042,0.035,0.8,1
30,1096.27,1619.86,13.6377,0.0002,0.773,0.696,0.12,0.01,0.009,0.008,0.986,-10.522,5.487,0.0206,0.034,0.032,0.799,1
7,1213.46,1587.53,12.291,0.0002,0.372,0.313,0.277,0.008,0.006,0.005,0.5973,-5.674,2.107,0.0322,0.053,0.048,0.798,1
77,1146.74,1430.79,14.8888,0.0004,0.799,0.732,0.16,0.007,0.007,0.012,0.6754,-9.332,3.752,0.0292,0.047,0.043,0.795,1
57,791.169,1282.55,14.3776,0.0003,1.589,1.458,1.458,0.006,0.006,0.051,0.1444,-5.071,0.294,0.0228,0.037,0.032,0.792,1
3,1051.77,1500.93,11.7996,0.0003,0.11,0.111,0.107,0.008,0.008,0.007,0.7519,-6.624,1.814,0.0328,0.054,0.051,0.789,1
62,845.304,1496.2,14.4887,0.0003,1.302,1.271,1.087,0.009,0.007,0.031,0.1224,-5.194,1.593,0.0255,0.04,0.034,0.789,1
2,957.837,1647.1,10.9348,0.0006,0.452,0.317,0.308,0.011,0.008,0.005,0.6419,-11.336,4.375,0.0333,0.055,0.049,0.788,1
96,997.678,1492.27,15.0896,0.0004,0.991,0.871,0.383,0.007,0.006,0.021,0.8247,-17.25,3.373,0.0345,0.052,0.044,0.785,1
101,899.098,1461.95,15.0632,0.0004,1.291,1.21,0.905,0.008,0.007,0.044,0.1679,-5.729,3.526,0.03,0.048,0.04,0.781,1
4,941.736,1285.35,10.7973,0.0003,1.056,1.008,0.629,0.018,0.012,0.009,0.656,-8.049,3.04,0.031,0.05,0.045,0.778,1
110,1032.89,1590.02,15.1659,0.0004,1.179,1.117,0.754,0.009,0.008,0.043,0.1045,-4.678,2.931,0.0344,0.053,0.048,0.769,1
20,1072.82,1348.24,12.1606,0.0021,2.755,1.864,2.184,0.006,0.006,0.059,0.0742,-3.734,2.139,0.0355,0.06,0.048,0.768,1
149,1047.62,1624.02,15.6534,0.0006,0.785,0.652,-0.044,0.01,0.009,0.017,0.6252,-6.73,0.812,0.043,0.065,0.057,0.764,1
