ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
2623,2036.78,2099.26,16.7657,0.0008,1.411,1.25,0.474,0.026,0.039,0.101,0.0869,-3.752,2.243,0.0733,0.131,0.112,0.61,1
3500,2168.84,2166.72,17.2319,0.0008,1.421,1.27,0.214,0.029,0.057,0.126,0.3364,-4.0,2.673,0.0814,0.143,0.124,0.584,1
2804,2104.89,1936.26,16.9309,0.0008,1.541,1.349,0.489,0.024,0.041,0.125,0.2395,-6.146,5.63,0.0707,0.135,0.11,0.577,1
3173,2043.79,1866.63,17.0325,0.0008,1.449,1.225,0.394,0.026,0.041,0.115,0.5666,-6.33,3.709,0.0768,0.157,0.124,0.577,1
2479,2017.21,1983.25,16.7612,0.0008,1.365,1.023,0.26,0.021,0.031,0.075,0.0444,-3.537,2.116,0.0618,0.117,0.103,0.57,1
2838,2145.18,2318.62,16.9497,0.0008,1.62,1.284,0.485,0.023,0.041,0.145,0.4138,-2.981,5.668,0.074,0.125,0.123,0.568,1
2996,2033.03,2348.25,17.0579,0.001,1.632,1.409,0.485,0.023,0.045,0.155,0.5221,-3.619,3.821,0.0813,0.135,0.129,0.568,1
2391,2066.4,1963.36,16.6725,0.0007,1.402,1.208,0.184,0.02,0.031,0.148,0.5188,-6.715,4.984,0.0605,0.12,0.102,0.557,1
397,2084.91,2113.77,14.2348,0.0006,1.336,1.069,0.399,0.008,0.009,0.015,0.3693,-2.92,1.488,0.1476,0.263,0.229,0.554,1
3071,2110.13,1774.06,17.0446,0.0008,1.441,1.147,0.533,0.023,0.038,0.133,0.0567,-4.895,2.885,0.0707,0.135,0.117,0.554,1
1195,2264.91,2095.52,15.7324,0.0008,1.324,1.18,0.378,0.011,0.017,0.039,0.7578,-9.9,3.441,0.0896,0.167,0.137,0.548,1
2590,2213.59,2189.87,16.8369,0.0007,1.334,1.107,0.569,0.019,0.033,0.098,0.6151,-2.406,4.544,0.066,0.115,0.103,0.545,1
2939,1892.35,2233.63,16.984,0.0009,1.367,1.159,0.534,0.028,0.046,0.116,0.7603,-9.229,7.599,0.0735,0.125,0.116,0.545,1
2234,2194.82,2118.77,16.5797,0.0012,1.344,1.198,0.26,0.018,0.03,0.065,0.7048,-6.417,5.796,0.0609,0.11,0.093,0.543,1
2054,2061.23,2115.81,16.4349,0.0008,1.532,1.235,0.714,0.019,0.029,0.09,0.0652,-3.685,2.311,0.054,0.1,0.087,0.524,1
1638,2167.84,2077.56,16.1383,0.0007,1.297,1.157,0.412,0.015,0.023,0.057,0.8973,-5.038,8.89,0.0534,0.1,0.077,0.522,1
587,1788.27,2023.6,14.7667,0.001,1.461,1.218,0.426,0.009,0.013,0.022,0.7355,-13.131,13.551,0.0459,0.089,0.088,0.51,1
1132,2107.01,2114.47,15.7633,0.0007,2.199,1.838,0.782,0.016,0.033,0.128,0.0561,-3.677,2.363,0.0459,0.086,0.076,0.507,1
1273,2035.03,2205.48,15.8012,0.0007,1.312,1.093,0.266,0.015,0.021,0.033,0.5601,-7.194,4.085,0.042,0.076,0.069,0.499,1
1003,2017.56,1854.79,15.4803,0.0005,2.061,1.769,1.134,0.011,0.022,0.103,0.2296,-2.767,1.229,0.0351,0.068,0.055,0.482,1
808,2052.19,2044.0,15.2235,0.0005,2.347,1.752,0.725,0.015,0.027,0.077,0.0796,-3.46,2.096,0.0367,0.072,0.059,0.471,1
823,2023.39,2327.24,15.3069,0.0005,2.033,1.764,0.833,0.012,0.023,0.08,0.2612,-5.292,5.499,0.0329,0.052,0.051,0.468,1
