ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 1089.98 1330.69 8.986 0.003 2.123 0.006 1.883 0.006 1.206 0.011 99.0 99.0 154.76745222456609 -56.41708441805006 0.0416 0.027487 -0.006726 0.026651 345.8 "Gaia DR2 5354891596047011584" 154.76743173834 0.0316 -56.41708209232 0.031 1635721458409799680 5354891596047011584 1352794308 2015.5 0.3443 0.0375 9.1727 -5.928 0.064 3.351 0.06 -0.0819 -0.2581 -0.2672 0.1812 0.209 0.2489 -0.1614 0.264 0.0342 0.0651 233 233 232 1 12.7175 618.8 0.0 0.0 31 0 61.7926 1.3413 0.0097 0.003 26 16 0.043365 0 48 0 378 13300000.0 8125.0 1637.505 7.8783 0.0007 43 2819000.0 6447.0 437.288 9.2261 0.0025 44 15630000.0 25000.0 625.204 6.7772 0.0017 1.386 1 2.4489 1.3478 1.1011 20.29 0.16 23 4500.0 3.0 0.0 NOT_AVAILABLE 282.97834912832 0.43369209982 192.94788492303 -59.10815660836 100002 3630.0 3529.0 3859.96 0.932 0.5849 1.1878 0.4695 0.2866 0.5461 200111 246.74 218.22 261.07 9523.746 7976.388 11071.104 154.767477884 0.989 -56.4170965181 0.9263
2 196.273 187.858 10.622 0.007 0.39 0.014 -0.029 0.011 0.266 0.009 0.54 0.018 154.90275859132348 -56.510742917776646 0.4323 0.095378 0.067927 -0.066955 134.6 "Gaia DR2 5354887438512016512" 154.90269706291 0.0435 -56.51062773137 0.0353 1635721458409799680 5354887438512016512 231757311 2015.5 1.9113 0.0498 38.4133 -13.801 0.072 1.334 0.067 0.0201 -0.5683 -0.0445 0.1995 0.1976 0.2506 -0.07 0.1075 -0.014 0.2178 144 144 141 3 5.1144 238.02 0.0 0.0 31 0 333.1632 1.6456 0.0114 -0.216 16 10 0.046722 0 20 1 167 1207000.0 412.9 2924.013 10.4838 0.0004 18 711800.0 749.5 949.697 10.7204 0.0011 18 715300.0 546.3 1309.451 10.1257 0.0008 1.182 0 0.5947 0.2367 0.3581 22.56 2.15 5 6000.0 3.5 0.0 NOT_AVAILABLE 283.09213523892 0.39642802751 193.17947272172 -59.12242259138 100001 6539.54 6480.13 6615.09 "" "" "" "" "" "" 200111 2.79 2.72 2.84 12.784 12.326 13.242 154.902804749 1.116 -56.5106334751 1.0389
3 643.571 1896.86 11.074 0.005 1.209 0.008 1.07 0.007 0.678 0.008 1.285 0.011 154.83305425704143 -56.37012860494024 0.7370 0.079531 0.029679 0.073786 21.9 "Gaia DR2 5354892592472084736" 154.83318190025 0.0279 -56.36993648175 0.0268 1635721458409799680 5354892592472084736 46464458 2015.5 0.7186 0.0337 21.3456 -4.297 0.055 5.097 0.049 -0.0856 -0.3297 -0.3804 0.0764 0.2636 0.2272 -0.2026 0.316 0.1701 0.1197 225 225 219 6 4.0189 307.53 0.0 9.6e-16 31 0 308.9795 1.4993 0.0074 0.029 27 16 0.040102 0 49 1 332 1030000.0 283.4 3636.134 10.6559 0.0003 38 410400.0 359.9 1140.209 11.3184 0.001 38 878200.0 665.8 1318.964 9.9029 0.0008 1.251 0 1.4155 0.6625 0.753 -1.82 0.25 13 5000.0 3.0 0.0 NOT_AVAILABLE 282.98290661308 0.49307476412 192.93416915916 -59.0490178246 100001 4539.73 4457.0 4674.83 0.239 0.069 0.641 0.1313 0.0346 0.4982 200111 16.13 15.22 16.74 99.61 92.412 106.809 154.833215308 0.86 -56.3699584282 0.7675
5 1799.04 1370.4 11.758 0.002 0.0 0.007 -0.062 0.006 0.046 0.004 0.067 0.005 154.6615554337887 -56.41447744805636 0.4552 0.071552 -0.065267 0.029324 294.2 "Gaia DR2 5354903243990827136" 154.66160758061 0.029 -56.41435435205 0.0319 1635721458409799680 5354903243990827136 1512653700 2015.5 0.8256 0.0385 21.4562 -7.821 0.057 4.373 0.058 -0.1734 -0.4145 -0.2433 0.1578 0.3625 0.285 -0.2244 0.3747 0.011 0.0522 226 226 217 9 13.8132 641.2 0.05 0.92 31 0 175.5851 1.8073 0.0093 -0.07 26 15 0.039945 0 41 0 326 385000.0 110.3 3491.23 11.7248 0.0003 37 283400.0 426.8 663.965 11.7206 0.0016 36 170500.0 152.8 1116.265 11.6823 0.001 1.179 0 0.0383 -0.0042 0.0424 "" "" 0 "" "" "" NOT_AVAILABLE 282.92794857692 0.40379128297 192.86279290081 -59.14724222687 102001 9444.0 7054.33 9690.75 "" "" "" "" "" "" "" "" "" "" "" "" "" 154.661668452 0.8892 -56.4143731806 0.9007
6 1290.82 1793.61 11.86 0.004 0.064 0.008 -0.091 0.007 0.087 0.004 0.146 0.006 154.73664157618862 -56.378948220880375 0.5051 0.068893 -0.023664 0.064702 339.9 "Gaia DR2 5354892004052733312" 154.73685392615 0.0268 -56.37902477217 0.0277 1635721458409799680 5354892004052733312 803443174 2015.5 0.713 0.0326 21.8591 -8.188 0.056 4.717 0.054 0.0258 -0.1903 -0.2964 0.0522 0.3051 0.0988 -0.2694 0.1929 -0.0648 0.1529 223 223 219 4 13.0829 613.46 0.0 0.3 31 1 365.9514 1.7609 0.008 0.026 25 16 0.040676 0 42 0 336 357300.0 83.53 4277.674 11.8058 0.0003 39 255700.0 408.3 626.259 11.8321 0.0017 38 167600.0 128.8 1301.481 11.7015 0.0008 1.185 1 0.1306 0.0263 0.1043 "" "" 0 "" "" "" NOT_AVAILABLE 282.94330348381 0.45619994196 192.872451061 -59.09285605272 100002 9674.0 9552.0 9803.0 0.4712 0.2465 0.6335 0.2465 0.134 0.332 "" "" "" "" "" "" "" 154.736917598 0.8632 -56.3790450813 0.842
7 893.046 1478.63 11.94 0.003 0.291 0.004 0.123 0.004 0.211 0.003 0.392 0.005 154.79661504007044 -56.40475420405703 0.1548 0.040143 0.009422 0.039021 13.6 "Gaia DR2 5354890977571731328" 154.79662106004 0.7735 -56.40471133768 0.8642 1635721458409799680 5354890977571731328 198294666 2015.5 "" "" "" "" "" "" "" 0.0104 "" "" "" "" "" "" "" "" "" 184 184 173 11 579.4686 1806913.5 9.492 30000.0 3 0 0.0089 "" "" 0.046 22 15 1.5329 0 35 0 305 338900.0 107.0 3166.657 11.8631 0.0003 35 216300.0 244.7 883.801 12.0137 0.0012 33 186600.0 143.9 1296.75 11.5849 0.0008 1.189 0 0.4289 0.1506 0.2783 "" "" 0 "" "" "" NOT_AVAILABLE 282.98505746604 0.45289653955 192.95343942493 -59.08801530411 130001 7910.0 7608.0 8061.0 "" "" "" "" "" "" "" "" "" "" "" "" "" 154.79662106 0.7735 -56.4047113377 0.8642
8 213.801 750.558 12.077 0.003 0.081 0.006 0.089 0.005 0.044 0.006 0.097 0.007 154.8994131327253 -56.464539147849806 1.3221 0.069174 0.06606 -0.020522 107.3 "Gaia DR2 5354887674725702912" 154.89916689697 0.0291 -56.46419802924 0.0274 1635721458409799680 5354887674725702912 320434784 2015.5 0.7409 0.0335 22.0929 -6.384 0.058 3.831 0.053 -0.043 -0.3085 -0.3988 0.0159 0.2286 0.0967 -0.2622 0.2084 0.0676 0.132 230 230 228 2 14.2384 677.7 0.051 0.98 31 1 167.4623 1.766 0.008 0.004 26 16 0.041966 0 42 0 343 282500.0 60.33 4682.607 12.0607 0.0002 39 202400.0 285.8 708.023 12.086 0.0015 38 130800.0 106.1 1232.729 11.9703 0.0009 1.179 1 0.1156 0.0252 0.0904 "" "" 0 "" "" "" NOT_AVAILABLE 283.06508605692 0.43421554341 193.11332573941 -59.09070427843 100002 9632.67 9483.0 9761.33 0.3287 0.1726 0.515 0.149 0.0736 0.2561 "" "" "" "" "" "" "" 154.899216652 0.9071 -56.4642145233 0.8175
9 1577.47 1474.33 12.134 0.003 0.622 0.004 0.105 0.003 0.408 0.004 0.788 0.005 154.69444335217304 -56.40562339071276 0.1837 0.060557 -0.047067 0.038102 309.0 "Gaia DR2 5354891905284400128" 154.6945275766 0.0231 -56.40560260803 0.0231 1635721458409799680 5354891905284400128 1460429583 2015.5 0.8863 0.0279 31.7438 -8.424 0.048 6.24 0.045 0.0224 -0.1777 -0.2471 0.0958 0.2134 0.1535 -0.1608 0.1887 0.0583 0.1111 241 241 238 3 2.7798 297.52 0.0 0.0 31 0 394.4984 1.601 0.0072 0.029 27 16 0.03624 0 41 0 334 315500.0 60.95 5176.086 11.941 0.0002 40 167100.0 145.2 1150.205 12.2942 0.0009 39 214000.0 128.2 1668.818 11.4358 0.0007 1.208 0 0.8584 0.3532 0.5052 -3.39 1.6 12 6000.0 3.5 0.0 NOT_AVAILABLE 282.93834274295 0.42111954396 192.87615749351 -59.12823431025 100001 5740.0 5534.0 5890.75 "" "" "" "" "" "" 200111 4.03 3.83 4.34 15.899 15.076 16.722 154.694593128 0.7512 -56.4056294751 0.6975
10 1084.94 95.706 12.287 0.004 0.452 0.007 -0.045 0.006 0.298 0.005 0.627 0.007 154.7697243107699 -56.51886779548934 0.8959 0.075548 -0.005337 -0.075359 184.1 "Gaia DR2 5354866715285301504" 154.76991857896 0.023 -56.51909239869 0.0251 1635721458409799680 5354866715285301504 1203903645 2015.5 0.4907 0.0281 17.4477 -7.218 0.045 2.408 0.05 0.0027 -0.2606 -0.2603 0.0863 0.0768 0.1418 -0.3087 0.181 0.1487 0.0792 232 232 230 2 0.609 237.48 0.0 0.0 31 0 359.146 1.6316 0.0069 -0.107 26 15 0.037108 0 39 0 326 262500.0 48.21 5445.886 12.1404 0.0002 39 152100.0 153.6 990.171 12.3964 0.0011 36 166500.0 96.01 1734.52 11.7082 0.0006 1.214 0 0.6882 0.2559 0.4323 "" "" 0 "" "" "" NOT_AVAILABLE 283.0355078878 0.34918754938 193.08933518236 -59.17988450932 100001 6287.39 5830.0 6699.25 1.553 1.1855 1.7492 0.772 0.5849 0.866 200111 5.48 4.83 6.37 42.264 38.293 46.234 154.769974914 0.705 -56.5191027679 0.778
11 876.463 1292.74 12.321 0.002 0.608 0.003 0.031 0.003 0.402 0.003 0.758 0.004 154.7994168079903 -56.420091518254516 0.1863 0.026112 0.010988 0.023687 24.9 "Gaia DR2 5354890938900846208" 154.79945838672 0.0244 -56.42004515274 0.0243 1635721458409799680 5354890938900846208 772471622 2015.5 1.9573 0.0301 64.9723 10.666 0.05 -0.931 0.048 0.0012 -0.3214 -0.2618 0.0676 0.2034 0.1704 -0.2379 0.3185 0.1224 0.1423 241 241 241 0 5.0031 361.35 0.0 0.0 31 1 347.5885 1.605 0.0073 -0.023 27 16 0.037219 0 40 0 330 263200.0 53.04 4962.037 12.1376 0.0002 38 141200.0 198.9 710.122 12.4767 0.0015 35 176100.0 107.2 1642.789 11.6473 0.0007 1.206 1 0.8294 0.3391 0.4903 "" "" 0 "" "" "" NOT_AVAILABLE 282.99478367455 0.44093843417 192.97653759321 -59.09785542143 100002 5803.67 5775.0 5836.0 0.947 0.6726 1.2466 0.499 0.3427 0.6633 200111 1.63 1.61 1.64 2.709 2.642 2.776 154.799375361 0.7678 -56.4200411448 0.7397
