ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
93,1002.98,962.063,15.0707,0.0015,0.697,0.174,0.009,0.017,1.2187,-6.342,-0.746,0.6286,0.869,0.738,0.433,1
5,908.398,804.426,10.4753,0.002,1.852,1.787,0.005,0.015,0.5137,-1.925,-0.436,0.0899,0.126,0.101,0.414,1
381,1381.24,1285.47,16.884,0.0008,0.799,0.248,0.015,0.087,0.2102,-6.25,1.648,0.0771,0.115,0.096,0.398,1
226,891.411,1327.24,16.0109,0.0008,0.93,0.268,0.009,0.035,0.5702,-6.15,1.812,0.1046,0.161,0.137,0.385,1
446,1373.1,1473.74,17.1343,0.001,0.856,0.261,0.022,0.093,0.1475,-4.562,1.093,0.0971,0.153,0.126,0.364,1
114,839.49,1364.29,15.2924,0.001,0.722,0.217,0.009,0.014,0.1802,-9.752,2.494,0.0767,0.121,0.093,0.352,1
154,717.957,895.553,15.552,0.0006,0.917,0.489,0.009,0.032,1.0499,-7.153,9.984,0.0775,0.108,0.088,0.344,1
50,1120.5,979.333,14.1291,0.0006,0.933,0.625,0.007,0.012,1.3898,-15.667,9.561,0.1003,0.154,0.12,0.335,1
175,822.927,1277.61,15.7981,0.0006,0.825,0.297,0.008,0.028,0.8033,-1.727,-3.086,0.0481,0.069,0.059,0.325,1
9,1271.08,874.533,12.6035,0.0002,1.173,0.809,0.006,0.009,0.2597,-5.929,2.712,0.0626,0.098,0.073,0.318,1
162,713.321,1060.15,15.6367,0.0005,0.978,0.254,0.009,0.035,0.3608,-10.847,1.793,0.0451,0.068,0.055,0.314,1
157,1470.91,1044.99,15.7093,0.0006,0.783,0.3,0.008,0.024,0.7535,-8.659,9.539,0.0453,0.066,0.055,0.313,1
186,727.572,924.326,15.9208,0.0008,0.608,0.456,0.01,0.03,0.1163,-6.175,2.788,0.0543,0.077,0.064,0.31,1
170,1040.39,864.414,15.5706,0.0006,1.173,0.844,0.012,0.06,0.3685,-5.12,0.735,0.0551,0.075,0.063,0.308,1
126,1134.46,687.855,15.1565,0.0005,1.14,0.672,0.009,0.036,0.3031,-9.527,2.267,0.0431,0.066,0.049,0.307,1
122,1024.58,1571.03,15.1189,0.0005,1.206,0.65,0.007,0.035,0.0026,-5.46,2.497,0.0352,0.059,0.044,0.306,1
150,1187.52,938.31,15.6084,0.0006,0.639,0.194,0.009,0.023,0.4117,-5.75,1.385,0.0449,0.064,0.058,0.306,1
169,873.512,1369.14,15.754,0.0006,0.781,0.188,0.008,0.024,0.7308,-15.711,9.457,0.0468,0.067,0.062,0.305,1
143,712.722,1074.02,15.4908,0.0006,0.83,0.271,0.006,0.021,0.4752,-10.407,4.035,0.0445,0.065,0.054,0.304,1
166,1037.83,827.575,15.7223,0.0006,0.833,0.263,0.011,0.027,0.4399,-7.478,2.517,0.0539,0.077,0.061,0.297,1
164,1279.01,913.986,15.6274,0.0006,1.064,0.732,0.011,0.048,0.4743,-4.641,0.515,0.0428,0.063,0.052,0.293,1
98,1501.99,1292.83,15.2346,0.0005,0.282,0.29,0.006,0.011,0.1379,-4.647,1.099,0.0393,0.058,0.048,0.269,1
72,1379.85,1191.66,14.3452,0.0004,1.434,1.307,0.007,0.049,0.15,-8.127,2.956,0.0288,0.041,0.035,0.251,1
233,1196.0,1089.31,16.1779,0.0025,0.834,0.372,0.01,0.04,0.1731,-0.937,-0.504,0.1927,0.304,0.23,0.404,0
29,934.418,922.371,13.6562,0.0003,0.702,0.13,0.007,0.007,0.7734,-2.837,3.187,0.1313,0.182,0.149,0.354,0
336,705.898,874.293,16.6846,0.0008,0.758,0.157,0.018,0.063,0.0467,-9.102,3.421,0.0938,0.141,0.103,0.354,0
318,1129.04,1034.22,16.6896,0.0008,0.664,0.119,0.013,0.043,0.3295,-6.167,2.523,0.076,0.111,0.098,0.338,0
302,1035.96,922.922,16.4626,0.0007,0.945,0.284,0.016,0.06,0.1961,-5.017,3.071,0.0705,0.098,0.082,0.337,0
460,1353.64,1372.46,17.2472,0.001,0.752,0.075,0.02,0.074,0.324,-8.957,4.079,0.0976,0.161,0.124,0.33,0
259,732.523,1156.1,16.2887,0.0008,0.812,0.245,0.011,0.04,0.3711,-5.37,-3.222,0.0614,0.095,0.079,0.323,0
276,1245.3,959.744,16.3624,0.0006,0.718,0.211,0.013,0.045,0.1544,-3.922,0.072,0.0598,0.088,0.073,0.322,0
214,1224.97,1216.37,16.0363,0.0007,0.761,0.229,0.01,0.028,0.7027,1.965,-1.12,0.0528,0.077,0.064,0.314,0
23,1017.34,897.871,12.8095,0.0004,1.842,2.15,0.007,0.067,0.1332,-5.568,2.18,0.0445,0.063,0.052,0.312,0
148,988.48,882.599,15.4841,0.0006,0.941,0.433,0.009,0.033,0.4232,-10.211,3.21,0.0512,0.071,0.057,0.299,0
174,1039.14,1129.81,15.8248,0.0006,0.739,0.169,0.009,0.025,0.8217,-16.427,1.548,0.0514,0.075,0.067,0.297,0
