radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
153.096707,0.389,-50.731737,0.253,15.914,0.052,4,16.576,0.079,4,NA,NA,0,16.135,0.05,5,15.609,0.048,5,15.448,0.082,5,NA,NA,0,NA,NA,0
153.09707,0.464,-50.739201,0.304,16.906,0.133,3,17.819,0.09,3,NA,NA,0,17.175,0.117,5,16.638,0.086,5,16.358,0.254,1,NA,NA,0,NA,NA,0
153.098442,0.681,-50.672498,0.383,16.317,0.094,1,17.608,0.154,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
153.099763,0.211,-50.771698,0.178,15.656,0.042,4,16.686,0.045,4,NA,NA,0,16.094,0.023,5,15.255,0.043,5,15.028,0.017,5,NA,NA,0,NA,NA,0
153.100583,0.46,-50.709889,0.294,16.795,0.139,1,18.049,0.229,1,NA,NA,0,17.075,0.039,4,16.39,0.081,4,16.061,0.177,1,NA,NA,0,NA,NA,0
153.101126,0.173,-50.753327,0.411,NA,NA,0,NA,NA,0,NA,NA,0,17.524,0.137,1,16.949,0.164,1,NA,NA,0,NA,NA,0,NA,NA,0
153.103041,0.61,-50.705126,0.41,16.212,0.033,4,17.02,0.093,4,NA,NA,0,16.444,0.057,5,15.923,0.05,5,15.719,0.132,3,NA,NA,0,NA,NA,0
153.10335,0.393,-50.7675,0.342,15.735,0.06,4,16.499,0.072,4,NA,NA,0,16.052,0.062,5,15.496,0.034,4,15.226,0.037,4,NA,NA,0,NA,NA,0
153.104561,0.254,-50.667824,0.187,15.192,0.011,3,16.1,0.023,3,NA,NA,0,15.608,0.026,4,14.902,0.038,4,14.674,0.039,4,NA,NA,0,NA,NA,0
153.104732,0.618,-50.653257,0.433,13.322,0.04,4,13.719,0.015,4,NA,NA,0,13.438,0.026,5,13.228,0.02,5,13.193,0.013,5,13.669,0.345,4,NA,NA,0
153.104764,0.21,-50.719796,0.307,15.661,0.064,4,16.451,0.076,4,NA,NA,0,16.002,0.035,5,15.367,0.046,5,15.046,0.054,5,NA,NA,0,NA,NA,0
153.105156,0.469,-50.634302,0.411,16.96,0.145,1,17.856,0.19,1,NA,NA,0,17.326,0.104,1,16.793,0.148,1,NA,NA,0,NA,NA,0,NA,NA,0
153.107264,0.544,-50.680482,0.163,15.398,0.023,4,16.061,0.038,4,NA,NA,0,15.666,0.032,5,15.216,0.043,5,15.054,0.015,5,NA,NA,0,NA,NA,0
153.1078,0.691,-50.769945,0.323,15.788,0.059,4,16.403,0.042,4,NA,NA,0,16.096,0.067,4,15.638,0.062,4,15.46,0.11,3,NA,NA,0,NA,NA,0
153.1084,0.253,-50.642939,0.182,15.843,0.087,4,16.73,0.086,4,NA,NA,0,16.141,0.04,5,15.649,0.036,5,15.515,0.125,5,NA,NA,0,NA,NA,0
153.108552,0.492,-50.804356,0.401,16.892,0.001,2,17.983,0.272,2,NA,NA,0,17.332,0.068,4,16.512,0.069,3,16.093,0.201,1,NA,NA,0,NA,NA,0
153.109935,0.285,-50.74659,0.245,12.651,0.017,4,13.188,0.015,4,NA,NA,0,12.861,0.019,5,12.477,0.014,5,12.295,0.018,5,12.163,0.042,3,NA,NA,0
153.110998,0.423,-50.759167,0.542,17.097,0.17,1,17.662,0.211,1,NA,NA,0,17.378,0.048,3,17.123,0.105,3,NA,NA,0,NA,NA,0,NA,NA,0
