radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
143.44658,0.363,-50.514437,0.281,16.294,0.181,6,17.588,0.105,6,NA,NA,0,16.9,0.053,6,15.713,0.107,6,15.39,0.064,5,NA,NA,0,NA,NA,0
143.446759,0.654,-50.5523,0.498,16.135,0.111,6,16.996,0.129,6,NA,NA,0,16.568,0.081,6,15.799,0.205,6,15.469,0.084,4,NA,NA,0,NA,NA,0
143.446783,0.566,-50.38409,0.35,17.347,0.188,1,18.038,0.218,1,NA,NA,0,18.021,0.143,1,16.986,0.153,1,NA,NA,0,NA,NA,0,NA,NA,0
143.446799,0.709,-50.122268,0.245,15.247,0.012,2,16.15,0.023,2,NA,NA,0,15.745,0.014,2,14.956,0.035,2,14.633,0.066,2,NA,NA,0,NA,NA,0
143.446859,0.603,-50.477763,0.725,14.759,0.026,6,15.546,0.048,6,NA,NA,0,15.137,0.018,6,14.559,0.05,6,14.305,0.046,6,NA,NA,0,NA,NA,0
143.446931,0.007,-50.199518,0.334,NA,NA,0,NA,NA,0,NA,NA,0,18.392,0.214,1,17.094,0.165,1,NA,NA,0,NA,NA,0,NA,NA,0
143.447132,0.315,-49.822909,0.35,14.799,0.048,6,15.856,0.031,6,NA,NA,0,15.32,0.016,6,14.449,0.045,6,14.153,0.092,6,NA,NA,0,NA,NA,0
143.447158,0.46,-50.331614,0.264,16.505,0.031,3,17.645,0.063,3,NA,NA,0,17.179,0.074,5,16.181,0.064,5,15.772,0.035,3,NA,NA,0,NA,NA,0
143.447499,0.607,-50.0268,0.259,13.294,0.014,6,14.883,0.02,6,NA,NA,0,14.101,0.012,6,12.704,0.026,6,12.035,0.025,6,11.643,0.062,2,NA,NA,0
143.447575,0.42,-50.181205,0.225,16.753,0.111,1,18.491,0.308,1,NA,NA,0,17.52,0.02,5,16.026,0.081,5,15.448,0.12,4,NA,NA,0,NA,NA,0
143.448132,0.973,-50.047622,0.387,16.984,0.137,2,17.662,0.089,2,NA,NA,0,17.416,0.109,1,16.517,0.121,1,NA,NA,0,NA,NA,0,NA,NA,0
143.44814,0.485,-50.409247,0.441,15.472,0.082,6,16.566,0.062,6,NA,NA,0,16.062,0.043,6,15.125,0.065,6,14.749,0.069,6,NA,NA,0,NA,NA,0
143.44819,0.154,-49.857445,0.298,12.329,0.036,6,13.753,0.029,6,NA,NA,0,13.038,0.022,6,11.857,0.047,6,11.359,0.056,6,11.086,0.014,2,NA,NA,0
143.448257,1.141,-50.303411,0.459,16.301,0.042,4,17.374,0.122,4,NA,NA,0,16.898,0.053,6,15.842,0.1,6,15.361,0.162,6,NA,NA,0,NA,NA,0
143.448733,0.124,-49.836024,0.148,14.701,0.041,6,16.072,0.06,6,NA,NA,0,15.358,0.033,6,14.237,0.052,6,13.752,0.064,6,NA,NA,0,NA,NA,0
143.449102,0.206,-50.253419,0.194,14.209,0.016,6,15.807,0.051,6,NA,NA,0,14.994,0.021,6,13.65,0.029,6,13.03,0.021,6,12.551,0.088,1,NA,NA,0
143.449388,0.56,-50.232321,0.437,16.039,0.07,4,17.247,0.077,4,NA,NA,0,16.671,0.105,4,15.582,0.081,4,15.109,0.015,2,NA,NA,0,NA,NA,0
143.449817,0.608,-50.337315,0.274,16.181,0.036,3,17.296,0.048,3,NA,NA,0,16.729,0.042,5,15.724,0.056,5,15.331,0.082,4,NA,NA,0,NA,NA,0
143.449822,0.365,-50.495473,0.315,15.785,0.13,6,16.651,0.038,6,NA,NA,0,16.178,0.04,6,15.468,0.082,6,15.249,0.058,6,NA,NA,0,NA,NA,0
143.449884,0.359,-50.539322,0.314,NA,NA,0,NA,NA,0,NA,NA,0,17.855,0.119,3,16.8,0.147,3,16.425,0.285,1,NA,NA,0,NA,NA,0
143.44991,0.224,-50.076316,0.183,14.807,0.024,6,16.459,0.028,6,NA,NA,0,15.635,0.036,6,14.163,0.038,6,13.475,0.032,6,12.971,0.136,1,NA,NA,0
143.450132,0.156,-50.113333,0.105,NA,NA,0,NA,NA,0,NA,NA,0,18.732,0.31,1,16.593,0.121,1,15.427,0.102,1,NA,NA,0,NA,NA,0
143.450261,0.227,-50.069839,0.183,14.922,0.043,6,15.878,0.064,6,NA,NA,0,15.381,0.032,6,14.644,0.031,6,14.359,0.052,6,NA,NA,0,NA,NA,0
143.450359,0.704,-49.988755,0.527,15.938,0.049,6,16.805,0.069,6,NA,NA,0,16.4,0.05,5,15.658,0.022,5,15.288,0.057,5,NA,NA,0,NA,NA,0
