radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
150.039475,0.546,-55.476926,0.423,17.14,0.168,1,18.266,0.263,1,NA,NA,0,17.447,0.149,7,16.577,0.123,7,16.011,0.153,5,NA,NA,0,NA,NA,0
150.039566,0.367,-54.633996,0.339,17.245,0.226,1,17.687,0.219,1,NA,NA,0,17.374,0.09,7,16.673,0.124,7,16.324,0.114,3,NA,NA,0,NA,NA,0
150.039754,0.189,-55.331758,0.315,NA,NA,0,NA,NA,0,NA,NA,0,17.379,0.16,2,16.577,0.066,2,NA,NA,0,NA,NA,0,NA,NA,0
150.039805,0.36,-55.01605,0.235,16.62,0.17,3,17.544,0.095,3,NA,NA,0,16.945,0.036,8,16.33,0.067,8,16.017,0.224,6,NA,NA,0,NA,NA,0
150.039855,0.227,-55.126157,0.183,15.439,0.012,3,16.294,0.021,3,NA,NA,0,15.766,0.046,6,15.076,0.028,6,14.806,0.085,6,NA,NA,0,NA,NA,0
150.039948,1.418,-55.092909,0.37,16.021,0.144,3,17.209,0.124,3,NA,NA,0,16.546,0.083,9,15.625,0.135,9,15.15,0.137,9,NA,NA,0,NA,NA,0
150.039977,0.8,-55.284692,1.047,15.24,0.031,1,16.214,0.046,1,NA,NA,0,15.677,0.044,8,14.87,0.047,8,14.554,0.066,7,NA,NA,0,NA,NA,0
150.039981,0.341,-55.340142,0.222,NA,NA,0,NA,NA,0,NA,NA,0,18.043,0.002,2,15.916,0.067,1,14.82,0.066,1,NA,NA,0,NA,NA,0
150.040077,0.561,-55.003408,0.409,16.208,0.038,3,17.061,0.044,3,NA,NA,0,16.58,0.075,8,15.81,0.043,7,15.663,0.179,8,NA,NA,0,NA,NA,0
150.04055,0.335,-55.102727,0.203,NA,NA,0,NA,NA,0,NA,NA,0,18.129,0.225,5,16.187,0.051,5,15.129,0.058,5,NA,NA,0,NA,NA,0
150.040556,0.395,-54.651496,0.248,15.096,0.012,4,15.625,0.058,4,NA,NA,0,15.316,0.043,10,15.037,0.028,9,15.01,0.091,10,NA,NA,0,NA,NA,0
150.040639,0.666,-54.879663,0.787,15.506,0.04,3,16.478,0.115,3,NA,NA,0,15.987,0.033,9,15.215,0.057,8,14.849,0.042,9,NA,NA,0,NA,NA,0
150.040766,0.653,-55.181441,0.346,15.739,0.015,3,16.432,0.073,3,NA,NA,0,16.08,0.035,9,15.475,0.068,9,15.019,0.087,9,NA,NA,0,NA,NA,0
150.040886,0.32,-55.320639,0.248,15.941,0.054,3,16.987,0.08,3,NA,NA,0,16.388,0.073,9,15.662,0.063,9,15.5,0.186,9,NA,NA,0,NA,NA,0
150.04121,0.368,-54.571116,0.727,16.192,0.058,2,17.081,0.03,2,NA,NA,0,16.531,0.128,9,15.724,0.115,8,15.486,0.134,3,NA,NA,0,NA,NA,0
150.041291,0.331,-55.22395,0.202,NA,NA,0,NA,NA,0,NA,NA,0,17.595,0.13,5,15.114,0.059,5,13.766,0.055,5,NA,NA,0,NA,NA,0
150.041741,0.356,-54.869888,0.354,NA,NA,0,NA,NA,0,NA,NA,0,17.346,0.086,7,16.529,0.099,7,16.194,0.275,5,NA,NA,0,NA,NA,0
150.041747,0.373,-55.385603,0.201,12.29,0.016,3,13.312,0.018,3,NA,NA,0,12.774,0.018,9,11.981,0.018,9,11.575,0.208,10,11.554,0.068,6,NA,NA,0
150.041829,0.469,-55.42813,0.609,NA,NA,0,NA,NA,0,NA,NA,0,17.844,0.109,4,16.823,0.184,4,NA,NA,0,NA,NA,0,NA,NA,0
150.042534,0.594,-54.788542,0.218,NA,NA,0,NA,NA,0,NA,NA,0,17.187,0.139,8,15.193,0.063,8,14.233,0.035,8,NA,NA,0,NA,NA,0
150.042561,0.413,-55.191181,0.268,NA,NA,0,NA,NA,0,NA,NA,0,17.512,0.162,8,16.345,0.056,8,15.574,0.074,7,NA,NA,0,NA,NA,0
150.042665,0.434,-55.291906,0.318,NA,NA,0,NA,NA,0,NA,NA,0,17.316,0.156,8,16.423,0.07,8,15.888,0.179,6,NA,NA,0,NA,NA,0
150.042687,0.355,-54.842451,0.394,14.266,0.01,3,14.973,0.032,3,NA,NA,0,14.591,0.033,9,14.09,0.021,9,13.878,0.047,9,13.629,0.204,1,NA,NA,0
150.042935,0.323,-55.440855,0.273,12.025,0.012,3,12.575,0.02,3,NA,NA,0,13.803,2.416,10,11.886,0.054,10,11.618,0.53,10,11.466,0.947,6,NA,NA,0
150.043267,0.542,-55.28707,0.487,NA,NA,0,NA,NA,0,NA,NA,0,16.87,0.11,5,15.811,0.075,5,15.127,0.066,4,NA,NA,0,NA,NA,0
150.043569,0.375,-54.834829,0.774,16.061,0.005,2,17.31,0.153,2,NA,NA,0,16.636,0.1,7,15.806,0.073,7,15.539,0.149,6,NA,NA,0,NA,NA,0
150.043637,0.217,-54.940192,0.344,NA,NA,0,NA,NA,0,NA,NA,0,17.748,0.062,2,16.987,0.121,2,NA,NA,0,NA,NA,0,NA,NA,0
150.044026,0.223,-55.269575,0.172,15.492,0.025,3,17.169,0.053,3,NA,NA,0,16.301,0.052,9,14.982,0.025,9,14.329,0.055,9,NA,NA,0,NA,NA,0
150.044067,0.496,-55.391061,0.299,16.263,0.017,2,17.412,0.001,2,NA,NA,0,16.874,0.104,4,16.056,0.103,2,15.5,0.164,4,NA,NA,0,NA,NA,0
150.044114,0.462,-55.17741,0.698,NA,NA,0,NA,NA,0,NA,NA,0,17.34,0.061,5,16.441,0.109,5,15.946,0.174,1,NA,NA,0,NA,NA,0
150.044138,0.304,-55.011824,0.312,14.691,0.024,3,15.584,0.009,3,NA,NA,0,15.079,0.029,9,14.448,0.029,9,14.201,0.058,9,NA,NA,0,NA,NA,0
150.044233,0.421,-55.123977,0.247,16.112,0.052,3,16.711,0.129,3,NA,NA,0,16.35,0.06,5,15.76,0.04,5,15.47,0.061,5,NA,NA,0,NA,NA,0
150.044254,0.403,-55.295076,0.288,16.112,0.089,3,17.19,0.063,3,NA,NA,0,16.505,0.045,9,15.872,0.069,9,15.645,0.159,8,NA,NA,0,NA,NA,0
150.044302,0.279,-54.763904,0.228,15.697,0.022,3,16.444,0.035,3,NA,NA,0,16.011,0.041,9,15.498,0.064,9,15.369,0.143,9,NA,NA,0,NA,NA,0
150.044415,0.316,-55.201303,0.025,NA,NA,0,NA,NA,0,NA,NA,0,18.058,0.179,1,17.046,0.178,1,NA,NA,0,NA,NA,0,NA,NA,0
150.044485,0.549,-54.697588,0.334,15.981,0.088,3,17.034,0.035,3,NA,NA,0,16.418,0.045,9,15.789,0.056,9,15.558,0.093,9,NA,NA,0,NA,NA,0
150.044511,0.827,-55.303622,0.047,NA,NA,0,NA,NA,0,NA,NA,0,18.115,0.201,1,17.045,0.188,1,NA,NA,0,NA,NA,0,NA,NA,0
150.044728,0.523,-54.679954,0.331,15.566,0.094,4,16.631,0.093,4,NA,NA,0,16.113,0.14,9,15.143,0.035,8,14.836,0.054,9,NA,NA,0,NA,NA,0
150.045064,0.399,-55.409168,0.378,16.917,0.14,1,17.759,0.168,1,NA,NA,0,17.531,0.132,6,16.604,0.111,6,16.194,0.246,1,NA,NA,0,NA,NA,0
150.045245,0.296,-54.956132,0.334,15.139,0.051,3,15.866,0.015,3,NA,NA,0,15.457,0.039,9,14.916,0.033,9,14.684,0.06,9,NA,NA,0,NA,NA,0
150.045264,0.502,-55.049878,0.401,16.335,0.062,3,17.22,0.132,3,NA,NA,0,16.701,0.042,9,16.007,0.084,9,15.667,0.159,7,NA,NA,0,NA,NA,0
150.045309,0.296,-54.601611,0.343,13.611,0.031,3,13.966,0.046,3,NA,NA,0,13.728,0.03,9,13.588,0.019,8,13.554,0.028,9,13.429,0.097,2,NA,NA,0
150.045429,0.405,-55.261183,0.264,NA,NA,0,NA,NA,0,NA,NA,0,17.681,0.052,7,15.735,0.041,7,14.446,0.071,7,NA,NA,0,NA,NA,0
150.04544,0.596,-54.721343,0.721,16.477,0.027,2,17.432,0.123,2,NA,NA,0,16.93,0.033,6,16.202,0.077,6,15.941,0.138,4,NA,NA,0,NA,NA,0
150.045488,0.796,-54.758507,0.453,16.077,0.025,2,17.508,0.108,2,NA,NA,0,16.723,0.092,9,15.56,0.042,9,15.01,0.112,8,NA,NA,0,NA,NA,0
150.045533,0.738,-54.628253,0.4,16.282,0.05,3,17.336,0.105,3,NA,NA,0,16.901,0.082,8,15.92,0.122,8,15.43,0.092,5,NA,NA,0,NA,NA,0
150.045608,0.371,-54.742128,0.341,15.915,0.085,3,17.287,0.086,3,NA,NA,0,16.657,0.102,9,15.302,0.071,9,14.65,0.047,9,NA,NA,0,NA,NA,0
150.045821,0.431,-54.823132,0.366,NA,NA,0,NA,NA,0,NA,NA,0,17.726,0.139,7,16.795,0.142,7,16.531,0.143,3,NA,NA,0,NA,NA,0
150.045886,1.226,-54.809233,0.435,16.384,0.162,1,17.135,0.21,1,NA,NA,0,16.447,0.094,5,15.92,0.138,4,15.984,0.207,1,NA,NA,0,NA,NA,0
150.046218,0.391,-54.710703,0.257,15.985,0.098,3,16.797,0.042,3,NA,NA,0,16.309,0.04,9,15.83,0.09,9,15.701,0.225,9,NA,NA,0,NA,NA,0
150.046287,0.951,-54.62519,0.598,14.888,0.045,4,16.304,0.058,4,NA,NA,0,15.615,0.032,9,14.348,0.022,8,13.744,0.048,9,13.71,0.059,5,NA,NA,0
150.046361,0.346,-55.332881,0.392,13.839,0.027,3,15.349,0.031,3,NA,NA,0,14.569,0.025,9,13.363,0.034,9,12.756,0.04,9,12.473,0.108,6,NA,NA,0
150.046383,0.313,-54.916982,0.218,16.012,0.041,2,17.322,0.2,2,NA,NA,0,16.411,0.049,3,15.81,0.047,2,15.334,0.077,3,NA,NA,0,NA,NA,0
150.046568,0.527,-54.96544,0.221,15.641,0.076,3,16.511,0.074,3,NA,NA,0,16.034,0.044,9,15.261,0.042,9,14.908,0.072,9,NA,NA,0,NA,NA,0
150.046739,0.311,-55.142615,0.001,NA,NA,0,NA,NA,0,NA,NA,0,18.082,0.235,1,17.188,0.223,1,NA,NA,0,NA,NA,0,NA,NA,0
