radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
183.460068,0.396,-55.105687,0.222,16.608,0.027,2,17.752,0.087,2,NA,NA,0,17.146,0.031,4,16.077,0.109,4,15.655,0.151,3,NA,NA,0,NA,NA,0
183.463082,0.309,-55.133381,0.258,16.649,0.109,1,17.581,0.147,1,NA,NA,0,17.147,0.211,2,16.247,0.059,2,15.86,0.153,1,NA,NA,0,NA,NA,0
183.46469,0.464,-55.054912,0.345,16.326,0.142,4,17.178,0.053,4,NA,NA,0,16.675,0.051,4,15.944,0.034,4,15.588,0.12,2,NA,NA,0,NA,NA,0
183.465257,0.358,-55.155454,0.23,16.644,0.005,2,17.496,0.085,2,NA,NA,0,16.821,0.107,4,16.36,0.1,4,16.237,0.192,1,NA,NA,0,NA,NA,0
183.468291,0.073,-55.137875,0.123,13.207,0.016,4,13.808,0.015,4,NA,NA,0,13.461,0.026,4,13.078,0.016,4,12.95,0.037,4,12.831,0.101,1,NA,NA,0
183.469068,0.055,-55.097631,0.147,NA,NA,0,NA,NA,0,NA,NA,0,18.112,0.262,1,16.852,0.161,1,NA,NA,0,NA,NA,0,NA,NA,0
183.469333,0.271,-55.075904,0.414,15.304,0.049,4,16.216,0.096,4,NA,NA,0,15.71,0.039,4,15.115,0.047,4,14.862,0.063,3,NA,NA,0,NA,NA,0
183.470018,0.181,-55.127272,0.16,12.063,0.014,4,12.742,0.021,4,NA,NA,0,12.365,0.03,4,11.877,0.025,4,11.677,0.039,4,11.621,0.034,1,NA,NA,0
183.471659,0.317,-55.178129,0.198,15.988,0.023,3,16.896,0.034,3,NA,NA,0,16.377,0.09,4,15.817,0.06,4,15.589,0.127,3,NA,NA,0,NA,NA,0
183.471712,0.413,-55.171636,0.284,15.02,0.064,4,15.785,0.054,4,NA,NA,0,15.334,0.037,4,14.853,0.035,4,14.713,0.089,4,NA,NA,0,NA,NA,0
183.473952,0.328,-55.148216,0.299,16.2,0.052,2,17.003,0.126,2,NA,NA,0,16.541,0.058,4,16.005,0.122,4,15.884,0.135,2,NA,NA,0,NA,NA,0
183.474369,0.152,-55.096524,0.313,NA,NA,0,NA,NA,0,NA,NA,0,18.803,0.486,1,16.83,0.161,1,NA,NA,0,NA,NA,0,NA,NA,0
183.475348,0.26,-55.113412,0.172,13.753,0.02,4,14.444,0.034,4,NA,NA,0,14.062,0.021,4,13.566,0.016,4,13.346,0.069,4,13.427,0.158,1,NA,NA,0
183.476409,0.908,-55.024172,0.258,NA,NA,0,NA,NA,0,NA,NA,0,17.779,0.085,2,16.901,0.031,2,NA,NA,0,NA,NA,0,NA,NA,0
183.477479,0.149,-55.015842,0.268,14.682,0.017,4,15.442,0.036,4,NA,NA,0,15.024,0.036,4,14.506,0.061,4,14.28,0.023,4,NA,NA,0,NA,NA,0
183.477801,0.393,-55.121926,0.255,16.151,0.03,2,16.991,0.033,2,NA,NA,0,16.633,0.118,4,15.869,0.065,4,15.524,0.122,1,NA,NA,0,NA,NA,0
