radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.038668,0.262,-61.738515,0.182,14.999,0.036,4,15.954,0.046,4,NA,NA,0,15.472,0.045,4,14.649,0.042,4,NA,NA,0,NA,NA,0,NA,NA,0
186.038834,0.192,-62.044603,0.245,13.28,0.027,4,14.37,0.021,4,NA,NA,0,13.781,0.017,4,12.924,0.028,4,12.555,0.037,4,12.496,0.038,2,NA,NA,0
186.03898,0.404,-62.208213,0.357,15.029,0.055,4,15.777,0.046,4,NA,NA,0,15.352,0.02,4,14.783,0.042,3,14.607,0.071,3,NA,NA,0,NA,NA,0
186.039038,0.313,-61.452884,0.186,NA,NA,0,NA,NA,0,NA,NA,0,17.228,0.106,2,15.435,0.107,2,14.692,0.09,2,NA,NA,0,NA,NA,0
186.039162,0.452,-61.595773,0.346,14.851,0.054,4,16.371,0.106,4,NA,NA,0,15.608,0.019,4,14.335,0.039,4,13.724,0.065,4,NA,NA,0,NA,NA,0
186.039381,0.322,-62.123925,0.232,13.025,0.024,4,13.413,0.013,4,NA,NA,0,13.176,0.024,4,12.944,0.016,4,12.872,0.04,4,12.871,0.07,2,NA,NA,0
186.039491,0.445,-61.647456,0.193,15.664,0.117,1,16.835,0.225,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.039695,0.191,-61.499049,0.243,15.771,0.074,1,17.57,0.228,1,NA,NA,0,16.5,0.08,1,NA,NA,0,14.544,0.067,1,NA,NA,0,NA,NA,0
186.039714,0.437,-61.873904,0.641,13.36,0.02,1,13.906,0.023,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,13.328,0.126,2,NA,NA,0
186.039722,0.386,-61.799993,0.428,14.83,0.036,2,15.56,0.086,2,NA,NA,0,15.12,0.02,4,14.65,0.023,4,14.446,0.001,2,NA,NA,0,NA,NA,0
