radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
150.611897,0.218,-60.296303,0.142,14.2,0.027,5,15.408,0.047,5,NA,NA,0,14.755,0.019,6,13.803,0.032,6,13.368,0.057,6,NA,NA,0,NA,NA,0
150.614954,0.44,-60.285174,0.489,12.442,0.029,5,12.759,0.052,5,NA,NA,0,12.533,0.008,6,12.445,0.041,5,12.45,0.051,6,10.797,1.17,2,NA,NA,0
150.615786,0.348,-60.259315,0.014,NA,NA,0,NA,NA,0,NA,NA,0,17.766,0.224,1,17.393,0.259,1,NA,NA,0,NA,NA,0,NA,NA,0
150.618914,1.027,-60.305219,0.247,16.085,0.041,3,17.259,0.068,3,NA,NA,0,16.606,0.024,4,15.762,0.061,2,15.252,0.187,4,NA,NA,0,NA,NA,0
150.618932,0.251,-60.299146,0.117,14.153,0.034,5,15.33,0.051,5,NA,NA,0,14.71,0.018,6,13.796,0.037,6,13.362,0.053,6,NA,NA,0,NA,NA,0
150.618932,0.767,-60.353646,0.537,15.997,0.092,5,16.939,0.084,5,NA,NA,0,16.388,0.057,3,15.697,0.067,2,15.362,0.109,2,NA,NA,0,NA,NA,0
150.6198,0.229,-60.34383,0.209,13.478,0.028,5,15.059,0.068,5,NA,NA,0,14.262,0.018,6,12.906,0.03,6,12.297,0.052,6,11.959,0.018,2,NA,NA,0
150.619948,0.288,-60.330025,0.237,15.151,0.049,5,16.757,0.102,5,NA,NA,0,15.955,0.079,5,14.626,0.034,5,14.121,0.081,5,NA,NA,0,NA,NA,0
150.621166,0.385,-60.349056,0.335,14.128,0.038,5,15.437,0.064,5,NA,NA,0,14.743,0.011,6,13.682,0.038,6,13.236,0.05,6,12.955,0.041,2,NA,NA,0
150.62117,0.197,-60.274778,0.243,NA,NA,0,NA,NA,0,NA,NA,0,17.313,0.161,1,16.624,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
150.622279,0.524,-60.259504,0.12,17.003,0.219,1,17.385,0.213,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.622886,0.294,-60.358029,0.314,14.424,0.03,3,15.415,0.107,3,NA,NA,0,14.951,0.087,2,14.028,0.017,1,NA,NA,0,NA,NA,0,NA,NA,0
150.624131,1.023,-60.269845,0.561,15.773,0.098,5,16.753,0.115,5,NA,NA,0,16.185,0.06,6,15.357,0.041,6,14.996,0.125,6,NA,NA,0,NA,NA,0
150.625279,0.048,-60.321733,0.289,16.631,0.186,1,17.281,0.252,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.625344,0.436,-60.291907,0.318,16.153,0.041,2,17.512,0.052,2,NA,NA,0,17.007,0.041,5,15.675,0.1,5,15.118,0.082,5,NA,NA,0,NA,NA,0
150.625648,0.479,-60.313439,0.242,14.744,0.009,2,15.463,0.043,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.626822,0.3,-60.296309,0.276,NA,NA,0,NA,NA,0,NA,NA,0,17.051,0.058,6,15.744,0.095,6,15.329,0.141,6,NA,NA,0,NA,NA,0
150.626995,1.188,-60.35878,0.569,13.694,0.063,6,14.969,0.091,6,NA,NA,0,14.231,0.04,5,13.239,0.045,6,12.81,0.063,6,12.592,0,1,NA,NA,0
150.627486,0.601,-60.2595,0.125,15.905,0.095,1,17.119,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.628223,0.942,-60.261605,1.343,15.215,0.092,4,16.73,0.135,4,NA,NA,0,15.833,0.045,1,14.715,0.049,1,NA,NA,0,NA,NA,0,NA,NA,0
150.628823,0.907,-60.306273,0.457,16.044,0.021,3,17.029,0.181,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.629557,0.357,-60.251173,0.176,14.939,0.064,5,15.584,0.074,5,NA,NA,0,15.194,0.018,6,14.804,0.06,6,14.643,0.093,6,NA,NA,0,NA,NA,0
150.630436,0.273,-60.336237,0.927,15.938,0.008,2,16.962,0.099,2,NA,NA,0,16.367,0.106,3,15.684,0.041,3,NA,NA,0,NA,NA,0,NA,NA,0
150.631417,0.136,-60.371454,0.3,15.134,0.042,1,15.81,0.059,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.632301,0.463,-60.316386,0.446,13.684,0.009,3,14.85,0.027,3,NA,NA,0,14.257,0.015,4,13.32,0.031,4,12.871,0.041,3,12.804,0,1,NA,NA,0
150.63306,0.576,-60.345706,0.458,15.56,0.092,6,16.789,0.182,6,NA,NA,0,16.129,0.048,6,15.119,0.052,6,14.568,0.086,6,NA,NA,0,NA,NA,0
150.633761,0.202,-60.214712,0.149,NA,NA,0,NA,NA,0,NA,NA,0,16.598,0.078,2,15.417,0.101,1,14.921,0.167,2,NA,NA,0,NA,NA,0
150.634285,0.332,-60.22937,0.283,14.56,0.038,5,16.494,0.078,5,NA,NA,0,15.483,0.035,6,13.804,0.037,6,12.637,0.039,6,NA,NA,0,NA,NA,0
150.634312,0.432,-60.408526,0.068,16.115,0.09,1,16.85,0.135,1,NA,NA,0,16.573,0.087,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.634349,0.634,-60.37367,0.971,13.845,0.025,2,15.025,0.07,2,NA,NA,0,14.391,0.003,2,13.444,0.009,2,13.046,0.073,2,12.727,0.07,2,NA,NA,0
150.634463,0.366,-60.355473,0.386,14.102,0.071,5,14.622,0.053,5,NA,NA,0,14.314,0.025,6,13.989,0.063,6,13.848,0.07,6,NA,NA,0,NA,NA,0
150.634474,0.239,-60.274775,0.214,14.922,0.043,5,15.567,0.05,5,NA,NA,0,15.188,0.024,6,14.77,0.036,6,14.602,0.08,6,NA,NA,0,NA,NA,0
150.634803,0.26,-60.237063,0.248,15.256,0.04,5,15.956,0.059,5,NA,NA,0,15.568,0.032,6,15.075,0.071,6,14.89,0.054,6,NA,NA,0,NA,NA,0
150.635422,0.737,-60.282667,0.216,16.976,0.194,1,17.706,0.275,1,NA,NA,0,17.499,0.107,3,16.757,0.121,3,NA,NA,0,NA,NA,0,NA,NA,0
150.63675,0.549,-60.382661,0.255,16.945,0.199,1,17.545,0.251,1,NA,NA,0,17.345,0.005,2,16.799,0.069,2,NA,NA,0,NA,NA,0,NA,NA,0
150.637976,0.338,-60.270752,0.089,NA,NA,0,NA,NA,0,NA,NA,0,17.137,0.146,1,16.426,0.133,1,NA,NA,0,NA,NA,0,NA,NA,0
150.638135,0.704,-60.267647,0.401,16.716,0.144,1,17.508,0.225,1,NA,NA,0,17.176,0.098,2,16.48,0.007,2,NA,NA,0,NA,NA,0,NA,NA,0
150.638188,0.737,-60.395968,0.38,16.234,0.105,3,17.26,0.253,3,NA,NA,0,16.519,0.11,1,15.955,0.131,1,NA,NA,0,NA,NA,0,NA,NA,0
150.638824,0.388,-60.297139,0.325,NA,NA,0,NA,NA,0,NA,NA,0,17.008,0.029,2,16.172,0.095,2,16.083,0.253,1,NA,NA,0,NA,NA,0
150.638853,0.366,-60.404143,0.263,16.469,0.148,5,17.083,0.053,5,NA,NA,0,16.692,0.048,6,16.213,0.098,6,15.854,0.167,1,NA,NA,0,NA,NA,0
150.63982,1.323,-60.193938,0.469,12.754,0.051,2,13.145,0.163,2,NA,NA,0,12.739,0.043,2,12.578,0.043,2,12.566,0.064,2,12.807,3.515,1,NA,NA,0
150.639839,0.604,-60.338392,0.26,15.185,0.1,4,15.982,0.094,5,NA,NA,0,15.481,0.038,4,14.926,0.003,3,14.673,0.073,1,NA,NA,0,NA,NA,0
150.63996,0.232,-60.233805,0.358,14.744,0.034,5,15.251,0.071,5,NA,NA,0,14.943,0.031,6,14.639,0.023,6,14.519,0.053,6,NA,NA,0,NA,NA,0
150.640031,0.466,-60.391063,0.324,15.715,0.143,6,16.752,0.107,6,NA,NA,0,16.098,0.038,6,15.31,0.064,6,15.012,0.054,6,NA,NA,0,NA,NA,0
150.640064,0.556,-60.25838,0.491,13.112,0.03,5,13.33,0.047,5,NA,NA,0,13.147,0.019,6,13.162,0.038,6,13.202,0.055,6,13.575,4.956,1,NA,NA,0
150.640262,0.279,-60.187923,0.272,16.368,0.14,3,17.19,0.087,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.641445,0.686,-60.349354,0.389,16.374,0.079,5,16.96,0.191,5,NA,NA,0,16.575,0.066,5,16.166,0.143,5,15.924,0.158,3,NA,NA,0,NA,NA,0
150.64188,0.507,-60.249102,0.484,11.943,0.027,5,12.854,0.04,5,NA,NA,0,12.365,0.01,6,11.686,0.038,6,11.4,0.047,6,11.218,0.002,2,NA,NA,0
150.641998,0.291,-60.36236,0.502,NA,NA,0,NA,NA,0,NA,NA,0,17.481,0.158,3,16.789,0.045,3,NA,NA,0,NA,NA,0,NA,NA,0
150.642255,1.402,-60.298725,1.347,16.263,0.084,3,17.162,0.172,3,NA,NA,0,16.707,0.14,5,16.137,0.158,5,16.473,0.355,1,NA,NA,0,NA,NA,0
150.642876,0.643,-60.408621,0.214,14.723,0.082,5,15.653,0.097,5,NA,NA,0,15.105,0.025,5,14.398,0.031,5,14.118,0.045,5,NA,NA,0,NA,NA,0
150.64359,0.401,-60.398171,0.367,16.295,0.081,5,17.123,0.299,5,NA,NA,0,16.585,0.058,5,16.094,0.044,5,15.91,0.146,4,NA,NA,0,NA,NA,0
150.643678,0.456,-60.378132,0.327,15.475,0.127,6,15.977,0.091,6,NA,NA,0,15.62,0.039,6,15.397,0.073,6,15.504,0.095,6,NA,NA,0,NA,NA,0
150.643694,1.936,-60.241344,0.438,15.868,0.078,6,16.817,0.138,6,NA,NA,0,16.244,0.083,6,15.536,0.091,6,15.163,0.119,6,NA,NA,0,NA,NA,0
150.643824,0.478,-60.324891,0.665,15.034,0.019,2,15.68,0.075,2,NA,NA,0,15.33,0.052,4,14.872,0.03,3,14.661,0.036,3,NA,NA,0,NA,NA,0
150.644247,0.633,-60.314089,0.523,10.189,0.097,7,11.439,0.04,5,NA,NA,0,10.906,0.175,3,9.463,0.004,1,9.198,0.007,1,7.474,1.093,2,NA,NA,0
150.645051,0.64,-60.353493,0.41,16.387,0.096,3,17.303,0.112,3,NA,NA,0,16.811,0.076,4,16.087,0.11,4,15.725,0.191,1,NA,NA,0,NA,NA,0
150.645797,0.337,-60.220498,0.397,17.4,0.338,3,17.552,0.04,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.646117,0.397,-60.206807,0.238,11.254,0.028,5,12.241,0.039,5,NA,NA,0,11.703,0.008,6,10.964,0.093,7,10.678,0.068,7,10.511,0.028,2,NA,NA,0
150.646698,0.355,-60.175077,0.278,15.727,0.078,5,17.093,0.176,5,NA,NA,0,16.253,0.05,5,15.21,0.083,4,14.697,0.04,5,NA,NA,0,NA,NA,0
150.646889,0.043,-60.289013,0.199,NA,NA,0,NA,NA,0,NA,NA,0,17.271,0.159,1,16.149,0.12,1,NA,NA,0,NA,NA,0,NA,NA,0
150.647147,0.98,-60.425915,0.449,14.251,0.018,1,15.253,0.033,1,NA,NA,0,14.619,0.044,2,13.872,0.009,2,13.584,0.03,2,13.3,4.445,1,NA,NA,0
150.647336,0.419,-60.403012,0.236,NA,NA,0,NA,NA,0,NA,NA,0,17.802,0.018,2,16.952,0.029,2,NA,NA,0,NA,NA,0,NA,NA,0
150.64792,0.372,-60.344891,0.315,16.801,0.21,1,18.462,0.578,1,NA,NA,0,17.17,0.068,3,16.731,0.062,3,NA,NA,0,NA,NA,0,NA,NA,0
150.648476,0.514,-60.34889,0.345,16.271,0.113,5,16.865,0.113,5,NA,NA,0,16.432,0.109,1,15.901,0.121,1,NA,NA,0,NA,NA,0,NA,NA,0
150.648825,0.476,-60.305197,0.681,14.92,0.039,1,15.633,0.042,1,NA,NA,0,15.071,0.008,2,14.536,0.059,2,NA,NA,0,NA,NA,0,NA,NA,0
150.648871,0.437,-60.217749,0.255,16.595,0.14,2,17.479,0.159,2,NA,NA,0,16.999,0.075,4,16.389,0.163,4,16.157,0.069,2,NA,NA,0,NA,NA,0
150.649042,0.208,-60.392773,0.18,NA,NA,0,NA,NA,0,NA,NA,0,17.34,0.088,3,16.514,0.072,3,15.917,0.072,2,NA,NA,0,NA,NA,0
150.649519,0.518,-60.256617,0.32,15.547,0.113,5,16.044,0.084,5,NA,NA,0,15.684,0.04,6,15.338,0.055,6,15.223,0.162,6,NA,NA,0,NA,NA,0
150.649685,0.244,-60.376766,0.172,17.195,0.239,1,17.586,0.267,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.650975,0.264,-60.389966,0.279,NA,NA,0,NA,NA,0,NA,NA,0,16.902,0.096,4,15.891,0.056,4,15.49,0.105,4,NA,NA,0,NA,NA,0
150.651416,1.362,-60.221226,0.593,16.505,0.15,3,17.175,0.24,3,NA,NA,0,16.707,0.059,2,16.339,0.068,2,NA,NA,0,NA,NA,0,NA,NA,0
150.651725,0.398,-60.422762,0.276,15.672,0.052,4,16.342,0.026,4,NA,NA,0,15.997,0.035,6,15.431,0.051,6,15.124,0.071,5,NA,NA,0,NA,NA,0
150.651845,0.387,-60.425783,0.438,15.153,0.04,1,15.585,0.047,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.652761,0.36,-60.182717,0.198,16.197,0.069,3,17.465,0.179,3,NA,NA,0,16.895,0.082,6,15.674,0.068,6,15.146,0.145,6,NA,NA,0,NA,NA,0
150.65287,0.441,-60.410083,0.39,13.808,0.029,4,14.246,0.06,4,NA,NA,0,13.989,0.008,5,13.732,0.045,5,13.618,0.032,5,NA,NA,0,NA,NA,0
150.65307,0.779,-60.352061,0.559,NA,NA,0,NA,NA,0,NA,NA,0,16.669,0.12,1,15.853,0.108,1,NA,NA,0,NA,NA,0,NA,NA,0
150.653216,0.373,-60.244327,0.245,16.571,0.054,5,17.505,0.253,5,NA,NA,0,16.924,0.062,5,16.305,0.071,5,15.777,0.183,1,NA,NA,0,NA,NA,0
150.653387,0.191,-60.343401,0.044,NA,NA,0,NA,NA,0,NA,NA,0,17.362,0.18,1,16.678,0.212,1,NA,NA,0,NA,NA,0,NA,NA,0
150.653497,1.779,-60.445316,0.802,14.385,0.09,7,15.12,0.114,7,NA,NA,0,14.727,0.068,5,14.28,0.139,6,14.072,0.16,6,14.048,6.252,1,NA,NA,0
150.654141,0.391,-60.366877,0.218,15.698,0.113,5,17.027,0.071,5,NA,NA,0,16.39,0.039,6,15.053,0.048,6,14.417,0.094,6,NA,NA,0,NA,NA,0
150.654165,0.478,-60.362362,0.333,14.29,0.036,5,14.919,0.027,5,NA,NA,0,14.578,0.016,6,14.157,0.025,6,14.016,0.081,6,NA,NA,0,NA,NA,0
150.654252,1.251,-60.187644,0.479,16.343,0.107,2,17.282,0.104,2,NA,NA,0,16.872,0.134,1,15.966,0.109,1,15.646,0.168,1,NA,NA,0,NA,NA,0
150.654314,0.402,-60.284818,0.254,16.05,0.07,3,17.017,0.031,3,NA,NA,0,16.361,0.047,5,15.848,0.049,5,15.625,0.231,3,NA,NA,0,NA,NA,0
150.654919,0.168,-60.352588,0.188,16.742,0.16,1,17.531,0.241,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.65583,0.579,-60.321995,1.249,14.609,0.036,3,15.346,0.041,3,NA,NA,0,14.963,0.038,3,14.408,0.009,3,NA,NA,0,NA,NA,0,NA,NA,0
150.656449,0.248,-60.233726,0.629,16.831,0.156,2,17.877,0.043,2,NA,NA,0,17.161,0.168,1,16.69,0.205,1,NA,NA,0,NA,NA,0,NA,NA,0
150.656495,0.477,-60.31007,0.478,12.856,0.039,4,13.49,0.046,4,NA,NA,0,13.128,0.002,5,12.696,0.027,5,12.557,0.045,5,12.604,0.154,2,NA,NA,0
150.656692,0.258,-60.284461,0.177,16.39,0.166,1,16.637,0.098,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
