ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
70,1061.99,1763.03,14.511,0.0003,1.785,1.758,0.008,0.009,0.86,1
590,763.963,1291.6,17.6602,0.0011,1.094,0.942,0.023,0.024,0.86,1
576,702.203,1212.4,17.6657,0.0012,1.02,0.847,0.02,0.024,0.86,1
675,1087.07,1424.61,17.8622,0.0023,1.029,0.948,0.028,0.03,0.86,1
750,671.09,1617.78,18.0021,0.0013,1.058,0.949,0.03,0.031,0.86,1
804,1176.22,1403.24,18.1378,0.0015,1.061,0.963,0.03,0.032,0.86,1
938,1061.08,1417.44,18.3157,0.0017,1.129,0.952,0.036,0.04,0.86,1
925,1241.48,1643.17,18.3632,0.0017,1.05,0.922,0.033,0.036,0.86,1
19,923.63,1405.41,13.7785,0.003,0.483,0.444,0.009,0.01,0.854,1
43,1461.86,1434.45,13.5132,0.0035,2.473,2.115,0.009,0.01,0.85,1
458,758.768,1651.58,17.3596,0.0009,1.091,0.988,0.019,0.022,0.85,1
468,1255.3,1659.59,17.3612,0.0009,1.103,0.943,0.016,0.022,0.85,1
569,938.709,1384.84,17.6894,0.0011,0.97,0.798,0.024,0.025,0.85,1
589,807.276,1111.34,17.6943,0.0011,1.052,0.917,0.021,0.025,0.85,1
745,1253.69,1705.78,18.0032,0.0016,1.054,0.938,0.026,0.028,0.85,1
779,905.78,1665.8,18.0927,0.0016,1.058,0.937,0.03,0.033,0.85,1
858,1345.66,1312.6,18.2684,0.0015,1.046,0.843,0.033,0.043,0.85,1
1041,1341.49,1524.75,18.4597,0.0019,1.288,1.254,0.034,0.054,0.85,1
1029,1330.57,1613.02,18.5415,0.002,1.041,0.896,0.046,0.049,0.85,1
1130,928.793,994.538,18.7805,0.0024,1.135,0.929,0.049,0.05,0.85,1
1171,1062.61,1658.79,18.8494,0.0026,1.08,0.843,0.044,0.051,0.85,1
29,964.46,1102.94,14.1242,0.0002,0.875,0.774,0.006,0.006,0.845,1
26,1081.19,1453.39,13.9851,0.0002,0.854,0.741,0.007,0.008,0.844,1
21,1154.96,1128.83,13.1264,0.0005,2.132,1.973,0.008,0.008,0.84,1
37,1105.47,1690.18,13.8495,0.0003,1.843,1.808,0.009,0.009,0.84,1
36,995.898,1589.61,13.8764,0.0003,1.783,1.751,0.009,0.009,0.84,1
55,772.173,1575.9,14.2284,0.0003,1.741,1.717,0.01,0.011,0.84,1
493,1008.36,1316.81,17.4535,0.001,1.067,0.943,0.021,0.024,0.84,1
504,800.361,1464.49,17.8555,0.0016,1.033,0.99,0.063,0.064,0.84,1
697,1183.95,1608.7,17.9249,0.0014,1.043,0.905,0.028,0.03,0.84,1
710,1365.77,1307.24,18.043,0.0013,1.01,0.881,0.029,0.028,0.84,1
787,938.446,1274.95,18.0825,0.0016,1.119,1.018,0.029,0.034,0.84,1
941,1314.7,1752.21,18.3984,0.0019,1.038,0.915,0.035,0.041,0.84,1
991,796.411,1679.4,18.4171,0.0017,1.148,0.997,0.037,0.042,0.84,1
973,1107.47,1379.04,18.4229,0.002,1.106,0.95,0.033,0.046,0.84,1
41,937.405,1708.36,14.4399,0.0003,1.032,0.913,0.01,0.009,0.835,1
106,1294.43,1134.34,15.283,0.0004,1.447,1.386,0.009,0.01,0.83,1
475,917.015,1039.67,17.4601,0.0073,1.086,0.926,0.02,0.022,0.83,1
659,1163.03,1441.84,17.9285,0.0018,0.972,0.872,0.028,0.036,0.83,1
915,1035.64,1201.27,18.3932,0.0024,1.12,0.962,0.048,0.054,0.83,1
997,759.263,1397.41,18.4753,0.0018,1.131,0.95,0.037,0.046,0.83,1
1033,991.005,1358.23,18.4992,0.0019,1.097,0.986,0.04,0.046,0.83,1
1018,1171.88,1049.83,18.5074,0.0017,1.106,0.954,0.038,0.047,0.83,1
105,973.352,1435.15,15.6107,0.0005,0.723,0.615,0.009,0.009,0.825,1
1162,1007.71,1633.45,18.7139,0.0019,1.258,1.044,0.049,0.062,0.82,1
1177,953.987,1108.67,18.8257,0.0025,1.111,0.996,0.058,0.057,0.82,1
1249,962.192,1295.52,19.2066,0.003,1.214,0.957,0.074,0.076,0.82,1
27,719.437,1495.36,13.6843,0.0003,1.572,1.57,0.011,0.011,0.813,1
1242,992.856,1621.56,19.2043,0.0028,1.028,0.841,0.065,0.073,0.81,1
322,1352.29,1411.3,16.9188,0.0007,1.089,0.98,0.014,0.017,0.8,1
381,1014.6,1452.8,17.1246,0.0009,1.157,1.005,0.014,0.015,0.8,1
248,1028.82,1346.76,16.6019,0.0007,1.071,0.931,0.011,0.011,0.793,1
286,970.287,1594.71,16.6706,0.0007,1.275,1.156,0.013,0.015,0.79,1
303,656.093,1415.35,16.7455,0.0007,1.239,1.163,0.014,0.017,0.79,1
368,1052.14,1088.64,16.8547,0.0008,1.524,1.426,0.015,0.019,0.79,1
321,771.689,1162.6,16.9419,0.0008,1.062,0.989,0.015,0.016,0.79,1
337,1291.49,1416.24,16.9484,0.0008,1.1,0.984,0.014,0.016,0.79,1
342,1215.43,1675.45,16.9642,0.0008,1.128,0.984,0.014,0.015,0.79,1
355,1008.64,1229.34,17.0545,0.0008,1.086,0.95,0.014,0.016,0.79,1
350,794.344,1452.16,17.1045,0.0024,1.574,1.447,0.015,0.017,0.79,1
863,927.086,1260.54,18.2626,0.0016,1.054,1.05,0.035,0.047,0.79,1
1258,1034.45,1476.05,19.3484,0.0031,1.158,0.835,0.082,0.092,0.79,1
290,1029.16,1621.64,16.8195,0.0008,1.006,0.857,0.012,0.013,0.785,1
362,979.193,1513.69,16.8824,0.0008,1.43,1.343,0.014,0.016,0.78,1
318,1368.77,1524.45,16.8843,0.0007,1.118,1.077,0.014,0.017,0.78,1
314,894.745,1340.8,16.9473,0.0008,0.94,0.809,0.015,0.017,0.78,1
429,1024.66,1578.57,17.1651,0.0009,1.36,1.268,0.016,0.021,0.78,1
402,886.361,1625.16,17.179,0.0008,1.173,1.01,0.016,0.019,0.78,1
405,1108.66,1413.02,17.194,0.0011,1.114,0.951,0.016,0.018,0.78,1
419,1065.66,1367.23,17.2642,0.0009,1.128,0.955,0.017,0.021,0.78,1
512,1422.58,1668.55,17.467,0.0009,1.14,0.988,0.02,0.023,0.78,1
309,857.803,1094.83,16.9074,0.0006,1.023,0.939,0.012,0.014,0.779,1
267,996.828,1555.04,16.7319,0.0007,1.004,0.854,0.014,0.016,0.777,1
244,1116.71,1412.0,16.6348,0.0009,1.013,0.91,0.012,0.013,0.775,1
292,964.228,1581.99,16.1956,0.001,2.1,1.514,0.012,0.019,0.77,1
256,1038.71,1154.54,16.5948,0.0012,1.357,1.22,0.015,0.017,0.77,1
319,1014.78,1153.3,16.7668,0.0008,1.441,1.283,0.012,0.023,0.77,1
626,1056.43,1143.6,17.2483,0.0017,1.937,1.573,0.019,0.037,0.77,1
423,1346.29,1509.74,17.2836,0.0009,1.106,1.025,0.019,0.022,0.77,1
464,1067.72,1604.57,17.3274,0.0008,1.157,1.001,0.019,0.02,0.77,1
507,996.786,1383.76,17.0659,0.0009,1.804,1.528,0.015,0.032,0.76,1
20,873.031,1559.86,13.8522,0.0002,0.866,0.74,0.026,0.032,0.758,1
594,809.251,1209.52,17.738,0.0012,0.995,0.935,0.024,0.024,0.75,1
492,1152.33,1104.01,17.2275,0.0009,1.551,1.333,0.02,0.032,0.74,1
739,998.761,1292.9,17.6145,0.0012,1.702,1.498,0.021,0.039,0.73,1
884,1094.77,1855.06,18.0817,0.0015,1.402,1.212,0.028,0.04,0.73,1
836,784.772,1602.46,18.1031,0.0015,1.228,1.153,0.031,0.042,0.73,1
879,620.708,1400.96,18.1204,0.0015,1.34,1.259,0.031,0.044,0.73,1
893,779.095,1406.33,18.1762,0.0014,1.215,1.071,0.029,0.034,0.73,1
937,958.716,1224.03,18.421,0.0017,0.966,0.95,0.033,0.039,0.73,1
822,1242.44,1823.19,18.1289,0.0013,1.143,0.964,0.028,0.039,0.72,1
878,639.208,1464.58,18.2391,0.0017,1.133,1.004,0.031,0.039,0.72,1
434,903.085,1397.2,17.3957,0.001,1.03,1.198,0.052,0.056,0.71,1
932,1297.83,1783.2,18.0735,0.0014,1.566,1.527,0.032,0.052,0.71,1
1013,810.031,1761.18,18.143,0.0015,1.638,1.559,0.034,0.068,0.71,1
782,933.315,1469.58,18.2038,0.0054,0.846,1.017,0.048,0.056,0.69,1
788,1379.96,1562.73,18.067,0.0013,1.084,0.692,0.075,0.086,0.68,1
1233,1090.92,1071.25,19.1209,0.0027,1.081,0.957,0.061,0.062,0.68,1
1151,997.339,1252.39,18.729,0.0022,1.143,0.84,0.045,0.052,0.97,0
872,1248.54,1414.06,18.2964,0.002,1.015,0.861,0.035,0.035,0.94,0
1178,1258.4,1077.57,18.7717,0.0022,1.172,0.868,0.052,0.065,0.94,0
1225,805.022,1362.14,18.9646,0.0025,1.04,0.744,0.063,0.064,0.92,0
1234,1169.22,1466.49,19.0258,0.0028,1.171,1.014,0.059,0.083,0.91,0
1227,1092.32,1676.92,18.9973,0.0033,1.26,0.977,0.055,0.072,0.88,0
994,1336.04,1264.51,18.5392,0.0018,0.993,0.88,0.042,0.049,0.87,0
1169,1177.83,1388.27,18.8629,0.0023,1.008,0.926,0.059,0.054,0.87,0
763,1444.3,1334.48,18.139,0.0015,0.931,0.85,0.026,0.032,0.86,0
914,1227.6,1160.1,18.3597,0.0016,1.028,0.836,0.033,0.037,0.86,0
4,997.612,1159.87,11.9062,0.0004,0.512,0.433,0.006,0.006,0.85,0
1007,899.001,1253.41,18.4403,0.0018,1.176,1.166,0.037,0.051,0.85,0
102,996.901,1822.09,14.9185,0.0004,1.831,1.777,0.009,0.012,0.84,0
76,1087.83,1820.18,15.0745,0.0004,0.92,0.791,0.009,0.009,0.84,0
16,1237.03,1096.43,13.3411,0.0004,0.803,0.678,0.009,0.008,0.838,0
10,748.797,1137.8,12.7458,0.0003,1.491,1.47,0.008,0.009,0.835,0
104,1288.41,1453.0,15.5068,0.0006,0.939,0.805,0.008,0.01,0.833,0
154,1030.38,1390.26,15.6213,0.0005,1.506,1.441,0.008,0.01,0.83,0
177,923.703,1587.49,15.7769,0.0006,1.506,1.454,0.009,0.013,0.83,0
361,809.953,1258.54,18.0402,0.0017,1.051,0.889,0.036,0.033,0.83,0
967,1170.58,1150.53,18.4792,0.0019,1.098,0.873,0.042,0.05,0.83,0
1187,1194.53,1405.97,18.8348,0.0021,1.182,1.04,0.049,0.068,0.83,0
46,1157.12,1208.93,14.3175,0.0003,1.417,1.405,0.007,0.009,0.829,0
64,1273.59,1248.58,14.6453,0.0003,1.451,1.405,0.009,0.009,0.829,0
117,806.259,1076.99,15.6296,0.0005,0.952,0.848,0.009,0.009,0.825,0
123,1283.78,1358.63,15.4545,0.0005,1.437,1.305,0.012,0.015,0.81,0
198,937.629,1156.52,16.0678,0.0006,1.468,1.42,0.009,0.013,0.81,0
