ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
21,1061.43,1345.58,13.3285,0.0003,0.692,0.611,0.006,0.006,0.812,1
60,934.576,1454.4,14.6776,0.0003,0.81,0.705,0.008,0.006,0.8,1
30,1096.27,1619.86,13.6377,0.0002,0.773,0.696,0.01,0.009,0.799,1
7,1213.46,1587.53,12.291,0.0002,0.372,0.313,0.008,0.006,0.798,1
73,860.14,1468.0,14.8129,0.0003,0.813,0.679,0.009,0.007,0.795,1
15,1285.72,1423.2,12.8776,0.0002,0.51,0.445,0.008,0.007,0.793,1
3,1051.77,1500.93,11.7996,0.0003,0.11,0.111,0.008,0.008,0.789,1
62,845.304,1496.2,14.4887,0.0003,1.302,1.271,0.009,0.007,0.789,1
2,957.837,1647.1,10.9348,0.0006,0.452,0.317,0.011,0.008,0.788,1
101,899.098,1461.95,15.0632,0.0004,1.291,1.21,0.008,0.007,0.781,1
4,941.736,1285.35,10.7973,0.0003,1.056,1.008,0.018,0.012,0.778,1
110,1032.89,1590.02,15.1659,0.0004,1.179,1.117,0.009,0.008,0.769,1
20,1072.82,1348.24,12.1606,0.0021,2.755,1.864,0.006,0.006,0.768,1
149,1047.62,1624.02,15.6534,0.0006,0.785,0.652,0.01,0.009,0.764,1
163,1087.31,1461.05,15.8014,0.0007,0.822,0.686,0.009,0.008,0.752,1
183,1145.94,1525.59,15.9247,0.0006,0.808,0.631,0.01,0.009,0.745,1
247,1160.92,1399.91,16.3403,0.0009,0.785,0.62,0.013,0.011,0.686,1
315,870.006,1276.51,16.694,0.0008,0.743,0.629,0.014,0.011,0.685,1
354,1312.98,1480.45,16.8102,0.0008,0.841,0.662,0.015,0.013,0.673,1
369,1167.59,1362.81,16.8785,0.0008,0.784,0.668,0.017,0.016,0.63,1
595,1254.35,1545.96,17.5338,0.0013,0.82,0.626,0.025,0.022,0.62,1
589,1158.47,1165.12,17.5358,0.0011,0.845,0.693,0.028,0.024,0.61,1
493,962.067,1546.09,17.2625,0.001,0.779,0.654,0.021,0.021,0.59,1
536,912.64,1673.49,17.4027,0.001,0.771,0.625,0.024,0.02,0.55,1
879,1012.59,1336.97,18.1141,0.0015,0.855,0.665,0.037,0.032,0.55,1
556,836.191,1483.08,17.5163,0.0016,2.35,1.502,0.033,0.061,0.46,1
1392,996.936,1382.16,18.7841,0.0023,1.252,1.212,0.07,0.092,0.36,1
1225,1014.04,1592.46,18.5656,0.0025,1.091,0.709,0.082,0.059,0.34,1
23,1072.83,1216.46,13.6066,0.0003,0.378,0.34,0.006,0.005,0.811,0
77,1146.74,1430.79,14.8888,0.0004,0.799,0.732,0.007,0.007,0.795,0
57,791.169,1282.55,14.3776,0.0003,1.589,1.458,0.006,0.006,0.792,0
96,997.678,1492.27,15.0896,0.0004,0.991,0.871,0.007,0.006,0.785,0
78,1076.03,1335.89,14.6609,0.0005,1.607,1.514,0.009,0.007,0.77,0
66,1097.01,1582.66,14.684,0.0006,1.198,1.121,0.017,0.023,0.739,0
