#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
20      15.4760 0.4738  0.2587  0.0004  0.0133  0.0231  4.3114  
11      15.6377 0.4043  0.1060  0.0004  0.0137  0.0247  2.6387  
22      15.4702 0.4531  0.2449  0.0004  0.0133  0.0231  4.3401  
13      15.1211 0.3779  -0.0248 0.0004  0.0126  0.0201  3.1097  
24      13.8561 0.3708  -0.1119 0.0003  0.0112  0.0127  7.1131  
15      16.0542 0.4458  0.2321  0.0005  0.0148  0.0292  2.3011  
26      15.4706 0.4655  0.2663  0.0004  0.0133  0.0231  4.3401  
27      16.1243 0.5964  0.3975  0.0005  0.0151  0.0301  3.5589  
28      15.4761 0.4770  0.2642  0.0004  0.0133  0.0231  4.3114  
29      15.9947 0.5545  0.3755  0.0005  0.0146  0.0285  3.6900  
210     15.4214 0.4563  0.1971  0.0004  0.0132  0.0226  4.3848  
111     13.3295 0.3317  -0.2233 0.0003  0.0108  0.0108  4.7545  
112     14.9091 0.3826  -0.0490 0.0004  0.0123  0.0186  3.3164  
213     14.4037 0.3840  -0.0199 0.0004  0.0116  0.0154  6.0442  
214     16.5823 0.6600  0.4030  0.0007  0.0168  0.0364  3.1331  
215     15.5349 0.5008  0.3208  0.0004  0.0134  0.0237  4.2527  
116     15.8734 0.4167  0.1604  0.0005  0.0143  0.0271  2.4425  
117     13.9165 0.3350  -0.2099 0.0003  0.0112  0.0130  4.2887  
218     14.8074 0.4319  0.1302  0.0004  0.0121  0.0179  5.3995  
119     11.4504 1.8959  1.9077  0.0003  0.0102  0.0066  5.2966  
220     13.2967 0.3323  -0.2000 0.0003  0.0108  0.0106  8.1455  
121     15.9984 0.4425  0.2219  0.0005  0.0147  0.0285  2.3438  
222     13.8379 0.3564  -0.1283 0.0003  0.0111  0.0127  7.2562  
123     13.7919 0.3360  -0.2136 0.0003  0.0111  0.0125  4.3999  
124     14.5943 0.3491  -0.1381 0.0004  0.0119  0.0165  3.6313  
125     16.3289 0.4915  0.3247  0.0006  0.0158  0.0327  2.1037  
126     16.4211 0.5040  0.3419  0.0006  0.0161  0.0340  2.0423  
127     16.4081 0.5130  0.3625  0.0006  0.0161  0.0338  2.0510  
228     14.5291 0.3912  0.0217  0.0004  0.0118  0.0161  5.9061  
229     15.4759 0.4720  0.2555  0.0004  0.0133  0.0231  4.3114  
230     13.3025 0.3371  -0.1979 0.0003  0.0108  0.0107  8.2470  
131     13.6148 0.3246  -0.2310 0.0003  0.0110  0.0118  4.5447  
132     15.8159 0.4239  0.1670  0.0004  0.0141  0.0265  2.4901  
133     14.0084 0.3696  -0.1639 0.0003  0.0113  0.0134  4.2068  
134     15.2952 0.3885  0.0217  0.0004  0.0129  0.0215  2.9451  
135     14.0359 0.3573  -0.1766 0.0003  0.0113  0.0135  4.1806  
136     13.9165 0.3337  -0.2113 0.0003  0.0112  0.0130  4.2887  
237     16.1244 0.6010  0.4068  0.0005  0.0151  0.0301  3.5589  
138     16.2558 0.5050  0.3547  0.0005  0.0155  0.0317  2.1548  
139     13.0709 0.3363  -0.2086 0.0003  0.0107  0.0099  4.9131  
240     15.1328 0.4509  0.2042  0.0004  0.0126  0.0202  4.8377  
141     16.7496 0.5795  0.4296  0.0007  0.0176  0.0391  1.8488  
142     15.9235 0.4366  0.2040  0.0005  0.0144  0.0277  2.4023  
143     16.3678 0.4900  0.3183  0.0006  0.0159  0.0333  2.0774  
244     14.8065 0.3996  0.0827  0.0004  0.0121  0.0179  5.3995  
245     15.6307 0.5008  0.3164  0.0004  0.0137  0.0246  4.1120  
146     16.5613 0.5322  0.3787  0.0006  0.0167  0.0361  1.9545  
147     14.2782 0.3579  -0.1581 0.0004  0.0115  0.0147  3.9482  
148     13.5643 0.3461  -0.2100 0.0003  0.0110  0.0116  4.5852  
149     16.1251 0.4836  0.3104  0.0005  0.0151  0.0301  2.2490  
150     13.1760 0.3159  -0.2335 0.0003  0.0107  0.0103  4.8513  
151     14.4590 0.3577  -0.1403 0.0004  0.0117  0.0157  3.7678  
152     16.8882 0.6193  0.4496  0.0008  0.0183  0.0415  1.7801  
153     16.4758 0.5186  0.3648  0.0006  0.0164  0.0348  2.0071  
254     13.1138 0.3328  -0.2075 0.0003  0.0107  0.0101  8.4235  
155     15.0114 0.3506  -0.0836 0.0004  0.0124  0.0193  3.2148  
156     15.7196 0.3966  0.1042  0.0004  0.0139  0.0255  2.5688  
257     14.1707 0.3815  -0.0529 0.0003  0.0114  0.0142  6.5787  
158     13.3470 0.3525  -0.2027 0.0003  0.0108  0.0108  4.7426  
259     14.5361 0.4151  0.0459  0.0004  0.0118  0.0162  5.8298  
160     16.2671 0.4920  0.3281  0.0005  0.0156  0.0319  2.1466  
161     15.9648 0.4322  0.1994  0.0005  0.0146  0.0282  2.3696  
162     16.7485 0.5539  0.3728  0.0007  0.0176  0.0391  1.8488  
263     15.9940 0.5321  0.3319  0.0005  0.0146  0.0285  3.6900  
164     14.5578 0.3380  -0.1572 0.0004  0.0118  0.0163  3.6677  
265     16.5830 0.6760  0.4375  0.0007  0.0168  0.0364  3.1331  
266     15.8609 0.5325  0.3530  0.0005  0.0143  0.0270  3.8357  
167     16.4069 0.4807  0.2946  0.0006  0.0161  0.0338  2.0510  
268     15.1321 0.4273  0.1664  0.0004  0.0126  0.0202  4.8377  
269     16.2948 0.6116  0.3933  0.0005  0.0157  0.0323  3.3809  
170     15.4399 0.3726  0.0196  0.0004  0.0132  0.0228  2.8129  
171     15.6508 0.4291  0.1528  0.0004  0.0137  0.0248  2.6280  
172     13.6616 0.3119  -0.2434 0.0003  0.0110  0.0120  4.5068  
173     16.8064 0.5484  0.3347  0.0008  0.0179  0.0401  1.8182  
274     10.7049 1.0325  0.5907  0.0003  0.0101  0.0057  9.9508  
275     10.7215 0.9177  0.3763  0.0003  0.0101  0.0057  10.4048 
