ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r_1 _x_1 _y_1 _p_1 DR2Name RA_ICRS_1 e_RA_ICRS DE_ICRS_1 e_DE_ICRS SolID Source_1 RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 d_arcsec1 _r_2 _x_2 _y_2 _p_2 Source_2 RA_ICRS_2 DE_ICRS_2 rest b_rest B_rest rlen ResFlag ModFlag
1 1735.16 1873.88 10.389 0.006 0.825 0.009 0.33 0.007 0.494 0.008 0.916 0.016 153.7875678896301 -50.67494103374245 0.2277 0.092897 -0.060093 0.070843 319.7 "Gaia DR2 5358609903853269504" 153.78762503326 0.0419 -50.67488917357 0.0369 1635721458409799680 5358609903853269504 1432958726 2015.5 0.6387 0.0468 13.6528 -5.28 0.086 3.103 0.072 0.2916 -0.0213 -0.3635 -0.0328 0.4786 -0.0069 -0.3501 0.0351 -0.2863 0.4672 158 158 156 2 7.3361 316.64 0.0 0.0 31 0 352.5439 1.5705 0.0104 0.166 18 11 0.060532 0 26 1 207 1693000.0 974.8 1736.854 10.1167 0.0006 25 810500.0 792.9 1022.22 10.5795 0.0011 26 1238000.0 1205.0 1027.031 9.5305 0.0011 1.21 0 1.0489 0.4628 0.5862 7.6 0.85 5 5500.0 3.5 0.0 NOT_AVAILABLE 279.29836197306 4.88380950592 185.11477569941 -55.19235520504 100001 5147.6 5007.4 5522.13 "" "" "" "" "" "" 200111 16.67 14.49 17.62 175.87 157.855 193.885 153.787660905 1.3413 -50.6749025331 1.1166 0.0 0.092678 -0.060011 0.070625 319.6 5358609903853269504 153.78762503326 -50.67488917357 1503.150105936590080 1402.188495251330096 1619.410698310399994 1178.132608445460 1 1
2 957.837 1647.1 11.042 0.006 0.317 0.008 0.308 0.005 0.24 0.01 0.452 0.011 153.88920262833233 -50.69296068410972 0.2961 0.052981 0.004195 0.052815 4.5 "Gaia DR2 5358608907421123840" 153.88907301562 0.0287 -50.69295577589 0.0265 1635721458409799680 5358608907421123840 270990598 2015.5 0.6419 0.0333 19.2566 -11.336 0.055 4.375 0.049 0.1739 -0.2949 -0.5099 -0.1541 0.2357 -0.0878 -0.3858 0.2694 -0.0211 0.2972 239 239 230 9 8.2486 448.2 0.0 0.0 31 0 361.3354 1.6781 0.0076 -0.039 27 15 0.042546 0 42 0 312 797000.0 432.5 1842.812 10.9348 0.0006 40 485600.0 433.8 1119.499 11.1356 0.001 39 454300.0 267.1 1700.96 10.6185 0.0006 1.179 0 0.5171 0.2008 0.3163 "" "" 0 "" "" "" NOT_AVAILABLE 279.36190310705 4.90501987159 185.22240874797 -55.16626518386 100001 6928.79 6863.15 7057.29 1.303 1.01 1.492 0.654 0.4336 0.7506 200111 6.01 5.79 6.13 74.992 68.966 81.019 153.88915006 0.8492 -50.6929746109 0.7557 0.0 0.052770 0.004277 0.052596 4.6 5358608907421123840 153.88907301562 -50.69295577589 1493.192573440959904 1420.757414810409955 1573.248019079610003 1178.055712293020 1 1
4 941.736 1285.35 11.07 0.007 1.008 0.012 0.629 0.009 0.53 0.01 1.056 0.018 153.89182184412363 -50.72283643863343 0.3802 0.023699 0.005833 0.02297 14.2 "Gaia DR2 5358608769982157568" 153.89166497441 0.0259 -50.72280048148 0.0242 1635721458409799680 5358608769982157568 889083686 2015.5 0.656 0.031 21.1605 -8.049 0.05 3.04 0.045 -0.001 -0.3378 -0.4771 0.0062 0.0942 0.0918 -0.3373 0.269 0.1326 0.1229 241 241 234 7 4.7093 344.42 0.0 0.0 31 0 351.5517 1.5407 0.0069 0.024 28 16 0.037482 0 45 1 305 904500.0 277.6 3258.705 10.7973 0.0003 35 401800.0 281.4 1428.053 11.3413 0.0008 36 710100.0 379.9 1869.062 10.1336 0.0006 1.229 1 1.2077 0.544 0.6637 13.74 0.3 10 5000.0 4.5 0.0 NOT_AVAILABLE 279.38009296793 4.8812514684 185.25734272545 -55.18852397255 100002 4820.27 4754.5 5000.48 "" "" "" "" "" "" 200111 14.03 13.04 14.42 95.762 88.588 102.936 153.891719717 0.7747 -50.7228135701 0.6955 0.0 0.023508 0.005916 0.022752 14.6 5358608769982157568 153.89166497441 -50.72280048148 1462.128597753440090 1398.252197695150016 1531.994156124960000 1177.265188350730 1 1
8 438.133 1980.49 11.252 0.009 1.267 0.013 1.2 0.009 0.657 0.019 1.288 0.029 153.95639835021674 -50.66494764610102 0.1052 0.093395 0.046843 0.080799 30.1 "Gaia DR2 5358609251018531456" 153.95635229136 0.0258 -50.66494892114 0.0226 1635721458409799680 5358609251018531456 923586858 2015.5 0.4167 0.03 13.8914 -4.166 0.049 -0.287 0.041 0.0424 -0.2881 -0.4328 0.0187 0.1462 0.0998 -0.2587 0.2931 0.1173 0.1334 247 247 238 9 3.1957 308.21 0.0 0.0 31 0 318.4803 1.4843 0.0072 0.038 28 15 0.036766 0 51 1 350 906500.0 389.1 2329.505 10.795 0.0005 41 345600.0 252.9 1366.469 11.5051 0.0008 42 797600.0 604.3 1319.831 10.0075 0.0008 1.261 0 1.4976 0.7101 0.7875 8.16 0.29 6 5000.0 3.0 0.0 NOT_AVAILABLE 279.38153297389 4.95213068432 185.24999756167 -55.11775457559 100001 4352.37 4273.74 4477.12 0.1952 0.059 0.7227 0.0927 0.032 0.3881 200111 29.55 27.92 30.65 282.269 249.695 314.842 153.95638059 0.7561 -50.6649476845 0.6432 0.0 0.093248 0.046925 0.080580 30.2 5358609251018531456 153.95635229136 -50.66494892114 2244.857427260949862 2100.410831685329867 2410.078815260349984 1179.068303168630 1 1
5 1021.18 1111.33 11.74 0.002 1.824 0.005 2.211 0.012 1.019 0.006 2.174 0.015 153.88170493572974 -50.737278221124676 0.3734 0.008537 -0.000573 0.008517 356.2 "Gaia DR2 5358608735622409088" 153.88154570131 0.0395 -50.73725363175 0.0314 1635721458409799680 5358608735622409088 427568635 2015.5 0.2893 0.0402 7.1997 -4.718 0.074 -1.919 0.056 0.1502 -0.2838 -0.6221 -0.0717 0.2539 0.0176 -0.3135 0.2455 -0.0149 0.2901 177 177 171 6 9.5763 407.55 0.0 0.0 31 0 291.1157 1.3652 0.0103 0.064 20 13 0.053352 0 32 1 257 861100.0 663.5 1297.912 10.8507 0.0008 28 211000.0 729.9 289.046 12.0409 0.0038 28 966600.0 1521.0 635.588 9.7989 0.0017 1.367 0 2.242 1.1902 1.0518 -8.84 0.49 7 4000.0 3.0 0.0 NOT_AVAILABLE 279.38292392599 4.86569626702 185.26443551765 -55.20380571634 100001 3914.49 3723.0 3984.52 "" "" "" "" "" "" 200111 58.23 56.21 64.38 717.398 571.92 862.876 153.881577799 1.1546 -50.7372453681 0.8667 0.0 0.008313 -0.000491 0.008299 356.6 5358608735622409088 153.88154570131 -50.73725363175 3110.403592089479844 2753.750918853680105 3566.902295054820115 1176.834463782530 1 1
3 1051.77 1500.93 11.807 0.004 0.111 0.008 0.107 0.007 0.06 0.005 0.11 0.008 153.87716354439448 -50.705125520506535 0.2576 0.040805 -0.003418 0.040662 355.2 "Gaia DR2 5358608937469506688" 153.87705352313 0.028 -50.7051091979 0.0276 1635721458409799680 5358608937469506688 1509436388 2015.5 0.7519 0.0328 22.9194 -6.624 0.054 1.814 0.051 0.1461 -0.2749 -0.4826 -0.1259 0.244 -0.0621 -0.4557 0.2318 0.0194 0.2683 238 238 232 6 12.1471 595.38 0.0 0.0 31 0 338.6873 1.7533 0.0074 -0.051 27 15 0.042359 0 39 1 319 359400.0 93.18 3856.656 11.7996 0.0003 37 252300.0 293.1 860.946 11.8464 0.0013 34 169800.0 97.04 1749.999 11.687 0.0006 1.175 0 0.1595 0.0468 0.1126 "" "" 0 "" "" "" NOT_AVAILABLE 279.36243569801 4.89068868284 185.22531587272 -55.1805097669 100001 9241.5 8984.0 9636.33 0.45 0.2357 0.6431 0.2115 0.118 0.322 "" "" "" "" "" "" "" 153.877098556 0.8337 -50.7051170082 0.795 0.0 0.040580 -0.003336 0.040443 355.3 5358608937469506688 153.87705352313 -50.70510919790 1282.620125704359907 1230.426050277970035 1339.345678417460022 1177.682314664420 1 1
6 1601.75 1405.95 12.197 0.004 0.347 0.006 0.134 0.005 0.214 0.006 0.408 0.008 153.80554249889934 -50.713490659115315 0.3138 0.05848 -0.048726 0.032337 303.6 "Gaia DR2 5358608151506850944" 153.80549789935 0.0281 -50.71340820681 0.0257 1635721458409799680 5358608151506850944 59820188 2015.5 1.0629 0.0302 35.2535 -10.503 0.054 6.694 0.049 0.1417 -0.2999 -0.5062 -0.0342 0.1721 -0.0001 -0.4257 0.2074 -0.0493 0.3153 239 239 236 3 3.9159 324.97 0.0 0.0 31 0 347.1307 1.6673 0.0067 0.016 27 15 0.043096 0 41 0 347 263700.0 61.66 4277.155 12.1355 0.0003 38 163400.0 162.7 1004.113 12.3186 0.0011 37 149200.0 85.44 1746.534 11.8273 0.0006 1.185 0 0.4913 0.1831 0.3081 8.09 15.77 10 6500.0 3.5 0.0 NOT_AVAILABLE 279.32951393107 4.85834481305 185.17247158519 -55.21533053002 100001 7186.25 7036.0 7469.33 "" "" "" "" "" "" 200111 1.95 1.8 2.03 9.1 8.687 9.513 153.805569316 0.8362 -50.7134370277 0.756 0.0 0.058291 -0.048644 0.032119 303.4 5358608151506850944 153.80549789935 -50.71340820681 916.650748980815024 891.801768169562024 942.897406895658946 1177.172996088410 1 1
9 1870.3 736.37 12.233 0.003 1.925 0.007 2.199 0.022 1.12 0.014 2.609 0.027 153.77127480800783 -50.76903974451977 0.3688 0.07405 -0.070316 -0.023219 251.7 "Gaia DR2 5358607567374375552" 153.77127048844 0.0388 -50.76893733758 0.0482 1635721458409799680 5358607567374375552 1603487427 2015.5 0.1743 0.051 3.4194 -8.939 0.071 4.505 0.091 -0.0483 -0.4475 -0.3918 -0.0569 0.3233 -0.0081 -0.5263 0.3055 -0.0902 0.1151 210 210 198 12 17.6176 785.58 0.136 7.5 31 0 43.8708 1.3088 0.0109 -0.089 24 14 0.058484 0 38 1 285 735700.0 1879.0 391.511 11.0216 0.0028 31 130300.0 1206.0 108.008 12.5641 0.0101 31 923100.0 3092.0 298.572 9.8488 0.0036 1.432 0 2.7153 1.5425 1.1728 39.12 0.33 3 4000.0 3.0 0.0 NOT_AVAILABLE 279.34291947009 4.80025692488 185.20381812448 -55.27219257883 100001 3504.07 3330.0 3803.17 1.6997 1.3159 2.2615 0.845 0.671 1.101 "" "" "" "" "" "" "" 153.771331342 1.1051 -50.768956734 1.4132 0.0 0.074041 -0.070234 -0.023438 251.5 5358607567374375552 153.77127048844 -50.76893733758 4461.064037457070299 3644.888964802159990 5650.026660892620384 1175.531203189930 1 1
7 1213.46 1587.53 12.348 0.004 0.313 0.006 0.277 0.005 0.191 0.006 0.372 0.008 153.855959447969 -50.69811672095443 0.1812 0.050542 -0.01683 0.047657 340.6 "Gaia DR2 5358609590304534016" 153.85588059396 0.0272 -50.69811046876 0.0254 1635721458409799680 5358609590304534016 1666225042 2015.5 0.5973 0.0322 18.5627 -5.674 0.053 2.107 0.048 0.1592 -0.2851 -0.4678 -0.1414 0.214 -0.076 -0.3654 0.2956 -0.0076 0.2321 228 228 228 0 7.6552 425.86 0.0 0.0 31 0 304.4098 1.6798 0.0073 0.012 26 15 0.040636 0 38 0 308 228500.0 50.97 4483.124 12.291 0.0002 36 143700.0 159.9 899.089 12.4575 0.0012 32 127400.0 145.1 877.663 11.9993 0.0012 1.186 0 0.4582 0.1665 0.2917 "" "" 0 "" "" "" NOT_AVAILABLE 279.34735566482 4.88894024577 185.19932376061 -55.18343616575 100001 7788.5 7650.33 7879.5 "" "" "" "" "" "" 200111 2.79 2.72 2.89 25.755 23.583 27.927 153.855919166 0.8188 -50.6981195386 0.7404 0.0 0.050308 -0.016747 0.047439 340.6 5358609590304534016 153.85588059396 -50.69811046876 1599.401172525519996 1519.331343560140112 1688.190007230489982 1177.785248764650 1 1
10 420.677 352.071 12.44 0.004 1.3 0.007 1.301 0.01 0.643 0.005 1.264 0.007 153.96127137512624 -50.79938957177897 0.6121 0.073131 0.049654 -0.053691 137.2 "Gaia DR2 5358594953056008064" 153.96101219823 0.0251 -50.79943510006 0.0254 1635721458409799680 5358594953056008064 1179364460 2015.5 0.5838 0.0296 19.7064 3.371 0.047 -4.696 0.049 0.08 -0.417 -0.4429 0.0086 0.1394 0.0628 -0.4349 0.2939 0.0421 0.2657 258 258 258 0 2.7457 319.15 0.0 0.0 31 0 360.4654 1.4877 0.006 -0.019 29 16 0.039398 0 42 0 356 278000.0 58.29 4769.189 12.0782 0.0002 42 109300.0 105.6 1035.439 12.7544 0.001 41 240600.0 162.4 1481.181 11.3089 0.0007 1.259 0 1.4455 0.6762 0.7693 "" "" 0 "" "" "" NOT_AVAILABLE 279.45969838065 4.84244964121 185.40136540407 -55.22081233778 100001 4551.37 4361.83 4700.31 0.4607 0.3446 0.5231 0.2165 0.1659 0.2521 200111 10.24 9.6 11.15 40.54 37.228 43.852 153.960989233 0.7359 -50.7994148795 0.7598 0.0 0.073347 0.049736 -0.053909 137.3 5358594953056008064 153.96101219823 -50.79943510006 1634.247154163720097 1557.057470470479984 1719.319771001089975 1175.459596887830 1 1
