ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 d_arcsec1
130 101.701 710.647 15.646 0.019 0.781 0.031 99.0 99.0 0.414 0.027 0.874 0.031 154.0023302071621 -50.769564105320036 0.4739 0.079366 0.075726 -0.023759 107.4 "Gaia DR2 5358596537898525184" 154.00218637695 0.4014 -50.76946895774 0.6057 1635721458409799680 5358596537898525184 909921790 2015.5 "" "" "" "" "" "" "" 0.2721 "" "" "" "" "" "" "" "" "" 134 0 131 3 87.1468 12734.59 2.98 500.0 3 0 0.1054 "" "" -0.09 15 9 1.4747 0 24 1 198 8526.0 101.0 84.382 15.8615 0.0129 7 6882.0 121.0 56.878 15.7571 0.0191 7 10100.0 123.8 81.599 14.7509 0.0133 1.992 0 1.0062 -0.1044 1.1106 "" "" 0 "" "" "" NOT_AVAILABLE 279.46447183694 4.88185788349 185.40403434429 -55.1811473441 132001 5095.63 4259.0 6938.0 "" "" "" "" "" "" "" "" "" "" "" "" "" 154.002186377 0.4014 -50.7694689577 0.6057 2.1224373072921425
59 143.963 113.056 14.783 0.007 0.655 0.013 0.072 0.016 0.294 0.012 0.746 0.012 153.99782475519376 -50.8188579735003 0.7504 0.103101 0.072683 -0.073123 135.2 "Gaia DR2 5358595610202603392" 153.99749642582 0.8378 -50.81883746244 0.8994 1635721458409799680 5358595610202603392 778401562 2015.5 "" "" "" "" "" "" "" 0.5778 "" "" "" "" "" "" "" "" "" 224 0 201 23 215.3153 110013.47 5.924 5300.0 3 0 0.0276 "" "" 0.068 26 14 2.1125 0 37 0 321 26310.0 28.61 919.552 14.6382 0.0012 35 14280.0 26.85 531.967 14.9643 0.002 34 18220.0 17.95 1014.576 14.1107 0.0011 1.235 0 0.8536 0.3261 0.5275 "" "" 0 "" "" "" NOT_AVAILABLE 279.48977398232 4.83930866988 185.45417819431 -55.22148486001 130001 5640.21 5549.63 5824.0 "" "" "" "" "" "" "" "" "" "" "" "" "" 153.997496426 0.8378 -50.8188374624 0.8994 8.333348115352425
102 1031.79 1362.83 15.376 0.005 0.679 0.008 0.012 0.017 0.401 0.006 0.776 0.009 153.87996407801035 -50.71651741387738 0.3329 0.029313 -0.001666 0.029265 356.7 "Gaia DR2 5358608769982205056" 153.87981925941 1.4821 -50.71650540719 1.4281 1635721458409799680 5358608769982205056 638386252 2015.5 "" "" "" "" "" "" "" 0.147 "" "" "" "" "" "" "" "" "" 202 0 199 3 330.0771 349705.6 13.057 18000.0 3 0 0.0058 "" "" 0.119 24 13 2.9995 0 38 1 232 14560.0 80.5 180.821 15.2807 0.006 30 8144.0 21.16 384.861 15.5743 0.0028 33 10810.0 26.37 410.024 14.677 0.0026 1.302 0 0.8973 0.2936 0.6037 "" "" 0 "" "" "" NOT_AVAILABLE 279.370316617 4.88224577917 185.24019539307 -55.18830535908 130001 5674.75 5398.23 6377.33 "" "" "" "" "" "" "" "" "" "" "" "" "" 153.879819259 1.4821 -50.7165054072 1.4281 5.216526934081464
153 1269.19 1198.92 15.857 0.005 0.57 0.008 0.303 0.021 0.342 0.008 0.656 0.009 153.84921424214704 -50.73027385971282 0.2825 0.026204 -0.021106 0.015531 306.3 "Gaia DR2 5358607322563471616" 153.84910651472 0.9588 -50.73023505027 0.9377 1635721458409799680 5358607322563471616 642016480 2015.5 "" "" "" "" "" "" "" 0.4238 "" "" "" "" "" "" "" "" "" 192 0 192 0 190.8431 81366.54 7.342 4200.0 3 0 0.0185 "" "" 0.06 22 13 1.9962 0 31 1 236 9130.0 27.96 326.554 15.7872 0.0033 25 5232.0 10.98 476.547 16.0548 0.0023 24 6306.0 12.02 524.386 15.2626 0.0021 1.264 0 0.7922 0.2676 0.5246 "" "" 0 "" "" "" NOT_AVAILABLE 279.3619217363 4.8599618378 185.22867332269 -55.21118107088 130001 5872.0 5500.5 6475.33 "" "" "" "" "" "" "" "" "" "" "" "" "" 153.849106515 0.9588 -50.7302350503 0.9377 5.708792902141786
166 1604.2 1852.44 16.016 0.012 0.697 0.017 99.0 99.0 0.454 0.013 0.888 0.021 153.80466855804025 -50.676585809530955 0.2395 0.08493 -0.049238 0.069201 324.6 "Gaia DR2 5358609869476244992" 153.80475083721 0.9155 -50.67654450922 0.9357 1635721458409799680 5358609869476244992 845692393 2015.5 "" "" "" "" "" "" "" 0.1826 "" "" "" "" "" "" "" "" "" 224 0 224 0 227.8314 123260.77 8.952 5900.0 3 0 0.0125 "" "" 0.027 26 15 1.8846 0 38 1 273 7894.0 37.75 209.125 15.9452 0.0052 0 "" "" "" "" "" 0 "" "" "" "" "" "" 1 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 279.30829998261 4.88855031907 185.1314262872 -55.18686211335 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 153.804750837 0.9155 -50.6765445092 0.9357 1.6503348535528815
430 2017.06 1054.17 17.3 0.015 0.668 0.024 99.0 99.0 0.464 0.02 0.896 0.025 153.75172662322535 -50.74296106416928 0.6293 0.082728 -0.082677 0.002906 272.0 "Gaia DR2 5358607807891828352" 153.75179842793 0.1457 -50.74279227383 0.1499 1635721458409799680 5358607807891828352 736520911 2015.5 -0.6062 0.1879 -3.226 -5.1 0.307 6.026 0.295 0.0915 -0.257 -0.2388 0.037 0.2238 0.0914 -0.2557 0.2776 -0.0151 0.238 237 0 232 5 27.6878 1473.29 1.266 36.0 31 0 0.4644 1.6111 0.0339 -0.036 27 15 0.29906 0 40 0 349 2480.0 6.793 365.152 17.2021 0.003 30 1421.0 15.69 90.59 17.4696 0.012 34 2305.0 36.29 63.511 16.3554 0.0171 1.502 0 1.1142 0.2675 0.8467 "" "" 0 "" "" "" NOT_AVAILABLE 279.31792667986 4.8149217999 185.15822709149 -55.25952219212 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 153.751833125 4.7635 -50.7428182205 4.5734 1.6044798408179555
441 980.211 103.979 17.332 0.012 0.855 0.023 99.0 99.0 0.468 0.015 0.989 0.021 153.88850329055933 -50.820320625622294 0.6339 0.074736 0.003676 -0.074646 177.2 "Gaia DR2 5358594682489380864" 153.88826950531 1.6803 -50.82041650982 1.5543 1635721458409799680 5358594682489380864 1357181756 2015.5 "" "" "" "" "" "" "" 0.1183 "" "" "" "" "" "" "" "" "" 220 0 217 3 208.6191 98806.62 14.883 4100.0 3 0 0.0044 "" "" -0.003 27 16 3.4707 0 38 0 322 2438.0 18.53 131.586 17.2208 0.0083 35 1351.0 14.65 92.19 17.5249 0.0118 35 2128.0 11.86 179.433 16.442 0.0061 1.427 0 1.0829 0.3041 0.7788 "" "" 0 "" "" "" NOT_AVAILABLE 279.43333946062 4.79928502902 185.3616018562 -55.26596975204 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 153.888269505 1.6803 -50.8204165098 1.5543 2.999463157899294
487 5.035 1978.6 17.375 0.015 0.766 0.025 99.0 99.0 99.0 99.0 0.748 0.029 154.01276828020391 -50.66475872411471 0.3433 0.115712 0.082599 0.081035 45.5 "Gaia DR2 5358620933330879616" 154.01276182583 0.0592 -50.66466343747 0.0567 1635721458409799680 5358620933330879616 949533305 2015.5 0.1044 0.0729 1.4323 -3.527 0.124 3.194 0.111 0.0536 -0.1961 -0.2998 0.022 0.1521 0.0851 -0.1955 0.2531 0.0737 0.201 262 0 262 0 -0.2681 250.31 0.0 0.0 31 0 2.5646 1.6145 0.0151 0.069 30 16 0.12231 0 43 0 377 2660.0 2.653 1002.589 17.1261 0.0011 41 1442.0 12.86 112.179 17.4539 0.0097 37 1788.0 10.94 163.382 16.6313 0.0066 1.214 0 0.8226 0.3278 0.4948 "" "" 0 "" "" "" NOT_AVAILABLE 279.41109048506 4.9724144085 185.29848306274 -55.09518828299 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 154.012785785 1.9237 -50.6646771873 1.7214 11.596914145611025
624 1803.74 95.021 17.819 0.015 0.863 0.028 99.0 99.0 0.527 0.02 1.052 0.028 153.7807469494274 -50.82184870691262 0.2307 0.099651 -0.064314 -0.076119 220.2 "Gaia DR2 5358600729786374912" 153.78064558694 1.4347 -50.82184597199 1.0804 1635721458409799680 5358600729786374912 878439678 2015.5 "" "" "" "" "" "" "" -0.3098 "" "" "" "" "" "" "" "" "" 165 0 148 17 71.8794 8046.55 8.48 560.0 3 0 0.0135 "" "" 0.015 20 13 2.6263 0 22 1 182 1546.0 20.71 74.662 17.7154 0.0145 18 859.2 11.44 75.084 18.0162 0.0145 16 1444.0 13.22 109.225 16.8629 0.0099 1.49 0 1.1533 0.3008 0.8525 "" "" 0 "" "" "" NOT_AVAILABLE 279.37772824054 4.75986876496 185.27015796248 -55.30970958676 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 153.780645587 1.4347 -50.821845972 1.0804 7.877129634473442
640 1293.85 327.971 17.833 0.018 0.787 0.031 99.0 99.0 0.5 0.024 0.934 0.032 153.84716793315798 -50.802153274245356 0.2179 0.060659 -0.022359 -0.056388 201.6 "Gaia DR2 5358606502222494720" 153.84707218066 0.7038 -50.80215361816 0.7179 1635721458409799680 5358606502222494720 332851275 2015.5 "" "" "" "" "" "" "" -0.4385 "" "" "" "" "" "" "" "" "" 191 0 179 12 98.5175 16062.24 5.358 370.0 3 0 0.0305 "" "" -0.123 22 15 1.6049 0 40 0 291 1336.0 14.36 93.04 17.8739 0.0117 28 1048.0 20.2 51.861 17.8008 0.0209 28 1612.0 20.22 79.746 16.7433 0.0136 1.991 0 1.0575 -0.0732 1.1307 "" "" 0 "" "" "" NOT_AVAILABLE 279.40143212995 4.79976273806 185.30591009847 -55.26805592934 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 153.847072181 0.7038 -50.8021536182 0.7179 3.558268785869655
