#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      16.1650 0.6840  0.1138  0.0005  0.0114  0.0367  3.7388  
11      15.9165 0.6584  0.0165  0.0005  0.0103  0.0335  4.0383  
12      15.9311 0.6832  0.0995  0.0005  0.0104  0.0336  4.0219  
13      15.7953 0.6520  -0.0067 0.0005  0.0099  0.0319  4.1862  
14      15.7735 0.6666  0.0393  0.0005  0.0098  0.0317  4.2138  
15      15.4389 0.6616  0.0170  0.0004  0.0087  0.0276  4.6294  
16      15.3414 0.6606  0.0120  0.0004  0.0085  0.0265  4.7456  
17      15.1114 0.6468  -0.0326 0.0004  0.0079  0.0240  5.0131  
18      14.7460 0.6381  -0.0610 0.0004  0.0071  0.0201  5.4035  
19      14.7180 0.6326  -0.0773 0.0004  0.0071  0.0198  5.4305  
110     14.3256 0.6344  -0.0724 0.0003  0.0064  0.0160  5.7756  
111     13.8995 0.6336  -0.0603 0.0003  0.0059  0.0122  6.0666  
