ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
347,1415.37,914.158,16.0851,0.0006,1.036,0.503,0.013,0.078,0.5055,-10.648,4.606,0.0433,0.075,0.073,0.635,0
406,905.673,862.111,16.3431,0.0007,0.867,0.221,0.013,0.058,0.4007,-2.849,1.756,0.0488,0.092,0.081,0.633,0
411,975.469,1434.99,16.4158,0.0007,0.741,0.268,0.011,0.046,0.2916,-6.395,4.341,0.0479,0.098,0.084,0.633,0
382,1467.55,1449.34,16.3574,0.0007,0.665,0.2,0.011,0.037,0.1864,-5.77,3.963,0.0491,0.093,0.082,0.631,0
400,1165.83,872.234,16.2958,0.0007,1.006,0.386,0.014,0.07,0.4289,-2.859,4.275,0.0488,0.088,0.078,0.629,0
410,934.959,1171.53,16.3975,0.0008,0.8,0.291,0.012,0.048,0.3068,-7.617,3.58,0.049,0.097,0.087,0.629,0
404,722.033,1592.77,16.4073,0.0007,0.712,0.074,0.012,0.04,0.4512,-9.562,4.665,0.0513,0.098,0.086,0.625,0
409,1397.62,1541.95,16.4152,0.0007,0.888,0.355,0.011,0.057,0.7196,-7.395,4.842,0.0523,0.102,0.083,0.624,0
415,1431.21,1100.72,16.3864,0.0007,0.88,0.153,0.012,0.055,0.3144,-4.901,1.343,0.0542,0.102,0.092,0.621,0
432,1063.69,1443.37,16.5119,0.0007,0.762,0.192,0.012,0.042,0.3412,-4.759,2.208,0.0508,0.107,0.096,0.613,0
458,842.694,1104.14,16.7178,0.0007,0.762,0.04,0.013,0.042,0.4037,-5.501,4.991,0.0565,0.114,0.096,0.602,0
228,887.364,1512.75,15.4566,0.0005,0.7,-0.042,0.007,0.015,0.6739,-3.157,-3.222,0.1081,0.21,0.202,0.599,0
115,1231.33,1499.86,14.4881,0.0015,0.619,0.034,0.006,0.008,0.4681,-8.555,4.395,0.1699,0.309,0.294,0.598,0
457,1231.93,959.007,16.6437,0.0008,0.888,0.312,0.018,0.094,0.4739,-5.067,1.582,0.0572,0.107,0.089,0.597,0
448,1417.79,1229.28,16.5989,0.0009,0.81,0.412,0.014,0.062,0.239,-8.99,6.162,0.0637,0.131,0.112,0.593,0
