ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
70,943.67,1451.12,13.788,0.0008,0.534,0.434,0.013,0.012,0.966,1
104,1221.55,1313.17,14.1988,0.0003,0.338,0.292,0.007,0.006,0.964,1
431,808.639,1423.38,15.8627,0.0006,0.621,0.492,0.01,0.009,0.964,1
34,1317.7,1310.69,12.8432,0.0002,1.28,1.198,0.007,0.007,0.962,1
40,920.123,1369.09,13.1845,0.0006,0.495,0.396,0.006,0.007,0.961,1
59,707.673,1241.41,13.3882,0.0003,1.176,1.088,0.006,0.006,0.959,1
95,731.453,1390.4,14.0894,0.0003,0.313,0.265,0.007,0.008,0.957,1
158,1062.96,1228.34,14.7633,0.0004,0.429,0.364,0.007,0.006,0.957,1
647,1124.94,1240.0,16.492,0.0008,0.775,0.62,0.013,0.012,0.957,1
125,1251.77,1105.07,14.3656,0.0003,0.358,0.328,0.007,0.006,0.956,1
164,1089.78,1373.95,14.8031,0.0004,0.567,0.44,0.009,0.009,0.956,1
508,1227.02,1132.53,16.1375,0.0009,0.691,0.533,0.01,0.009,0.956,1
515,1383.88,1232.16,16.1055,0.0007,0.826,0.646,0.01,0.009,0.955,1
281,924.299,1386.91,15.306,0.0013,0.651,0.523,0.007,0.008,0.954,1
655,937.973,1494.65,16.4708,0.0007,0.784,0.611,0.013,0.011,0.954,1
21,945.582,1390.82,12.5611,0.0002,0.87,0.645,0.006,0.005,0.953,1
112,999.283,1538.14,14.2172,0.0003,0.44,0.352,0.01,0.01,0.953,1
96,937.03,1340.77,14.0841,0.0003,0.426,0.359,0.007,0.007,0.95,1
81,1190.25,965.65,13.8954,0.0003,0.331,0.286,0.014,0.009,0.948,1
259,920.917,1408.41,15.2457,0.0005,0.679,0.557,0.007,0.008,0.947,1
303,830.572,1149.72,15.4603,0.0006,0.477,0.429,0.009,0.006,0.941,1
365,1300.31,1276.58,15.6687,0.0007,0.569,0.481,0.01,0.008,0.941,1
1223,930.658,1540.14,17.3708,0.001,0.929,0.728,0.018,0.018,0.94,1
616,1009.55,1542.3,16.3199,0.001,0.853,0.669,0.014,0.014,0.929,1
35,836.016,1332.38,13.1788,0.0003,0.279,0.237,0.007,0.007,0.926,1
83,1193.45,1422.17,13.8731,0.0004,0.461,0.371,0.009,0.008,0.926,1
200,970.851,1103.05,15.0255,0.0005,0.483,0.409,0.008,0.006,0.926,1
442,1164.78,1455.22,15.9099,0.0009,0.685,0.559,0.01,0.01,0.925,1
91,1017.44,1540.12,13.7302,0.0003,1.27,1.143,0.009,0.009,0.916,1
413,1315.61,1264.47,15.8177,0.0007,0.626,0.529,0.009,0.009,0.915,1
65,693.967,893.797,13.7448,0.0003,0.3,0.274,0.011,0.007,0.914,1
325,871.174,1487.75,15.4993,0.0006,0.596,0.5,0.009,0.009,0.911,1
375,1197.38,868.353,15.6886,0.0007,0.534,0.467,0.018,0.013,0.911,1
1076,886.8,1201.62,17.2343,0.0011,0.875,0.691,0.02,0.02,0.91,1
243,1070.14,1520.68,15.1775,0.0005,0.627,0.493,0.01,0.01,0.902,1
211,947.823,1115.72,15.1071,0.0004,0.393,0.364,0.006,0.006,0.894,1
264,944.806,1136.53,15.3082,0.0004,0.48,0.335,0.008,0.022,0.894,1
1373,784.947,1468.35,17.5863,0.0014,0.933,0.755,0.023,0.023,0.89,1
1543,738.238,1154.66,17.7965,0.0013,0.908,0.81,0.029,0.028,0.89,1
305,826.17,823.731,15.4489,0.0005,0.466,0.449,0.015,0.012,0.889,1
66,1036.4,1324.76,13.7336,0.0003,0.44,0.347,0.007,0.007,0.885,1
787,700.408,1392.22,16.7404,0.0009,0.817,0.682,0.015,0.013,0.873,1
1658,884.451,901.464,17.8497,0.0015,0.974,0.835,0.036,0.039,0.87,1
195,1371.91,1267.64,15.0175,0.0005,0.435,0.38,0.008,0.006,0.868,1
541,1316.09,1218.73,16.2408,0.0008,0.69,0.576,0.01,0.01,0.863,1
370,1034.5,1265.18,15.6917,0.0011,0.575,0.487,0.01,0.008,0.862,1
74,884.986,1358.12,13.7856,0.0004,0.539,0.434,0.007,0.007,0.86,1
1987,857.279,928.596,18.1305,0.0018,0.981,0.714,0.038,0.036,0.86,1
729,1166.67,1298.42,16.6027,0.0008,0.864,0.701,0.014,0.013,0.855,1
1195,1085.35,1055.41,17.3544,0.0013,1.017,0.832,0.021,0.019,0.85,1
1879,1062.58,1408.1,18.0011,0.0025,1.156,0.909,0.033,0.037,0.85,1
855,948.576,1273.68,16.8886,0.001,0.809,0.652,0.014,0.013,0.848,1
1226,891.745,1190.42,17.4404,0.0014,0.852,0.753,0.022,0.02,0.83,1
1406,1363.88,1174.91,17.6305,0.0019,0.935,0.74,0.021,0.021,0.83,1
155,1138.26,1380.87,14.7067,0.0004,0.53,0.419,0.009,0.009,0.828,1
2174,782.228,1051.61,18.343,0.0019,1.048,0.861,0.041,0.046,0.82,1
1894,1055.48,1165.61,18.0534,0.0019,1.101,0.962,0.032,0.033,0.81,1
1576,775.075,1415.13,17.7998,0.0016,1.011,0.843,0.026,0.027,0.8,1
411,1060.64,1269.01,15.7921,0.0009,0.687,0.56,0.009,0.009,0.796,1
1597,874.736,1512.42,17.8141,0.0015,1.016,0.876,0.024,0.028,0.79,1
750,1071.92,1504.65,16.6203,0.0011,1.0,0.775,0.015,0.014,0.781,1
1345,1088.38,942.658,17.5522,0.0012,0.884,0.783,0.029,0.027,0.78,1
549,763.662,1280.68,16.2522,0.0007,0.71,0.57,0.011,0.01,0.772,1
2276,1015.17,1440.84,18.3895,0.0023,1.018,0.807,0.042,0.044,0.75,1
1574,961.73,1210.82,17.7602,0.0014,1.059,0.865,0.03,0.03,0.73,1
1099,683.388,1043.51,17.3538,0.0018,0.821,0.701,0.028,0.026,0.723,1
1578,1175.31,1232.24,17.7741,0.0018,1.03,0.891,0.028,0.027,0.71,1
863,984.888,1507.36,16.8297,0.0009,0.945,0.675,0.016,0.015,0.705,1
324,837.524,1081.75,15.5065,0.0005,0.563,0.452,0.007,0.006,0.691,1
1858,719.636,1275.97,18.2669,0.0031,0.992,0.899,0.064,0.047,0.67,1
2437,1097.46,860.347,18.5843,0.0021,0.998,1.077,0.044,0.066,0.67,1
2544,857.584,821.237,18.6528,0.0037,1.14,0.835,0.058,0.07,0.67,1
1940,1024.64,1251.83,18.1763,0.002,0.989,0.829,0.043,0.044,0.66,1
2182,1189.28,1435.58,18.235,0.0023,1.327,1.109,0.044,0.053,0.66,1
600,967.209,1130.68,16.3335,0.0008,0.844,0.705,0.01,0.009,0.65,1
1194,1233.56,1307.81,17.6087,0.0019,1.151,1.14,0.041,0.039,0.65,1
730,763.649,1300.57,16.6327,0.0008,0.82,0.67,0.013,0.013,0.639,1
789,1050.73,1281.3,16.7432,0.0008,0.863,0.684,0.015,0.013,0.632,1
1051,821.445,1298.41,17.586,0.0014,0.469,1.289,0.063,0.064,0.63,1
2621,1065.56,999.778,18.7162,0.0025,1.211,0.993,0.05,0.07,0.63,1
1559,1341.53,1086.62,17.8096,0.0015,0.991,0.815,0.029,0.026,0.62,1
5,886.554,1278.26,11.5287,0.0003,0.088,0.017,0.009,0.01,0.616,1
145,1072.58,1148.5,14.3559,0.0003,1.286,1.247,0.006,0.006,0.616,1
1510,1259.92,993.052,17.6839,0.0016,1.107,0.945,0.03,0.031,0.61,1
1878,1094.79,1094.74,17.9155,0.0018,1.36,1.227,0.03,0.037,0.61,1
425,1018.11,1057.57,15.5345,0.0005,1.458,1.344,0.008,0.01,0.6,1
601,1258.16,1409.54,15.9701,0.0009,1.635,1.419,0.01,0.014,0.59,1
1316,1005.93,787.664,17.4799,0.0013,0.964,0.858,0.028,0.03,0.59,1
2428,1326.7,1012.27,18.597,0.0047,1.298,1.059,0.054,0.062,0.57,1
2607,1346.6,1179.16,18.7949,0.0026,1.227,0.922,0.055,0.065,0.57,1
2703,1210.86,972.967,18.9255,0.0033,1.219,0.909,0.077,0.08,0.57,1
1081,1237.99,1124.99,17.1697,0.0012,1.096,0.995,0.016,0.019,0.56,1
2108,1168.36,1207.55,18.1783,0.0023,1.266,1.02,0.04,0.049,0.56,1
1664,794.654,902.146,18.272,0.0061,1.126,0.897,0.043,0.04,0.56,1
2651,880.333,1452.45,18.8382,0.0032,1.204,1.045,0.058,0.086,0.56,1
1065,1111.15,1091.99,17.1897,0.0011,0.954,0.835,0.017,0.015,0.55,1
2301,877.643,836.758,18.3838,0.002,0.995,0.992,0.049,0.05,0.55,1
2418,940.435,1327.23,18.5233,0.003,1.153,0.917,0.052,0.057,0.55,1
2067,749.18,1276.46,18.2362,0.0027,1.058,0.843,0.037,0.042,0.54,1
2408,699.149,985.315,18.5893,0.0022,1.007,0.846,0.058,0.069,0.54,1
