ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
639,714.361,1391.11,18.0221,0.0015,1.279,nan,0.059,nan,0.7,-1
665,1186.28,1174.64,18.1552,0.0016,1.211,nan,0.062,nan,0.99,-1
668,1107.69,1476.46,17.8455,0.0014,1.539,nan,0.069,nan,0.62,-1
676,925.425,1023.3,18.196,0.0039,1.416,nan,0.067,nan,0.52,-1
678,1011.2,1196.99,18.0869,0.0014,1.454,nan,0.066,nan,0.85,-1
679,684.231,1469.04,18.2329,0.0016,1.293,nan,0.073,nan,0.8,-1
686,1143.01,983.008,18.1574,0.0025,1.233,nan,0.06,nan,0.97,-1
687,922.965,1426.87,18.1141,0.002,1.149,nan,0.062,nan,0.97,-1
701,1004.21,979.163,18.1391,0.0014,1.304,nan,0.091,nan,0.87,-1
702,840.052,1635.02,18.2726,0.0019,1.083,nan,0.068,nan,0.9,-1
706,856.266,1164.49,18.4023,0.002,1.202,nan,0.078,nan,0.07,-1
714,804.188,1604.76,18.2796,0.0021,1.254,nan,0.066,nan,0.98,-1
719,1194.57,1339.57,18.4541,0.002,1.204,nan,0.07,nan,0.98,-1
722,1231.47,1377.16,18.3337,0.0019,1.24,nan,0.079,nan,0.57,-1
723,1302.36,1312.98,18.4807,0.0019,1.276,nan,0.073,nan,0.76,-1
732,1211.38,1198.1,18.4166,0.0029,1.157,nan,0.076,nan,0.98,-1
736,709.032,1544.95,18.2908,0.0017,1.312,nan,0.091,nan,0.68,-1
737,624.861,1252.67,18.1721,0.0014,1.688,nan,0.099,nan,0.82,-1
746,836.538,1075.87,18.2066,0.0015,1.412,nan,0.094,nan,0.61,-1
749,1084.93,1498.83,18.4863,0.0019,1.034,nan,0.07,nan,0.98,-1
752,1065.57,1154.2,18.5391,0.0036,1.255,nan,0.095,nan,0.64,-1
