ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
2524,2361.66,1317.15,17.0334,0.001,0.875,0.609,0.006,0.024,0.623,1
1201,3007.93,1451.65,15.9448,0.0005,0.785,0.136,0.002,0.011,0.619,1
2128,2689.96,1728.9,16.4356,0.0009,1.263,0.583,0.004,0.011,0.619,1
3098,3043.84,1904.54,17.3525,0.0011,1.047,0.447,0.005,0.016,0.619,1
2365,2184.8,1350.96,16.7281,0.0009,1.159,0.603,0.003,0.031,0.615,1
2942,2373.31,1958.44,17.3554,0.0012,0.914,0.379,0.005,0.01,0.615,1
553,3088.2,1733.06,14.8299,0.0004,1.01,0.575,0.002,0.005,0.612,1
2980,2154.63,1665.26,17.3009,0.0013,1.169,0.584,0.009,0.018,0.612,1
200,2953.52,2058.46,13.6956,0.0002,0.491,0.259,0.002,0.002,0.611,1
1501,2046.51,1453.43,16.2459,0.0012,0.868,0.308,0.003,0.014,0.608,1
1567,2327.29,1158.68,16.2203,0.0007,0.909,0.482,0.002,0.016,0.606,1
1161,2602.13,1492.62,15.8495,0.0005,0.765,0.397,0.003,0.01,0.605,1
2609,2956.65,1726.63,17.137,0.0009,0.842,0.243,0.003,0.008,0.603,1
1251,2456.72,1610.17,15.9906,0.0011,0.727,0.452,0.003,0.011,0.598,1
2369,2864.78,1210.92,16.8941,0.0009,0.867,0.459,0.004,0.029,0.595,1
3735,2775.17,1668.91,17.8309,0.0014,1.076,0.695,0.006,0.023,0.591,1
2302,2670.23,2112.64,16.9097,0.0009,0.809,0.19,0.004,0.007,0.588,1
2837,2710.94,1689.39,17.0147,0.0009,1.227,0.751,0.006,0.015,0.588,1
3776,2986.17,1984.39,17.7056,0.0012,1.161,0.708,0.007,0.031,0.587,1
3728,2188.7,1590.57,17.7466,0.0012,1.11,0.49,0.007,0.017,0.583,1
233,2752.22,2228.77,12.7942,0.0003,1.908,1.284,0.003,0.004,0.581,1
3806,2859.05,1868.27,17.9096,0.0014,1.086,0.641,0.012,0.022,0.573,1
68,2650.51,1221.28,12.3746,0.0003,1.214,1.015,0.002,0.006,0.571,1
1290,2519.26,1736.18,16.027,0.0009,0.891,0.377,0.005,0.008,0.569,1
3482,2236.77,1776.74,17.6679,0.0013,1.127,0.761,0.007,0.023,0.569,1
2155,2458.41,1252.69,16.6563,0.001,1.001,0.523,0.006,0.023,0.568,1
106,2196.35,1289.61,13.0247,0.0004,0.608,0.223,0.002,0.003,0.566,1
2008,2923.51,1664.4,16.6787,0.0008,0.821,0.197,0.004,0.014,0.565,1
2586,2802.08,1348.87,16.9665,0.0009,1.038,0.567,0.006,0.035,0.564,1
129,2856.36,1904.48,12.9111,0.0003,1.389,1.324,0.003,0.004,0.563,1
2801,2098.77,1338.09,17.1451,0.0011,1.085,0.503,0.007,0.028,0.561,1
3148,2473.81,2237.85,17.4165,0.0012,1.075,0.631,0.015,0.036,0.554,1
1603,2923.26,1955.87,16.3424,0.0008,0.748,0.165,0.003,0.005,0.548,1
3271,2907.17,1953.59,17.5669,0.0011,0.936,0.375,0.006,0.012,0.548,1
4281,2582.08,1587.92,18.2209,0.0015,1.006,0.396,0.01,0.03,0.548,1
4057,2744.35,1942.87,17.8857,0.0014,1.194,0.577,0.009,0.035,0.546,1
3639,2529.47,1885.74,17.6544,0.0013,1.082,0.605,0.007,0.025,0.543,1
3879,2601.84,2278.49,17.8458,0.0014,1.074,0.333,0.007,0.023,0.541,1
1858,2427.19,1637.29,16.4319,0.0015,0.978,0.634,0.004,0.021,0.54,1
3331,2507.24,1781.85,17.4198,0.0012,1.117,0.679,0.009,0.023,0.538,1
4434,2576.71,1974.85,18.1136,0.0019,1.228,0.497,0.01,0.029,0.535,1
1932,2762.38,1839.06,16.3715,0.0008,1.119,0.656,0.004,0.01,0.531,1
3431,2892.43,1801.05,17.6593,0.0015,0.995,0.625,0.007,0.022,0.531,1
2663,1970.89,1913.96,17.1086,0.0011,0.86,0.239,0.004,0.009,0.53,1
2125,2748.8,1878.8,16.584,0.0009,1.08,0.647,0.005,0.011,0.529,1
3453,2562.83,1665.44,17.6918,0.0018,1.006,0.499,0.006,0.02,0.528,1
285,2756.83,1895.64,13.7249,0.0002,1.383,1.088,0.003,0.004,0.518,1
3136,2111.4,1871.96,17.3161,0.0012,1.059,0.44,0.006,0.015,0.507,1
3236,2477.75,1874.65,17.4436,0.0011,1.017,0.414,0.006,0.013,0.498,1
2626,2441.13,1686.88,17.1526,0.0013,0.867,0.125,0.004,0.021,0.494,1
3069,2960.65,1689.92,17.4507,0.0011,0.92,0.336,0.005,0.02,0.494,1
2707,2633.84,2140.42,17.2576,0.0023,1.019,0.43,0.009,0.013,0.493,1
43,2530.97,1142.19,11.8302,0.0002,1.186,0.837,0.002,0.006,0.492,1
1426,2398.53,1281.3,16.1726,0.0007,0.801,0.191,0.003,0.01,0.492,1
893,2436.31,1484.64,15.5405,0.0005,0.711,-0.028,0.007,0.024,0.49,1
