ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1380.37,1992.62,10.833,0.008,0.536,0.011,0.201,0.007,0.363,0.013,0.646,0.012
2,791.579,1284.09,11.301,0.006,0.248,0.009,0.102,0.005,0.192,0.007,0.338,0.007
3,998.997,98.467,11.431,0.009,0.15,0.013,-0.086,0.009,0.166,0.015,0.349,0.011
4,1082.75,1607.9,11.503,0.005,0.211,0.009,-0.232,0.007,0.192,0.008,0.352,0.008
5,1795.44,1165.63,11.773,0.009,1.531,0.01,1.465,0.007,0.865,0.011,1.586,0.013
6,1487.26,1075.66,11.973,0.004,0.692,0.005,-0.037,0.004,0.473,0.006,0.896,0.006
7,1631.92,367.261,12.026,0.005,0.371,0.011,0.214,0.01,0.225,0.007,0.432,0.009
8,1339.9,1248.19,12.207,0.004,1.829,0.006,2.123,0.013,1.361,0.01,2.533,0.011
9,424.992,1454.81,12.226,0.006,1.815,0.007,1.58,0.011,1.403,0.011,3.143,0.012
10,571.877,1262.74,12.434,0.004,1.74,0.005,1.73,0.011,0.978,0.007,1.815,0.006
11,1415.9,1409.09,12.488,0.004,0.252,0.006,-0.119,0.005,0.229,0.006,0.409,0.007
12,1120.21,1291.71,12.567,0.004,0.617,0.005,0.306,0.004,0.399,0.005,0.734,0.006
13,1330.83,1586.62,12.708,0.005,0.264,0.007,0.067,0.005,0.199,0.006,0.368,0.009
14,977.643,1294.63,12.714,0.004,0.212,0.005,-0.111,0.004,0.21,0.006,0.382,0.007
15,499.009,545.463,12.813,0.006,1.846,0.01,2.113,0.028,1.046,0.015,2.122,0.017
16,140.924,1829.26,12.816,0.012,1.451,0.016,1.416,0.018,0.802,0.017,1.501,0.019
17,1796.48,1230.56,12.86,0.004,0.258,0.005,-0.086,0.004,0.216,0.007,0.395,0.007
18,1949.9,1964.8,12.863,0.004,-0.565,0.011,0.692,0.01,0.365,0.007,1,0.008
19,265.134,1990.67,12.947,0.011,0.372,0.015,0.346,0.013,0.241,0.016,0.502,0.018
20,1506.12,1360.66,12.965,0.005,0.568,0.007,0.133,0.006,0.401,0.007,0.764,0.008
21,1581.06,1260.31,12.971,0.004,1,0.005,0.524,0.005,0.639,0.006,1.203,0.006
22,1312.32,95.978,13.001,0.008,1.455,0.012,1.257,0.016,0.822,0.009,1.54,0.011
23,759.794,162.268,13.082,0.008,1.258,0.011,0.799,0.012,0.719,0.009,1.354,0.011
24,1919.05,2001,13.087,0.006,-0.739,0.015,0.534,0.014,0.276,0.01,0.835,0.01
25,647.478,1403.32,13.098,0.005,0.537,0.006,0.256,0.005,0.374,0.006,0.691,0.007
