ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1089.98,1330.69,8.986,0.003,2.123,0.006,1.883,0.006,1.206,0.011,99,99
2,196.273,187.858,10.622,0.007,0.39,0.014,-0.029,0.011,0.266,0.009,0.54,0.018
3,643.571,1896.86,11.074,0.005,1.209,0.008,1.07,0.007,0.678,0.008,1.285,0.011
5,1799.04,1370.4,11.758,0.002,0,0.007,-0.062,0.006,0.046,0.004,0.067,0.005
6,1290.82,1793.61,11.86,0.004,0.064,0.008,-0.091,0.007,0.087,0.004,0.146,0.006
7,893.046,1478.63,11.94,0.003,0.291,0.004,0.123,0.004,0.211,0.003,0.392,0.005
8,213.801,750.558,12.077,0.003,0.081,0.006,0.089,0.005,0.044,0.006,0.097,0.007
9,1577.47,1474.33,12.134,0.003,0.622,0.004,0.105,0.003,0.408,0.004,0.788,0.005
10,1084.94,95.706,12.287,0.004,0.452,0.007,-0.045,0.006,0.298,0.005,0.627,0.007
11,876.463,1292.74,12.321,0.002,0.608,0.003,0.031,0.003,0.402,0.003,0.758,0.004
12,949.975,39.103,12.501,0.004,0.573,0.007,0.2,0.006,0.364,0.005,0.779,0.007
13,1516.44,452.924,12.72,0.004,0.476,0.006,0.182,0.006,0.311,0.005,0.654,0.007
14,1010.47,1353.04,12.752,0.003,0.343,0.003,-0.317,0.003,0.29,0.003,0.565,0.004
15,1217.04,580.889,12.788,0.004,0.715,0.007,0.096,0.006,0.448,0.005,0.869,0.006
16,641.307,954.167,12.875,0.002,0.325,0.004,0.136,0.005,0.224,0.004,0.43,0.005
17,1183.51,1263.14,12.938,0.002,0.493,0.003,0.356,0.004,0.342,0.003,0.684,0.004
18,673.437,1151.02,12.951,0.005,0.483,0.007,-0.007,0.005,0.342,0.007,0.684,0.008
19,512.309,1509.83,12.967,0.003,0.237,0.004,0.137,0.004,0.177,0.004,0.33,0.006
20,742.949,1735.59,13.034,0.004,1.417,0.006,1.092,0.01,0.811,0.005,1.578,0.006
21,961.483,1219.37,13.047,0.002,0.413,0.003,-0.057,0.004,0.298,0.004,0.603,0.004
22,576.255,115.932,13.185,0.005,1.522,0.01,1.32,0.015,0.825,0.006,1.65,0.007
23,1312.81,696.345,13.189,0.004,0.431,0.007,0.313,0.007,0.279,0.006,0.583,0.008
24,823.927,1582.19,13.251,0.004,0.375,0.005,0.012,0.004,0.273,0.005,0.531,0.007
25,1230.67,626.704,13.336,0.005,0.348,0.008,0.062,0.006,0.255,0.006,0.484,0.009
26,1375.36,888.124,13.376,0.005,0.401,0.007,0.252,0.007,0.269,0.007,0.527,0.009
27,299.279,1769.41,13.42,0.005,0.595,0.007,-0.01,0.006,0.385,0.007,0.736,0.009
