ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,217.149,1457.98,10.54,0.006,0.208,0.009,0.081,0.006,0.152,0.011,0.269,0.014
2,599.862,1479.34,11.195,0.005,1.017,0.007,0.598,0.005,0.556,0.009,1.035,0.01
3,328.29,1599.65,11.399,0.006,0.557,0.009,-0.149,0.007,0.362,0.015,0.679,0.012
4,1891.76,173.772,11.817,0.013,0.058,0.023,-0.689,0.017,0.099,0.021,0.214,0.019
5,82.138,1465.68,11.873,0.007,0.992,0.008,0.559,0.006,0.565,0.016,1.095,0.013
6,757.035,74.997,11.877,0.013,0.082,0.022,-0.35,0.016,0.082,0.014,0.145,0.018
7,1033.84,1219.65,11.981,0.003,1.581,0.004,1.611,0.011,0.923,0.01,1.702,0.008
8,926.695,1872.71,12.018,0.008,0.964,0.012,0.514,0.009,0.578,0.017,1.025,0.016
9,1240.5,616.281,12.127,0.006,1.588,0.011,1.316,0.012,0.888,0.023,1.663,0.016
10,1089.73,1086.18,12.191,0.002,0.304,0.003,-0.008,0.003,0.254,0.01,0.424,0.005
11,1401.42,35.434,12.194,0.009,1.79,0.015,2.063,0.019,1.058,0.02,2.043,0.018
12,249.313,1815.28,12.31,0.009,0.988,0.013,0.573,0.01,0.575,0.017,1.047,0.018
13,1236.16,1606.28,12.312,0.007,1.37,0.009,0.904,0.007,0.829,0.011,1.552,0.009
14,1799.9,1858.38,12.326,0.008,0.452,0.011,-0.141,0.009,0.357,0.012,0.621,0.014
15,1330.94,1142.37,12.468,0.003,1.587,0.005,1.301,0.009,0.926,0.012,1.721,0.009
16,1598.86,599.092,12.52,0.007,1.264,0.011,1.171,0.011,0.703,0.019,1.301,0.011
17,1211.92,1981.62,12.577,0.007,1.439,0.01,1.521,0.01,0.835,0.015,1.517,0.017
18,369.732,253.048,12.589,0.008,1.043,0.013,0.679,0.015,0.577,0.011,1.089,0.014
19,658.059,426.332,12.614,0.007,0.261,0.01,0.134,0.008,0.216,0.009,0.394,0.012
20,544.012,1257.97,12.663,0.004,0.13,0.006,-0.025,0.004,0.13,0.005,0.213,0.007
21,1235.03,1180.77,12.679,0.003,0.378,0.004,0.084,0.004,0.302,0.005,0.536,0.006
22,1161.09,1801.44,12.72,0.008,0.28,0.011,0.3,0.009,0.231,0.011,0.411,0.015
23,1448.22,353.499,12.732,0.008,1.592,0.012,1.707,0.018,0.901,0.022,1.713,0.019
24,443.274,1805.87,12.765,0.008,1.117,0.012,0.644,0.011,0.671,0.013,1.228,0.017
25,487.54,1362.84,12.815,0.005,0.38,0.006,0.014,0.005,0.291,0.006,0.516,0.008
26,192.649,874.089,12.834,0.003,1.393,0.006,1.305,0.011,0.789,0.007,1.451,0.006
27,1204.78,1573.62,12.835,0.007,0.398,0.009,-0.057,0.007,0.352,0.01,0.654,0.011
28,1205.71,1075.56,12.86,0.003,0.298,0.004,-0.66,0.003,0.304,0.006,0.548,0.006
29,1546.45,704.838,12.891,0.006,0.334,0.009,0.293,0.007,0.26,0.008,0.5,0.011
30,1162.6,744.165,12.967,0.005,1.705,0.009,1.558,0.018,0.973,0.008,1.829,0.009
31,641.597,620.329,12.968,0.006,1.431,0.01,1.31,0.015,0.823,0.007,1.505,0.009
