ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
649,801.797,1886.64,17.874,0.015,0.902,0.028,99,99,0.497,0.018,0.956,0.028
1134,1882.8,279.18,18.605,0.038,0.928,0.067,99,99,0.371,0.044,0.877,0.062
623,597.456,1882.29,17.879,0.014,1.066,0.03,99,99,0.617,0.017,1.152,0.024
665,1642.82,1952.86,17.881,0.017,0.853,0.027,99,99,0.467,0.021,0.955,0.026
654,1530.84,1902.54,17.882,0.016,0.641,0.026,99,99,0.444,0.019,0.866,0.027
633,1645.14,921.451,17.885,0.018,1.093,0.031,99,99,0.641,0.023,1.26,0.029
667,180.657,1257.23,17.888,0.018,0.78,0.026,99,99,0.459,0.021,0.944,0.028
643,473.57,1104.21,17.892,0.016,1.032,0.026,99,99,0.602,0.021,1.195,0.024
660,603.891,1828.11,17.893,0.017,0.716,0.029,99,99,0.471,0.021,0.912,0.028
461,564.198,321.16,17.897,0.022,1.539,0.036,99,99,0.924,0.024,2.028,0.027
659,735.171,1488.83,17.899,0.017,0.846,0.028,99,99,0.515,0.02,0.974,0.029
662,669.313,1955.43,17.9,0.016,0.862,0.027,99,99,0.525,0.02,1.018,0.032
664,572.685,1644.05,17.901,0.02,0.887,0.032,99,99,0.53,0.025,1.019,0.033
613,890.705,424.77,17.903,0.026,1.192,0.037,99,99,0.682,0.028,1.273,0.035
865,285.899,1570.99,18.304,0.023,0.993,0.035,99,99,0.548,0.027,1.06,0.034
671,1229.13,1208.27,17.913,0.015,0.629,0.027,99,99,0.457,0.018,0.881,0.027
570,1819.26,890.241,17.915,0.016,1.316,0.033,99,99,0.862,0.02,1.607,0.026
695,388.158,858.378,17.918,0.021,0.789,0.032,99,99,0.419,0.024,0.861,0.033
642,558.148,121.857,17.92,0.024,1.196,0.037,99,99,0.612,0.027,1.206,0.032
692,388.316,777.62,17.926,0.018,0.728,0.03,99,99,0.423,0.022,0.865,0.029
618,1625.39,1538.2,17.931,0.016,1.141,0.03,99,99,0.683,0.018,1.241,0.024
670,139.006,1204.31,17.932,0.019,0.966,0.033,99,99,0.516,0.023,1.072,0.027
683,1443.24,752.321,17.932,0.022,0.757,0.034,99,99,0.458,0.026,0.995,0.045
689,6.035,1873.03,17.932,0.02,0.975,0.032,99,99,0.501,0.025,1.054,0.033
715,149.935,994.606,17.936,0.028,0.848,0.048,99,99,0.42,0.043,0.844,0.053
616,905.464,1283.44,17.937,0.018,1.138,0.033,99,99,0.743,0.023,1.332,0.027
678,1713.71,794.842,17.942,0.025,0.83,0.034,99,99,0.532,0.028,1.02,0.035
706,962.219,1722.54,17.947,0.016,0.658,0.026,99,99,0.404,0.02,0.794,0.028
681,1120.79,865.846,17.953,0.02,0.614,0.031,99,99,0.457,0.025,0.923,0.035
686,1598.06,550.874,17.958,0.018,0.746,0.031,99,99,0.502,0.025,0.999,0.036
684,1014.79,1359.08,17.96,0.018,0.926,0.03,99,99,0.53,0.021,1.01,0.027
717,1059.88,116.82,17.96,0.025,0.762,0.039,99,99,0.435,0.03,0.81,0.043
673,271.356,951.34,17.962,0.021,1.062,0.036,99,99,0.606,0.026,1.122,0.032
693,1682.17,1179.65,17.962,0.016,0.683,0.026,99,99,0.457,0.02,0.926,0.027
716,1038.78,670.497,17.962,0.019,0.89,0.035,99,99,0.448,0.023,0.89,0.032
700,692.675,1219.94,17.965,0.017,0.677,0.029,99,99,0.456,0.021,0.879,0.028
721,1878.56,1439.24,17.966,0.018,0.764,0.03,99,99,0.428,0.023,0.857,0.027
697,1249.35,204.036,17.97,0.019,0.799,0.034,99,99,0.483,0.027,0.977,0.03
475,142.393,403.577,17.971,0.019,1.49,0.041,99,99,0.956,0.022,2.066,0.025
672,778.761,1185.71,17.972,0.017,0.941,0.032,99,99,0.559,0.02,1.09,0.026
764,1710.13,55.23,17.972,0.04,0.862,0.064,99,99,0.518,0.06,0.419,0.066
711,331.65,812.6,17.973,0.021,0.745,0.031,99,99,0.459,0.024,0.887,0.033
680,1558.83,1688.31,17.974,0.016,0.86,0.027,99,99,0.548,0.018,1.03,0.024
703,1236.14,1043.58,17.976,0.017,0.762,0.027,99,99,0.468,0.021,0.969,0.027
691,1872.51,1586.49,17.977,0.017,0.849,0.032,99,99,0.514,0.02,1.01,0.027
690,1824.31,1153.6,17.982,0.015,0.977,0.027,99,99,0.548,0.019,1.096,0.024
666,1582.2,1065.98,17.983,0.019,0.908,0.032,99,99,0.603,0.023,1.139,0.027
698,896.111,243.348,17.983,0.022,0.861,0.031,99,99,0.54,0.025,1.092,0.037
696,1211.41,1698.19,17.985,0.019,0.905,0.031,99,99,0.534,0.022,0.978,0.027
719,924.593,666.38,17.988,0.021,0.9,0.033,99,99,0.518,0.024,0.919,0.036
723,1135.11,192.384,17.994,0.02,0.677,0.031,99,99,0.424,0.028,0.866,0.032
727,1043.66,1674.81,17.997,0.018,0.779,0.026,99,99,0.455,0.022,0.906,0.029
837,90.524,221.402,17.997,0.048,0.973,0.066,99,99,0.144,0.057,0.647,0.066
722,944.972,1032.26,17.998,0.019,0.76,0.028,99,99,0.476,0.025,0.951,0.029
687,1024.1,1623.02,17.999,0.02,0.847,0.031,99,99,0.565,0.023,1.068,0.031
713,482.286,784.79,17.999,0.019,0.907,0.033,99,99,0.529,0.024,1.035,0.034
794,149.19,324.577,17.999,0.04,0.996,0.064,99,99,0.27,0.042,0.805,0.052
724,439.643,1069.04,18.001,0.016,0.78,0.027,99,99,0.477,0.021,0.92,0.028
746,295.223,1874.22,18.001,0.017,0.651,0.03,99,99,0.359,0.021,0.753,0.035
708,453.173,724.235,18.003,0.019,0.877,0.029,99,99,0.56,0.023,0.995,0.028
731,515.765,1205.12,18.005,0.018,0.625,0.025,99,99,0.391,0.02,0.804,0.03
741,1254.07,447.786,18.006,0.023,1.084,0.039,99,99,0.532,0.03,1.052,0.046
688,167.765,1471.03,18.008,0.016,1.005,0.031,99,99,0.563,0.02,1.139,0.024
745,723.831,947.459,18.009,0.023,0.689,0.039,99,99,0.401,0.029,0.748,0.045
772,1268.39,999.295,18.01,0.026,0.644,0.037,99,99,0.3,0.031,0.609,0.037
747,42.218,907.666,18.013,0.017,0.679,0.033,99,99,0.38,0.023,0.82,0.031
702,567.745,442.308,18.015,0.021,0.95,0.033,99,99,0.579,0.026,1.133,0.031
736,1383.66,42.236,18.018,0.02,0.807,0.037,99,99,0.463,0.025,0.89,0.032
739,899.543,645.578,18.019,0.023,0.887,0.034,99,99,0.491,0.027,0.939,0.038
718,1479.76,276.634,18.021,0.019,0.834,0.034,99,99,0.54,0.025,1.018,0.032
742,917.866,1355.9,18.023,0.02,0.649,0.03,99,99,0.417,0.024,0.787,0.035
734,1688.3,296.612,18.027,0.028,0.806,0.037,99,99,0.524,0.032,0.923,0.04
1212,1570.69,673.569,18.813,0.035,0.853,0.05,99,99,0.565,0.041,0.988,0.056
750,1377.33,895.38,18.031,0.018,0.725,0.037,99,99,0.412,0.023,0.845,0.033
682,1257.8,1138,18.033,0.018,1.015,0.031,99,99,0.638,0.021,1.178,0.027
710,1472.58,176.017,18.035,0.023,0.924,0.036,99,99,0.572,0.028,1.172,0.036
748,91.177,1948.71,18.036,0.02,0.677,0.032,99,99,0.426,0.024,0.827,0.035
751,1133.52,911.989,18.036,0.024,0.859,0.036,99,99,0.485,0.03,0.916,0.036
725,232.074,1400.57,18.038,0.019,0.851,0.029,99,99,0.549,0.023,1.062,0.03
738,2029.77,1652.11,18.038,0.02,0.67,0.035,99,99,0.461,0.024,0.87,0.033
674,84.296,794.81,18.039,0.027,1.192,0.044,99,99,0.628,0.029,1.237,0.034
730,1033.55,685.236,18.039,0.019,0.862,0.034,99,99,0.508,0.023,0.986,0.032
527,1140.35,1063.57,18.042,0.018,1.346,0.042,99,99,0.852,0.02,1.835,0.023
675,1130.62,1072.04,18.043,0.017,1.081,0.036,99,99,0.655,0.02,1.237,0.027
729,1248.97,1319.79,18.043,0.02,0.869,0.033,99,99,0.5,0.022,0.998,0.03
720,1677.6,1787.58,18.046,0.02,0.882,0.032,99,99,0.587,0.024,1.056,0.033
735,591.159,980.824,18.057,0.018,0.868,0.034,99,99,0.516,0.022,1.048,0.032
752,478.237,1169.25,18.06,0.016,0.75,0.026,99,99,0.467,0.02,0.915,0.028
755,276.297,669.716,18.06,0.021,0.668,0.033,99,99,0.415,0.026,0.893,0.032
758,1566.74,814.65,18.06,0.019,0.845,0.032,99,99,0.456,0.025,0.928,0.03
601,850.821,19.916,18.061,0.023,1.394,0.046,99,99,0.825,0.025,1.634,0.033
