ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1220.56,581.578,10.89,0.002,1.088,0.006,0.79,0.006,0.551,0.004,1.054,0.007
2,1011.76,1381.11,11.066,0.005,0.455,0.007,0.091,0.005,0.278,0.008,0.524,0.006
3,469.452,1899.9,11.404,0.006,0.768,0.009,-0.376,0.007,0.492,0.008,1.024,0.009
4,1912.71,1975.82,11.507,0.006,99,99,0.308,0.006,0.068,0.008,0.48,0.007
5,1907.9,269.604,11.632,0.002,0.271,0.007,-0.693,0.006,0.196,0.005,0.408,0.004
6,804.51,1982.68,11.705,0.005,1.115,0.006,0.78,0.004,0.564,0.007,1.085,0.008
7,328.297,1562.45,11.757,0.01,0.526,0.014,0.133,0.01,0.298,0.014,0.595,0.018
8,493.397,1253.44,11.832,0.002,0.322,0.003,0.275,0.003,0.209,0.003,0.413,0.004
9,1501.63,1299.97,11.925,0.005,0.081,0.006,-0.015,0.004,0.069,0.006,0.124,0.008
10,926.496,1501.59,11.96,0.003,1.256,0.004,1.13,0.005,0.65,0.004,1.206,0.004
11,1445.8,827.229,12,0.002,0.438,0.003,-0.09,0.004,0.273,0.005,0.517,0.005
12,1655.64,561.197,12.081,0.003,0.459,0.003,-0.055,0.005,0.276,0.004,0.523,0.005
13,562.679,29.278,12.099,0.003,0.309,0.004,-0.544,0.004,0.188,0.004,0.406,0.006
14,1117.7,477.927,12.179,0.003,0.061,0.003,-0.04,0.004,0.049,0.004,0.073,0.006
15,140.316,1521.44,12.369,0.004,0.444,0.005,-0.032,0.005,0.277,0.006,0.557,0.007
16,974.839,783.395,12.376,0.002,0.317,0.003,0.184,0.004,0.193,0.003,0.369,0.004
17,518.168,25.354,12.539,0.004,2.092,0.007,2.285,0.027,1.155,0.005,2.385,0.008
18,1111.21,1378.77,12.683,0.01,0.641,0.016,0.02,0.014,0.371,0.013,0.722,0.015
19,1212.23,944.831,12.824,0.003,1.135,0.005,0.674,0.008,0.606,0.005,1.146,0.005
20,736.697,1681.9,12.86,0.004,0.098,0.004,-0.103,0.003,0.097,0.005,0.172,0.006
21,600.259,1118.83,12.867,0.002,1.145,0.003,0.864,0.006,0.603,0.003,1.128,0.004
22,344.18,1692.79,12.874,0.004,0.602,0.004,-0.029,0.004,0.365,0.005,0.696,0.007
23,243.667,842.052,12.878,0.003,0.229,0.004,0.179,0.004,0.127,0.005,0.246,0.007
24,414.081,1847.47,12.883,0.005,0.419,0.006,-0.055,0.004,0.279,0.006,0.547,0.008
25,75.737,1267.91,12.896,0.003,0.719,0.004,0.194,0.006,0.401,0.005,0.754,0.007
26,856.473,1344.62,12.905,0.003,0.414,0.004,0.022,0.003,0.27,0.004,0.511,0.004
27,1071.95,80.813,12.949,0.005,1.494,0.007,1.336,0.013,0.753,0.006,1.454,0.006
28,1468.17,210.396,12.987,0.004,0.822,0.005,0.163,0.006,0.459,0.005,0.875,0.007
29,1525.88,183.413,13.002,0.003,0.259,0.004,0.07,0.005,0.144,0.005,0.288,0.007
30,1534.27,172.38,13.06,0.005,0.255,0.005,0.071,0.005,0.148,0.006,0.291,0.009
31,387.584,1906.58,13.07,0.005,0.268,0.005,0.101,0.004,0.18,0.006,0.372,0.008
32,839.79,777.446,13.087,0.004,0.527,0.005,0.383,0.006,0.336,0.005,0.653,0.007
33,354.336,1248.62,13.142,0.003,0.296,0.004,-0.124,0.004,0.197,0.004,0.394,0.006
34,197.905,1113.05,13.153,0.004,0.474,0.005,-0.04,0.005,0.29,0.006,0.563,0.009
35,1880.26,706.616,13.159,0.004,0.694,0.006,0.121,0.006,0.389,0.006,0.73,0.007
36,374.154,1662.94,13.233,0.004,1.471,0.005,1.187,0.012,0.791,0.005,1.542,0.007
37,183.783,525.371,13.277,0.005,0.356,0.006,0.347,0.007,0.19,0.007,0.377,0.009
38,364.064,1942.22,13.278,0.004,0.7,0.005,0.026,0.006,0.434,0.006,0.862,0.008
39,605.371,1432.17,13.288,0.003,0.529,0.004,-0.073,0.004,0.337,0.004,0.654,0.005
40,1397.6,630.172,13.291,0.005,0.356,0.006,0.078,0.006,0.205,0.006,0.383,0.009
41,483.075,1595.57,13.294,0.004,0.133,0.004,0.05,0.004,0.104,0.005,0.195,0.008
42,175.726,561.701,13.298,0.005,0.239,0.006,0.158,0.006,0.109,0.007,0.189,0.01
43,1277.55,634.062,13.298,0.005,0.366,0.006,0.31,0.006,0.222,0.007,0.43,0.009
44,1130.98,1162.32,13.414,0.002,0.818,0.003,0.202,0.005,0.48,0.004,0.908,0.004
45,1362.05,727.33,13.455,0.005,0.353,0.006,0.032,0.005,0.238,0.006,0.466,0.008
46,1527.49,1459.75,13.457,0.003,0.162,0.005,-0.364,0.004,0.147,0.005,0.28,0.005
47,1267.86,1512.09,13.479,0.004,0.258,0.005,0.114,0.004,0.165,0.005,0.32,0.006
820,554.461,1972.69,18.032,0.03,1.098,0.047,99,99,99,99,99,99
49,1517.32,1155.14,13.53,0.007,0.25,0.008,-0.234,0.005,0.189,0.01,0.377,0.014
50,1119.49,1553.79,13.552,0.004,0.584,0.005,0.331,0.008,0.375,0.005,0.738,0.006
51,775.652,119.29,13.561,0.011,0.535,0.015,0.224,0.012,0.343,0.014,0.685,0.017
52,1728.59,1156.59,13.562,0.002,0.522,0.004,-0.025,0.005,0.338,0.005,0.649,0.005
53,1294.14,994.457,13.672,0.003,1.065,0.004,0.663,0.008,0.581,0.005,1.104,0.005
54,685.654,1813.55,13.701,0.005,1.805,0.006,1.257,0.022,1.05,0.005,2.078,0.007
55,824.173,601.57,13.704,0.006,1.276,0.008,0.914,0.016,0.681,0.006,1.306,0.007
56,1896.14,1084.71,13.747,0.003,0.181,0.005,0.073,0.005,0.127,0.005,0.241,0.006
57,305.352,729.415,13.764,0.005,0.589,0.007,-0.052,0.007,0.345,0.006,0.656,0.008
58,867.755,333.725,13.774,0.006,0.556,0.007,-0.049,0.006,0.331,0.007,0.635,0.009
59,1300.2,1257,13.78,0.003,1.629,0.005,1.456,0.026,0.884,0.005,1.693,0.005
60,561.76,1282.76,13.783,0.003,0.583,0.004,0,0.005,0.359,0.004,0.683,0.005
61,931.794,1447.47,13.793,0.004,0.417,0.005,0.164,0.005,0.259,0.005,0.505,0.005
62,1169.78,1403.39,13.833,0.003,0.243,0.005,0.193,0.005,0.149,0.005,0.269,0.005
63,1491.08,334.099,13.839,0.006,0.609,0.009,0.007,0.008,0.356,0.009,0.687,0.01
64,916.766,514.889,13.852,0.009,0.636,0.013,-0.003,0.011,0.374,0.014,0.705,0.016
65,277.618,1801.7,13.864,0.006,0.501,0.007,-0.078,0.006,0.332,0.007,0.656,0.011
66,889.28,1438.01,13.89,0.004,2.362,0.006,99,99,1.322,0.005,2.578,0.005
67,1186.45,1335.26,13.895,0.003,1.698,0.006,1.726,0.037,0.923,0.005,1.759,0.005
68,1298.39,1445.06,13.925,0.003,1.203,0.005,1.089,0.015,0.786,0.005,1.606,0.005
69,2022.54,319.885,13.931,0.006,-0.348,0.012,-0.082,0.011,0.224,0.009,0.792,0.011
70,1634.98,196.261,13.945,0.006,0.472,0.008,-0.002,0.007,0.285,0.008,0.546,0.01
71,742.53,316.292,13.95,0.006,0.346,0.008,0.16,0.006,0.202,0.008,0.412,0.009
72,990.899,866.298,13.972,0.005,0.393,0.007,-0.177,0.007,0.275,0.007,0.537,0.008
73,1816.94,1354.01,13.98,0.003,0.586,0.005,-0.013,0.006,0.367,0.005,0.7,0.006
74,647.19,29.545,13.984,0.006,0.385,0.008,0.254,0.007,0.187,0.009,0.398,0.012
75,1271.9,972.042,14.009,0.006,0.609,0.009,-0.013,0.008,0.374,0.008,0.697,0.01
76,2019.45,911.709,14.012,0.005,-0.01,0.008,0.174,0.009,0.258,0.008,0.661,0.009
77,762.923,1223.18,14.026,0.003,0.285,0.004,0.199,0.005,0.159,0.004,0.315,0.005
78,489.754,1788.11,14.04,0.006,0.28,0.008,0.057,0.006,0.189,0.007,0.384,0.01
79,1274.46,1246.83,14.07,0.003,0.404,0.005,-0.028,0.006,0.266,0.005,0.504,0.005
80,92.664,1896.86,14.076,0.008,0.379,0.009,0.271,0.01,0.205,0.01,0.471,0.015
81,853.946,1389.19,14.082,0.003,0.418,0.004,0.035,0.005,0.275,0.004,0.514,0.005
82,1216.38,1490.46,14.124,0.004,0.584,0.006,-0.04,0.006,0.366,0.005,0.696,0.006
83,711.254,1435.85,14.173,0.004,0.253,0.005,0.188,0.005,0.151,0.004,0.284,0.005
84,761.491,1382.19,14.228,0.003,0.661,0.004,0.039,0.006,0.391,0.004,0.735,0.005
85,1082.96,1167.03,14.234,0.003,1.115,0.004,0.57,0.014,0.662,0.005,1.306,0.005
86,403.433,612.592,14.253,0.006,0.544,0.008,-0.045,0.008,0.328,0.008,0.644,0.009
87,1069.88,1307.74,14.264,0.002,0.64,0.004,-0.028,0.006,0.389,0.004,0.738,0.005
88,394.433,785.903,14.285,0.006,1.461,0.008,1.112,0.026,0.787,0.007,1.532,0.009
89,659.804,1397.27,14.289,0.003,1.514,0.005,1.311,0.029,0.805,0.004,1.527,0.005
90,1003.54,95.296,14.291,0.007,0.615,0.009,0.079,0.009,0.364,0.009,0.765,0.01
91,2005.35,471.133,14.35,0.007,-0.096,0.01,0.059,0.009,0.212,0.01,0.587,0.011
92,1980.22,1108.33,14.355,0.003,0.914,0.007,0.331,0.012,0.524,0.006,1,0.006
93,422.564,1778.09,14.368,0.005,0.685,0.006,0.137,0.008,0.404,0.006,0.746,0.009
553,1890.88,1879.39,17.228,0.011,1.866,0.038,99,99,1.149,0.014,2.216,0.013
95,1060.6,455.991,14.378,0.007,0.689,0.01,0.261,0.01,0.394,0.01,0.775,0.01
96,1469.99,1418.65,14.382,0.004,0.472,0.006,0.183,0.007,0.307,0.005,0.573,0.007
97,1527.95,1254.31,14.383,0.002,1.472,0.005,1.256,0.033,0.794,0.005,1.518,0.005
98,705.385,1248.6,14.397,0.003,0.761,0.004,0.113,0.008,0.438,0.004,0.83,0.007
99,804.947,517.566,14.433,0.006,0.638,0.008,-0.001,0.008,0.367,0.008,0.717,0.009
100,433.45,873.767,14.461,0.006,0.666,0.008,0.202,0.01,0.411,0.008,0.817,0.009
101,1925.19,543.942,14.489,0.006,1.323,0.009,0.813,0.024,0.712,0.009,1.384,0.01
102,254.37,1778.81,14.493,0.006,0.419,0.007,0.306,0.01,0.268,0.008,0.571,0.013
103,406.331,67.225,14.494,0.007,1.967,0.01,99,99,1.044,0.008,2.055,0.01
104,1659.19,1046.89,14.497,0.003,0.422,0.005,0.163,0.007,0.261,0.006,0.5,0.007
105,1350.37,1644.48,14.502,0.004,1.356,0.006,0.988,0.022,0.75,0.006,1.448,0.007
106,1228.9,271.934,14.533,0.006,0.469,0.008,-0.104,0.008,0.285,0.009,0.551,0.009
107,1562.17,1195.24,14.547,0.002,0.669,0.004,0.123,0.008,0.398,0.005,0.744,0.005
108,1156.8,1495.72,14.551,0.004,0.691,0.006,0.022,0.007,0.427,0.005,0.809,0.006
109,1471.72,1667.31,14.574,0.005,1.42,0.007,1.059,0.027,0.772,0.007,1.482,0.007
110,277.239,1340.35,14.582,0.004,0.506,0.005,0.239,0.008,0.299,0.006,0.579,0.009
111,1588.34,1883.31,14.583,0.005,1.206,0.008,0.841,0.021,0.699,0.007,1.333,0.008
112,374.552,1069.27,14.62,0.002,2.707,0.008,99,99,1.504,0.004,2.935,0.005
113,1963.38,330.347,14.626,0.006,1.364,0.009,0.844,0.03,0.77,0.009,1.514,0.01
114,1949.56,1424.94,14.629,0.003,0.5,0.007,-0.076,0.009,0.329,0.006,0.625,0.006
115,1231.33,1499.86,14.633,0.004,0.619,0.006,0.034,0.008,0.392,0.005,0.732,0.006
116,526.138,1588.81,14.646,0.004,0.742,0.006,0.298,0.01,0.47,0.005,0.919,0.008
117,1195.28,1913.79,14.656,0.005,2.285,0.009,99,99,1.308,0.007,2.548,0.008
118,1571.16,1461.01,14.676,0.003,0.631,0.006,0.04,0.008,0.386,0.006,0.738,0.006
119,398.057,1189.43,14.707,0.003,0.488,0.004,-0.021,0.007,0.314,0.004,0.599,0.006
120,302.473,220.283,14.708,0.006,1.516,0.009,1.027,0.044,0.812,0.008,1.626,0.01
121,30.708,102.331,14.729,0.005,0.876,0.009,0.008,0.011,0.334,0.009,0.878,0.011
122,1652.96,392.236,14.73,0.006,0.588,0.009,-0.111,0.01,0.353,0.009,0.684,0.01
123,1083.23,1856.28,14.73,0.005,0.562,0.007,-0.031,0.008,0.367,0.006,0.678,0.007
124,14.977,472.903,14.761,0.005,1.028,0.008,0.281,0.018,0.553,0.009,1.298,0.011
125,913.197,1890.94,14.765,0.005,0.71,0.007,0.144,0.013,0.457,0.006,0.893,0.008
126,1366.66,637.966,14.783,0.005,0.49,0.008,0.367,0.013,0.282,0.009,0.583,0.01
127,430.145,372.514,14.789,0.006,1.136,0.009,0.032,0.012,0.673,0.009,1.407,0.01
128,208.885,1636.1,14.8,0.005,0.655,0.007,0.432,0.012,0.399,0.007,0.812,0.01
129,1520.41,1373.8,14.804,0.003,1.036,0.006,0.793,0.02,0.642,0.005,1.152,0.005
130,976.395,27.749,14.804,0.006,0.524,0.009,0.239,0.012,0.278,0.009,0.579,0.009
131,1012.22,881.468,14.806,0.005,0.958,0.008,0.502,0.016,0.571,0.008,1.083,0.009
132,538.467,1993.07,14.833,0.005,0.337,0.007,0.261,0.01,0.208,0.007,0.432,0.01
133,1080.2,38.209,14.84,0.006,0.647,0.009,0.089,0.012,0.357,0.009,0.713,0.01
134,397.24,1529.87,14.843,0.017,0.585,0.024,0.122,0.019,0.359,0.023,0.719,0.027
135,921.437,1386.07,14.868,0.003,0.358,0.005,0.147,0.008,0.241,0.004,0.475,0.005
136,1401.26,1279.7,14.887,0.003,0.576,0.005,-0.038,0.008,0.372,0.006,0.685,0.005
137,1157.07,792.066,14.894,0.006,0.456,0.009,0.251,0.011,0.26,0.009,0.523,0.01
138,621.674,591.096,14.943,0.005,1.184,0.008,0.83,0.023,0.642,0.007,1.242,0.009
139,604.719,1710.19,14.952,0.005,0.682,0.007,0.041,0.01,0.41,0.006,0.764,0.008
140,1015.59,1705.04,14.953,0.005,0.486,0.007,-0.048,0.009,0.328,0.006,0.615,0.007
141,1905.43,1708.15,14.958,0.005,0.592,0.009,0.058,0.011,0.388,0.007,0.745,0.007
142,1570.67,1387.38,14.997,0.004,0.523,0.006,-0.036,0.009,0.343,0.006,0.657,0.007
143,1387.4,1458.26,14.998,0.004,0.526,0.006,0.268,0.011,0.332,0.006,0.654,0.007
144,1998.77,1101.96,15,0.003,0.457,0.007,-0.103,0.01,0.339,0.006,0.685,0.006
145,324.134,919.244,15.002,0.005,0.575,0.007,-0.071,0.01,0.345,0.007,0.676,0.01
146,1908.84,58.816,15.006,0.006,0.703,0.009,-0.012,0.013,0.388,0.009,0.786,0.01
147,1995.1,356.722,15.022,0.006,0.414,0.009,0.045,0.017,0.413,0.01,0.912,0.01
