ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,783.747,588.855,10.474,0.007,0.447,0.009,0.155,0.004,0.279,0.009,0.549,0.011
2,751.516,1592.39,11.19,0.007,0.562,0.008,0.06,0.005,0.322,0.008,0.627,0.009
3,663.529,1990.61,11.27,0.009,0.877,0.012,0.414,0.007,0.485,0.012,0.947,0.018
389,251.714,37.041,17.428,0.039,1.281,0.049,99,99,0.752,0.058,1.513,0.061
5,699.954,1032.71,12.164,0.002,1.717,0.003,1.999,0.013,1.066,0.003,2.399,0.006
6,1160.02,955.636,12.499,0.002,1.04,0.004,0.866,0.006,0.571,0.004,1.067,0.006
7,523.328,1589.17,12.526,0.005,0.318,0.007,0.287,0.005,0.199,0.007,0.39,0.008
8,654.906,1176.15,12.937,0.003,0.527,0.004,0.062,0.004,0.323,0.004,0.615,0.004
9,1769.91,881.103,13.004,0.004,0.601,0.006,0.12,0.007,0.37,0.006,0.707,0.008
10,1046.76,1316.73,13.132,0.004,0.304,0.006,0.26,0.004,0.185,0.005,0.36,0.006
11,1789.31,699.123,13.136,0.005,1.194,0.009,1.038,0.011,0.643,0.007,1.235,0.009
12,517.394,1695.14,13.316,0.006,0.513,0.008,0.059,0.006,0.328,0.008,0.622,0.011
13,849.321,1142.23,13.328,0.003,1.134,0.005,0.957,0.008,0.629,0.004,1.203,0.005
14,1816.72,878.533,13.37,0.005,0.557,0.008,0.034,0.007,0.339,0.007,0.655,0.011
15,1742.52,171.74,13.413,0.008,0.552,0.011,0.042,0.009,0.324,0.009,0.658,0.013
16,918.396,905.256,13.429,0.004,0.718,0.006,0.24,0.006,0.383,0.005,0.698,0.008
17,1621.51,852.754,13.473,0.005,0.453,0.007,0.17,0.008,0.287,0.007,0.539,0.01
18,706.917,1837.03,13.487,0.009,0.398,0.012,0.131,0.007,0.252,0.011,0.475,0.014
19,735.917,1368.77,13.581,0.005,1.67,0.007,2.003,0.029,0.985,0.005,2.082,0.006
20,691.822,1184.94,13.603,0.003,0.686,0.005,0.269,0.005,0.398,0.004,0.745,0.005
21,1934.33,1568.08,13.628,0.006,1.612,0.009,1.984,0.035,0.936,0.008,1.872,0.01
22,846.959,922.477,13.672,0.004,1.237,0.007,1.18,0.013,0.678,0.005,1.265,0.007
23,989.604,1054.37,13.675,0.003,0.437,0.005,0.15,0.005,0.278,0.004,0.532,0.005
24,851.463,310.733,13.742,0.008,0.836,0.011,0.445,0.01,0.468,0.009,0.889,0.013
25,400.035,1783.21,13.838,0.009,0.693,0.013,0.203,0.009,0.409,0.013,0.8,0.016
26,522.012,452.069,13.873,0.008,1.224,0.011,1.197,0.016,0.649,0.009,1.248,0.011
27,1560.66,930.877,13.881,0.006,1.23,0.01,1.134,0.017,0.664,0.007,1.247,0.01
28,497.984,497.901,13.907,0.007,1.252,0.01,1.217,0.017,0.669,0.009,1.273,0.011
29,908.198,1484.83,13.915,0.005,0.746,0.008,0.329,0.007,0.432,0.006,0.8,0.008
30,871.537,1759.69,14.003,0.007,0.505,0.009,0.062,0.007,0.316,0.009,0.608,0.012
31,765.688,937.617,14.151,0.008,0.695,0.011,0.184,0.009,0.424,0.011,0.825,0.013
32,1869.77,933.124,14.217,0.007,1.514,0.011,1.754,0.041,0.857,0.009,1.647,0.011
33,1006.55,1549.31,14.219,0.006,1.188,0.008,1.083,0.016,0.652,0.007,1.235,0.009
34,1695.5,665.26,14.268,0.008,1.173,0.012,1.007,0.022,0.662,0.011,1.262,0.014
35,866.679,448.59,14.28,0.008,1.144,0.012,1.004,0.017,0.629,0.01,1.202,0.014
36,1610.91,94.019,14.316,0.009,0.824,0.013,0.452,0.014,0.483,0.012,0.915,0.017
37,343.695,407.769,14.316,0.008,0.763,0.011,0.31,0.01,0.418,0.011,0.852,0.014
38,1798.97,1388.45,14.32,0.004,1.101,0.007,0.825,0.013,0.622,0.006,1.207,0.007
39,1615.07,765.586,14.321,0.008,1.248,0.012,1.216,0.03,0.699,0.01,1.319,0.013
40,307.595,1490.77,14.421,0.007,0.668,0.009,0.131,0.01,0.386,0.01,0.763,0.011
41,1286.1,1756.68,14.452,0.008,0.441,0.011,0.225,0.009,0.285,0.01,0.548,0.013
42,1053.53,1708.29,14.457,0.007,1.651,0.01,99,99,0.968,0.008,1.976,0.011
43,1024.38,1026.39,14.464,0.002,1.253,0.005,1.232,0.026,0.697,0.004,1.325,0.005
44,1161.77,1050.38,14.489,0.002,0.714,0.004,0.206,0.008,0.431,0.004,0.831,0.005
45,270.779,1750.63,14.501,0.01,0.716,0.014,0.233,0.011,0.412,0.015,0.815,0.016
46,894.884,1786.35,14.504,0.008,1.277,0.01,1.383,0.032,0.696,0.009,1.317,0.012
47,307.626,547.669,14.566,0.008,0.481,0.011,0.184,0.01,0.276,0.011,0.568,0.012
48,1980.81,1372.58,14.582,0.004,1.415,0.007,1.523,0.045,0.785,0.006,1.482,0.007
49,1162.02,1111.23,14.587,0.004,1.101,0.006,0.792,0.016,0.618,0.005,1.195,0.006
50,766.717,969.007,14.596,0.006,0.747,0.009,0.265,0.01,0.444,0.008,0.839,0.01
51,1295.51,1233.88,14.597,0.003,1.125,0.006,1.016,0.019,0.624,0.005,1.177,0.006
52,1474.61,437.596,14.648,0.009,0.665,0.013,0.15,0.012,0.402,0.012,0.776,0.014
53,688.168,286.659,14.732,0.008,0.764,0.011,0.336,0.012,0.43,0.011,0.826,0.013
54,596.979,958.846,14.773,0.007,1.017,0.01,0.671,0.018,0.586,0.009,1.137,0.01
55,664.909,994.988,14.807,0.003,0.808,0.004,0.346,0.01,0.473,0.004,0.903,0.005
56,60.04,239.515,14.815,0.009,0.911,0.013,0.524,0.018,0.475,0.013,0.983,0.015
57,265.315,379.378,14.864,0.008,1.232,0.011,1.084,0.037,0.646,0.011,1.276,0.014
58,126.657,1398.96,14.876,0.007,1.847,0.011,1.044,0.05,2.099,0.008,4.543,0.01
59,179.063,1664.72,14.955,0.009,1.019,0.013,0.717,0.021,0.576,0.012,1.14,0.014
60,399.579,991.923,14.958,0.007,0.648,0.009,0.085,0.01,0.383,0.01,0.787,0.01
61,826.263,1877.06,14.971,0.009,0.621,0.012,0.107,0.011,0.39,0.011,0.746,0.015
62,216.645,832.449,14.981,0.006,1.779,0.011,99,99,1.788,0.008,4.053,0.007
63,1686.46,400.918,15.007,0.009,0.979,0.012,0.537,0.025,0.575,0.012,1.127,0.016
64,729.779,951.422,15.018,0.006,1.39,0.009,1.207,0.037,0.922,0.009,1.867,0.013
65,420.639,1733.06,15.018,0.009,0.702,0.012,0.209,0.012,0.398,0.012,0.761,0.014
66,1360.81,504.139,15.033,0.008,0.677,0.012,0.115,0.013,0.407,0.012,0.801,0.014
67,105.007,1781.79,15.053,0.011,0.52,0.016,-0.003,0.013,0.308,0.016,0.662,0.019
68,1110.71,1135.51,15.055,0.003,1.359,0.006,1.459,0.057,0.733,0.004,1.374,0.005
69,1680.51,1490.56,15.058,0.005,1.05,0.008,0.686,0.018,0.608,0.007,1.192,0.008
70,1441.56,471.362,15.067,0.009,1.306,0.013,1.493,0.054,0.73,0.013,1.372,0.015
71,1915.68,1520.37,15.068,0.004,1.12,0.007,0.941,0.026,0.632,0.007,1.206,0.008
72,988.098,963.881,15.099,0.006,0.704,0.009,0.226,0.014,0.423,0.009,0.801,0.01
73,510.192,421.906,15.1,0.007,1.336,0.01,99,99,0.703,0.01,1.354,0.012
74,752.738,669.198,15.109,0.007,0.676,0.011,0.163,0.013,0.403,0.01,0.794,0.013
75,672.136,208.562,15.114,0.008,1.22,0.011,0.979,0.038,0.66,0.012,1.3,0.014
76,335.916,1806.92,15.116,0.01,0.57,0.013,0.131,0.012,0.33,0.014,0.666,0.015
77,918.346,1285.96,15.146,0.024,1.079,0.037,0.759,0.036,0.588,0.036,1.11,0.04
78,60.907,856.546,15.167,0.006,0.616,0.01,0.149,0.012,0.353,0.011,0.719,0.009
79,1680.67,912.772,15.229,0.006,1.411,0.011,99,99,0.782,0.01,1.492,0.013
80,427.551,696.279,15.229,0.006,0.367,0.009,0.471,0.014,0.21,0.009,0.428,0.011
81,1925.47,1411.94,15.251,0.015,1.113,0.022,0.879,0.034,0.638,0.02,1.228,0.025
82,2020.15,67.852,15.273,0.011,0.028,0.014,0.216,0.02,0.393,0.013,1.12,0.02
83,1226.1,1860.14,15.28,0.009,0.792,0.012,0.357,0.016,0.482,0.011,0.888,0.014
84,374.519,615.066,15.289,0.006,1.252,0.009,1.118,0.04,0.686,0.01,1.347,0.011
85,887.304,374.9,15.29,0.006,0.715,0.009,0.227,0.015,0.416,0.01,0.828,0.012
86,996.549,220.059,15.33,0.007,0.688,0.011,0.108,0.014,0.416,0.011,0.837,0.013
87,1796.37,241.729,15.332,0.008,0.682,0.012,0.13,0.014,0.403,0.012,0.813,0.014
88,1963.12,1555.62,15.339,0.006,1.423,0.014,99,99,0.801,0.008,1.518,0.008
89,600.38,1176.04,15.372,0.004,0.622,0.006,0.093,0.012,0.391,0.006,0.779,0.007
90,1430.06,688.54,15.387,0.007,0.779,0.01,0.431,0.019,0.445,0.011,0.843,0.012
91,1616.01,1951.49,15.398,0.007,0.733,0.011,0.179,0.016,0.468,0.01,0.883,0.013
92,840.996,1231.92,15.42,0.004,1.124,0.007,0.849,0.033,0.645,0.005,1.25,0.007
737,1806.19,1236.56,18.448,0.027,1.109,0.053,99,99,0.694,0.031,1.272,0.04
94,579.807,1426.12,15.437,0.009,1.26,0.013,99,99,0.706,0.012,1.348,0.014
95,1818.81,1310.65,15.474,0.005,0.68,0.008,0.199,0.016,0.419,0.007,0.808,0.009
