ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,Vrerr,VI,VIerr
4234,3566.75,3118.95,18.551,0.016,1.13,0.035,99,99,99.999,99,1.284,0.032
4235,1103.79,2650.07,18.552,0.004,1.181,0.007,99,99,99.999,99,1.576,0.005
4237,2699.34,2148.21,18.554,0.005,1.383,0.01,99,99,99.999,99,1.794,0.007
4238,2929.39,2626.86,18.556,0.004,2.254,0.019,99,99,99.999,99,2.731,0.005
4239,2183.12,1316.6,18.557,0.005,1.141,0.011,99,99,99.999,99,1.494,0.005
4240,1408.7,3465.57,18.557,0.02,1.067,0.034,99,99,99.999,99,1.277,0.026
4241,216.073,181.679,18.557,0.017,1.052,0.032,99,99,99.999,99,1.22,0.036
4242,2246.16,2087.96,18.558,0.005,1.169,0.008,99,99,99.999,99,1.531,0.007
4243,791.584,1400.81,18.558,0.007,1.083,0.011,99,99,99.999,99,1.43,0.01
4244,2208.31,1152.24,18.558,0.005,1.174,0.009,99,99,99.999,99,1.424,0.007
4245,2970.5,2456.22,18.559,0.005,1.468,0.01,99,99,99.999,99,1.754,0.006
4246,3643.13,1102.19,18.559,0.019,1.205,0.044,99,99,99.999,99,1.425,0.024
4247,613.998,2603.13,18.559,0.006,1.356,0.012,99,99,99.999,99,1.655,0.009
4248,2573.2,2568.89,18.559,0.003,1.104,0.007,99,99,99.999,99,1.468,0.004
4249,3098.63,2903.47,18.559,0.005,1.164,0.009,99,99,99.999,99,1.307,0.008
4250,1258.44,3275.03,18.561,0.005,1.15,0.009,99,99,99.999,99,1.26,0.008
4251,3728.13,1438.96,18.562,0.02,1.521,0.052,99,99,99.999,99,1.874,0.026
4252,883.841,2563.11,18.562,0.009,1.433,0.017,99,99,99.999,99,1.629,0.009
4253,993.632,843.469,18.562,0.01,1.268,0.015,99,99,99.999,99,1.654,0.012
4254,2769.28,3392.11,18.562,0.005,1.201,0.01,99,99,99.999,99,1.445,0.011
4255,2558.7,2792.73,18.565,0.003,1.348,0.011,99,99,99.999,99,1.653,0.005
4256,2628.81,3153.02,18.565,0.004,1.139,0.008,99,99,99.999,99,1.389,0.007
4257,2433.15,3984.56,18.565,0.02,1.111,0.037,99,99,99.999,99,1.417,0.036
4258,2662.44,1504.96,18.566,0.005,1.384,0.011,99,99,99.999,99,1.504,0.006
4259,1660.4,1324.64,18.566,0.004,1.223,0.01,99,99,99.999,99,1.429,0.005
4260,1976.96,2230.65,18.566,0.004,1.115,0.009,0.521,0.03,99.999,99,1.502,0.006
4261,1100.96,645.223,18.566,0.009,1.208,0.017,99,99,99.999,99,1.302,0.017
4262,609.617,2869.35,18.566,0.013,1.302,0.017,99,99,99.999,99,1.655,0.022
4263,1860.28,2635.96,18.567,0.004,1.2,0.012,99,99,99.999,99,1.562,0.005
4264,3223.05,116.682,18.567,0.023,1.313,0.042,99,99,99.999,99,1.581,0.031
4265,3089.91,2084.89,18.568,0.004,1.384,0.01,99,99,99.999,99,1.849,0.005
4266,729.226,2695.22,18.569,0.008,1.376,0.012,99,99,99.999,99,1.808,0.012
4267,1078.96,2751.21,18.569,0.004,1.137,0.007,99,99,99.999,99,1.238,0.005
4268,1381.66,3185.25,18.57,0.006,1.126,0.009,99,99,99.999,99,1.256,0.008
4269,729.583,2036.43,18.572,0.005,1.135,0.008,99,99,99.999,99,1.524,0.008
4270,1640.72,3392.1,18.574,0.005,1.308,0.009,99,99,99.999,99,1.712,0.006
4271,895.775,1543.01,18.574,0.005,1.189,0.009,99,99,99.999,99,1.582,0.007
4272,3418.29,1744.1,18.575,0.019,1.04,0.036,99,99,99.999,99,1.184,0.038
4273,2443.56,111.687,18.575,0.024,1.357,0.044,99,99,99.999,99,0.925,0.062
4274,593.608,2749.05,18.576,0.011,1.157,0.016,99,99,99.999,99,1.55,0.014
4275,2296.25,534.306,18.577,0.022,1.154,0.041,99,99,99.999,99,1.317,0.045
4276,2198.23,3337.22,18.578,0.005,1.262,0.009,99,99,99.999,99,1.734,0.007
4277,2615.31,1206.63,18.579,0.005,1.174,0.01,99,99,99.999,99,1.451,0.007
4278,1642.56,2979.01,18.581,0.005,1.255,0.009,99,99,99.999,99,1.706,0.006
4279,2873.57,356.653,18.581,0.022,1.093,0.039,99,99,99.999,99,1.547,0.027
4280,991.283,1965.88,18.581,0.004,1.104,0.008,0.745,0.027,99.999,99,1.427,0.007
4281,2582.08,1587.92,18.581,0.005,1.006,0.01,0.396,0.03,99.999,99,1.163,0.009
4282,753.051,3178.48,18.582,0.01,1.316,0.014,99,99,99.999,99,1.742,0.013
4283,1574.73,2456.49,18.585,0.004,1.143,0.008,99,99,99.999,99,1.538,0.005
4285,2794.4,1685.52,18.585,0.006,1.016,0.01,0.396,0.024,99.999,99,1.223,0.008
4286,2320.68,2607.81,18.585,0.007,1.204,0.01,99,99,99.999,99,1.389,0.012
4287,2284.85,1121.37,18.586,0.004,1.132,0.008,99,99,99.999,99,1.357,0.005
4288,661.326,946.653,18.586,0.011,1.221,0.017,99,99,99.999,99,1.435,0.017
4289,657.602,2997.18,18.587,0.007,1.481,0.014,99,99,99.999,99,1.791,0.011
4290,1423.89,1764.79,18.587,0.005,1.138,0.01,0.818,0.033,99.999,99,1.265,0.009
4291,587.389,1578.06,18.588,0.009,1.044,0.011,99,99,99.999,99,1.319,0.012
4292,1299.51,1686.52,18.589,0.006,1.239,0.01,0.673,0.03,99.999,99,1.504,0.01
4293,3373.56,41.21,18.59,0.025,1.411,0.048,99,99,99.999,99,1.57,0.032
4294,3395.32,19.726,18.59,0.023,1.195,0.039,99,99,99.999,99,1.582,0.031
