ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
934,1840.82,893.824,18.521,0.03,1.426,0.052,99,99,0.853,0.035,1.645,0.037
935,1388.03,153.079,18.521,0.03,1.262,0.056,99,99,0.807,0.037,1.544,0.045
936,1308.78,567.279,18.522,0.031,1.377,0.069,99,99,0.815,0.036,1.557,0.041
937,477.93,350.223,18.524,0.027,1.208,0.051,99,99,0.779,0.033,1.495,0.038
938,547.206,203.283,18.525,0.023,1.262,0.049,99,99,0.828,0.03,1.58,0.035
939,1435.69,1704.8,18.528,0.027,1.163,0.049,99,99,0.767,0.032,1.373,0.039
940,1872.07,1887.57,18.532,0.03,1.235,0.052,99,99,0.805,0.033,1.449,0.037
941,1317.23,5.853,18.533,0.025,1.373,0.066,99,99,0.904,0.03,1.602,0.038
942,1797.33,778.432,18.534,0.023,1.306,0.053,99,99,0.712,0.033,1.419,0.033
944,988.92,539.022,18.538,0.026,1.141,0.045,99,99,0.697,0.034,1.345,0.037
945,1751.4,778.331,18.539,0.027,1.395,0.065,99,99,0.872,0.033,1.584,0.038
946,310.399,171.734,18.542,0.028,1.194,0.05,99,99,0.717,0.035,1.444,0.041
947,1996.4,872.976,18.542,0.027,0.995,0.05,99,99,0.668,0.035,1.248,0.042
948,176.557,1234.2,18.543,0.026,1.398,0.057,99,99,0.894,0.031,1.746,0.032
949,1296.17,835.701,18.543,0.025,1.224,0.059,99,99,0.755,0.031,1.341,0.042
950,1107.08,826.117,18.546,0.031,1.316,0.055,99,99,0.88,0.037,1.634,0.043
951,360.505,1567.14,18.553,0.031,1.488,0.063,99,99,0.891,0.034,1.755,0.04
952,34.239,263.38,18.559,0.037,1.267,0.068,99,99,0.679,0.044,1.431,0.051
953,668.474,1178.52,18.56,0.03,1.128,0.05,99,99,0.76,0.033,1.449,0.04
954,848.902,30.838,18.561,0.031,1.395,0.058,99,99,0.905,0.037,1.756,0.041
955,1906.81,1055.72,18.564,0.026,1.109,0.046,99,99,0.636,0.035,1.309,0.041
957,1649.21,224.695,18.566,0.027,1.269,0.062,99,99,0.723,0.035,1.451,0.037
958,346.777,933.243,18.568,0.027,1.342,0.056,99,99,0.841,0.033,1.662,0.039
959,637.669,956.228,18.572,0.025,1.778,0.068,99,99,1.078,0.035,2.057,0.034
960,1043.07,16.085,18.574,0.024,1.171,0.046,99,99,0.72,0.031,1.473,0.033
961,742.144,1779.17,18.576,0.023,1.365,0.052,99,99,0.863,0.029,1.669,0.031
962,1123.16,1869.89,18.577,0.026,1.099,0.046,99,99,0.723,0.034,1.362,0.037
963,1672.85,1952.12,18.579,0.026,1.295,0.055,99,99,0.859,0.032,1.645,0.035
964,880.838,1032.16,18.579,0.025,1.217,0.045,99,99,0.808,0.029,1.588,0.032
965,2009.64,1175.04,18.581,0.03,1.061,0.055,99,99,0.675,0.034,1.385,0.04
966,309.859,626.927,18.583,0.024,1.221,0.053,99,99,0.765,0.03,1.442,0.035
967,194.995,1687.9,18.583,0.027,1.228,0.054,99,99,0.71,0.033,1.305,0.042
968,265.386,1992.96,18.585,0.03,1.207,0.056,99,99,0.724,0.037,1.559,0.046
969,1818.85,978.948,18.587,0.029,1.564,0.08,99,99,0.973,0.034,1.858,0.035
970,1824.84,369.67,18.588,0.026,1.298,0.051,99,99,0.862,0.032,1.669,0.037
971,1417.87,1374.92,18.591,0.026,1.134,0.049,99,99,0.709,0.03,1.333,0.037
972,1872.58,84.46,18.595,0.035,1.326,0.058,99,99,0.794,0.042,1.576,0.044
973,2023.67,1534.36,18.596,0.039,0.698,0.088,99,99,99,99,1.475,0.06
974,1142.8,1734.3,18.598,0.026,1.534,0.053,99,99,1.077,0.029,1.995,0.032
975,1762.26,590.538,18.599,0.028,1.141,0.055,99,99,0.731,0.035,1.296,0.045
976,1118.99,1896.92,18.6,0.033,0.973,0.047,99,99,0.688,0.042,1.297,0.044
977,1730.85,737.578,18.601,0.032,1.188,0.064,99,99,0.761,0.041,1.451,0.042
978,1128.44,1264.48,18.606,0.029,1.641,0.068,99,99,0.932,0.032,1.829,0.035
979,278.831,1921.98,18.61,0.032,1.376,0.07,99,99,0.873,0.037,1.693,0.039
980,1949.26,1092.3,18.614,0.03,1.291,0.053,99,99,0.834,0.035,1.528,0.038
981,1282.28,1089.85,18.615,0.031,1.405,0.054,99,99,0.911,0.034,1.671,0.039
982,688.71,226.033,18.615,0.028,1.15,0.046,99,99,0.694,0.037,1.373,0.04
983,841.792,1557.37,18.616,0.052,2.077,0.182,99,99,1.295,0.057,2.547,0.061
984,1111.9,1685.74,18.616,0.023,1.312,0.055,99,99,0.879,0.027,1.684,0.032
985,359.439,1707.63,18.616,0.027,1.207,0.048,99,99,0.777,0.035,1.523,0.041
986,202.234,1663.65,18.617,0.031,1.419,0.064,99,99,0.874,0.036,1.719,0.04
