ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1232.48,1370.79,8.771,0.004,1.687,0.006,1.981,0.006,0.999,0.006,2.183,0.009
2,1563.33,1382.78,11.106,0.006,1.463,0.008,1.712,0.007,0.837,0.014,1.598,0.021
3,544.516,649.427,11.125,0.012,1.546,0.014,1.873,0.009,0.896,0.016,1.772,0.028
4,1207.04,458.824,11.369,0.01,1.055,0.011,0.859,0.006,99,99,1.25,0.041
5,886.554,1278.26,11.558,0.007,0.017,0.01,-0.155,0.006,99,99,0.088,0.009
6,1977.2,1492.12,11.649,0.007,1.708,0.009,1.927,0.01,1.001,0.013,2.139,0.026
7,730.374,1890.86,11.865,0.01,0.133,0.015,0.018,0.013,0.113,0.017,0.182,0.016
8,325.624,321.878,12.037,0.006,0.44,0.008,-0.132,0.009,0.258,0.012,0.493,0.013
9,975.042,1322.58,12.251,0.004,0.49,0.006,-0.169,0.006,0.319,0.006,0.573,0.006
10,62.094,843.473,12.285,0.005,0.557,0.008,-0.131,0.011,0.32,0.014,0.613,0.015
11,1275.21,345.91,12.326,0.004,0.422,0.005,0.092,0.007,0.274,0.006,0.487,0.007
12,648.855,1582.51,12.359,0.006,1.527,0.009,1.724,0.012,0.87,0.012,1.661,0.011
13,1195.94,209.248,12.374,0.004,0.071,0.005,-0.272,0.005,0.06,0.006,0.053,0.009
14,27.761,100.116,12.479,0.007,0.898,0.011,-0.067,0.013,0.371,0.009,0.832,0.02
15,1481.44,221.01,12.54,0.005,0.276,0.006,0.077,0.007,0.154,0.009,0.263,0.009
16,411.117,940.547,12.573,0.01,1.239,0.013,1.125,0.019,0.592,0.016,1.203,0.027
17,771.589,1148.83,12.577,0.003,0.609,0.004,-0.068,0.004,0.387,0.006,0.703,0.006
18,1107.14,1486.96,12.624,0.006,1.984,0.008,1.546,0.014,1.799,0.008,4.227,0.013
19,1487.47,812.218,12.63,0.004,1.146,0.007,0.825,0.01,0.636,0.007,1.187,0.008
20,1527.22,467.302,12.637,0.004,1.375,0.007,1.123,0.013,0.782,0.008,1.477,0.007
21,945.582,1390.82,12.778,0.004,0.645,0.005,0.291,0.006,0.447,0.006,0.87,0.006
266,1875.13,1515.94,15.393,0.007,1.208,0.011,0.872,0.041,0.705,0.01,1.352,0.011
23,1264.3,430.147,12.879,0.009,0.535,0.012,-0.066,0.013,0.349,0.015,0.638,0.014
24,1628.37,1828.19,12.946,0.008,1.17,0.012,0.721,0.012,0.681,0.01,1.443,0.024
25,616.505,431.754,12.98,0.005,0.731,0.007,0.139,0.009,0.419,0.007,0.774,0.009
26,736.214,503.043,12.992,0.011,0.56,0.015,-0.093,0.013,0.346,0.018,0.634,0.026
27,428.78,789.355,13.021,0.003,0.546,0.005,-0.11,0.01,0.34,0.009,0.635,0.009
28,1051.21,351.92,13.065,0.006,1.126,0.009,99,99,0.664,0.007,1.259,0.008
29,1899.33,950.748,13.1,0.006,0.51,0.008,-0.124,0.008,0.337,0.01,0.615,0.012
30,1122.63,434.617,13.114,0.007,1.599,0.011,99,99,0.904,0.007,1.721,0.009
31,1320.41,1454.67,13.123,0.006,0.505,0.008,-0.146,0.007,0.34,0.007,0.612,0.008
32,526.974,1207.74,13.152,0.004,0.269,0.006,0.172,0.008,0.162,0.008,0.265,0.008
33,1113.96,997.768,13.199,0.004,0.249,0.006,0.082,0.005,0.148,0.006,0.244,0.006
34,1317.7,1310.69,13.207,0.004,1.198,0.007,0.784,0.009,0.675,0.006,1.28,0.007
35,836.016,1332.38,13.211,0.005,0.237,0.007,0.132,0.006,0.163,0.007,0.279,0.007
36,1504.85,1029.56,13.213,0.004,1.214,0.006,0.919,0.008,0.676,0.007,1.271,0.007
37,1878.44,482.068,13.243,0.006,0.847,0.009,0.291,0.012,0.498,0.011,0.9,0.012
38,962.414,1614.28,13.248,0.007,0.388,0.009,0.12,0.008,0.25,0.009,0.437,0.008
39,1759.1,582.155,13.258,0.006,0.385,0.008,0.202,0.009,0.258,0.009,0.457,0.013
40,920.123,1369.09,13.261,0.004,0.396,0.007,0.332,0.007,0.271,0.006,0.495,0.006
41,431.855,14.962,13.356,0.008,0.48,0.011,0.018,0.011,0.28,0.013,0.551,0.016
42,1338.6,349.972,13.419,0.006,0.549,0.008,-0.079,0.01,0.352,0.008,0.638,0.011
43,1936.8,1399.42,13.423,0.006,0.643,0.008,-0.045,0.008,0.398,0.009,0.726,0.01
44,419.6,761.011,13.469,0.005,1.735,0.009,2.075,0.044,0.976,0.01,1.93,0.01
45,1092.62,1382.36,13.5,0.005,1.615,0.008,1.665,0.02,0.922,0.006,1.93,0.032
46,579.525,1071.18,13.541,0.003,0.939,0.005,0.44,0.01,0.557,0.007,1.056,0.007
