ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
19,923.63,1405.41,13.7785,0.003,0.444,0.118,0.01,0.008,0.3307,-5.098,2.291,0.0212,0.034,0.033,0.854,1
4,997.612,1159.87,11.9062,0.0004,0.433,-0.071,0.006,0.005,1.7058,-12.007,1.926,0.0316,0.05,0.051,0.85,1
29,964.46,1102.94,14.1242,0.0002,0.774,0.126,0.006,0.009,0.7261,-8.932,5.901,0.023,0.037,0.039,0.845,1
7,1136.41,1451.94,12.1242,0.0003,1.374,1.128,0.009,0.009,0.5297,-5.118,2.384,0.0372,0.057,0.057,0.844,1
26,1081.19,1453.39,13.9851,0.0002,0.741,0.359,0.008,0.008,0.3988,-6.595,5.043,0.0238,0.037,0.035,0.844,1
16,1237.03,1096.43,13.3411,0.0004,0.678,-0.073,0.008,0.008,1.6833,-12.068,2.792,0.0187,0.03,0.028,0.838,1
10,748.797,1137.8,12.7458,0.0003,1.47,1.222,0.009,0.014,0.266,-6.348,3.706,0.0319,0.057,0.049,0.835,1
46,1157.12,1208.93,14.3175,0.0003,1.405,1.187,0.009,0.029,0.2016,-4.766,3.201,0.0231,0.037,0.036,0.829,1
64,1273.59,1248.58,14.6453,0.0003,1.405,1.056,0.009,0.04,0.1885,-2.999,1.557,0.0259,0.041,0.039,0.829,1
248,1028.82,1346.76,16.6019,0.0007,0.931,0.302,0.011,0.054,0.1294,-5.633,4.492,0.0601,0.101,0.096,0.793,1
290,1029.16,1621.64,16.8195,0.0008,0.857,0.059,0.013,0.06,0.4058,-5.952,4.186,0.0676,0.118,0.111,0.785,1
309,857.803,1094.83,16.9074,0.0006,0.939,0.265,0.014,0.059,0.419,-8.991,5.41,0.0667,0.114,0.111,0.779,1
267,996.828,1555.04,16.7319,0.0007,0.854,0.133,0.016,0.058,0.1547,-7.135,3.901,0.0708,0.134,0.112,0.777,1
244,1116.71,1412.0,16.6348,0.0009,0.91,0.253,0.013,0.052,0.2149,0.294,2.183,0.0669,0.108,0.105,0.775,1
294,1234.74,1647.96,16.8644,0.0008,0.824,0.015,0.015,0.048,0.2559,-4.256,2.57,0.0763,0.133,0.129,0.772,1
293,1342.63,1288.99,16.872,0.0007,0.831,0.134,0.014,0.061,0.3621,-4.895,0.975,0.0664,0.112,0.106,0.771,1
297,1324.5,1223.32,16.8644,0.0007,0.917,0.085,0.017,0.048,0.2159,-8.408,4.771,0.0673,0.111,0.106,0.759,1
76,1087.83,1820.18,15.0745,0.0004,0.791,0.14,0.009,0.016,0.3923,-8.443,5.119,0.0302,0.05,0.047,0.84,0
41,937.405,1708.36,14.4399,0.0003,0.913,0.24,0.009,0.014,0.4608,-5.308,1.88,0.0259,0.043,0.041,0.835,0
104,1288.41,1453.0,15.5068,0.0006,0.805,0.065,0.01,0.017,0.5365,-7.375,4.125,0.0356,0.058,0.058,0.833,0
105,973.352,1435.15,15.6107,0.0005,0.615,0.531,0.009,0.019,0.1191,-5.728,4.731,0.0382,0.063,0.061,0.825,0
117,806.259,1076.99,15.6296,0.0005,0.848,0.172,0.009,0.023,0.4217,-8.352,6.869,0.0358,0.058,0.057,0.825,0
