ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
1132,2107.01,2114.47,15.7633,0.0007,1.838,0.782,0.033,0.128,0.959,1
2054,2061.23,2115.81,16.4349,0.0008,1.235,0.714,0.029,0.09,0.956,1
2479,2017.21,1983.25,16.7612,0.0008,1.023,0.26,0.031,0.075,0.945,1
2623,2036.78,2099.26,16.7657,0.0008,1.25,0.474,0.039,0.101,0.943,1
808,2052.19,2044.0,15.2235,0.0005,1.752,0.725,0.027,0.077,0.941,1
3584,1970.43,1797.17,17.2868,0.0009,1.2,0.168,0.044,0.118,0.913,1
2234,2194.82,2118.77,16.5797,0.0012,1.198,0.26,0.03,0.065,0.91,1
810,1810.94,2075.73,15.1837,0.0004,1.792,0.871,0.022,0.079,0.885,1
2391,2066.4,1963.36,16.6725,0.0007,1.208,0.184,0.031,0.148,0.883,1
3420,1860.99,2150.94,17.1428,0.0008,1.338,0.425,0.046,0.131,0.868,1
3500,2168.84,2166.72,17.2319,0.0008,1.27,0.214,0.057,0.126,0.867,1
823,2023.39,2327.24,15.3069,0.0005,1.764,0.833,0.023,0.08,0.865,1
579,1953.14,1865.45,14.9682,0.0004,0.713,0.114,0.011,0.014,0.826,1
1892,2215.37,1923.78,16.3237,0.0007,1.116,0.323,0.023,0.053,0.804,1
445,2102.15,1813.33,14.2623,0.0003,1.711,1.051,0.011,0.037,0.799,1
2804,2104.89,1936.26,16.9309,0.0008,1.349,0.489,0.041,0.125,0.779,1
1826,2101.43,1972.56,16.3129,0.0007,1.401,0.443,0.031,0.089,0.745,1
397,2084.91,2113.77,14.2348,0.0006,1.069,0.399,0.009,0.015,0.723,1
3732,2287.8,2218.17,17.3819,0.0009,0.952,0.528,0.046,0.111,0.719,1
3154,1944.17,2319.5,17.0782,0.0008,1.435,0.505,0.056,0.157,0.718,1
2297,2055.71,1936.04,16.7055,0.0008,1.004,0.831,0.042,0.121,0.653,1
504,2184.73,2144.32,14.5534,0.0004,2.033,1.164,0.019,0.074,0.524,1
470,1940.74,1986.78,14.3604,0.0003,1.945,1.179,0.017,0.065,0.462,1
48,2178.59,1976.11,11.99,0.0002,0.734,0.1,0.004,0.005,0.298,1
1514,1871.73,2010.19,16.0235,0.0006,1.139,0.234,0.021,0.04,0.867,0
1772,2218.57,2170.03,16.2807,0.0007,1.089,0.285,0.025,0.046,0.836,0
1003,2017.56,1854.79,15.4803,0.0005,1.769,1.134,0.022,0.103,0.82,0
844,2036.1,1832.4,15.261,0.0007,1.086,0.461,0.015,0.028,0.769,0
867,2235.64,2128.4,16.0923,0.002,0.826,0.388,0.034,0.03,0.76,0
1273,2035.03,2205.48,15.8012,0.0007,1.093,0.266,0.021,0.033,0.753,0
1389,1987.72,2246.63,15.9104,0.0006,1.207,0.278,0.025,0.047,0.716,0
2996,2033.03,2348.25,17.0579,0.001,1.409,0.485,0.045,0.155,0.709,0
697,2318.39,2168.99,15.1553,0.0004,0.833,0.312,0.012,0.017,0.705,0
3061,2175.25,1834.09,17.0271,0.0008,1.214,0.559,0.043,0.122,0.701,0
2939,1892.35,2233.63,16.984,0.0009,1.159,0.534,0.046,0.116,0.694,0
2590,2213.59,2189.87,16.8369,0.0007,1.107,0.569,0.033,0.098,0.679,0
1275,1980.47,2301.16,15.8111,0.0007,1.077,0.355,0.021,0.035,0.677,0
2632,2298.73,1943.56,16.8524,0.0007,1.16,0.313,0.034,0.073,0.672,0
1899,1852.31,2132.81,16.3445,0.0007,1.224,0.398,0.026,0.063,0.667,0
819,1948.5,2288.24,15.3008,0.0005,0.908,0.424,0.015,0.023,0.665,0
3173,2043.79,1866.63,17.0325,0.0008,1.225,0.394,0.041,0.115,0.649,0
2838,2145.18,2318.62,16.9497,0.0008,1.284,0.485,0.041,0.145,0.628,0
1638,2167.84,2077.56,16.1383,0.0007,1.157,0.412,0.023,0.057,0.598,0
2028,2139.43,2227.03,16.4484,0.0007,1.139,0.347,0.031,0.061,0.583,0
3071,2110.13,1774.06,17.0446,0.0008,1.147,0.533,0.038,0.133,0.573,0
2894,2020.49,2143.07,17.0185,0.0016,1.243,0.241,0.041,0.099,0.545,0
1195,2264.91,2095.52,15.7324,0.0008,1.18,0.378,0.017,0.039,0.527,0
2613,1922.91,2116.03,16.8061,0.0008,1.243,0.309,0.036,0.085,0.52,0
463,2264.12,1876.24,14.3486,0.0003,1.856,1.274,0.014,0.048,0.437,0
587,1788.27,2023.6,14.7667,0.001,1.218,0.426,0.013,0.022,0.375,0
380,2298.2,2091.74,14.3509,0.0002,0.849,0.307,0.009,0.011,0.319,0
658,1790.34,2080.94,15.0229,0.0004,0.899,0.318,0.013,0.019,0.308,0
528,2126.42,2230.88,14.9586,0.0006,2.646,nan,0.046,nan,0.85,-1
700,2240.08,2192.47,15.0467,0.0011,1.912,nan,0.022,nan,0.26,-1
724,2164.64,2023.78,15.1926,0.0005,1.956,nan,0.026,nan,0.87,-1
752,2156.36,2013.51,15.3867,0.0006,2.312,nan,0.044,nan,0.84,-1
1118,2141.3,2152.85,15.8926,0.0011,1.699,nan,0.034,nan,0.95,-1
1444,2027.07,2156.59,16.2202,0.0009,1.851,nan,0.046,nan,0.95,-1
1550,2047.15,2094.28,16.1951,0.0008,1.342,nan,0.058,nan,0.96,-1
1559,2141.23,1932.71,16.253,0.0008,1.995,nan,0.052,nan,0.93,-1
1648,2065.7,2091.66,16.2921,0.0009,1.73,nan,0.049,nan,0.95,-1
1769,1966.59,1786.62,16.382,0.0008,1.95,nan,0.058,nan,0.93,-1
1779,1887.64,1894.72,16.4155,0.0008,1.962,nan,0.051,nan,0.8,-1
1832,2340.1,2075.17,16.5645,0.0008,2.107,nan,0.077,nan,0.84,-1
1886,1835.83,1993.79,16.3278,0.0009,1.39,nan,0.032,nan,0.7,-1
1889,2246.83,2222.92,16.4969,0.0008,1.729,nan,0.046,nan,0.92,-1
1900,2137.81,2099.15,16.6117,0.001,1.767,nan,0.058,nan,0.97,-1
1909,1929.76,2211.82,16.6299,0.0015,1.73,nan,0.06,nan,0.71,-1
1934,2030.81,1905.09,16.5692,0.0008,1.821,nan,0.06,nan,0.93,-1
2076,1952.23,1990.61,16.4709,0.0008,1.233,nan,0.028,nan,0.81,-1
2237,1992.47,2198.89,16.7498,0.0009,2.04,nan,0.075,nan,0.52,-1
2245,2135.06,1951.41,16.5829,0.0008,1.303,nan,0.034,nan,0.96,-1
2266,2047.92,1808.4,16.6175,0.0041,1.409,nan,0.039,nan,0.55,-1
2354,2131.51,2274.42,16.681,0.0007,1.381,nan,0.037,nan,0.72,-1
