ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
197,722.628,1502.94,16.6614,0.0034,1.71,1.069,0.302,0.016,0.012,0.047,nan,nan,nan,nan,nan,nan,0.0,0
1,1089.98,1330.69,7.8783,0.0007,nan,2.123,1.883,nan,0.006,0.006,0.3443,-5.928,3.351,0.0375,0.064,0.06,0.97,-1
174,1136.14,1000.4,15.1716,0.0005,2.324,1.957,nan,0.007,0.014,nan,0.258,-7.505,4.842,0.0383,0.067,0.061,0.69,-1
189,1026.61,943.812,15.9723,0.0006,1.155,0.948,nan,0.012,0.013,nan,1.2552,-15.557,14.687,0.0421,0.071,0.069,0.71,-1
198,971.644,986.301,16.1076,0.0007,0.988,0.834,nan,0.017,0.017,nan,0.3662,-5.783,3.403,0.0445,0.076,0.073,0.97,-1
230,982.633,909.0,16.3339,0.0007,1.269,1.051,nan,0.014,0.017,nan,0.3364,-3.715,2.235,0.05,0.085,0.082,0.79,-1
240,625.244,1355.98,16.41,0.0008,1.234,0.931,nan,0.012,0.012,nan,0.329,-6.411,1.674,0.0528,0.092,0.087,0.75,-1
249,1148.33,1053.42,16.3938,0.0007,1.418,1.094,nan,0.012,0.013,nan,0.4005,-12.199,7.678,0.0505,0.09,0.082,0.67,-1
266,694.448,1548.78,16.5669,0.0097,1.53,1.205,nan,0.019,0.019,nan,1.712,-24.623,-7.398,0.4166,0.758,0.674,0.5,-1
279,864.357,1633.76,15.7533,0.0007,2.552,2.117,nan,0.012,0.027,nan,0.2303,-6.216,2.851,0.0505,0.091,0.08,0.85,-1
281,1103.82,1371.03,16.7571,0.0011,nan,1.079,nan,nan,0.02,nan,0.2754,-5.842,3.439,0.0665,0.116,0.125,0.96,-1
308,1114.73,1074.94,16.6068,0.0008,1.476,1.138,nan,0.012,0.017,nan,0.4537,-9.173,4.986,0.0622,0.106,0.103,0.62,-1
310,612.228,1434.55,15.679,0.0007,2.802,2.384,nan,0.009,0.033,nan,0.2485,-7.068,3.914,0.0527,0.09,0.085,0.86,-1
329,748.325,1054.63,16.8596,0.0008,1.248,1.013,nan,0.014,0.017,nan,0.4883,-10.182,5.627,0.0663,0.115,0.11,0.64,-1
332,853.345,915.581,16.6991,0.0009,1.549,1.245,nan,0.016,0.026,nan,1.1856,-17.171,8.356,0.0649,0.107,0.102,0.65,-1
337,794.088,1084.62,16.8507,0.0007,1.383,1.1,nan,0.015,0.02,nan,0.3945,-4.784,1.343,0.0633,0.111,0.106,0.72,-1
347,826.082,990.144,16.733,0.0008,1.582,1.152,nan,0.024,0.031,nan,0.3769,-7.993,4.053,0.0624,0.107,0.102,0.67,-1
355,1072.56,1395.76,16.9929,0.001,1.397,1.052,nan,0.018,0.018,nan,0.2628,-8.369,3.686,0.0693,0.122,0.118,0.64,-1
358,949.546,1363.28,17.014,0.0009,1.239,0.953,nan,0.018,0.019,nan,0.3787,-5.829,3.478,0.071,0.131,0.127,0.98,-1
361,827.328,1222.48,17.0262,0.0008,1.266,1.049,nan,0.018,0.021,nan,0.536,-5.137,3.772,0.0695,0.122,0.12,0.88,-1
368,912.008,1155.21,17.0243,0.0008,1.349,1.006,nan,0.016,0.02,nan,0.4718,-5.555,2.177,0.0733,0.126,0.121,0.81,-1
371,1065.51,1232.56,16.9474,0.0008,1.529,1.13,nan,0.015,0.021,nan,0.3112,-7.245,4.415,0.0672,0.119,0.113,0.84,-1
374,899.113,1385.92,16.9684,0.0008,1.469,1.112,nan,0.017,0.021,nan,0.3394,-5.908,2.788,0.0683,0.121,0.118,0.82,-1
375,740.846,1121.6,17.0283,0.0009,1.391,1.183,nan,0.015,0.021,nan,0.3958,-7.873,4.455,0.0762,0.133,0.153,0.72,-1
376,1277.39,1386.77,15.6772,0.0008,3.283,2.703,nan,0.015,0.062,nan,0.2069,-5.125,3.764,0.0648,0.117,0.11,0.87,-1
384,986.904,1185.66,16.8982,0.0049,1.946,1.469,nan,0.018,0.028,nan,-4.1021,-8.391,2.997,0.5089,0.937,0.834,0.51,-1
390,1157.26,1122.32,17.0606,0.001,1.452,1.116,nan,0.021,0.027,nan,0.3112,-4.489,2.473,0.0692,0.122,0.116,0.8,-1
391,635.113,1292.11,17.118,0.001,1.307,1.089,nan,0.018,0.021,nan,0.6065,-9.869,4.134,0.0832,0.14,0.129,0.6,-1
