ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
1132,1357.56,1104.86,17.9461,0.0016,1.037,0.747,nan,0.035,0.036,nan,0.1636,-4.837,1.806,0.1218,0.202,0.179,0.43,-1
1145,1317.56,1170.16,17.937,0.0016,1.018,0.824,nan,0.039,0.037,nan,-0.0336,-5.52,2.726,0.1333,0.209,0.179,0.84,-1
1198,1272.71,784.988,18.0265,0.002,0.908,0.801,nan,0.037,0.037,nan,0.1184,-6.96,3.894,0.1363,0.224,0.204,0.73,-1
1170,1071.91,881.975,17.9632,0.0015,1.077,0.99,nan,0.041,0.041,nan,-0.0703,-6.202,2.697,0.1345,0.226,0.205,0.77,-1
1172,1235.44,1113.01,18.0142,0.002,0.968,0.813,nan,0.04,0.038,nan,0.3826,-4.485,1.637,0.1427,0.219,0.203,0.15,-1
1075,993.276,1014.91,17.8955,0.0018,1.355,1.039,nan,0.045,0.051,nan,0.2663,-7.845,2.873,0.1429,0.237,0.207,0.42,-1
1226,1366.88,1321.31,18.0985,0.0015,0.874,0.706,nan,0.038,0.037,nan,-0.0442,-4.525,3.074,0.1353,0.219,0.22,0.86,-1
1215,1537.48,971.156,18.0131,0.0019,0.927,0.811,nan,0.042,0.041,nan,0.1746,-5.4,3.909,0.1356,0.227,0.207,0.74,-1
1135,1449.83,1167.97,18.0172,0.0027,1.194,1.032,nan,0.038,0.043,nan,1.2237,-10.201,7.494,0.3444,0.568,0.53,0.03,-1
1218,1335.32,836.435,18.0239,0.0016,0.922,0.741,nan,0.047,0.049,nan,-0.0052,-6.887,3.361,0.1319,0.213,0.191,0.71,-1
1240,1148.08,1148.47,18.1093,0.0017,1.112,0.95,nan,0.036,0.04,nan,0.4186,-7.801,4.037,0.1621,0.246,0.236,0.54,-1
1174,1323.51,1079.65,17.9771,0.0015,1.253,1.088,nan,0.039,0.049,nan,0.1927,-6.79,5.43,0.1368,0.228,0.214,0.42,-1
1282,1329.82,1286.87,18.1569,0.0015,0.859,0.825,nan,0.043,0.04,nan,0.5319,-4.919,5.074,0.1409,0.228,0.228,0.1,-1
1298,1156.47,774.224,18.2111,0.0019,0.9,1.014,nan,0.064,0.058,nan,0.1081,-5.549,2.382,0.154,0.258,0.283,0.76,-1
1321,1428.92,908.367,18.2513,0.0029,0.892,0.808,nan,0.045,0.047,nan,-0.0918,-6.484,3.638,0.2423,0.357,0.359,0.72,-1
1267,1453.94,1031.68,18.2989,0.0029,1.126,0.785,nan,0.044,0.046,nan,-0.3842,-5.253,3.326,0.175,0.291,0.311,0.87,-1
1346,1360.15,975.942,18.1984,0.0018,0.862,0.639,nan,0.052,0.047,nan,0.0966,6.434,0.754,0.1565,0.252,0.265,0.17,-1
1378,1265.12,1343.61,18.2825,0.0017,1.067,1.098,nan,0.05,0.05,nan,0.1996,-8.37,6.486,0.1518,0.243,0.257,0.55,-1
1405,1337.29,1011.9,18.2944,0.002,0.913,0.796,nan,0.045,0.042,nan,-0.0341,-0.357,-0.91,0.1844,0.301,0.317,0.04,-1
1260,1402.49,1285.91,18.351,0.0038,1.351,0.958,nan,0.048,0.052,nan,0.5728,-4.106,3.499,0.2538,0.428,0.444,0.41,-1
1439,1487.25,1144.08,18.3207,0.0021,0.869,0.767,nan,0.05,0.037,nan,0.6405,-5.394,3.834,0.1601,0.267,0.278,0.27,-1
1308,1497.09,993.57,18.1764,0.0026,1.264,1.144,nan,0.039,0.053,nan,0.5931,-6.778,5.272,0.2238,0.368,0.414,0.27,-1
1521,1334.96,905.394,18.4026,0.0024,0.581,0.595,nan,0.059,0.05,nan,0.0283,-4.002,2.472,0.1904,0.306,0.319,0.79,-1
1350,985.594,924.16,18.1245,0.0023,1.107,0.986,nan,0.049,0.059,nan,0.8978,-7.343,2.476,0.1985,0.319,0.328,0.13,-1
1443,985.865,1067.43,18.2885,0.0024,1.061,0.844,nan,0.051,0.049,nan,0.085,-4.699,2.697,0.151,0.248,0.255,0.81,-1
1444,1512.51,1019.1,18.3505,0.0025,1.111,0.786,nan,0.054,0.051,nan,-0.3947,-5.535,4.143,0.2761,0.466,0.509,0.79,-1
1509,1525.11,973.413,18.2859,0.0022,1.042,1.005,nan,0.052,0.064,nan,0.299,-5.745,2.891,0.1664,0.272,0.281,0.69,-1
1552,1151.95,768.601,18.3488,0.0022,nan,0.869,nan,nan,0.064,nan,0.5079,-3.677,3.071,0.171,0.286,0.305,0.28,-1
1500,1290.49,1293.17,18.38,0.0021,1.215,1.066,nan,0.045,0.065,nan,0.1562,-6.949,3.698,0.1621,0.258,0.259,0.7,-1
1630,1117.02,1161.25,18.5537,0.0028,1.002,0.863,nan,0.052,0.059,nan,0.376,-5.144,4.106,0.2297,0.37,0.369,0.51,-1
1715,997.78,1011.15,18.5667,0.003,nan,0.98,nan,nan,0.071,nan,-0.1591,-4.833,2.579,0.2197,0.346,0.349,0.83,-1
1614,1524.65,1044.89,18.5042,0.0022,1.083,0.926,nan,0.053,0.062,nan,-0.0687,-5.795,2.72,0.2058,0.349,0.365,0.79,-1
1683,1420.09,825.322,18.4892,0.0025,0.884,0.735,nan,0.058,0.053,nan,0.1759,-3.637,2.53,0.2045,0.339,0.341,0.62,-1
1621,1024.28,1174.97,18.4855,0.0021,1.156,0.991,nan,0.055,0.065,nan,0.0378,-9.164,3.101,0.1852,0.297,0.295,0.67,-1
1708,1059.61,1039.45,18.5269,0.0023,1.207,1.102,nan,0.057,0.067,nan,0.2704,-7.773,6.191,0.1828,0.311,0.317,0.51,-1
1780,1000.52,1205.24,18.5737,0.0027,0.968,0.8,nan,0.065,0.068,nan,-0.0293,-6.118,2.202,0.2469,0.398,0.394,0.72,-1
1776,1062.32,1135.65,18.6705,0.0022,1.043,0.855,nan,0.055,0.057,nan,0.2593,-4.556,2.877,0.2092,0.331,0.315,0.74,-1
1856,1017.1,1215.23,18.6472,0.0027,0.916,0.717,nan,0.062,0.06,nan,-0.2089,-7.363,3.732,0.2003,0.336,0.329,0.71,-1
1783,1382.64,1307.86,19.325,0.0041,1.132,0.852,nan,0.063,0.066,nan,-0.2792,-4.563,2.584,0.3537,0.891,0.998,0.44,-1
1834,1204.08,818.541,18.6106,0.0023,1.094,0.998,nan,0.07,0.073,nan,0.1764,-4.568,3.646,0.1964,0.338,0.356,0.74,-1
1881,1513.77,937.559,18.7491,0.003,0.974,0.898,nan,0.077,0.089,nan,0.4558,-4.962,3.442,0.2389,0.448,0.445,0.62,-1
1526,1031.06,1200.77,18.4485,0.0031,1.563,1.248,nan,0.055,0.083,nan,0.0944,-9.57,5.272,0.2775,0.458,0.471,0.1,-1
1786,1511.74,915.74,18.617,0.003,1.178,0.801,nan,0.068,0.081,nan,-0.2855,-4.481,3.661,0.2084,0.374,0.369,0.83,-1
1838,1324.61,965.265,18.6363,0.0026,1.002,0.862,nan,0.065,0.082,nan,0.0211,-5.375,2.551,0.1923,0.329,0.343,0.79,-1
1692,1108.15,1154.18,18.5328,0.0021,1.429,1.102,nan,0.057,0.077,nan,-0.2919,-4.103,1.409,0.1917,0.296,0.288,0.54,-1
1943,1302.49,864.076,18.8428,0.003,1.052,1.028,nan,0.077,0.098,nan,0.5526,-3.78,3.82,0.2655,0.475,0.477,0.33,-1
2001,1204.97,1061.06,18.7431,0.003,1.012,1.189,nan,0.068,0.087,nan,-0.3154,-5.823,3.678,0.205,0.349,0.364,0.82,-1
