ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
1147,987.66,1020.65,18.8679,0.002,1.009,0.66,nan,0.065,0.068,nan,-0.4954,-4.916,-0.801,0.2659,0.332,0.252,0.76,-1
1157,1059.53,1016.23,18.9512,0.0021,0.912,0.619,nan,0.063,0.066,nan,0.2179,-5.622,-0.106,0.2563,0.317,0.236,0.71,-1
1158,701.42,1215.92,18.7787,0.0022,1.229,0.796,nan,0.056,0.071,nan,-0.5287,-5.547,0.356,0.2363,0.303,0.222,0.79,-1
1163,1265.22,1022.54,18.7587,0.0018,1.378,1.087,nan,0.052,0.079,nan,0.3126,-0.819,-3.799,0.2168,0.282,0.213,0.41,-1
1164,991.35,943.918,18.7901,0.0018,1.042,0.636,nan,0.076,0.062,nan,0.3714,-5.857,0.113,0.2383,0.298,0.233,0.72,-1
1171,1096.04,1239.45,19.0542,0.0023,0.688,0.55,nan,0.085,0.067,nan,0.0395,-5.598,0.179,0.2418,0.302,0.243,0.78,-1
1174,1209.88,1054.92,18.8691,0.0021,1.109,0.921,nan,0.064,0.076,nan,0.2545,-6.766,0.892,0.2333,0.29,0.222,0.67,-1
1175,793.297,950.115,18.8879,0.0021,0.758,0.511,nan,0.071,0.065,nan,-0.0111,-3.118,0.764,0.2434,0.305,0.231,0.36,-1
1181,735.078,1163.45,18.8619,0.002,1.031,0.897,nan,0.079,0.08,nan,0.2529,-5.513,-0.78,0.2308,0.305,0.229,0.69,-1
1193,1333.09,816.132,18.9234,0.0022,0.994,0.893,nan,0.072,0.09,nan,0.0298,-4.539,1.748,0.2536,0.311,0.246,0.62,-1
1195,819.93,687.007,18.9426,0.0019,0.883,0.802,nan,0.069,0.092,nan,0.2278,-9.409,1.81,0.2484,0.307,0.24,0.04,-1
1199,1237.12,1064.78,18.9633,0.0021,1.097,0.9,nan,0.063,0.071,nan,0.6118,-4.114,5.023,0.2488,0.312,0.247,0.3,-1
1200,893.755,985.555,18.8675,0.002,nan,0.624,nan,nan,0.064,nan,0.4556,-6.939,0.344,0.2405,0.307,0.227,0.73,-1
1202,906.487,1018.6,19.0136,0.0024,0.988,0.875,nan,0.078,0.077,nan,-0.0159,-6.432,1.038,0.2922,0.332,0.282,0.6,-1
1209,1226.38,1208.94,18.9847,0.0022,0.951,0.86,nan,0.08,0.081,nan,0.3414,-6.341,-0.752,0.2572,0.329,0.245,0.78,-1
1215,1301.79,761.223,18.9514,0.002,0.946,0.563,nan,0.083,0.079,nan,0.104,-3.696,-0.077,0.2549,0.331,0.257,0.49,-1
1217,1192.58,919.643,18.7013,0.0017,1.404,1.093,nan,0.072,0.096,nan,0.3363,-6.038,-2.431,0.2089,0.261,0.2,0.78,-1
1219,1049.87,1098.8,19.0448,0.0023,0.984,0.725,nan,0.078,0.074,nan,0.2218,-5.905,-1.65,0.2457,0.315,0.251,0.69,-1
1228,1038.67,1067.94,19.0004,0.0021,1.108,1.191,nan,0.069,0.096,nan,-0.0217,-6.311,-1.639,0.2357,0.297,0.25,0.79,-1
1241,797.842,1061.56,19.0066,0.0021,1.197,0.958,nan,0.067,0.081,nan,0.0357,-7.899,4.35,0.2644,0.328,0.254,0.32,-1
1243,816.61,718.643,18.9928,0.002,nan,0.913,nan,nan,0.096,nan,0.5967,-9.931,1.502,0.2558,0.32,0.256,0.07,-1
1259,904.912,715.447,18.8542,0.002,1.262,1.075,nan,0.071,0.094,nan,0.3621,-11.264,0.516,0.2509,0.312,0.228,0.14,-1
1280,649.701,869.499,19.0791,0.0024,nan,0.755,nan,nan,0.077,nan,0.458,-6.56,1.861,0.2774,0.342,0.256,0.35,-1
1285,1182.42,743.075,19.0971,0.0023,nan,0.576,nan,nan,0.095,nan,0.414,-7.79,0.663,0.2726,0.346,0.298,0.59,-1
1289,931.344,880.104,19.0607,0.002,nan,0.639,nan,nan,0.091,nan,-0.0057,-5.372,1.71,0.2642,0.321,0.255,0.55,-1
1307,704.829,845.993,19.1129,0.0022,1.148,0.707,nan,0.073,0.095,nan,-0.0664,-7.04,0.106,0.2691,0.329,0.258,0.71,-1
1320,790.252,1320.29,19.2586,0.0027,nan,0.74,nan,nan,0.089,nan,-0.6043,-6.85,-0.574,0.2918,0.371,0.297,0.8,-1
1328,659.379,1015.25,19.4954,0.0033,nan,0.413,nan,nan,0.081,nan,0.0166,-3.345,-0.182,0.3539,0.43,0.343,0.45,-1
892,705.792,702.528,18.464,0.0014,0.841,0.763,nan,0.053,0.046,nan,0.3854,-7.708,-2.178,0.1884,0.238,0.175,0.56,-1
