ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
3550,1320.01,2150.44,16.8515,0.0009,1.141,0.958,0.382,0.007,0.007,0.009,0.4821,-7.852,-0.309,0.0671,0.103,0.075,0.933,1
4230,1447.15,2114.69,17.1033,0.001,1.14,0.973,0.414,0.009,0.008,0.012,0.5226,-7.915,-0.363,0.0822,0.13,0.094,0.929,1
5673,1804.9,2296.87,17.5413,0.0014,1.197,1.045,0.527,0.01,0.01,0.015,0.5842,-7.807,-0.279,0.1017,0.144,0.121,0.928,1
4986,1713.06,1932.14,17.3358,0.0011,1.152,1.003,0.541,0.01,0.009,0.015,0.467,-7.843,-0.371,0.0884,0.141,0.105,0.925,1
3796,2119.23,2448.58,16.9649,0.0008,1.085,0.933,0.383,0.009,0.007,0.01,0.4467,-7.896,-0.323,0.073,0.105,0.087,0.919,1
1889,1494.49,1872.49,16.0309,0.0006,0.959,0.782,0.236,0.007,0.005,0.006,0.512,-7.852,-0.302,0.0461,0.076,0.052,0.918,1
2477,1623.25,2063.29,16.3534,0.0006,0.995,0.84,0.284,0.007,0.006,0.008,0.5449,-7.795,-0.322,0.0535,0.082,0.061,0.911,1
1732,1632.8,2663.87,15.9205,0.0005,0.907,0.768,0.206,0.006,0.005,0.007,0.5127,-7.825,-0.377,0.0428,0.063,0.054,0.904,1
2325,1628.95,2070.97,16.242,0.0007,0.972,0.834,0.268,0.007,0.006,0.007,0.541,-7.895,-0.29,0.0497,0.077,0.059,0.899,1
3314,1969.58,2009.18,16.7007,0.0007,1.092,0.896,0.303,0.009,0.007,0.009,0.5475,-7.99,-0.324,0.066,0.115,0.081,0.897,1
4725,1838.95,2077.18,17.2699,0.0011,1.146,1.003,0.561,0.01,0.009,0.057,0.4914,-7.959,-0.148,0.0896,0.131,0.107,0.896,1
5356,2015.82,1733.09,17.5623,0.0016,1.091,0.984,0.428,0.012,0.029,0.042,0.5411,-8.09,-0.371,0.1181,0.226,0.138,0.895,1
1903,1623.12,2017.7,16.0068,0.0006,0.964,0.778,0.228,0.007,0.005,0.007,0.4539,-7.79,-0.216,0.0526,0.072,0.056,0.894,1
2310,2234.1,1705.41,16.2739,0.0006,0.986,0.795,0.258,0.009,0.006,0.007,0.5218,-7.681,-0.313,0.0573,0.08,0.075,0.891,1
5038,1458.33,2182.39,17.3711,0.0012,1.171,0.979,0.529,0.009,0.009,0.014,0.3971,-7.853,-0.256,0.0924,0.137,0.1,0.891,1
5395,1816.14,2086.06,17.4315,0.0012,1.163,1.049,0.524,0.01,0.009,0.016,0.495,-8.064,-0.336,0.0906,0.133,0.118,0.89,1
1215,2412.65,2190.8,15.4491,0.0004,0.895,0.707,0.227,0.008,0.005,0.005,0.5196,-7.852,-0.344,0.0328,0.053,0.043,0.889,1
3356,1619.92,2048.98,16.7442,0.0008,1.039,0.899,0.337,0.008,0.007,0.01,0.4476,-7.873,-0.16,0.0747,0.109,0.08,0.887,1
2468,1800.71,1827.56,16.3191,0.0007,1.052,0.84,0.272,0.009,0.007,0.009,0.5107,-7.776,-0.444,0.0517,0.085,0.072,0.885,1
