ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
525,1403.48,953.003,17.2359,0.001,0.987,nan,0.026,nan,0.0619,-6.831,1.742,0.088,0.141,0.14,0.49,-1
531,1170.38,1241.15,17.2687,0.0009,0.964,nan,0.023,nan,0.3295,-7.146,0.63,0.0893,0.158,0.127,0.5,-1
532,1318.26,1038.63,17.1601,0.002,1.331,nan,0.025,nan,-0.4255,-6.381,0.206,0.1936,0.348,0.282,0.47,-1
536,1202.03,1135.48,17.1285,0.001,1.181,nan,0.022,nan,0.3286,-5.662,0.733,0.0918,0.155,0.134,0.51,-1
539,1699.26,984.857,17.2675,0.0013,1.064,nan,0.032,nan,0.5166,-7.604,-0.728,0.0976,0.167,0.156,0.48,-1
552,1383.23,1466.3,17.1756,0.0009,1.128,nan,0.022,nan,0.1847,-8.567,-0.293,0.0886,0.143,0.123,0.51,-1
562,1312.72,769.726,17.2956,0.0011,1.01,nan,0.029,nan,0.246,-6.752,1.842,0.0882,0.139,0.129,0.49,-1
573,1327.72,880.337,17.1391,0.0012,1.324,nan,0.026,nan,1.1083,-15.234,2.662,0.0784,0.122,0.119,0.5,-1
583,1392.41,812.906,17.311,0.001,1.039,nan,0.026,nan,0.4546,-5.527,1.676,0.0917,0.151,0.138,0.49,-1
591,1479.41,1207.45,17.34,0.0011,0.966,nan,0.025,nan,0.2871,-8.032,1.523,0.099,0.172,0.136,0.5,-1
594,1397.71,1021.82,17.4122,0.0011,1.02,nan,0.024,nan,0.3285,-11.221,1.134,0.1064,0.173,0.169,0.49,-1
609,1628.18,1326.38,17.4089,0.0011,1.036,nan,0.024,nan,0.4836,-14.789,-0.66,0.0954,0.172,0.153,0.5,-1
631,1306.43,1013.02,17.3983,0.0011,1.081,nan,0.026,nan,0.2165,-5.774,1.414,0.0938,0.155,0.137,0.5,-1
640,1147.84,1082.99,17.5893,0.0017,1.101,nan,0.027,nan,0.409,-4.157,1.782,0.1103,0.193,0.164,0.54,-1
695,1723.31,980.14,17.4525,0.001,1.268,nan,0.037,nan,0.1718,-4.584,-1.402,0.0966,0.149,0.142,0.48,-1
697,1356.41,917.164,17.7426,0.0017,1.104,nan,0.041,nan,0.4618,-1.579,0.108,0.1277,0.211,0.184,0.47,-1
704,1683.37,879.892,17.3643,0.0009,1.354,nan,0.034,nan,0.12,-6.43,0.712,0.0951,0.152,0.156,0.48,-1
708,1287.66,806.604,17.5914,0.0012,1.167,nan,0.032,nan,0.4917,-6.327,-0.162,0.1166,0.225,0.167,0.48,-1
709,1061.24,1239.8,17.3548,0.0011,1.364,nan,0.033,nan,0.1947,-7.2,0.378,0.0984,0.189,0.13,0.5,-1
711,1319.29,765.443,17.5822,0.001,1.167,nan,0.036,nan,0.6481,-11.028,2.464,0.1058,0.167,0.155,0.48,-1
729,1348.61,1312.92,17.5945,0.0013,1.158,nan,0.034,nan,0.4476,-10.315,0.306,0.1136,0.195,0.159,0.48,-1
734,1512.88,910.883,17.5045,0.0011,1.256,nan,0.041,nan,0.6242,-7.857,2.141,0.1042,0.156,0.15,0.49,-1
735,1040.44,1222.84,17.6116,0.0011,1.13,nan,0.031,nan,0.2291,-10.449,-1.531,0.1084,0.19,0.143,0.5,-1
737,1332.38,1161.01,17.4074,0.0013,1.454,nan,0.039,nan,0.1775,-5.888,-0.778,0.1135,0.205,0.16,0.48,-1
738,1781.01,1106.08,18.2453,0.0016,1.732,nan,0.085,nan,0.4955,-8.792,1.545,0.1667,0.277,0.252,0.45,-1
747,1123.04,920.361,17.6032,0.0014,1.083,nan,0.037,nan,0.3873,-5.968,0.387,0.1051,0.171,0.142,0.48,-1
750,1257.2,1121.63,17.3243,0.0012,1.747,nan,0.038,nan,0.2638,-10.045,2.444,0.104,0.162,0.135,0.5,-1
