ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
634,1094.12,1365.47,17.6223,0.0012,1.087,0.927,0.027,0.033,0.36,0
676,1536.72,1008.28,17.81,0.0016,0.912,0.812,0.031,0.031,0.36,0
724,735.027,831.734,17.8753,0.0017,1.03,0.84,0.037,0.041,0.36,0
739,1003.79,1020.5,17.9295,0.0015,1.042,0.868,0.035,0.038,0.36,0
930,751.166,1319.04,17.9299,0.0018,1.694,1.429,0.043,0.072,0.36,0
898,1135.23,1397.33,17.9335,0.0017,1.579,1.339,0.037,0.061,0.36,0
785,1113.01,1177.84,17.9354,0.0016,1.132,0.996,0.037,0.041,0.36,0
740,875.037,1245.25,17.9704,0.0015,0.948,0.85,0.037,0.036,0.36,0
788,1421.45,1094.17,18.0034,0.0015,1.152,1.022,0.04,0.046,0.36,0
711,1275.79,1103.78,18.0317,0.002,0.948,0.77,0.037,0.037,0.36,0
807,1000.06,1482.95,18.0321,0.0016,1.049,0.964,0.035,0.039,0.36,0
832,726.1,1002.93,18.0573,0.0023,1.136,0.903,0.034,0.041,0.36,0
876,1180.97,1149.41,18.0729,0.0015,1.353,1.116,0.039,0.059,0.36,0
29,934.418,922.371,13.6562,0.0003,0.841,0.702,0.007,0.007,0.354,0
313,964.933,720.095,16.4845,0.001,1.18,1.055,0.014,0.016,0.35,0
357,759.248,1019.22,16.8175,0.0008,0.949,0.838,0.015,0.016,0.35,0
403,1247.99,831.583,16.9064,0.0009,1.088,1.002,0.017,0.021,0.35,0
422,1080.74,1154.09,17.0648,0.0009,0.992,0.782,0.018,0.017,0.35,0
438,1216.54,1379.96,17.159,0.0015,1.008,0.735,0.021,0.023,0.35,0
458,1271.46,1339.91,17.1945,0.001,1.008,0.963,0.02,0.021,0.35,0
501,1098.8,1439.96,17.2807,0.0011,0.98,0.869,0.022,0.022,0.35,0
480,1210.76,1419.53,17.287,0.001,0.909,0.728,0.02,0.022,0.35,0
561,1449.1,910.228,17.2915,0.0011,1.335,1.1,0.021,0.028,0.35,0
514,1146.9,1101.3,17.3361,0.0012,1.014,0.866,0.021,0.024,0.35,0
579,673.635,1265.84,17.4523,0.0011,1.168,1.051,0.024,0.03,0.35,0
592,678.738,1287.19,17.5157,0.0014,1.074,0.875,0.024,0.027,0.35,0
666,939.595,656.411,17.5213,0.0012,1.398,1.269,0.027,0.048,0.35,0
597,1175.76,1020.66,17.5737,0.0013,1.073,0.855,0.026,0.029,0.35,0
640,791.599,826.086,17.5872,0.0013,1.012,0.793,0.031,0.033,0.35,0
782,963.827,948.292,17.6974,0.0014,1.515,1.325,0.027,0.057,0.35,0
663,1163.6,1264.88,17.7502,0.0019,1.216,1.052,0.025,0.032,0.35,0
699,1269.73,1305.46,17.8133,0.0014,1.159,0.999,0.032,0.039,0.35,0
763,842.617,1021.87,17.9604,0.0014,1.09,0.842,0.034,0.039,0.35,0
971,1375.05,1132.16,18.3553,0.002,1.06,0.859,0.047,0.053,0.35,0
1101,914.816,877.084,18.3589,0.0022,1.372,1.177,0.056,0.073,0.35,0
