ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
348,1527.9,1948.07,15.5877,0.0014,1.463,1.339,0.015,0.015,0.88,1
568,747.366,1438.5,16.0586,0.0005,1.72,1.508,0.012,0.015,0.88,1
976,1150.3,1637.81,16.8951,0.0013,1.393,1.162,0.022,0.025,0.88,1
875,1474.56,1788.96,17.0123,0.0009,0.938,0.741,0.016,0.016,0.88,1
1286,1530.08,1556.01,17.5612,0.0012,0.99,0.683,0.035,0.046,0.88,1
1734,1101.08,1466.46,17.8804,0.0019,1.279,1.194,0.028,0.036,0.88,1
437,1408.82,1478.21,16.1204,0.0006,0.887,0.682,0.012,0.011,0.879,1
344,958.939,1728.64,15.7866,0.0005,0.933,0.689,0.014,0.012,0.872,1
5,1795.44,1165.63,11.2096,0.0007,1.586,1.531,0.013,0.01,0.871,1
164,1670.19,1423.43,14.7406,0.0009,1.523,1.4,0.01,0.01,0.871,1
474,1340.66,1287.67,16.2067,0.0007,0.952,0.717,0.011,0.011,0.871,1
637,1649.93,1068.86,16.6191,0.0007,0.981,0.766,0.013,0.012,0.87,1
1592,927.007,1579.44,17.8232,0.0013,1.149,0.924,0.03,0.032,0.87,1
1620,1036.45,1680.64,17.8736,0.0014,1.018,0.897,0.029,0.03,0.87,1
2427,1074.14,1168.93,18.5019,0.0017,1.345,1.046,0.044,0.057,0.87,1
415,1405.06,1412.09,16.1105,0.0009,0.741,0.592,0.012,0.01,0.862,1
2380,893.147,1370.78,18.554,0.0022,1.23,1.086,0.052,0.062,0.86,1
2674,1253.72,1137.86,18.8757,0.0023,1.476,1.102,0.065,0.094,0.86,1
338,1047.4,1799.96,15.8335,0.0005,0.693,0.522,0.015,0.013,0.858,1
1855,1166.19,1114.81,18.0953,0.0015,1.157,0.914,0.033,0.032,0.85,1
20,1506.12,1360.66,12.7686,0.0002,0.764,0.568,0.008,0.007,0.848,1
683,882.181,1670.4,16.695,0.0007,0.905,0.708,0.015,0.013,0.843,1
989,1419.14,1485.63,17.2299,0.0009,0.908,0.748,0.019,0.019,0.84,1
1796,731.159,1411.42,17.9429,0.0012,1.27,0.977,0.033,0.037,0.84,1
1994,1609.4,1172.22,18.2,0.0016,1.189,1.029,0.036,0.044,0.84,1
2316,1017.73,1986.54,18.387,0.0017,1.249,1.182,0.043,0.056,0.84,1
2280,1441.3,949.851,18.4064,0.0018,1.136,0.99,0.043,0.052,0.84,1
2289,1786.1,1757.61,18.4607,0.0018,1.052,0.891,0.045,0.047,0.84,1
411,1857.42,1617.63,16.0878,0.0008,0.71,0.545,0.012,0.011,0.839,1
157,1624.69,1856.64,14.9932,0.0004,0.66,0.508,0.014,0.013,0.833,1
237,1248.68,1627.2,15.5021,0.0005,0.479,0.347,0.013,0.01,0.831,1
1334,1166.74,1307.72,17.5716,0.0011,1.112,0.823,0.019,0.023,0.83,1
1659,1042.66,1826.48,17.8769,0.0013,1.112,0.874,0.03,0.028,0.83,1
1705,828.044,1487.89,17.9676,0.0014,1.059,0.908,0.03,0.031,0.83,1
2113,1337.49,1298.43,18.274,0.0021,1.297,0.938,0.043,0.047,0.83,1
2185,873.007,1180.79,18.2948,0.0015,1.247,0.949,0.038,0.043,0.83,1
2549,1017.17,1819.21,18.6248,0.002,1.397,1.086,0.091,0.063,0.83,1
2622,1870.76,1453.3,18.781,0.0023,1.293,0.879,0.058,0.059,0.83,1
593,1035.77,1645.29,16.5984,0.0007,0.676,0.554,0.015,0.014,0.826,1
383,1082.92,1434.21,16.0339,0.0008,0.747,0.538,0.017,0.014,0.823,1
766,1562.43,1903.27,16.8632,0.0008,0.853,0.659,0.02,0.016,0.82,1
1499,1337.67,1965.23,17.117,0.0009,2.122,1.721,0.024,0.048,0.82,1
1092,1149.19,1745.98,17.3201,0.0014,0.956,0.778,0.021,0.019,0.82,1
1665,864.019,1618.64,17.8308,0.0014,1.231,0.938,0.028,0.04,0.82,1
1601,1514.89,1022.03,17.8706,0.0014,1.08,0.839,0.025,0.03,0.82,1
1648,1198.22,1302.71,17.8718,0.0013,1.185,0.938,0.025,0.029,0.82,1
1943,1291.47,1386.97,18.1549,0.0016,1.154,1.086,0.035,0.041,0.82,1
2208,1200.87,1123.64,18.4001,0.0019,1.121,0.926,0.045,0.048,0.82,1
224,1233.57,1401.78,15.4124,0.001,0.66,0.489,0.015,0.012,0.819,1
