#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      16.3576 0.8649  0.4513  0.0007  0.0123  0.0484  1.5654  
11      16.0243 0.7917  0.5170  0.0006  0.0106  0.0372  1.6911  
12      15.9385 0.7521  0.4648  0.0006  0.0103  0.0348  1.7270  
13      15.8190 0.7194  0.4705  0.0006  0.0099  0.0318  1.7809  
14      15.4478 0.6414  0.4418  0.0005  0.0090  0.0241  1.9823  
15      15.3087 0.6240  0.4299  0.0005  0.0088  0.0219  2.0721  
16      15.1282 0.6003  0.3920  0.0005  0.0085  0.0193  2.1978  
17      15.0071 0.5775  0.3397  0.0004  0.0084  0.0179  2.2876  
18      14.8839 0.5663  0.3118  0.0004  0.0082  0.0165  2.3829  
19      14.5987 0.5328  0.2128  0.0004  0.0080  0.0139  2.6180  
110     14.4904 0.5265  0.1847  0.0004  0.0080  0.0131  2.7131  
111     14.3546 0.5299  0.1648  0.0004  0.0079  0.0121  2.8355  
112     13.8594 0.5053  0.0405  0.0004  0.0077  0.0095  3.3157  
113     13.7654 0.4922  0.0103  0.0004  0.0077  0.0092  3.4107  
114     13.4745 0.4830  -0.0413 0.0003  0.0076  0.0082  3.7139  
115     12.9304 0.4792  -0.0983 0.0003  0.0076  0.0069  4.2722  
116     12.2003 0.4523  -0.1448 0.0003  0.0075  0.0060  4.8991  
