#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      16.2118 1.0077  0.4165  0.0006  0.0114  0.0557  1.4230  
11      15.7720 0.8987  0.4435  0.0005  0.0104  0.0479  1.5606  
12      15.8867 0.9316  0.4650  0.0005  0.0106  0.0499  1.5213  
13      15.5977 0.8758  0.5536  0.0005  0.0099  0.0448  1.6247  
14      15.5416 0.8514  0.5120  0.0005  0.0098  0.0438  1.6461  
15      15.4351 0.8223  0.5194  0.0005  0.0096  0.0419  1.6888  
16      15.2861 0.7792  0.5171  0.0005  0.0092  0.0394  1.7529  
17      15.1121 0.7265  0.4796  0.0005  0.0088  0.0364  1.8383  
18      14.9603 0.7003  0.4953  0.0005  0.0084  0.0338  1.9238  
19      14.9600 0.6954  0.4759  0.0005  0.0084  0.0338  1.9238  
110     14.8253 0.6851  0.5130  0.0004  0.0081  0.0315  2.0092  
111     14.7010 0.6514  0.4416  0.0004  0.0078  0.0294  2.0947  
112     14.5870 0.6382  0.4270  0.0004  0.0076  0.0275  2.1801  
113     14.5322 0.6264  0.3982  0.0004  0.0075  0.0266  2.2228  
114     14.3138 0.5920  0.3013  0.0004  0.0070  0.0230  2.4040  
115     14.0384 0.5742  0.2311  0.0004  0.0063  0.0185  2.6603  
116     14.0381 0.5695  0.2176  0.0004  0.0063  0.0185  2.6603  
117     13.9515 0.5649  0.1920  0.0004  0.0062  0.0171  2.7458  
118     13.6654 0.5448  0.0975  0.0004  0.0055  0.0125  3.0485  
119     13.5559 0.5414  0.0728  0.0004  0.0053  0.0108  3.1750  
120     13.4408 0.5404  0.0512  0.0004  0.0050  0.0090  3.3148  
121     13.1341 0.5166  -0.0410 0.0003  0.0044  0.0042  3.7130  
122     12.8589 0.5003  -0.1006 0.0003  0.0038  -0.0000 4.1111  
123     12.5209 0.4846  -0.1621 0.0003  0.0031  -0.0051 4.6510  
124     12.3298 0.4860  -0.2225 0.0003  0.0027  -0.0080 4.9803  
125     12.1292 0.4679  -0.2247 0.0003  0.0023  -0.0109 5.3383  
126     11.5596 0.4481  -0.3115 0.0003  0.0012  -0.0192 6.4038  
127     10.9630 0.4297  -0.3603 0.0002  0.0001  -0.0275 7.5455  
128     9.2609  0.4385  -0.4040 0.0002  -0.0030 -0.0501 9.7752  
