#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
10      18.7753 1.4793  1.3067  0.0025  0.0463  0.0537  0.8852  
11      19.1812 1.5268  1.3166  0.0036  0.0534  0.0629  0.8350  
12      18.7110 1.4198  1.2434  0.0024  0.0453  0.0525  0.8969  
13      18.8297 1.3647  1.1678  0.0027  0.0473  0.0550  0.8735  
14      18.6516 1.2952  1.1038  0.0023  0.0445  0.0514  0.9078  
15      18.7076 1.3545  1.1678  0.0024  0.0453  0.0525  0.8969  
16      19.2716 1.4118  1.1666  0.0039  0.0553  0.0654  0.8250  
17      18.7684 1.3521  1.1591  0.0025  0.0463  0.0537  0.8852  
18      19.3889 1.5934  1.3646  0.0043  0.0574  0.0682  0.8148  
19      19.1786 1.4877  1.2705  0.0036  0.0534  0.0629  0.8350  
110     18.7097 1.3951  1.2148  0.0024  0.0453  0.0525  0.8969  
111     18.7070 1.3443  1.1559  0.0024  0.0453  0.0525  0.8969  
112     19.1825 1.5466  1.3399  0.0036  0.0534  0.0629  0.8350  
113     19.1792 1.4967  1.2812  0.0036  0.0534  0.0629  0.8350  
114     18.4807 1.3333  1.1634  0.0020  0.0419  0.0481  0.9571  
115     18.3495 1.2801  1.1087  0.0018  0.0401  0.0457  1.0034  
116     18.3858 1.2807  1.1066  0.0019  0.0406  0.0464  0.9899  
117     18.4803 1.3251  1.1540  0.0020  0.0419  0.0481  0.9571  
118     18.3474 1.2337  1.0557  0.0018  0.0401  0.0457  1.0034  
119     18.4393 1.3013  1.1284  0.0019  0.0413  0.0473  0.9714  
120     18.3874 1.3164  1.1475  0.0019  0.0406  0.0464  0.9899  
121     18.5268 1.2993  1.1197  0.0021  0.0426  0.0490  0.9399  
122     18.0962 1.2754  1.1065  0.0015  0.0368  0.0415  1.0668  
123     17.9903 1.1459  0.9622  0.0014  0.0355  0.0399  1.0880  
124     18.1771 1.2594  1.0884  0.0016  0.0378  0.0428  1.0489  
125     17.9908 1.1582  0.9759  0.0014  0.0355  0.0399  1.0880  
126     17.9023 1.1580  0.9769  0.0013  0.0345  0.0386  1.1065  
127     18.0930 1.1976  1.0187  0.0015  0.0368  0.0415  1.0668  
128     18.1764 1.2435  1.0703  0.0016  0.0378  0.0428  1.0489  
129     18.0942 1.2269  1.0517  0.0015  0.0368  0.0415  1.0668  
130     18.0924 1.1830  1.0022  0.0015  0.0368  0.0415  1.0668  
131     17.6022 1.0537  0.8609  0.0011  0.0312  0.0344  1.1704  
132     17.5033 1.1264  0.9405  0.0010  0.0302  0.0331  1.1925  
133     17.7011 1.1473  0.9645  0.0011  0.0323  0.0357  1.1494  
134     17.6043 1.1145  0.9278  0.0011  0.0312  0.0344  1.1704  
135     17.7651 1.1625  0.9828  0.0012  0.0329  0.0366  1.1354  
136     17.5025 1.1022  0.9139  0.0010  0.0302  0.0331  1.1925  
137     17.8304 1.1674  0.9880  0.0012  0.0337  0.0375  1.1217  
138     17.0192 1.0318  0.8402  0.0007  0.0258  0.0276  1.2999  
139     17.0200 1.0610  0.8714  0.0007  0.0258  0.0276  1.2999  
140     17.4007 1.0890  0.8998  0.0009  0.0292  0.0319  1.2147  
141     17.1092 1.0582  0.8675  0.0008  0.0266  0.0285  1.2792  
142     17.0302 1.0465  0.8549  0.0007  0.0259  0.0277  1.2971  
143     17.3998 1.0595  0.8677  0.0009  0.0292  0.0319  1.2147  
144     16.6945 0.9207  0.7301  0.0006  0.0233  0.0244  1.3863  
145     16.9421 1.0047  0.8122  0.0007  0.0252  0.0268  1.3198  
146     16.7766 1.0211  0.8327  0.0007  0.0239  0.0252  1.3642  
147     16.8569 0.9862  0.7935  0.0007  0.0245  0.0260  1.3420  
148     16.7760 1.0019  0.8124  0.0007  0.0239  0.0252  1.3642  
149     16.5443 0.9156  0.7329  0.0006  0.0222  0.0231  1.4306  
150     16.3336 0.8849  0.7158  0.0005  0.0208  0.0213  1.4971  
151     16.4724 0.9412  0.7638  0.0006  0.0217  0.0224  1.4528  
152     16.2661 0.8219  0.6581  0.0005  0.0203  0.0208  1.5193  
153     16.2005 0.8171  0.6604  0.0005  0.0199  0.0203  1.5415  
154     16.0744 0.7819  0.6409  0.0005  0.0192  0.0194  1.5858  
155     16.1371 0.8135  0.6647  0.0005  0.0195  0.0198  1.5636  
156     16.1371 0.8136  0.6647  0.0005  0.0195  0.0198  1.5636  
157     15.9550 0.7212  0.5939  0.0005  0.0185  0.0185  1.6301  
158     15.8431 0.7154  0.5995  0.0005  0.0179  0.0178  1.6744  
159     15.8981 0.7338  0.6126  0.0005  0.0182  0.0181  1.6523  
160     15.7360 0.6584  0.5515  0.0004  0.0173  0.0171  1.7188  
161     15.5894 0.6350  0.5362  0.0004  0.0166  0.0162  1.7852  
162     15.5892 0.6286  0.5299  0.0004  0.0166  0.0162  1.7852  
163     15.4586 0.5955  0.4996  0.0004  0.0159  0.0154  1.8517  
164     15.4187 0.5853  0.4907  0.0004  0.0158  0.0152  1.8739  
165     15.3034 0.5696  0.4767  0.0004  0.0152  0.0145  1.9404  
166     15.3028 0.5467  0.4549  0.0004  0.0152  0.0145  1.9404  
167     15.1002 0.5049  0.4116  0.0004  0.0144  0.0135  2.0734  
168     15.1984 0.5341  0.4418  0.0004  0.0148  0.0140  2.0069  
169     14.9789 0.5108  0.4133  0.0004  0.0139  0.0129  2.1620  
170     15.0390 0.5214  0.4256  0.0004  0.0141  0.0132  2.1177  
171     14.8641 0.4926  0.3928  0.0004  0.0135  0.0124  2.2507  
172     14.8079 0.4728  0.3732  0.0004  0.0133  0.0121  2.2950  
173     14.7610 0.4922  0.3890  0.0004  0.0131  0.0119  2.3343  
174     14.6044 0.4651  0.3584  0.0004  0.0125  0.0113  2.4679  
175     14.5048 0.4413  0.3352  0.0003  0.0122  0.0109  2.5563  
176     14.3632 0.4324  0.3245  0.0003  0.0118  0.0103  2.6892  
177     14.2709 0.4377  0.3268  0.0003  0.0115  0.0100  2.7778  
178     14.0143 0.4237  0.3117  0.0003  0.0107  0.0091  3.0438  
179     14.0968 0.4138  0.3043  0.0003  0.0110  0.0094  2.9551  
180     14.0145 0.4284  0.3157  0.0003  0.0107  0.0091  3.0438  
181     13.8552 0.3981  0.2875  0.0003  0.0103  0.0086  3.2211  
182     13.7803 0.4062  0.2940  0.0003  0.0101  0.0084  3.3097  
183     13.6332 0.3919  0.2806  0.0003  0.0098  0.0080  3.4870  
184     13.4905 0.3916  0.2787  0.0003  0.0094  0.0076  3.6675  
185     13.3831 0.3806  0.2693  0.0003  0.0092  0.0073  3.8098  
186     13.1407 0.3811  0.2678  0.0003  0.0087  0.0067  4.1472  
187     12.8293 0.3618  0.2498  0.0003  0.0081  0.0061  4.6080  
188     12.6646 0.3531  0.2421  0.0003  0.0078  0.0057  4.8579  
189     12.2881 0.3355  0.2255  0.0003  0.0073  0.0051  5.4413  
190     12.0762 0.3427  0.2287  0.0003  0.0070  0.0047  5.7709  
191     11.6688 0.3379  0.2217  0.0003  0.0065  0.0042  6.3706  
192     8.8343  1.9994  1.9448  0.0003  0.0045  0.0019  8.1122  
193     7.7305  0.7883  0.5868  0.0003  0.0041  0.0016  8.2704  
